"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:687qZGqKcVN9g3obktSKHk","Journeyman","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:6JiPQzrQs9VTk0cRW9kyS2","ISAM","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2011-04-19","https://i.scdn.co/image/ab67616d0000b273097777cd75fa8ad031857c28","1","1","398600","https://p.scdn.co/mp3-preview/7153d607804fb0a0cb3de84d2b26d0e37c1399d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-12T06:04:28Z"
"spotify:track:49L575qiC0McAdIfEMglbr","Pickled!","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:5c7XChrHxYaqykCZLaGM5f","Cosmogramma","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2010-05-03","https://i.scdn.co/image/ab67616d0000b273a9e54a589a171c955c54ed79","1","2","133693","https://p.scdn.co/mp3-preview/159dbce642083120956f6fdb4cfe2434737b027b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-12T06:07:38Z"
"spotify:track:4FlWBHv8EFPFHxn3ZsXDK0","Home Away From Home","spotify:artist:5tYE3ViKxF5APISuBhET9y","Evan Brewer","spotify:album:1KN6B9eLbM2zY8odk3si1B","Your Itinerary","spotify:artist:5tYE3ViKxF5APISuBhET9y","Evan Brewer","2013-07-12","https://i.scdn.co/image/ab67616d0000b273a5096a2c71ea6555555eec4a","1","7","200116","https://p.scdn.co/mp3-preview/b8bbdc01f82c97c11487a18247b53be45f7a5a14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-12T06:17:21Z"
"spotify:track:1g7bl2LDCom7jtX2EmHRSF","Flite","spotify:artist:32ogthv0BdaSMPml02X9YB","The Cinematic Orchestra","spotify:album:1EUXHvyflL27HwOTQgaVuh","Every Day","spotify:artist:32ogthv0BdaSMPml02X9YB","The Cinematic Orchestra","2002-05-13","https://i.scdn.co/image/ab67616d0000b273d2a761a90fb7ca422398f0cf","1","3","395706","https://p.scdn.co/mp3-preview/f90e22192388007e29c4e6290baaa00d7f5bf539?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-12T06:19:01Z"
"spotify:track:0ZsgR6p3xwvGqNn3gOIvsi","Vinum Sabbathi","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","spotify:album:4xaTRMLbZdmAWtUnoYvaTF","Dopethrone","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","2000","https://i.scdn.co/image/ab67616d0000b27384575c4c65f863eaac774fe4","1","1","185493","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-12T06:39:43Z"
"spotify:track:4CGnqwwFq4TeWTE8d4JaYZ","Friends Are Evil","spotify:artist:1binm59tmJzoZLvLETVYBP","Jesu","spotify:album:0vbGlRg8AzomK0MhQkRH6B","Jesu","spotify:artist:1binm59tmJzoZLvLETVYBP","Jesu","2005","https://i.scdn.co/image/ab67616d0000b273837428e8ae22237361f91c8d","1","2","583826","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-12T06:21:30Z"
"spotify:track:4rjQLLfm79K4jCBTak869r","Spiral Shadow","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","spotify:album:2NNavvaS7LcOxryzfxSkgw","Spiral Shadow","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","2010","https://i.scdn.co/image/ab67616d0000b2734436bb6c87320b8d7e4de237","1","9","312466","https://p.scdn.co/mp3-preview/5df80892312537e6dfc417a3305d74032060f6c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-12T06:41:54Z"
"spotify:track:1HQ8OCn1O9wokDSVpACK6M","Speaking Gently","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","spotify:album:6uqcZu1it9k6zz3UVKZzPo","IV","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","2016-07-08","https://i.scdn.co/image/ab67616d0000b273c067627e5503f76e01615b3a","1","2","247839","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-12T06:47:00Z"
"spotify:track:14BIjb7JQJzUPBE7PxLV25","Get Your Snack On","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:54zaC0AviuCfkDwHsUJIra","Supermodified","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2000-05-16","https://i.scdn.co/image/ab67616d0000b27314b74358028a458cc883b8ef","1","1","261053","https://p.scdn.co/mp3-preview/d876a7ba372218a25def4150343e123ea34694d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-12T06:51:42Z"
"spotify:track:781V2Y5LPtcpgONEOadadE","Get Got","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:1PQDjdBpHPikAodJqjzm6a","The Money Store","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2012-04-23","https://i.scdn.co/image/ab67616d0000b273b4f8459b0f719f8a97ee1c8c","1","1","171866","https://p.scdn.co/mp3-preview/2f92c872df55b8bda55839b78c3276d20a63f50c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-12T06:53:15Z"
"spotify:track:37tmFNDLCoe1U9zfZqQ1Qf","Omnipresent Perception","spotify:artist:3HBOxN9iagI9Ot1kTHpPX8","Beyond Creation","spotify:album:0ZE7T6uVmB8RfikstJ4w99","The Aura","spotify:artist:3HBOxN9iagI9Ot1kTHpPX8","Beyond Creation","2011","https://i.scdn.co/image/ab67616d0000b27386d7cb1ada8ac77f70e85ef2","1","4","371533","https://p.scdn.co/mp3-preview/ceb44b361ebefceadbb70c07029b8440930c4f48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-12T06:54:16Z"
