"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:510OlJyxfzUeFsiV5fFtEm","Swag Times","spotify:artist:2QjVv1gkLn8XkQxVndgLHF","Bill Laurance","spotify:album:5egome6U4Gn3tqwNoMNx2W","Flint","spotify:artist:2QjVv1gkLn8XkQxVndgLHF","Bill Laurance","2014-05-06","https://i.scdn.co/image/ab67616d0000b273b1c47bb62b930c46014d2f00","1","4","350693","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-02-01T18:31:19Z"
"spotify:track:21iUPzMVbokTT8kOsJnBna","December in New York","spotify:artist:2QjVv1gkLn8XkQxVndgLHF","Bill Laurance","spotify:album:4NEcuFBUEiP9mVGCpu4MxC","Swift","spotify:artist:2QjVv1gkLn8XkQxVndgLHF","Bill Laurance","2015-03-31","https://i.scdn.co/image/ab67616d0000b273f3d9306f41e2da53d9e60d6f","1","2","295742","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-02-01T18:31:19Z"
"spotify:track:4ygVm51aulCynsQ5a5WEIV","Swift","spotify:artist:2QjVv1gkLn8XkQxVndgLHF","Bill Laurance","spotify:album:4NEcuFBUEiP9mVGCpu4MxC","Swift","spotify:artist:2QjVv1gkLn8XkQxVndgLHF","Bill Laurance","2015-03-31","https://i.scdn.co/image/ab67616d0000b273f3d9306f41e2da53d9e60d6f","1","3","283180","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-02-01T18:38:18Z"
"spotify:track:0vh3TFs4WUHenuW76cainA","Satania Our Solar System","spotify:artist:6ivVgdQ8qi5Tu2pc1zeVKP","Cameron Graves","spotify:album:6lJJ95URcncW4mCDW0SEI0","Planetary Prince","spotify:artist:6ivVgdQ8qi5Tu2pc1zeVKP","Cameron Graves","2017-02-24","https://i.scdn.co/image/ab67616d0000b273b1eb41cd74be53cbae9337ed","1","1","522775","https://p.scdn.co/mp3-preview/0afad1d3e87533b9ecf72d3f49019469e3951e40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-07T18:45:37Z"
"spotify:track:0RDPruYI8wmOrFTi3RMx6K","Planetary Prince","spotify:artist:6ivVgdQ8qi5Tu2pc1zeVKP","Cameron Graves","spotify:album:6lJJ95URcncW4mCDW0SEI0","Planetary Prince","spotify:artist:6ivVgdQ8qi5Tu2pc1zeVKP","Cameron Graves","2017-02-24","https://i.scdn.co/image/ab67616d0000b273b1eb41cd74be53cbae9337ed","1","2","486744","https://p.scdn.co/mp3-preview/7dcb09258741b2d0f77284c9110050a107ff1830?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-07T18:45:37Z"
"spotify:track:0c8zgiumcVFFqDPLa9a9li","El Diablo","spotify:artist:6ivVgdQ8qi5Tu2pc1zeVKP","Cameron Graves","spotify:album:6lJJ95URcncW4mCDW0SEI0","Planetary Prince","spotify:artist:6ivVgdQ8qi5Tu2pc1zeVKP","Cameron Graves","2017-02-24","https://i.scdn.co/image/ab67616d0000b273b1eb41cd74be53cbae9337ed","1","3","448473","https://p.scdn.co/mp3-preview/b2ad16f38092cf2eec1894685677fa4d3656ad3f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-07T18:45:37Z"
"spotify:track:37Ie0XXhstbURNr3OXbCpe","Adam & Eve","spotify:artist:6ivVgdQ8qi5Tu2pc1zeVKP","Cameron Graves","spotify:album:6lJJ95URcncW4mCDW0SEI0","Planetary Prince","spotify:artist:6ivVgdQ8qi5Tu2pc1zeVKP","Cameron Graves","2017-02-24","https://i.scdn.co/image/ab67616d0000b273b1eb41cd74be53cbae9337ed","1","4","818990","https://p.scdn.co/mp3-preview/1c026be127fe8b794adf77d5028eada94be3818e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-07T18:45:37Z"
"spotify:track:4zMAoZpjtuVF9FoF7GGFwa","The End of Corporatism","spotify:artist:6ivVgdQ8qi5Tu2pc1zeVKP","Cameron Graves","spotify:album:6lJJ95URcncW4mCDW0SEI0","Planetary Prince","spotify:artist:6ivVgdQ8qi5Tu2pc1zeVKP","Cameron Graves","2017-02-24","https://i.scdn.co/image/ab67616d0000b273b1eb41cd74be53cbae9337ed","1","5","488950","https://p.scdn.co/mp3-preview/f8e98abe8b59a55e736b5f75c9ade8319fd5a6c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-07T18:45:37Z"
"spotify:track:3t2Ac0vvrmDgoTj7T6oefU","Andromeda","spotify:artist:6ivVgdQ8qi5Tu2pc1zeVKP","Cameron Graves","spotify:album:6lJJ95URcncW4mCDW0SEI0","Planetary Prince","spotify:artist:6ivVgdQ8qi5Tu2pc1zeVKP","Cameron Graves","2017-02-24","https://i.scdn.co/image/ab67616d0000b273b1eb41cd74be53cbae9337ed","1","6","682914","https://p.scdn.co/mp3-preview/43a306a2bf0f32b4c8a4a92f8bf34890916fa3b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-07T18:45:37Z"
"spotify:track:0vbTSSlEUVGfzrfw4Ws2pY","Flashback","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","spotify:album:4CJ4phwPoEHFS87UlsWPff","Mechanical Nations","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","2017-02-24","https://i.scdn.co/image/ab67616d0000b2735977164341ec3f7df8c8c910","1","1","212071","https://p.scdn.co/mp3-preview/fa7a86b300222c7f6d4b30b6d888f3cc72e029c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-19T20:10:31Z"
"spotify:track:3Kmm5w52qkzTIeZigoGDzG","Carnatt","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","spotify:album:4CJ4phwPoEHFS87UlsWPff","Mechanical Nations","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","2017-02-24","https://i.scdn.co/image/ab67616d0000b2735977164341ec3f7df8c8c910","1","2","244914","https://p.scdn.co/mp3-preview/010323e53ae37aad7e334756d55b23b7d905c6e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-19T20:10:31Z"
"spotify:track:3iVBBOwYOqZUDJoXWmBRX9","Eight Moon Headdress","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","spotify:album:4CJ4phwPoEHFS87UlsWPff","Mechanical Nations","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","2017-02-24","https://i.scdn.co/image/ab67616d0000b2735977164341ec3f7df8c8c910","1","3","238104","https://p.scdn.co/mp3-preview/f2a3f127675713965f49d4284a411e305f2dd580?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-19T20:10:31Z"
"spotify:track:31Vv2iVqlvwWR2riet2fRM","Nomadic Tree","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","spotify:album:4CJ4phwPoEHFS87UlsWPff","Mechanical Nations","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","2017-02-24","https://i.scdn.co/image/ab67616d0000b2735977164341ec3f7df8c8c910","1","4","217223","https://p.scdn.co/mp3-preview/3cc12fb7d27568a435949530a9e61879e3731a8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-19T20:10:31Z"
"spotify:track:4MtrKBmrZzy7U3ijSSAlMM","Da House Cat","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","spotify:album:4CJ4phwPoEHFS87UlsWPff","Mechanical Nations","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","2017-02-24","https://i.scdn.co/image/ab67616d0000b2735977164341ec3f7df8c8c910","1","5","223008","https://p.scdn.co/mp3-preview/2f3eec26e2e60f5517c6790b15f0c5281e6d5b08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-19T20:10:31Z"
"spotify:track:6F3fkOHBifTjW3zWIQIrrp","Cosmo Basket","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","spotify:album:4CJ4phwPoEHFS87UlsWPff","Mechanical Nations","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","2017-02-24","https://i.scdn.co/image/ab67616d0000b2735977164341ec3f7df8c8c910","1","6","193452","https://p.scdn.co/mp3-preview/cf39c6f21f1ba751499afc24bcbd52a60e1ed669?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-19T20:10:31Z"
"spotify:track:7xBC8l3sXS2FdLC0Z8Bh8q","Bom","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","spotify:album:4CJ4phwPoEHFS87UlsWPff","Mechanical Nations","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","2017-02-24","https://i.scdn.co/image/ab67616d0000b2735977164341ec3f7df8c8c910","1","7","219284","https://p.scdn.co/mp3-preview/d8cffc70891847a0f3e8cee9ea227a8192559d45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-19T20:10:31Z"
"spotify:track:44xRILzoZA03566AlRC0Md","Bom Continues","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","spotify:album:4CJ4phwPoEHFS87UlsWPff","Mechanical Nations","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","2017-02-24","https://i.scdn.co/image/ab67616d0000b2735977164341ec3f7df8c8c910","1","8","236358","https://p.scdn.co/mp3-preview/e43139086848523ea2d8417a29ef5fd539bcb5ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-19T20:10:31Z"
