"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6qnEO8B74YdMi3hkfQk2Xb","Marijuana","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","spotify:album:0ADqv18FGlEOIHni3Tg5sC","Sparks EP","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","2013-03-04","https://i.scdn.co/image/ab67616d0000b2730f71dbfc5943ab3437a01817","1","2","181149","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-03T01:15:33Z"
"spotify:track:3GI8oWPzwjSruuhJsfsO6m","Time Won't Tell","spotify:artist:57UnSUpae3SbRekxNa5Kgl","El-P","spotify:album:6g5Aj2DFpl9uDLVEiHZMWH","Weareallgoingtoburninhellmegamixxx3","spotify:artist:57UnSUpae3SbRekxNa5Kgl","El-P","2010-08-02","https://i.scdn.co/image/ab67616d0000b273628281548075b21fa2dac4e8","1","6","176555","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-31T15:13:38Z"
"spotify:track:0u6EwllDYh7WtMINMsw9u0","Neon Beams","spotify:artist:0y0E65PVL3W0TBt2tpCNSN","Take","spotify:album:46fSLVPsIJfJBv8R8km2Ty","Only Mountain","spotify:artist:0y0E65PVL3W0TBt2tpCNSN","Take","2010-04-20","https://i.scdn.co/image/ab67616d0000b2739984ae237cabea388f78ba01","1","2","217506","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-31T15:15:10Z"
"spotify:track:6H147Bkvdcxn7ONC99Eq6d","I'm Awake","spotify:artist:0xpJGyjbEzkWSNfcf2tcMl","Intervals","spotify:album:4MYLm8Uxayy4UyqFHPHfBB","The Shape of Colour","spotify:artist:0xpJGyjbEzkWSNfcf2tcMl","Intervals","2015-12-04","https://i.scdn.co/image/ab67616d0000b27305418a99083b7551b30f5593","1","1","238503","https://p.scdn.co/mp3-preview/9c954c2dfac5e2ad8f5eeed40a6c6bd7d70bad94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-01T02:08:12Z"
"spotify:track:3XUf7qIRvW5oxJGff0RBlS","Always","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:6o7OzvIJJMkhgB1QtEB1fj","Foley Room","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2007-02-26","https://i.scdn.co/image/ab67616d0000b2736841c8f2dfa5290983e76e5c","1","10","218600","https://p.scdn.co/mp3-preview/7e45c7bc1765504549b9b653edf15420b3b345c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-31T15:18:49Z"
"spotify:track:7Ae8Pr3h5IXLoXQyIaU57M","All New Materials - Instrumental","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","spotify:album:3CPtyTCOEirDSos5WzEQBt","Periphery [Instrumental]","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","2010-04-27","https://i.scdn.co/image/ab67616d0000b27327d14357d8d8aabc45e7050a","1","6","320533","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-05T11:26:49Z"
"spotify:track:2PT6to8NW8PXYrXSn744WT","Never Catch Me - Instrumental","spotify:artist:29XOeO6KIWxGthejQqn793, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Flying Lotus, Kendrick Lamar","spotify:album:3Y9XeEhhPyzFnCGDjKcVB0","You're Dead! (Deluxe)","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2015-10-07","https://i.scdn.co/image/ab67616d0000b2737b12c640bbabc94ef707f986","1","24","234486","https://p.scdn.co/mp3-preview/1a08a8021c734aff25382eb24a88345b0c315113?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-01T02:00:16Z"
"spotify:track:1HQ8OCn1O9wokDSVpACK6M","Speaking Gently","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","spotify:album:6uqcZu1it9k6zz3UVKZzPo","IV","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","2016-07-08","https://i.scdn.co/image/ab67616d0000b273c067627e5503f76e01615b3a","1","2","247839","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-18T20:34:10Z"
"spotify:track:687qZGqKcVN9g3obktSKHk","Journeyman","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:6JiPQzrQs9VTk0cRW9kyS2","ISAM","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2011-04-19","https://i.scdn.co/image/ab67616d0000b273097777cd75fa8ad031857c28","1","1","398600","https://p.scdn.co/mp3-preview/7153d607804fb0a0cb3de84d2b26d0e37c1399d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:51:50Z"
"spotify:track:68AdzgpzDTNiy7kORzY0jz","Behaving Badly","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:1BRtQtljRJIxroJXI20K39","Animals as Leaders","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2009-04-28","https://i.scdn.co/image/ab67616d0000b27393bb9d619c92bcd6ba242c39","1","6","266400","https://p.scdn.co/mp3-preview/2c25a9e90d7968cb32ba84ce86d9f59a423397ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:55:38Z"
"spotify:track:02v81HQA1yS0DSZ4dw3YzF","Atlas Novus","spotify:artist:16Uqo1jjtPiKI4zU1Ficgb","Scale The Summit","spotify:album:2oL78CzVNt1WXsa0Etvpo7","The Migration","spotify:artist:16Uqo1jjtPiKI4zU1Ficgb","Scale The Summit","2013-06-11","https://i.scdn.co/image/ab67616d0000b273ec1d8cc0240bc358e98dca03","1","2","307106","https://p.scdn.co/mp3-preview/f6f9a3e21d264e3e9a4f7731ddc8021665df0f5c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-01T05:05:07Z"
"spotify:track:6hKghbcGZr53XKOrX4HxhV","Jetpacks Was Yes - Instrumental","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","spotify:album:3CPtyTCOEirDSos5WzEQBt","Periphery [Instrumental]","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","2010-04-27","https://i.scdn.co/image/ab67616d0000b27327d14357d8d8aabc45e7050a","1","4","236906","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-01T02:11:45Z"
"spotify:track:2y1cW84gbL4ghBD2HwcQ3x","We Could Forever","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:5m1RkwKeU7MV0Ni6PH2lPy","Black Sands","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2010-03-29","https://i.scdn.co/image/ab67616d0000b2737da6d6787071a97593cfbcee","1","6","259839","https://p.scdn.co/mp3-preview/e64ac5e1023b7f2471da198e75a5375245a41858?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T07:04:22Z"
"spotify:track:7hY2Kc7Hvu0BudOoQwu8Ez","Kascade","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:3BfAgyF1AdYKaOO7EBoDw4","The Joy of Motion","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2014-03-25","https://i.scdn.co/image/ab67616d0000b2731ce45979342c65ecddf9f72e","1","1","323728","https://p.scdn.co/mp3-preview/5469353435eea7a08c416ba896325b7139afbb08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:56:38Z"
"spotify:track:5Nn2Dj7OQsGL6pgQ9iIzPp","Ghostwriter","spotify:artist:1O3ZOjqFLEnbpZexcRjocn","RJD2","spotify:album:7DmNwRBDJRUEFUlk3oa2Aj","Deadringer: Deluxe","spotify:artist:1O3ZOjqFLEnbpZexcRjocn","RJD2","2002","https://i.scdn.co/image/ab67616d0000b273482be3c0abad6a3c2bcd2efd","1","6","317933","https://p.scdn.co/mp3-preview/d079b16eb0cae5c54fe3f76df0219c72a2f1e173?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-01T02:07:07Z"
"spotify:track:0CSROivI3JVgvyZNWHavHw","Andromeda","spotify:artist:3X1fGv94hiyQQ8Sc7GRE0K","Pavel Dovgal","spotify:album:6TW6VYqcU1W7l4dmIl7JAu","Cassiopeia","spotify:artist:3X1fGv94hiyQQ8Sc7GRE0K","Pavel Dovgal","2010-11-12","https://i.scdn.co/image/ab67616d0000b273552682f1859049771fc0e555","1","8","147946","https://p.scdn.co/mp3-preview/d48a12c93bdc2f5b2a6b724a14bcfeb50862b414?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-01T02:16:17Z"
"spotify:track:0IjVJk7EZK5V71LUwk6OjC","Warm Thoughts","spotify:artist:6nxWCVXbOlEVRexSbLsTer","Flume","spotify:album:5vaoiQeWdC1ssSaM2WjcjZ","Flume: Deluxe Edition","spotify:artist:6nxWCVXbOlEVRexSbLsTer","Flume","2013-11-11","https://i.scdn.co/image/ab67616d0000b2739aa95cd8a6db301401b04b20","1","13","228376","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-01T02:18:38Z"
"spotify:track:3bOcLIg9pJDekTatlshXH5","Butterflies","spotify:artist:7JFO7bnWWApOFvTMS3NFgh","Anchorsong","spotify:album:0n4C1NrTOsSDibuIEoq4Cz","Ceremonial","spotify:artist:7JFO7bnWWApOFvTMS3NFgh","Anchorsong","2016-01-22","https://i.scdn.co/image/ab67616d0000b2734fdabc82cd8d531e0ded26e3","1","7","357773","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-01T02:34:15Z"
"spotify:track:2YxoC2dYOotjqt08dEifsc","Chromakey Dreamcoat","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","spotify:album:0wBiN0fKhy0ywx732SpgUs","The Campfire Headphase","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","2005-10-17","https://i.scdn.co/image/ab67616d0000b27375ea8510776626eb920260c5","1","2","347466","https://p.scdn.co/mp3-preview/8752575c007855c2e858db276e04f568ef0d91d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-01T02:34:46Z"
"spotify:track:475l6IQSNwMOjHANVuCuhd","Searchers","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:27ftYHLeunzcSzb33Wk1hf","Out From Out Where","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2002-10-14","https://i.scdn.co/image/ab67616d0000b2739236314a5d47e2b2277ca028","1","4","345026","https://p.scdn.co/mp3-preview/468df166e483b0a7a5cb3bef6cf758a84b6490eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-13T06:49:57Z"
"spotify:track:7IuxuJBP6kwOOu1ShFzmR1","Insomniac Olympics","spotify:artist:7bHm3B3jJju0q9FUdOgp3b","Blockhead","spotify:album:5kEQ9AhNjGvjvplVU3dEkj","Music By Cavelight","spotify:artist:7bHm3B3jJju0q9FUdOgp3b","Blockhead","2004-03-09","https://i.scdn.co/image/ab67616d0000b27300c1bd4d3221c1fa0755d37f","1","1","306586","https://p.scdn.co/mp3-preview/a6c73133e0122071b35bd0669c5b940ab0ee7b1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-27T17:44:58Z"
"spotify:track:6b0iRrvbML33I9nt3CMKXK","The Sun","spotify:artist:3UQ87SmqkLxIMdenYnsLld","Efence","spotify:album:587F9tFApXh49uWBbnVF8z","The Early Years","spotify:artist:3UQ87SmqkLxIMdenYnsLld","Efence","2016-01-01","https://i.scdn.co/image/ab67616d0000b273e505cd63a4b23272f1db8b5a","1","4","281000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-28T23:53:10Z"
"spotify:track:33EstU3VJEBfWuC8iFxVAJ","Pyrogens","spotify:artist:6uOVGxc5qGlsefLXLk2KL6","The Greatest Hoax","spotify:album:79JH5KExgRscJBuZZfsWXX","Special Cases","spotify:artist:6uOVGxc5qGlsefLXLk2KL6","The Greatest Hoax","2016-02-12","https://i.scdn.co/image/ab67616d0000b2738b833f36f851423add1f0368","1","2","220719","https://p.scdn.co/mp3-preview/8a2734ac668555f930ae17e453d83505a7d98cd1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-12T15:54:27Z"
