"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0UaMYEvWZi0ZqiDOoHU3YI","Lose Control (feat. Ciara & Fat Man Scoop)","spotify:artist:2wIVse2owClT7go1WT98tk, spotify:artist:2NdeV5rLm47xAvogXrYhJX, spotify:artist:15GGbJKqC6w0VYyAJtjej6","Missy Elliott, Ciara, Fatman Scoop","spotify:album:6vV5UrXcfyQD1wu4Qo2I9K","The Cookbook","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","2005-07-04","https://i.scdn.co/image/ab67616d0000b273f1dfae21eaac0d24fb3dcf5a","1","4","226863","https://p.scdn.co/mp3-preview/fe79cac4e5f67a23d54ea5e884d86af1b5248a88?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-01T20:09:51Z"
"spotify:track:0UaMYEvWZi0ZqiDOoHU3YI","Lose Control (feat. Ciara & Fat Man Scoop)","spotify:artist:2wIVse2owClT7go1WT98tk, spotify:artist:2NdeV5rLm47xAvogXrYhJX, spotify:artist:15GGbJKqC6w0VYyAJtjej6","Missy Elliott, Ciara, Fatman Scoop","spotify:album:6vV5UrXcfyQD1wu4Qo2I9K","The Cookbook","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","2005-07-04","https://i.scdn.co/image/ab67616d0000b273f1dfae21eaac0d24fb3dcf5a","1","4","226863","https://p.scdn.co/mp3-preview/fe79cac4e5f67a23d54ea5e884d86af1b5248a88?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-01T20:10:40Z"
"spotify:track:1PNGJBI1Lx0h8QCpkHKZLU","Tom Ford","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","JAY-Z","spotify:album:0OTjYdGtP7AbwOwbYsGhyi","Magna Carta... Holy Grail","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","JAY-Z","2013-07-04","https://i.scdn.co/image/ab67616d0000b27316667761b90f600c1d7b08e6","1","3","189013","https://p.scdn.co/mp3-preview/84d798e647b0e448ac7a34406af5a1718c9d1179?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-02T00:00:43Z"
"spotify:track:7jk7gqyEonmVVYahZN5zhW","Circus","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","spotify:album:2tve5DGwub1TtbX1khPX5j","Circus (Deluxe Version)","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","2008-12-02","https://i.scdn.co/image/ab67616d0000b27354c6edd554935d73e159e199","1","2","192360","https://p.scdn.co/mp3-preview/8085b6ee836e9cbb7032576fcf8f1b51d9a53c0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-09T02:55:09Z"
"spotify:track:77NNZQSqzLNqh2A9JhLRkg","Don't Stop Believin'","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","spotify:album:5pfpXvoJtSIFrbPIoBEv3R","The Essential Journey","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","2001-10-16","https://i.scdn.co/image/ab67616d0000b2730f6ce5c138493ac768d9afc8","1","2","248906","https://p.scdn.co/mp3-preview/5908f4536c2b1111045c46555811fe61112d5c26?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-11T21:29:44Z"
"spotify:track:4YanxQqDBuAQwytZ7CN0MX","Middle Fingaz up What","spotify:artist:3Kpqg0c4bVGR5XOK2qBxaw","Strae Bullet","spotify:album:5MpxngMHnQYlVy9qyVunwp","Hustlemania","spotify:artist:3Kpqg0c4bVGR5XOK2qBxaw","Strae Bullet","2014-09-23","https://i.scdn.co/image/ab67616d0000b273a3d7e7310481f6b4144d235b","1","2","121346","https://p.scdn.co/mp3-preview/b5e32061eb040fd24418c541644d84965c4b5f1e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-13T23:37:17Z"
"spotify:track:15PSdxlFWwvivB7HPU8EmU","DREAMSCAPES","spotify:artist:07UJz804RJxqNvxFXC3h9H","Sam Gellaitry","spotify:album:2IY7M0PuMq7TltqtwFAzh8","Escapism","spotify:artist:07UJz804RJxqNvxFXC3h9H","Sam Gellaitry","2015-11-30","https://i.scdn.co/image/ab67616d0000b273abf60462d2c407dace25c303","1","3","249188","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-13T23:45:56Z"
"spotify:track:6Urmnpk6flfh0lp9HH3bOS","Rain Fall Down - Remastered 2009","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:5zqveAALqLpkXgPLyYItRV","A Bigger Bang (2009 Re-Mastered)","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","2005-09-05","https://i.scdn.co/image/ab67616d0000b27318170cbe68cd3e6d26be4a74","1","4","293800","https://p.scdn.co/mp3-preview/8e93b7a0c2d3966a2dd5a1479bb3c92f568e7ee5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-26T02:15:06Z"
"spotify:track:6aUoy08EPSi5g3EgXRrT73","Pursuer","spotify:artist:6JaG7zUlBpWd43CweqURY6","Sound of Ceres","spotify:album:15ngwTs8kCZaPVJR9JHgqz","Nostalgia for Infinity","spotify:artist:6JaG7zUlBpWd43CweqURY6","Sound of Ceres","2016-03-04","https://i.scdn.co/image/ab67616d0000b273d1a089e3097ab4578cc71da8","1","1","326820","https://p.scdn.co/mp3-preview/b75b912aa9a1021c9a753cf26e0e68eaf30b8965?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-02T03:48:31Z"
"spotify:track:4QD2lJZA427KI59ywRAmyL","Honey","spotify:artist:7IfculRW2WXyzNQ8djX8WX","Erykah Badu","spotify:album:4yD7PqcTzAU6QTY04W28Tz","New Amerykah Part One (4th World War)","spotify:artist:7IfculRW2WXyzNQ8djX8WX","Erykah Badu","2008-02-26","https://i.scdn.co/image/ab67616d0000b2731ab9aa34d07a3f450af59bc2","1","11","320973","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-11T22:01:50Z"
"spotify:track:08uGhvS5MfBk7crUCpnjva","Blame It","spotify:artist:7LnaAXbDVIL75IVPnndf7w, spotify:artist:3aQeKQSyrW4qWr35idm0cy","Jamie Foxx, T-Pain","spotify:album:4Tk1gvdwy7TL3Ma2s9iZ9f","Intuition","spotify:artist:7LnaAXbDVIL75IVPnndf7w","Jamie Foxx","2008-12-11","https://i.scdn.co/image/ab67616d0000b2731529d9e76da10746e20dd012","1","5","289746","https://p.scdn.co/mp3-preview/97d51ba563a024d39d76c2eb3296a9f090023a2c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-11T22:05:23Z"
"spotify:track:3a9nAw0gtRyAubrDnso6S7","Experience Your Flesh","spotify:artist:0dUwIwaPc6UukkCZTaaf7J","Benighted","spotify:album:0oF4CkyIf38l4LMhF5PSut","Carnivore Sublime","spotify:artist:0dUwIwaPc6UukkCZTaaf7J","Benighted","2014-02-18","https://i.scdn.co/image/ab67616d0000b273f2a8b754886d5e65cf545311","1","3","185666","https://p.scdn.co/mp3-preview/985c282a052257a32d3142063dc5712056f52c29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-19T02:03:32Z"
"spotify:track:5n0CTysih20NYdT2S0Wpe8","Trouble","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","spotify:album:0nW0w37lrQ87k7PLZvC4qJ","Tell Me I'm Pretty","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","2015-12-18","https://i.scdn.co/image/ab67616d0000b273e7dd69ac32cf313fde62cbad","1","6","225973","https://p.scdn.co/mp3-preview/fba9b803c09939ea2c9f451afa4da733bb2b54ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-02-11T21:59:34Z"
"spotify:track:5fpizYGbi5IQoEraj6FP0R","Intergalactic - Remastered","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","spotify:album:6eGYLONkDMja0MNtZWnRRB","Hello Nasty (Deluxe Version/Remastered 2009)","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1998-07-14","https://i.scdn.co/image/ab67616d0000b273ab1d7b56d97842315dd0fdaa","1","7","231493","https://p.scdn.co/mp3-preview/528b773a6b700eedc91bcd03132cdac0fe1c5d0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-02T05:19:29Z"
"spotify:track:2hjcUWR2GYG3ohQugmRzaJ","Pack The Pipe","spotify:artist:7yk35uHNQclPXFGFoTU44w","The Pharcyde","spotify:album:0j23tQrJWMn8I1jutd7JXy","Bizarre Ride II The Pharcyde (Deluxe Edition)","spotify:artist:7yk35uHNQclPXFGFoTU44w","The Pharcyde","1992-11-24","https://i.scdn.co/image/ab67616d0000b27372c75d72d397e4b30d67bffa","1","15","303826","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-09T01:27:37Z"
"spotify:track:3S4px9f4lceWdKf0gWciFu","Cheap Thrills","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","spotify:album:2eV6DIPDnGl1idcjww6xyX","This Is Acting (Deluxe Version)","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","2016-10-21","https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837","1","6","211666","https://p.scdn.co/mp3-preview/88816b2040a092aa99d5b0e42945d79dc5027c1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-30T23:33:39Z"
"spotify:track:0O74mKsJBbMm8rBbCfhCe1","Cut n’ Run","spotify:artist:5CyMmYYHMIfK9YYcKLXzO1","Gordon Goodwin's Big Phat Band","spotify:album:3SuxrgdbVXXoHAqDjdZ7ZS","The Phat Pack","spotify:artist:5CyMmYYHMIfK9YYcKLXzO1","Gordon Goodwin's Big Phat Band","2006-06-13","https://i.scdn.co/image/ab67616d0000b273d68e816c5aae140f06916a50","1","1","367786","https://p.scdn.co/mp3-preview/f549361eb0d8da0c7ad42011f9344ddde9d365fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-09-21T22:31:13Z"
