"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6P2Z56ETri3nWKe8Rz14Vy","Sanguine","spotify:artist:7C6puypNgisalvnIc9rusD","Earth Ship","spotify:album:45FWEhaLm5WrZCrX7eBp3q","Withered","spotify:artist:7C6puypNgisalvnIc9rusD","Earth Ship","2014-09-12","https://i.scdn.co/image/ab67616d0000b2736f338b86c4dc9b786408012e","1","1","155083","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-14T03:01:43Z"
"spotify:track:5crwe06Y5SeImrvd2gi5XG","Like Rats","spotify:artist:5A4ebXQf38xWIq0xSWLhsS","Godflesh","spotify:album:1BloguumODLJ2PKsP7dza6","Streetcleaner","spotify:artist:5A4ebXQf38xWIq0xSWLhsS","Godflesh","1989","https://i.scdn.co/image/ab67616d0000b273573b2cd0a7a964729be12e8f","1","1","269080","https://p.scdn.co/mp3-preview/74d58c99a75c912330b6ac08c01068c89c812129?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-14T03:10:25Z"
"spotify:track:6SbqCMWpmTtovRda3V0aCM","Worlds Apart","spotify:artist:2yeEmsTQMNHBlS5dhWtuD1","Pallbearer","spotify:album:5hcHyM3KYY97gUZzfRlNZb","Foundations of Burden","spotify:artist:2yeEmsTQMNHBlS5dhWtuD1","Pallbearer","2014-08-19","https://i.scdn.co/image/ab67616d0000b273feda2ce0288247c0a9ccfe8e","1","1","616711","https://p.scdn.co/mp3-preview/d36e34274281c24c26db07efbcb748f1b97e49de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-14T03:16:34Z"
"spotify:track:21pZBpd9XgAmJQFnBeLIKV","Empress Rising","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","spotify:album:194RzRxGZNbgYLYcA6u2Fl","Empress Rising","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","2014-04-01","https://i.scdn.co/image/ab67616d0000b273db9638205e4d0fbe1624f034","1","1","739447","https://p.scdn.co/mp3-preview/b4481ef5727441551809e7f85ce97d11583e480d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-14T03:03:11Z"
"spotify:track:4Qnu2HSo7iDJM3qwLVhbaS","And I Grew into Ribbons","spotify:artist:61jq0F04ecataLAuDADgnF","Street Sects","spotify:album:0qnkPX1fxM6hEnnVIl4Jw7","End Position","spotify:artist:61jq0F04ecataLAuDADgnF","Street Sects","2016-09-16","https://i.scdn.co/image/ab67616d0000b27356c861ea95f473d5732c17a7","1","1","193973","https://p.scdn.co/mp3-preview/e4417c92b2c1a0e393d97849ea1901fa80395f58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-14T03:05:45Z"
"spotify:track:3WalxjlkYSorFfKgNn4eya","Featherweight Hate","spotify:artist:61jq0F04ecataLAuDADgnF","Street Sects","spotify:album:0qnkPX1fxM6hEnnVIl4Jw7","End Position","spotify:artist:61jq0F04ecataLAuDADgnF","Street Sects","2016-09-16","https://i.scdn.co/image/ab67616d0000b27356c861ea95f473d5732c17a7","1","4","159880","https://p.scdn.co/mp3-preview/3814ac02ef9e7d2ab751abe347edf89101005753?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-14T03:05:59Z"
"spotify:track:2CBnEBjd3TNh1TNLXK1QZn","Barbarian","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","spotify:album:4xaTRMLbZdmAWtUnoYvaTF","Dopethrone","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","2000","https://i.scdn.co/image/ab67616d0000b27384575c4c65f863eaac774fe4","1","4","389466","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-14T03:04:46Z"
"spotify:track:3xpw7yOfvMZjovuSZj4mlc","We Hate You","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","spotify:album:4xaTRMLbZdmAWtUnoYvaTF","Dopethrone","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","2000","https://i.scdn.co/image/ab67616d0000b27384575c4c65f863eaac774fe4","1","7","308506","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-14T03:04:46Z"
"spotify:track:5EJtt7NYQSiGvGTYw9rfLu","Image of Control (I)","spotify:artist:51yGpqOaCT6TlLzV3LefDV","Sumac","spotify:album:5WlPAv8CPivnen8o9QAJnP","What One Becomes","spotify:artist:51yGpqOaCT6TlLzV3LefDV","Sumac","2016-06-10","https://i.scdn.co/image/ab67616d0000b27313432e51d803d0aa9c86dd5e","1","1","237576","https://p.scdn.co/mp3-preview/1173643b449b08f213ddcca0d7473b8ed34341fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-14T03:41:48Z"
"spotify:track:309iQkCKxZMYsaHajSuah9","Image of Control (II)","spotify:artist:51yGpqOaCT6TlLzV3LefDV","Sumac","spotify:album:5WlPAv8CPivnen8o9QAJnP","What One Becomes","spotify:artist:51yGpqOaCT6TlLzV3LefDV","Sumac","2016-06-10","https://i.scdn.co/image/ab67616d0000b27313432e51d803d0aa9c86dd5e","1","2","359975","https://p.scdn.co/mp3-preview/a1388df07012c7fc02ff78126521d189918ddf9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-14T03:41:21Z"
"spotify:track:2dgARhHuW5n1pEuHlWEdOh","Running Red","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","spotify:album:0Aj7YOQ3gK97MouZ487emF","Static Tensions","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","2009-03-17","https://i.scdn.co/image/ab67616d0000b27388a6d016f0e2193feed57386","1","5","346013","https://p.scdn.co/mp3-preview/b66038e854d863b608c870a0a2f801df0d0588d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-14T03:17:45Z"
"spotify:track:6HsZuOM7QvO6SuqP3CsoC3","Gemini - Remastered","spotify:artist:1687IqXRdWmbRshgn194tT","Elder","spotify:album:7Aedl49H6XAG0OQFQT3hdk","Dead Roots Stirring","spotify:artist:1687IqXRdWmbRshgn194tT","Elder","2012-01-01","https://i.scdn.co/image/ab67616d0000b273a2d176060880335c8a406f1a","1","1","580680","https://p.scdn.co/mp3-preview/c9e3732bf8dbfb7a1b18881557c0cf599ee9abc5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-14T03:40:15Z"
