"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0kIHfcHGFGm5xb0dSlKEdp","Hood Go Crazy","spotify:artist:6UBA15slIuadJ8h2lPRPos, spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:5ndkK3dpZLKtBklKjxNQwT","Tech N9ne, 2 Chainz, B.o.B","spotify:album:63uxYglJtSneGlHf5MKWfl","Special Effects","spotify:artist:6UBA15slIuadJ8h2lPRPos","Tech N9ne","2015-05-04","https://i.scdn.co/image/ab67616d0000b2734b6ce6a88e6aa90472519aab","1","11","225040","https://p.scdn.co/mp3-preview/4d8046a30aba4f34c6a78117f55258612c35d505?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-03T05:54:41Z"
"spotify:track:7KXjTSCq5nL1LoYtL7XAwS","HUMBLE.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:4eLPsYPBmXABThSJ821sqY","DAMN.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2017-04-14","https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699","1","8","177000","https://p.scdn.co/mp3-preview/dca63100f96e4000e719433d36131a9b5a5883c9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-02T02:02:19Z"
"spotify:track:6HZILIRieu8S0iqY8kIKhj","DNA.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:4eLPsYPBmXABThSJ821sqY","DAMN.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2017-04-14","https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699","1","2","185946","https://p.scdn.co/mp3-preview/aec48a4071604915de3bf1556393279ef3435b52?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-02T02:02:25Z"
"spotify:track:5FKaV2J0xiwRENDsl0bMn4","25 Bucks (feat. Purity Ring)","spotify:artist:7aA592KWirLsnfb5ulGWvU, spotify:artist:1TtJ8j22Roc24e2Jx3OcU4","Danny Brown, Purity Ring","spotify:album:5SC0415RIGVX9ZfL0tfbAl","Old","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2013-10-08","https://i.scdn.co/image/ab67616d0000b27368b3cdb0e859e5c1af35ddbd","1","3","210880","https://p.scdn.co/mp3-preview/f22b6162be5937596610c5ee776f34888857a987?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-02T01:52:00Z"
"spotify:track:0IjVJk7EZK5V71LUwk6OjC","Warm Thoughts","spotify:artist:6nxWCVXbOlEVRexSbLsTer","Flume","spotify:album:5vaoiQeWdC1ssSaM2WjcjZ","Flume: Deluxe Edition","spotify:artist:6nxWCVXbOlEVRexSbLsTer","Flume","2013-11-11","https://i.scdn.co/image/ab67616d0000b2739aa95cd8a6db301401b04b20","1","13","228376","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-02T01:52:55Z"
"spotify:track:7IAa7vUJ11STN7le8XaxsH","WTF (Where They From) [feat. Pharrell Williams]","spotify:artist:2wIVse2owClT7go1WT98tk, spotify:artist:2RdwBSPQiwcmiDo9kixcl8","Missy Elliott, Pharrell Williams","spotify:album:5F4BPEd7S8ZNZetT2fiMwO","WTF (Where They From) [feat. Pharrell Williams]","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","2015-11-12","https://i.scdn.co/image/ab67616d0000b273f080487e3d0c7d19bb9c132e","1","1","192772","https://p.scdn.co/mp3-preview/9fc9f52fc4e85a8976c7dfa121ea8b1e614d90bc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-18T17:30:48Z"
"spotify:track:3Of77FYMTeIucSWOnOvAkH","Pep Rally","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","spotify:album:4uuMBCX3zkAt9MF7PaOjQi","Pep Rally","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","2016-02-07","https://i.scdn.co/image/ab67616d0000b2738d4371cdc4a75b00a03d4260","1","1","262697","https://p.scdn.co/mp3-preview/56ae25979ee2b8ff3698f84f8eef5977537d80fc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-18T17:30:48Z"
"spotify:track:75DjPjiIp2fvJDjtt41Jfs","Gossip Folks (feat. Ludacris)","spotify:artist:2wIVse2owClT7go1WT98tk, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi","Missy Elliott, Ludacris","spotify:album:6DeU398qrJ1bLuryetSmup","Under Construction","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","2002-11-11","https://i.scdn.co/image/ab67616d0000b27395d8583bba8f3cd794fa5bae","1","3","234893","https://p.scdn.co/mp3-preview/1a136421ede67b5848e7aa714d88966844f978a3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-18T17:30:48Z"
"spotify:track:7uKcScNXuO3MWw6LowBjW1","One, Two Step (feat. Missy Elliott)","spotify:artist:2NdeV5rLm47xAvogXrYhJX, spotify:artist:2wIVse2owClT7go1WT98tk","Ciara, Missy Elliott","spotify:album:71gUhKYZIWmmjqAHlY4Br3","Goodies","spotify:artist:2NdeV5rLm47xAvogXrYhJX","Ciara","2004-09-27","https://i.scdn.co/image/ab67616d0000b273c1e3659212de0f437bbf395e","1","2","203786","https://p.scdn.co/mp3-preview/ebc79c6e835bd18a744307d51c942a749e3ad2ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-18T17:30:48Z"
"spotify:track:3jagJCUbdqhDSPuxP8cAqF","Work It","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","spotify:album:6DeU398qrJ1bLuryetSmup","Under Construction","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","2002-11-11","https://i.scdn.co/image/ab67616d0000b27395d8583bba8f3cd794fa5bae","1","4","263226","https://p.scdn.co/mp3-preview/a007b4cabe8441d6d878da45bc3b71471848101e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-18T17:30:48Z"
"spotify:track:1MaI6NwdrqnE3mRzOYTpoo","Bomb Intro / Pass That Dutch","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","spotify:album:4ffXByMAjLpd25ZyzEJNMK","This Is Not a Test!","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","2003-11-01","https://i.scdn.co/image/ab67616d0000b2733e689561b438186f17cc190e","1","2","217200","https://p.scdn.co/mp3-preview/69d15662b2487fe8348e164d9f4eb518fbfb90b7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-18T17:30:48Z"
"spotify:track:6zsk6uF3MxfIeHPlubKBvR","Get Ur Freak On","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","spotify:album:20t54K6C80QQH7vbcpfJcP","Miss E... So Addictive","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","2001-05-14","https://i.scdn.co/image/ab67616d0000b2732e3969990abe1229c0879a7b","1","5","211120","https://p.scdn.co/mp3-preview/377a872a710350a8aa969597d4a5a9979fa37d54?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-18T17:30:48Z"
"spotify:track:0WKYRFtH6KKbaNWjsxqm70","Gin And Juice (feat. Dat Nigga Daz)","spotify:artist:7hJcb9fa4alzcOq3EaNPoG, spotify:artist:5Jz9kKRnCRLTodCH58MyB4","Snoop Dogg, Daz Dillinger","spotify:album:7f9KDGqY7X2VLBM5aA66KM","Doggystyle","spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Snoop Dogg","1993","https://i.scdn.co/image/ab67616d0000b273e50059a623feb4eec8dcd668","1","3","211493","","true","24","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-18T17:30:48Z"
"spotify:track:1BZm0t49YEhM8xbTINoQKp","Tha Shiznit","spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Snoop Dogg","spotify:album:7f9KDGqY7X2VLBM5aA66KM","Doggystyle","spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Snoop Dogg","1993","https://i.scdn.co/image/ab67616d0000b273e50059a623feb4eec8dcd668","1","4","280600","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-18T17:30:48Z"
"spotify:track:5XhkV07Vou38wnrzwURUOC","Who Am I (What's My Name)?","spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Snoop Dogg","spotify:album:7f9KDGqY7X2VLBM5aA66KM","Doggystyle","spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Snoop Dogg","1993","https://i.scdn.co/image/ab67616d0000b273e50059a623feb4eec8dcd668","1","8","246320","","true","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-18T17:30:48Z"
"spotify:track:1dizvxctg9dHEyaYTFufVi","Gz And Hustlas (feat. Nancy Fletcher)","spotify:artist:7hJcb9fa4alzcOq3EaNPoG, spotify:artist:3E2vuvr0IQbReTbXw2MhX8","Snoop Dogg, Nancy Fletcher","spotify:album:7f9KDGqY7X2VLBM5aA66KM","Doggystyle","spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Snoop Dogg","1993","https://i.scdn.co/image/ab67616d0000b273e50059a623feb4eec8dcd668","1","12","275893","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-18T17:30:48Z"
"spotify:track:6grswoSfD7igOq7BXNsUPI","Stor Eiglass","spotify:artist:4mtHSXwIHihO6MWNq5Qoko","Squarepusher","spotify:album:6g7mrQCnCgS6lp2ZNFzkIU","Damogen Furies","spotify:artist:4mtHSXwIHihO6MWNq5Qoko","Squarepusher","2015-04-20","https://i.scdn.co/image/ab67616d0000b2737b07b5f7263f0aea1293f660","1","1","272428","https://p.scdn.co/mp3-preview/03dd3b8caf820c3f3ac6323d891afed75fb2e4cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-02T01:54:01Z"
"spotify:track:2OIVxvKa7XYSiZO7IYyIK5","The Full Retard","spotify:artist:57UnSUpae3SbRekxNa5Kgl","El-P","spotify:album:75QfNfqa1LT0R5MIRKqR2q","Cancer 4 Cure","spotify:artist:57UnSUpae3SbRekxNa5Kgl","El-P","2012","https://i.scdn.co/image/ab67616d0000b273d6f1e136647db2463b9b286e","1","2","219813","https://p.scdn.co/mp3-preview/956ffad0883ab1929e714485fa2341f0470a8987?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-02T01:55:12Z"
"spotify:track:4A7qcJp2Sg867JST1pSPJz","Promises","spotify:artist:4uRYpUQZrNrY5t8tAv3XrD","NERO","spotify:album:7mLdDLzH8tMpan5Xi8tzB3","Welcome Reality","spotify:artist:4uRYpUQZrNrY5t8tAv3XrD","NERO","2011-01-01","https://i.scdn.co/image/ab67616d0000b273706811593f37c38a843ae35d","1","13","257359","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-02T01:58:20Z"
"spotify:track:6psC59ooTxage8npmtg74G","Do The Astral Plane","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:5c7XChrHxYaqykCZLaGM5f","Cosmogramma","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2010-05-03","https://i.scdn.co/image/ab67616d0000b273a9e54a589a171c955c54ed79","1","10","237920","https://p.scdn.co/mp3-preview/19b3eb7e97dc5501ec5e5e813246e163d713b0c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-02T02:00:21Z"
"spotify:track:1yPmVRjVjyJ9CPVlXx5Wfb","Nose Art","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:5c7XChrHxYaqykCZLaGM5f","Cosmogramma","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2010-05-03","https://i.scdn.co/image/ab67616d0000b273a9e54a589a171c955c54ed79","1","3","118320","https://p.scdn.co/mp3-preview/793c0d1d0e43519861a7ac3d3e78709348de2161?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-02T02:00:29Z"
"spotify:track:4GtN7yHlsvQanJfp2Qzw1A","Zodiac Shit","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:5c7XChrHxYaqykCZLaGM5f","Cosmogramma","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2010-05-03","https://i.scdn.co/image/ab67616d0000b273a9e54a589a171c955c54ed79","1","5","164640","https://p.scdn.co/mp3-preview/afc03483410e29ada6f8443885722a32a9908a6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-02T02:00:29Z"
"spotify:track:0NSYVDo4ryxNWln7TfEyex","The Next Movement","spotify:artist:78xUyw6FkVZrRAtziFdtdu, spotify:artist:3nmiIgeri4vEY7y0VpbsCn, spotify:artist:4o6gZFD9CkUCVzYqrDR3wV","The Roots, DJ Jazzy Jeff, Jazzyfatnastees","spotify:album:0qbl8aNaCUOvX8HGsZYLfh","Things Fall Apart","spotify:artist:78xUyw6FkVZrRAtziFdtdu","The Roots","1999-02-23","https://i.scdn.co/image/ab67616d0000b273bac8015c7e47644fb86e27e2","1","3","250200","https://p.scdn.co/mp3-preview/132df14ec7ff83bc38b070cc43bf52215b13dcd5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-02T02:01:27Z"
"spotify:track:4JeQKkqHge23LL68N1sZJT","Banana Clipper (feat. Big Boi)","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C, spotify:artist:2ht3wxeT69CzyKFChNnNAB","Run The Jewels, Big Boi","spotify:album:0hVXUOlozgihW44G4Il0Gu","Run the Jewels","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2014-09-16","https://i.scdn.co/image/ab67616d0000b273dd51327be67c3bacb88fb543","1","2","171493","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-02T02:01:40Z"
"spotify:track:2KxIMZDazuXN3yvPC6Kqwn","Blockbuster Night Part 1","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","spotify:album:2lPYlP4eumsjz6LBG8GCbG","Run the Jewels 2","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2014-10-24","https://i.scdn.co/image/ab67616d0000b27358fd7121f556c9c7476d99cf","1","3","152253","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-02T02:01:59Z"
