"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4QX9ua1QVyhfAWy73TtrlH","Reign of the Septims","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","spotify:album:7cTbjqfofNfUq5eIlicTXk","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","2006-03-20","https://i.scdn.co/image/ab67616d0000b273db65cfec2e8e37303140c881","1","1","110942","https://p.scdn.co/mp3-preview/64290d1a9936b87137e9bad8e6b2f200a8013c37?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-15T05:59:42Z"
"spotify:track:7rtxlP1iijQrZeUASrioeg","Through the Valleys","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","spotify:album:7cTbjqfofNfUq5eIlicTXk","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","2006-03-20","https://i.scdn.co/image/ab67616d0000b273db65cfec2e8e37303140c881","1","2","259369","https://p.scdn.co/mp3-preview/f875e671dc958933ca42eac8adf977b48bae7d4e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-15T05:59:42Z"
"spotify:track:2Fef1KP0yLaVtzUIE1P0kE","Death Knell","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","spotify:album:7cTbjqfofNfUq5eIlicTXk","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","2006-03-20","https://i.scdn.co/image/ab67616d0000b273db65cfec2e8e37303140c881","1","3","69485","https://p.scdn.co/mp3-preview/dd3669ce56fbabcb7c95315ace62a2c104118792?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-15T05:59:42Z"
"spotify:track:1NhDv99nTtRm37rZpoH7Ix","Harvest Dawn","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","spotify:album:7cTbjqfofNfUq5eIlicTXk","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","2006-03-20","https://i.scdn.co/image/ab67616d0000b273db65cfec2e8e37303140c881","1","4","171441","https://p.scdn.co/mp3-preview/2f957bb8dee941cf5bfa4fae1898a722e111c343?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-15T05:59:42Z"
"spotify:track:57TXUMmaFPIjBndvkskfz6","Wind from the Depths","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","spotify:album:7cTbjqfofNfUq5eIlicTXk","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","2006-03-20","https://i.scdn.co/image/ab67616d0000b273db65cfec2e8e37303140c881","1","5","102191","https://p.scdn.co/mp3-preview/5b8b06808f339ec8511a717d1f306f886e55de92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-15T05:59:42Z"
"spotify:track:77dmvB30VrxEJOaNduzPhB","King and Country","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","spotify:album:7cTbjqfofNfUq5eIlicTXk","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","2006-03-20","https://i.scdn.co/image/ab67616d0000b273db65cfec2e8e37303140c881","1","6","244584","https://p.scdn.co/mp3-preview/b8402d62ed5c99fa8ff9355cbf40cdad18246506?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-15T05:59:42Z"
"spotify:track:6VrX52VugtvrrMdSsexmQa","Fall of the Hammer","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","spotify:album:7cTbjqfofNfUq5eIlicTXk","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","2006-03-20","https://i.scdn.co/image/ab67616d0000b273db65cfec2e8e37303140c881","1","7","75807","https://p.scdn.co/mp3-preview/199cca795dd46dbc08768b9ec06f5d975b88f327?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-15T05:59:42Z"
"spotify:track:1LDwHy3QSjUYNwvJj4QYGX","Wings of Kynareth","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","spotify:album:7cTbjqfofNfUq5eIlicTXk","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","2006-03-20","https://i.scdn.co/image/ab67616d0000b273db65cfec2e8e37303140c881","1","8","210024","https://p.scdn.co/mp3-preview/06f5deb93bd9c2330cb715ef56f733e224816f08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-15T05:59:42Z"
"spotify:track:7MWYv1m0d023BdbLyG6NQE","All's Well","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","spotify:album:7cTbjqfofNfUq5eIlicTXk","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","2006-03-20","https://i.scdn.co/image/ab67616d0000b273db65cfec2e8e37303140c881","1","9","145502","https://p.scdn.co/mp3-preview/2faa9cb8c604e17af3a1cf71f85dd52f7f2ed759?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-15T05:59:42Z"
"spotify:track:4sOH2sTByoYytmt7Cq43Vl","Tension","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","spotify:album:7cTbjqfofNfUq5eIlicTXk","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v","Jeremy Soule","2006-03-20","https://i.scdn.co/image/ab67616d0000b273db65cfec2e8e37303140c881","1","10","152006","https://p.scdn.co/mp3-preview/e154ca8e28a253a3270ade2e99eb4f14f583fee0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-15T05:59:42Z"
