"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3GI8oWPzwjSruuhJsfsO6m","Time Won't Tell","spotify:artist:57UnSUpae3SbRekxNa5Kgl","El-P","spotify:album:6g5Aj2DFpl9uDLVEiHZMWH","Weareallgoingtoburninhellmegamixxx3","spotify:artist:57UnSUpae3SbRekxNa5Kgl","El-P","2010-08-02","https://i.scdn.co/image/ab67616d0000b273628281548075b21fa2dac4e8","1","6","176555","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-05T21:08:47Z"
"spotify:track:0u6EwllDYh7WtMINMsw9u0","Neon Beams","spotify:artist:0y0E65PVL3W0TBt2tpCNSN","Take","spotify:album:46fSLVPsIJfJBv8R8km2Ty","Only Mountain","spotify:artist:0y0E65PVL3W0TBt2tpCNSN","Take","2010-04-20","https://i.scdn.co/image/ab67616d0000b2739984ae237cabea388f78ba01","1","2","217506","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-09T06:15:39Z"
"spotify:track:3XUf7qIRvW5oxJGff0RBlS","Always","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:6o7OzvIJJMkhgB1QtEB1fj","Foley Room","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2007-02-26","https://i.scdn.co/image/ab67616d0000b2736841c8f2dfa5290983e76e5c","1","10","218600","https://p.scdn.co/mp3-preview/7e45c7bc1765504549b9b653edf15420b3b345c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-28T21:04:47Z"
"spotify:track:5DQEWQoJ3deYCPkRIFm3Ci","Rings","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","spotify:album:0GXI4iAc5FshqWgIlaNAXO","Epoch","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","2016-09-30","https://i.scdn.co/image/ab67616d0000b2735d91c6e082aa6f4d2a871e53","1","9","248642","https://p.scdn.co/mp3-preview/3a4c82fdfa601c0623473f823fe92f2fc952836b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-04T02:56:32Z"
"spotify:track:4GEwR7TquPG6KUs54sJbO2","Frankincense and Myrrh","spotify:artist:7Ifvnt1HhJ0b1QwOxLAu2s","Tzusing","spotify:album:7B0Fm0dWOUBmcU5bhMF7fs","A Name out of Place Pt. II","spotify:artist:7Ifvnt1HhJ0b1QwOxLAu2s","Tzusing","2015-06-05","https://i.scdn.co/image/ab67616d0000b2735a4962234879b1ae1e9038b0","1","2","325760","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-06T00:41:14Z"
"spotify:track:31bJlLs7gUC4VCyWWsi83F","Blood Sandwich - Instrumental","spotify:artist:2fSaE6BXtQy0x7R7v9IOmZ","Aesop Rock","spotify:album:2pfG39PMUa3su3zM6lgOIU","The Impossible Kid (Instrumental Version)","spotify:artist:2fSaE6BXtQy0x7R7v9IOmZ","Aesop Rock","2016-04-29","https://i.scdn.co/image/ab67616d0000b273986db4246ad82301ca7dd2b8","1","7","266106","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-27T04:21:07Z"
"spotify:track:2Is1l9NgCexGrhxKHRcHP0","Phantoms","spotify:artist:4gg8SEqY40Y6ygiwkcQOWD","Freezepop","spotify:album:38rv3SC9DX09kHCXaW3Ijc","Phantoms","spotify:artist:4gg8SEqY40Y6ygiwkcQOWD","Freezepop","2015-11-12","https://i.scdn.co/image/ab67616d0000b273cb8cc3e0d71b38d9d1e3b18d","1","1","222915","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-27T20:25:31Z"
"spotify:track:5p9ckBDwH86eMi4LCrIKTA","El Cargo","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:5EzESEPcpiY9chsUjWydw5","Chaos Theory","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2005-01-18","https://i.scdn.co/image/ab67616d0000b273bffd5be8439e464a0ee0932f","1","5","263933","https://p.scdn.co/mp3-preview/67f8dd0ff2ed25732ab334680b6f94d7fec95d4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-05T02:15:58Z"
"spotify:track:56hoL9WMc07aXIR4UWxRKP","Level Up","spotify:artist:1JPy5PsJtkhftfdr6saN2i, spotify:artist:7rfzIs42bO9s242CZE1X3S, spotify:artist:0erl2oe9fDqYo37ueBiG8K","Bassnectar, Levit∆te, Macntaj","spotify:album:2n9RwIM1CdRV4GZzC7sfWa","Unlimited","spotify:artist:1JPy5PsJtkhftfdr6saN2i","Bassnectar","2016-06-17","https://i.scdn.co/image/ab67616d0000b273e6dfedefcf964dab773071a2","1","6","257142","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-05T06:16:38Z"
"spotify:track:6KW66PXtWIUhFwGFJmAMtE","Birds n Bars","spotify:artist:7k9T7lZlHjRAM1bb0r9Rm3","Wiley","spotify:album:1F4VaFhSDTVK5uDPXbm42l","Godfather","spotify:artist:7k9T7lZlHjRAM1bb0r9Rm3","Wiley","2017-01-13","https://i.scdn.co/image/ab67616d0000b27307f9fcebdb36794ed77919e1","1","1","390773","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-23T21:03:24Z"
