"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4TIj7PF4d5H6mLJ3pkebUs","Death In The Eyes Of Dawn","spotify:artist:2HmtB6wVRRi3z0JwZHtkiD","Enslaved","spotify:album:65ZEkiNeEaq7kdur1H4P4C","RIITIIR","spotify:artist:2HmtB6wVRRi3z0JwZHtkiD","Enslaved","2012-09-28","https://i.scdn.co/image/ab67616d0000b27332b3891c11a68edd83cd3cc1","1","2","496720","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-01T16:13:10Z"
"spotify:track:6rPJF29pOfnv1FOLbQ6Fcs","Symphony of the Ego","spotify:artist:4aOJwHpU6TcuhC4QKNn8MS","Destrage","spotify:album:35JDqzeji6gSwfHWEhRo7J","Symphony of the Ego","spotify:artist:4aOJwHpU6TcuhC4QKNn8MS","Destrage","2016-08-30","https://i.scdn.co/image/ab67616d0000b27363869ab98b53d6c8df3da382","1","1","269120","https://p.scdn.co/mp3-preview/c07a4d9c7d5533600d3806990036279e0ff510be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-01T16:13:13Z"
"spotify:track:6qqjsx5CR3RHIH1CqjeqPy","Maxims","spotify:artist:30T39voTL4EiHKGNE0mQxO","Pomegranate Tiger","spotify:album:6WaDrA7LeeOHNXvheeVJxD","Entities","spotify:artist:30T39voTL4EiHKGNE0mQxO","Pomegranate Tiger","2013-01-31","https://i.scdn.co/image/ab67616d0000b273c44ca14060e86e65d9b5007c","1","2","306146","https://p.scdn.co/mp3-preview/7b561dde8ed4153941439c7d564cbbf63e591a0a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-01T16:20:18Z"
"spotify:track:4lYOd4eKBTIvI7CpUahIP2","Immortal Corrupter","spotify:artist:3dnH7fdVm2X07MK6Fkbhbt","Gwar","spotify:album:1MFfNSqHOxxiXGXF2KNU31","Violence Has Arrived","spotify:artist:3dnH7fdVm2X07MK6Fkbhbt","Gwar","2001-11-06","https://i.scdn.co/image/ab67616d0000b273bd726e3e152da7d66992cac4","1","6","335093","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-01T16:20:18Z"
"spotify:track:1XXhvpbxw8Sq9bjTA1jZC1","Our Fortress Is Burning... II - Bloodbirds","spotify:artist:3Meu28o8P5z9Zjm6NTGihT","Agalloch","spotify:album:3orD6D0SUsXPOTgftelFtK","Ashes Against The Grain (Remastered)","spotify:artist:3Meu28o8P5z9Zjm6NTGihT","Agalloch","2016-07-15","https://i.scdn.co/image/ab67616d0000b273e46eb11cdd11b9f821796aa5","1","7","377280","https://p.scdn.co/mp3-preview/65688217dec1169f0b28259061826920e30896b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-01T23:24:45Z"
"spotify:track:4AMCDB0S3wGZIHO4c8Z3lY","Spirit of the North","spotify:artist:0mZRMbP7xU91E1FGvKbxhF","Eldamar","spotify:album:2DkCopQstFH6hjuOf0QYBe","The Force of the Ancient Land","spotify:artist:0mZRMbP7xU91E1FGvKbxhF","Eldamar","2016-02-01","https://i.scdn.co/image/ab67616d0000b2735fdcfafcc8e7831c5fe2c618","1","1","886381","https://p.scdn.co/mp3-preview/3c7b896de9dc33e2a756556943a4a5b63a3f52df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-01T23:35:06Z"
"spotify:track:2qAicbCS4zlYXyathQfoeo","Perséphone II","spotify:artist:1jBkXf5NwyxgbUw9fWxAOE","Year Of No Light","spotify:album:4IKPYmIdrHqIGxuEcRr6Oy","Year Of No Light 'Ausserwelt'","spotify:artist:1jBkXf5NwyxgbUw9fWxAOE","Year Of No Light","2010-04-26","https://i.scdn.co/image/ab67616d0000b27399c4599b1c764e68b3160316","1","2","577034","https://p.scdn.co/mp3-preview/ff4d2d7d97b7a9d6ce11714ab8ce756768caf346?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-02T16:49:33Z"
"spotify:track:2QBVf2em2hBqxo2DknjpYZ","Windwards","spotify:artist:6ZyQqxHaXdq5Iwf4OFFmUm","Netherbird","spotify:album:2keKurkhkLmKQY5S4SAwOH","Windwards","spotify:artist:6ZyQqxHaXdq5Iwf4OFFmUm","Netherbird","2016-07-08","https://i.scdn.co/image/ab67616d0000b2731a7028102a3495172fa0f4de","1","1","405022","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-04T02:06:16Z"
"spotify:track:4jZaJTVzcb5vc3wzuU5yvD","Lead Paint","spotify:artist:0PK6ewFU4DbFB8Eqr58Sct","Acid King","spotify:album:1ivF9T95fP4GqzKr3IvJvP","The Early Years","spotify:artist:0PK6ewFU4DbFB8Eqr58Sct","Acid King","2010-03-23","https://i.scdn.co/image/ab67616d0000b2737f0d7bafeab4d189d505f06f","1","1","271693","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-05T21:16:48Z"
"spotify:track:2sWGWhF0xnp3DYiA1Sedcl","When Good Dogs Do Bad Things","spotify:artist:7IGcjaMGAtsvKBLQX26W4i","The Dillinger Escape Plan","spotify:album:350ejfmoZSEvRrvxd2jsJl","Irony Is A Dead Scene","spotify:artist:7IGcjaMGAtsvKBLQX26W4i","The Dillinger Escape Plan","2002","https://i.scdn.co/image/ab67616d0000b273ade72ffcfde3d3180b4431d0","1","3","360800","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-05T21:25:35Z"
"spotify:track:0YodeiUKnpTft8EG0Hi1aP","Carpe","spotify:artist:0AZ3VR0YbFcS0Kgei7L2QF","Russian Circles","spotify:album:2mA14OzhQnZiG0U68ifX2U","Enter","spotify:artist:0AZ3VR0YbFcS0Kgei7L2QF","Russian Circles","2006","https://i.scdn.co/image/ab67616d0000b2736fa0df9fed146857b0d47162","1","1","541120","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-06T16:37:29Z"
"spotify:track:06aTONdwk8KSWN9EYWPHgz","Letter Experiment","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","spotify:album:1UUO1uNhwVktqQqxYYViU1","Periphery","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","2010","https://i.scdn.co/image/ab67616d0000b273bf39401ca0a2d88ee2f5e94f","1","3","410573","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-06T21:31:50Z"
