"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0UaMYEvWZi0ZqiDOoHU3YI","Lose Control (feat. Ciara & Fat Man Scoop)","spotify:artist:2wIVse2owClT7go1WT98tk, spotify:artist:2NdeV5rLm47xAvogXrYhJX, spotify:artist:15GGbJKqC6w0VYyAJtjej6","Missy Elliott, Ciara, Fatman Scoop","spotify:album:6vV5UrXcfyQD1wu4Qo2I9K","The Cookbook","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","2005-07-04","https://i.scdn.co/image/ab67616d0000b273f1dfae21eaac0d24fb3dcf5a","1","4","226863","https://p.scdn.co/mp3-preview/fe79cac4e5f67a23d54ea5e884d86af1b5248a88?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-01T23:45:24Z"
"spotify:track:7jk7gqyEonmVVYahZN5zhW","Circus","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","spotify:album:2tve5DGwub1TtbX1khPX5j","Circus (Deluxe Version)","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","2008-12-02","https://i.scdn.co/image/ab67616d0000b27354c6edd554935d73e159e199","1","2","192360","https://p.scdn.co/mp3-preview/8085b6ee836e9cbb7032576fcf8f1b51d9a53c0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-09T02:55:40Z"
"spotify:track:5FKaV2J0xiwRENDsl0bMn4","25 Bucks (feat. Purity Ring)","spotify:artist:7aA592KWirLsnfb5ulGWvU, spotify:artist:1TtJ8j22Roc24e2Jx3OcU4","Danny Brown, Purity Ring","spotify:album:5SC0415RIGVX9ZfL0tfbAl","Old","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2013-10-08","https://i.scdn.co/image/ab67616d0000b27368b3cdb0e859e5c1af35ddbd","1","3","210880","https://p.scdn.co/mp3-preview/f22b6162be5937596610c5ee776f34888857a987?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-10T00:02:40Z"
"spotify:track:6lUY6MoqGgPnA27PHYxem5","Bulletproof","spotify:artist:3K2zB87GZv1krx031en5VA","La Roux","spotify:album:3elHo10HDaxn13uuVhiTWH","La Roux","spotify:artist:3K2zB87GZv1krx031en5VA","La Roux","2009-01-01","https://i.scdn.co/image/ab67616d0000b27363d1a5df09165639f349a6b6","1","4","205733","","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-30T22:01:32Z"
"spotify:track:3E5XrOtqMAs7p2wKhwgOjf","Just Dance","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:7fObcBw9VM3x7ntWKCYl0z","Lady Gaga, Colby O'Donis","spotify:album:4yHr095BMG5I3IRH4ToE5l","The Fame Monster (Deluxe)","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","2009-01-01","https://i.scdn.co/image/ab67616d0000b273ebb720684d839c8909d1dac3","1","9","241933","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-28T09:07:02Z"
"spotify:track:0SRgVYcDYttX5Huc5FGB2M","Water Fountain","spotify:artist:0asVlqTLu3TimnYVyY5Jxi","Tune-Yards","spotify:album:7fBKkyLmSRlz3BAUfjYYFv","Nikki Nack","spotify:artist:0asVlqTLu3TimnYVyY5Jxi","Tune-Yards","2014-05-06","https://i.scdn.co/image/ab67616d0000b2734212fb03469e877d23a58e19","1","2","183453","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-03-29T21:49:29Z"
"spotify:track:3NWTRZ0A8xKlBP1qgNftql","Special Affair","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","spotify:album:69g3CtOVg98TPOwqmI2K7Q","Ego Death","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","2015-06-26","https://i.scdn.co/image/ab67616d0000b2731c1c33c63cdbcb5788975a93","1","8","176186","https://p.scdn.co/mp3-preview/8bae5d1a8b4575fa27b08c4382a5397e254306b4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-03-29T22:10:22Z"
"spotify:track:3ge54HUrk1ht3EX5SMhIzZ","NO","spotify:artist:6JL8zeS1NmiOftqZTRgdTz","Meghan Trainor","spotify:album:5nkgosKhWt1yXRzmjXNV2d","Thank You (Deluxe)","spotify:artist:6JL8zeS1NmiOftqZTRgdTz","Meghan Trainor","2016-05-13","https://i.scdn.co/image/ab67616d0000b2734148fc1af9294805e35e9446","1","3","213506","https://p.scdn.co/mp3-preview/76c2e7a7bf78666ac94b2ab072518f5fdbbf2dc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-05-17T03:25:55Z"
"spotify:track:0w5Bdu51Ka25Pf3hojsKHh","Hard Times","spotify:artist:74XFHRwlV6OrjEM0A2NCMF","Paramore","spotify:album:1c9Sx7XdXuMptGyfCB6hHs","After Laughter","spotify:artist:74XFHRwlV6OrjEM0A2NCMF","Paramore","2017-05-12","https://i.scdn.co/image/ab67616d0000b273dbd83e179619408e5d05cc99","1","1","182693","https://p.scdn.co/mp3-preview/1ae8a68052ecd129428710e12a0be397273d7d97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-05-29T06:22:15Z"
"spotify:track:0gJd9n6gKHNQTgkQJ8JbgU","Distant Past","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","spotify:album:6RaFspd5Yw90HK0CBBDquB","Get To Heaven (Deluxe Version)","spotify:artist:1HOeqtP7tHkKNJNLzQ2tnr","Everything Everything","2016-02-26","https://i.scdn.co/image/ab67616d0000b273892ab7af113e812930621b77","1","2","221693","https://p.scdn.co/mp3-preview/090b24678c5a4469156e0b8d11f9cbcecd13dad2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-06-05T05:03:23Z"
