"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2PKgrfkc1HRaN9FnGlz9o5","Romantic Rights","spotify:artist:18H0sAptzdwid08XGg1Lcj","Death From Above 1979","spotify:album:5AGKxoQIJ6MKDOiITKwH9z","You're A Woman, I'm A Machine","spotify:artist:18H0sAptzdwid08XGg1Lcj","Death From Above 1979","2005-02-28","https://i.scdn.co/image/ab67616d0000b273b37cf3051c810d4e5314f791","1","2","195106","https://p.scdn.co/mp3-preview/6864d5a76b55f0966caf2ac9bc031e992e5e9b8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-02T17:01:09Z"
"spotify:track:4boFfd7FhIUImWv06GZKHX","I've Still Got You (Ice Cream)","spotify:artist:6FTONkEJQsCSpoDHqaAP1V","Pissed Jeans","spotify:album:5Gd1uLnnQZKb0u9Gu6J3WR","Hope for Men","spotify:artist:6FTONkEJQsCSpoDHqaAP1V","Pissed Jeans","2007-06-05","https://i.scdn.co/image/ab67616d0000b273a06ddc6a0cf2cfe18fd6148b","1","5","187026","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-13T19:43:16Z"
"spotify:track:04GSBZFtzaD78vEfwAFzzW","Diablo","spotify:artist:1dF2tiTqpNNHeppi4YZy92","Breach","spotify:album:5mCraqKi2dpZzy7q4ofO0g","Venom","spotify:artist:1dF2tiTqpNNHeppi4YZy92","Breach","1999","https://i.scdn.co/image/ab67616d0000b273029196c768e36f485af1a84f","1","5","176720","https://p.scdn.co/mp3-preview/15a22e01f5af217a669bc802c7f37fb65cbbb1de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-20T23:04:57Z"
"spotify:track:5bgTWDN7CkQWbLJrtmIvSh","Debonair - Remastered","spotify:artist:7IDrRpDz0cOuUVC32c8PKD","The Afghan Whigs","spotify:album:6OswWXgXFdZG2RbAPPHn1S","Gentlemen (Deluxe Edition)","spotify:artist:7IDrRpDz0cOuUVC32c8PKD","The Afghan Whigs","2014-10-24","https://i.scdn.co/image/ab67616d0000b273b6a72ea37c5e426eff9a0f9c","1","4","254040","https://p.scdn.co/mp3-preview/d3a43d6f3e585c021adc4ce0573ea90ab4cd29e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-04T15:39:30Z"
"spotify:track:2YzED4KhumqnwCZS4e9YRc","Gentlemen - Remastered","spotify:artist:7IDrRpDz0cOuUVC32c8PKD","The Afghan Whigs","spotify:album:6OswWXgXFdZG2RbAPPHn1S","Gentlemen (Deluxe Edition)","spotify:artist:7IDrRpDz0cOuUVC32c8PKD","The Afghan Whigs","2014-10-24","https://i.scdn.co/image/ab67616d0000b273b6a72ea37c5e426eff9a0f9c","1","2","233160","https://p.scdn.co/mp3-preview/8f28fb2be4e909769ad4329ca0e32bf75ac3d0fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-04T15:38:53Z"
"spotify:track:0e1V1KeD27JWJN0TvocVWf","Follow Me Down","spotify:artist:2R57sY41L9XvGPiIgHOaYq","The Pretty Reckless","spotify:album:4BgfwxJn5S5U1Qb3LrzdZX","Going to Hell","spotify:artist:2R57sY41L9XvGPiIgHOaYq","The Pretty Reckless","2014-03-18","https://i.scdn.co/image/ab67616d0000b273e07a3148cf85d9fc4488011f","1","1","280093","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-10T23:12:49Z"
"spotify:track:5ibwmYLW39tC3OtMYtKsXt","Cut It Short","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","spotify:album:7s56s2rj9VHKnZm0xK470N","Only Ghosts (Deluxe Version)","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","2016-10-14","https://i.scdn.co/image/ab67616d0000b2736105705bf12d78972b813e48","1","2","251626","https://p.scdn.co/mp3-preview/6a575c65c6243a158f22192d9b5316d218bdfc50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-21T04:46:58Z"
"spotify:track:7hVNJLGOttQaYaObm1Pl2y","Innocent","spotify:artist:5Ij5H3Ck98GRZoWSeyu4vz","Goatsnake","spotify:album:4GzHsYCvOXmwb6fLI2XtgP","I + Dog Days","spotify:artist:5Ij5H3Ck98GRZoWSeyu4vz","Goatsnake","2004","https://i.scdn.co/image/ab67616d0000b273eedfa8aaf534d91e23d9ca3f","1","2","212200","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-02T17:41:39Z"
"spotify:track:3Ghqahzu55TqB0znoiCE8w","Not for You","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","spotify:album:7s56s2rj9VHKnZm0xK470N","Only Ghosts (Deluxe Version)","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","2016-10-14","https://i.scdn.co/image/ab67616d0000b2736105705bf12d78972b813e48","1","6","199153","https://p.scdn.co/mp3-preview/bf3ab6ae9387a130930052f5eb77effaef830591?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-18T19:58:50Z"
"spotify:track:6vS5siwSidItcWFXskcpAA","Our Truth","spotify:artist:4OAddazJM576euUnFSvXSL","Lacuna Coil","spotify:album:7rMen6gw9hrmDuZNH1iUfT","Karmacode","spotify:artist:4OAddazJM576euUnFSvXSL","Lacuna Coil","2006","https://i.scdn.co/image/ab67616d0000b27321167f46d2169bf8cba15063","1","3","243106","https://p.scdn.co/mp3-preview/9df76a021b5565b15f2d93aca5a21b1db5e6fb33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-23T07:25:31Z"
