"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1epR6zeW5naUholV0ccCF3","Between Silence and Sound","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","spotify:album:0axjIgDuH3zrnVdiLjV3IR","Time Will Fuse It's Worth","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","2006-10-31","https://i.scdn.co/image/ab67616d0000b273c8129981ef27b48f9415de13","1","5","378186","https://p.scdn.co/mp3-preview/d914ea6198731692362d2d0aaec29111afd717e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-18T01:24:15Z"
"spotify:track:4CGnqwwFq4TeWTE8d4JaYZ","Friends Are Evil","spotify:artist:1binm59tmJzoZLvLETVYBP","Jesu","spotify:album:0vbGlRg8AzomK0MhQkRH6B","Jesu","spotify:artist:1binm59tmJzoZLvLETVYBP","Jesu","2005","https://i.scdn.co/image/ab67616d0000b273837428e8ae22237361f91c8d","1","2","583826","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-18T01:25:12Z"
"spotify:track:1lWY4IlZ36ylaI2GdO6cNU","Vertigo","spotify:artist:4XpPveeg7RuYS3CgLo75t9","Deafheaven","spotify:album:6zEacAdWHLaclKB2C39mag","Sunbather","spotify:artist:4XpPveeg7RuYS3CgLo75t9","Deafheaven","2013-05-28","https://i.scdn.co/image/ab67616d0000b2730f1fa3db71b150880ba09479","1","5","877053","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-18T01:25:56Z"
"spotify:track:5v3TSHYm8BzbON2u6QBEG7","Dunkelheit","spotify:artist:7L6u6TyhjuwubrcojPeNgf","Burzum","spotify:album:2XQwZUu0MM9ECgwHbcc8qR","Filosofem","spotify:artist:7L6u6TyhjuwubrcojPeNgf","Burzum","1996","https://i.scdn.co/image/ab67616d0000b273946cb01ce19e132b950409e3","1","1","425066","https://p.scdn.co/mp3-preview/7a3ad6a36ce0b47713e287a1838c67ea08f26278?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-18T01:26:27Z"
"spotify:track:2XHG1C3ksw9EAclBFDYZ2M","Jesus' Tod","spotify:artist:7L6u6TyhjuwubrcojPeNgf","Burzum","spotify:album:2XQwZUu0MM9ECgwHbcc8qR","Filosofem","spotify:artist:7L6u6TyhjuwubrcojPeNgf","Burzum","1996","https://i.scdn.co/image/ab67616d0000b273946cb01ce19e132b950409e3","1","2","519293","https://p.scdn.co/mp3-preview/a4d39616e8be08875f154eaa7504013039ded1cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-18T01:26:27Z"
"spotify:track:2IPXLiYZh7UjY0R3JWRwM6","Erblicket Die Tochter Des Firmaments","spotify:artist:7L6u6TyhjuwubrcojPeNgf","Burzum","spotify:album:2XQwZUu0MM9ECgwHbcc8qR","Filosofem","spotify:artist:7L6u6TyhjuwubrcojPeNgf","Burzum","1996","https://i.scdn.co/image/ab67616d0000b273946cb01ce19e132b950409e3","1","3","473306","https://p.scdn.co/mp3-preview/32585e436f722718647ab95e9e87f423e286c7f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-18T01:26:27Z"
"spotify:track:52Lme0Q55mdbf4hD68W9p5","Gebrechlichkeit I","spotify:artist:7L6u6TyhjuwubrcojPeNgf","Burzum","spotify:album:2XQwZUu0MM9ECgwHbcc8qR","Filosofem","spotify:artist:7L6u6TyhjuwubrcojPeNgf","Burzum","1996","https://i.scdn.co/image/ab67616d0000b273946cb01ce19e132b950409e3","1","4","473000","https://p.scdn.co/mp3-preview/6cdaa668ac4c852ec41cfb6c9f61098ba08e3a92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-18T01:26:27Z"
"spotify:track:3rUuPn7iygVvDFNRqGIaX4","Rundgang Um Die Transzendentale Saule Der Singularitat","spotify:artist:7L6u6TyhjuwubrcojPeNgf","Burzum","spotify:album:2XQwZUu0MM9ECgwHbcc8qR","Filosofem","spotify:artist:7L6u6TyhjuwubrcojPeNgf","Burzum","1996","https://i.scdn.co/image/ab67616d0000b273946cb01ce19e132b950409e3","1","5","1511160","https://p.scdn.co/mp3-preview/8a62fed83f6479ff5a95c780ecf23d8457a7f7d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-18T01:26:27Z"
"spotify:track:1eFBN4P6hzn4bjfbHHQXzw","Gebrechlichkeit II","spotify:artist:7L6u6TyhjuwubrcojPeNgf","Burzum","spotify:album:2XQwZUu0MM9ECgwHbcc8qR","Filosofem","spotify:artist:7L6u6TyhjuwubrcojPeNgf","Burzum","1996","https://i.scdn.co/image/ab67616d0000b273946cb01ce19e132b950409e3","1","6","472866","https://p.scdn.co/mp3-preview/0bf6ce81a0e57ffef8d7b23eda44a7cfb3a1bed6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-18T01:26:27Z"
"spotify:track:6KJIxLEXyfu6zBwbHi1Bh1","I Troldskog Faren Vild","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","spotify:album:0IzZybUYqSYhCnt1FI5SWz","Bergtatt","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","1994","https://i.scdn.co/image/ab67616d0000b2735f99dcf391ef7dcd4bad7cf5","1","1","471280","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-18T01:26:56Z"
