"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0JZOeRX1hn7JgbutaSMjW4","Stay Here","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","spotify:album:70ff8ZgebUJWXQDzV5zVVk","Filth","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","1983-05-27","https://i.scdn.co/image/ab67616d0000b273c4e86a1cd9b4e8e4cb96e23f","1","1","335866","https://p.scdn.co/mp3-preview/642f8406f8cba4db722186548e6f81730c63321b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-01T02:36:45Z"
"spotify:track:2qxW9Rbcubv4kNE1tDIUIN","Big Strong Boss","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","spotify:album:70ff8ZgebUJWXQDzV5zVVk","Filth","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","1983-05-27","https://i.scdn.co/image/ab67616d0000b273c4e86a1cd9b4e8e4cb96e23f","1","2","182000","https://p.scdn.co/mp3-preview/01ed3fc79a2888e7c30e7ca11f47357aa79c18b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-01T02:36:45Z"
"spotify:track:2tb5ja06o446SdxlSvJMhY","Blackout","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","spotify:album:70ff8ZgebUJWXQDzV5zVVk","Filth","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","1983-05-27","https://i.scdn.co/image/ab67616d0000b273c4e86a1cd9b4e8e4cb96e23f","1","3","227160","https://p.scdn.co/mp3-preview/01c69615025bf9d3779bf3dd4808de8db520c0c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-01T02:36:45Z"
"spotify:track:08wZ39RQGWqv0snDLJV7MK","Power For Power","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","spotify:album:70ff8ZgebUJWXQDzV5zVVk","Filth","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","1983-05-27","https://i.scdn.co/image/ab67616d0000b273c4e86a1cd9b4e8e4cb96e23f","1","4","352400","https://p.scdn.co/mp3-preview/c96b224df177bab06c46e5b35142008d24617b08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-01T02:36:45Z"
"spotify:track:5hBby4R7OQOnuGJ3BzZYE9","Freak","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","spotify:album:70ff8ZgebUJWXQDzV5zVVk","Filth","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","1983-05-27","https://i.scdn.co/image/ab67616d0000b273c4e86a1cd9b4e8e4cb96e23f","1","5","73973","https://p.scdn.co/mp3-preview/3ffbec8482cd67281bc82cc1d5dc2e9497cde6d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-01T02:36:45Z"
"spotify:track:3zVc9wukLt7v3ylMiNn44w","Right Wrong","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","spotify:album:70ff8ZgebUJWXQDzV5zVVk","Filth","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","1983-05-27","https://i.scdn.co/image/ab67616d0000b273c4e86a1cd9b4e8e4cb96e23f","1","6","283093","https://p.scdn.co/mp3-preview/71e133934916161336e8c4727a1972d724c45fb9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-01T02:36:45Z"
"spotify:track:6YmQwxdjISJJbuAzBXM56U","Thank You","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","spotify:album:70ff8ZgebUJWXQDzV5zVVk","Filth","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","1983-05-27","https://i.scdn.co/image/ab67616d0000b273c4e86a1cd9b4e8e4cb96e23f","1","7","232506","https://p.scdn.co/mp3-preview/a4eb78bd242459efae434df205547bd71ed85a04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-01T02:36:45Z"
"spotify:track:6ZcELgkD2FEhBflWrY5MwZ","Weakling","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","spotify:album:70ff8ZgebUJWXQDzV5zVVk","Filth","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","1983-05-27","https://i.scdn.co/image/ab67616d0000b273c4e86a1cd9b4e8e4cb96e23f","1","8","320533","https://p.scdn.co/mp3-preview/5e056f649d233c8ea7515a8738b00f8db9f64b57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-01T02:36:45Z"
"spotify:track:16kKPQkMLxYdh17H2YXeOh","Gang","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","spotify:album:70ff8ZgebUJWXQDzV5zVVk","Filth","spotify:artist:79S80ZWgVhIPMCHuvl6SkA","Swans","1983-05-27","https://i.scdn.co/image/ab67616d0000b273c4e86a1cd9b4e8e4cb96e23f","1","9","198466","https://p.scdn.co/mp3-preview/2de7cc24365cc767d323398e0029c11dc719afb8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-01T02:36:45Z"
"spotify:track:0zRrYBBsIeAhqTyh34TWfN","Parallel Deserts","spotify:artist:4qRvtAdrXBBT0flfKrVmxG","Five Star Hotel","spotify:album:6Q8hkb14PqvyLVEdmWXiD9","Gray Data","spotify:artist:4qRvtAdrXBBT0flfKrVmxG","Five Star Hotel","2014-06-18","https://i.scdn.co/image/ab67616d0000b273d4fcd0db8b5370308a28c265","1","1","219000","https://p.scdn.co/mp3-preview/e689f19c7de1a019c36c06787584bbf9bc8837f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-01T02:37:09Z"
