"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:080thMRVMSfE5fem7HBaoF","Bachelorette - Family Tree Version","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:0HMsmYvoT1h2x1C4di5faf","Homogenic","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1997-09-23","https://i.scdn.co/image/ab67616d0000b273934a734586b2a0a7fbddb81e","1","4","316600","https://p.scdn.co/mp3-preview/f159e7847b7f2f8631ce263c5b28675f9d2f6db4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-21T06:14:25Z"
"spotify:track:1XQ8fTSLX9htopL97Frk9W","Yubacore","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","spotify:album:0hO63UQyDQqhPTip3rZyaL","Tripper","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","2011-08-30","https://i.scdn.co/image/ab67616d0000b2731940dfa7fce63f1630c1a669","1","4","225892","https://p.scdn.co/mp3-preview/d1b3c2fc1e42878c11773c07831675c180423ec5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-26T02:02:54Z"
"spotify:track:0TFKbzelESlE6awME1aEfW","Witchkrieg","spotify:artist:0ucuxyPTAHv0TPkA1WBV10","Witchery","spotify:album:79jmWki1QgFADdU9ORrSHX","Witchkrieg","spotify:artist:0ucuxyPTAHv0TPkA1WBV10","Witchery","2010-06-18","https://i.scdn.co/image/ab67616d0000b273b1436e2fffe3cecdbd163946","1","1","224920","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-26T02:18:12Z"
"spotify:track:7xlbpkfyn00fGVuSgnbdux","Semente","spotify:artist:7ENzCHnmJUr20nUjoZ0zZ1","Snarky Puppy","spotify:album:2y5N5FEb9giR3d1BP9wX9n","Culcha Vulcha","spotify:artist:7ENzCHnmJUr20nUjoZ0zZ1","Snarky Puppy","2016-04-29","https://i.scdn.co/image/ab67616d0000b2733751bb7d2961a7fcaff3642d","1","2","431733","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-02T07:12:49Z"
"spotify:track:0IjVJk7EZK5V71LUwk6OjC","Warm Thoughts","spotify:artist:6nxWCVXbOlEVRexSbLsTer","Flume","spotify:album:5vaoiQeWdC1ssSaM2WjcjZ","Flume: Deluxe Edition","spotify:artist:6nxWCVXbOlEVRexSbLsTer","Flume","2013-11-11","https://i.scdn.co/image/ab67616d0000b2739aa95cd8a6db301401b04b20","1","13","228376","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-04T02:40:22Z"
"spotify:track:0ERk18BFV3SpQvyGdsvUjr","Coast Off","spotify:artist:592TFYwu9Qb0RC1hKDbX2w","Helios","spotify:album:1OF3AnbSDa1ZSEFE7lukTb","Eingya","spotify:artist:592TFYwu9Qb0RC1hKDbX2w","Helios","2009-01-16","https://i.scdn.co/image/ab67616d0000b2738fc59fb3af5be43e27fe4ce1","1","6","292146","https://p.scdn.co/mp3-preview/844a94a2933a084e0613900c93771d5bce4dcc73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-05T09:08:29Z"
"spotify:track:5MHOQFE1DABlcbl0ptGEPm","Lost Kids","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","spotify:album:2knShezW5FBrn3B7AtMbA6","In Time To Voices","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","2012-03-26","https://i.scdn.co/image/ab67616d0000b27359baa04bdedc466901dfd938","1","2","224440","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-09T07:03:47Z"
"spotify:track:7ezxnrzFzaOoy9yYUhP9S2","She’s Gone Away","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","spotify:album:2fThnKRzs6iudIAzHP9VOa","Not The Actual Events","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","2016-12-23","https://i.scdn.co/image/ab67616d0000b273b1e12e93bd3518653c6ba4ed","1","3","359947","https://p.scdn.co/mp3-preview/7546416a8c969a37f9e1ffb76b4b31cc4edb6dc3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-24T05:42:07Z"
"spotify:track:0NSYVDo4ryxNWln7TfEyex","The Next Movement","spotify:artist:78xUyw6FkVZrRAtziFdtdu, spotify:artist:3nmiIgeri4vEY7y0VpbsCn, spotify:artist:4o6gZFD9CkUCVzYqrDR3wV","The Roots, DJ Jazzy Jeff, Jazzyfatnastees","spotify:album:0qbl8aNaCUOvX8HGsZYLfh","Things Fall Apart","spotify:artist:78xUyw6FkVZrRAtziFdtdu","The Roots","1999-02-23","https://i.scdn.co/image/ab67616d0000b273bac8015c7e47644fb86e27e2","1","3","250200","https://p.scdn.co/mp3-preview/132df14ec7ff83bc38b070cc43bf52215b13dcd5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-27T08:39:54Z"
"spotify:track:1iUezVILL5vhi1tgftzNed","Heartless","spotify:artist:7kHzfxMLtVHHb523s43rY1","Converge","spotify:album:3wOokyD0PiNT4CkaUnqdse","You Fail Me Redux","spotify:artist:7kHzfxMLtVHHb523s43rY1","Converge","2016-06-17","https://i.scdn.co/image/ab67616d0000b2737250c4761f8aa168ef8db97d","1","6","148259","https://p.scdn.co/mp3-preview/26a4be0a541dcacf9c2e19b2584f97b0a2b82b45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-02-13T23:13:01Z"
