"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4VudmL1997hLZjuzwfHj4m","Colossus","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:7BbRSUBwTB37ut0Ht3yAqt","Joy as an Act of Resistance.","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2018-08-31","https://i.scdn.co/image/ab67616d0000b27322f5be50ae2fbf54de60b995","1","1","339039","https://p.scdn.co/mp3-preview/74d830d4d01b30a54ff6f8e92966546221c33d11?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-12T23:56:52Z"
"spotify:track:4EHv5m2D0zDYYAu4xZoYwm","Death Grips Is Online","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:46eayJPxf1cBWWUqNa2MJJ","Year Of The Snitch","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2018-06-22","https://i.scdn.co/image/ab67616d0000b2738b0fd435be942b69343759e9","1","1","211661","https://p.scdn.co/mp3-preview/6d1a88aac65471ccad4a279e7ff12d1894d332fb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-09T18:21:42Z"
"spotify:track:3vzDX5qWEHx7POSiaOLHnj","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","spotify:album:0B7fXvfjRwx643vbLB8YMz","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","2018-10-26","https://i.scdn.co/image/ab67616d0000b2737f2955cd840ab2af2c55d93c","1","3","236280","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-01T04:12:01Z"
"spotify:track:4HwJ7KGEG6Nw0yrAIrR8u5","Blam","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","spotify:album:0B7fXvfjRwx643vbLB8YMz","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","2018-10-26","https://i.scdn.co/image/ab67616d0000b2737f2955cd840ab2af2c55d93c","1","4","167120","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-10T09:08:12Z"
"spotify:track:7uDRYzCgOPTYDuTSfNpuxo","Marijuanaut's Theme","spotify:artist:4Mt6w4tDGiPgV5q6JWPlrI","Sleep","spotify:album:790MeSzafcgXNCoY2AagnP","The Sciences","spotify:artist:4Mt6w4tDGiPgV5q6JWPlrI","Sleep","2018-04-20","https://i.scdn.co/image/ab67616d0000b273feee83b559123cb23b171fac","1","2","399893","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-13T18:29:59Z"
"spotify:track:3qy1GkfO8gJveL1RN7PVSf","Virus://Vibrance","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","spotify:album:5KSIgVF5lx4JURkS50jRS9","Errorzone","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","2018-06-22","https://i.scdn.co/image/ab67616d0000b273af89ca043be8fd7637b54df5","1","1","144695","https://p.scdn.co/mp3-preview/177dd69f104c5571bd4a3a0bac11737834a164fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-13T18:40:07Z"
"spotify:track:3HZUUjUk4xKqkP7u09X8Nb","Doomtech","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","spotify:album:5KSIgVF5lx4JURkS50jRS9","Errorzone","spotify:artist:5NU7mpGqMvlZpq63RajHOH","Vein","2018-06-22","https://i.scdn.co/image/ab67616d0000b273af89ca043be8fd7637b54df5","1","7","286790","https://p.scdn.co/mp3-preview/65fe25f5dfe536152575b5956f853104b699e105?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-13T18:40:12Z"
"spotify:track:6fS1Dr7ZMvBBhxMYVhfHjM","Bardo","spotify:artist:19f2JXwlRU26376TCKmp6L","GoGo Penguin","spotify:album:4jWH3SEnwQjUxA81TksroU","A Humdrum Star","spotify:artist:19f2JXwlRU26376TCKmp6L","GoGo Penguin","2018-02-09","https://i.scdn.co/image/ab67616d0000b27305aef1661a50bdd58e7d6342","1","3","434289","https://p.scdn.co/mp3-preview/1d5f13d51b81aba3c95094ae042376a47a8b566b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-13T18:28:32Z"
"spotify:track:2NjeQLvFsfeKdZoA7dbfL1","PERCS | PERCZ","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","spotify:album:6idVoBWP2mt1qoMtASm3gc","TA13OO","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2018-07-27","https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294","3","2","186626","https://p.scdn.co/mp3-preview/6d7f5904bacd934664aab3a2cf7377af418b482c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-13T18:27:03Z"
"spotify:track:7EHAXZenBzmGCpccWCyg8z","SUMO | ZUMO","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","spotify:album:6idVoBWP2mt1qoMtASm3gc","TA13OO","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2018-07-27","https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294","1","4","227373","https://p.scdn.co/mp3-preview/56fbd42e6367ff3e2a4418a08e5fc803a2fc8e37?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-13T18:27:09Z"
"spotify:track:7v2azTfke2BR57lh2HxPQo","Bring Out Your Dead","spotify:artist:1VPmR4DJC1PlOtd0IADAO0","$uicideboy$","spotify:album:72I2i7wwU3Q7mJGxbNW12D","I Want To Die In New Orleans","spotify:artist:1VPmR4DJC1PlOtd0IADAO0","$uicideboy$","2018-09-07","https://i.scdn.co/image/ab67616d0000b273557427b9ef605c6d0ba5aa82","1","2","106040","","true","12","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-02T23:35:33Z"
