"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2uYKqjjhKnvjDpaKgeUudI","Master of Pain (Error)","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","spotify:album:0wiRPWyWkwGbPww1LsRSQD","Cyber Warfare","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","2019-08-15","https://i.scdn.co/image/ab67616d0000b2732def6ae16a03ff38174559c0","1","1","312000","https://p.scdn.co/mp3-preview/e2395b41f2024e7c450be12d8e9b743ad3621900?cid=9950ac751e34487dbbe027c4fd7f8e99","true","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-08-25T00:09:44Z"
"spotify:track:2rgXTwgNrVZOBcz5eF0z5y","Plexiglass (Error)","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","spotify:album:0wiRPWyWkwGbPww1LsRSQD","Cyber Warfare","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","2019-08-15","https://i.scdn.co/image/ab67616d0000b2732def6ae16a03ff38174559c0","1","2","144972","https://p.scdn.co/mp3-preview/47c0c4be7d2899f722c16ffc6bd0636b800fafc1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-08-25T00:09:44Z"
"spotify:track:0GoSF8MD6CnEEuvBw1chBo","Shadowrun (Error)","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","spotify:album:0wiRPWyWkwGbPww1LsRSQD","Cyber Warfare","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","2019-08-15","https://i.scdn.co/image/ab67616d0000b2732def6ae16a03ff38174559c0","1","3","144000","https://p.scdn.co/mp3-preview/5b20c61e97ae9633d57b9d34d0786e8394d923dc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-08-25T00:09:44Z"
"spotify:track:7bBvKu3m3u96IlreXXal15","Yellow Tape (Error)","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","spotify:album:0wiRPWyWkwGbPww1LsRSQD","Cyber Warfare","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","2019-08-15","https://i.scdn.co/image/ab67616d0000b2732def6ae16a03ff38174559c0","1","4","157954","https://p.scdn.co/mp3-preview/0f0dc2150aa5007767407c9dc7d7d48c02ef3ffd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-08-25T00:09:44Z"
"spotify:track:57W8iKjuCgteBNlyT2auob","Simon Phoenix","spotify:artist:5KuuNGYTUTokLerXMNYCGL, spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","Ho99o9, JPEGMAFIA","spotify:album:0wiRPWyWkwGbPww1LsRSQD","Cyber Warfare","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","2019-08-15","https://i.scdn.co/image/ab67616d0000b2732def6ae16a03ff38174559c0","1","5","146086","https://p.scdn.co/mp3-preview/440c6c9d351f84650bd671e93f90962659a652b9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-08-25T00:09:44Z"
"spotify:track:0AmlaX3W1u1SwlXZVxhEWo","WiFi Punx (Error)","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","spotify:album:0wiRPWyWkwGbPww1LsRSQD","Cyber Warfare","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","2019-08-15","https://i.scdn.co/image/ab67616d0000b2732def6ae16a03ff38174559c0","1","6","118333","https://p.scdn.co/mp3-preview/d595364d1664d38d22783ba85457f02636f35fa1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-08-25T00:09:44Z"
"spotify:track:14nIVwvAYEAvUN775ZBjvs","F.O.G. (Error)","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","spotify:album:0wiRPWyWkwGbPww1LsRSQD","Cyber Warfare","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","2019-08-15","https://i.scdn.co/image/ab67616d0000b2732def6ae16a03ff38174559c0","1","7","265582","https://p.scdn.co/mp3-preview/19d2fd4dcdf5ed0ab3614d49ecbcb5f3e4c0dbfd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-08-25T00:09:44Z"
"spotify:track:4y5bvROuBDPr5fuwXbIBZR","Paper Rings","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:1NAmidJlEaVgA3MpcPFYGq","Lover","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2019-08-23","https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647","1","8","222400","https://p.scdn.co/mp3-preview/a4ef18c89b7ab4b2b38aca63e53781ffe380ed27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-08-25T00:08:50Z"
"spotify:track:2dgFqt3w9xIQRjhPtwNk3D","Death By A Thousand Cuts","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:1NAmidJlEaVgA3MpcPFYGq","Lover","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2019-08-23","https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647","1","10","198533","https://p.scdn.co/mp3-preview/6c3d9ef95bfe58ef5987a54ca3d12ccc9a974398?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-08-25T00:09:37Z"
"spotify:track:2FTOLKjQUswhpdMFq15Raf","SPEEDBOAT","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","spotify:album:6PkSBdx19zarn4ae1D08gA","ZUU","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2019-05-31","https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480","1","6","222533","https://p.scdn.co/mp3-preview/49b4727a558f66d2bad69e96ce57cdfb2b06e002?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-08-25T00:11:14Z"
"spotify:track:52d35Deejayu18L7EPCIjU","Hooch","spotify:artist:6aVjo0xHSiuW5hkasoYSR3","Melvins","spotify:album:0agYsmUl1uS32ZFHKQ8L8W","Houdini","spotify:artist:6aVjo0xHSiuW5hkasoYSR3","Melvins","1993-08-31","https://i.scdn.co/image/ab67616d0000b273638404f3498c5c96c220cbf8","1","1","169093","https://p.scdn.co/mp3-preview/5a855868c91e7e8d70d8862fdef984d319080202?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-08-25T00:25:47Z"
