"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5sG65w8uKtjsJw7nc845Nc","ZUU","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","spotify:album:6PkSBdx19zarn4ae1D08gA","ZUU","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2019-05-31","https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480","1","1","126000","https://p.scdn.co/mp3-preview/b3c1856629f688d86840d4cf7f4ab22e2452f163?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-03T16:47:20Z"
"spotify:track:2QbGvQssb0VLLS4x5NOmyJ","RICKY","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","spotify:album:6PkSBdx19zarn4ae1D08gA","ZUU","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2019-05-31","https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480","1","2","147866","https://p.scdn.co/mp3-preview/e3ea2170d154c3097a374ae696dd10cc0e226e2d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-03T16:47:20Z"
"spotify:track:0shSP8DgseLewHgAiMC4UL","WISH FEAT. KIDDO MARV","spotify:artist:6fxyWrfmjcbj5d12gXeiNV, spotify:artist:6HOYSQk7Npiuuy5KDdJQ3o","Denzel Curry, Kiddo Marv","spotify:album:6PkSBdx19zarn4ae1D08gA","ZUU","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2019-05-31","https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480","1","3","192013","https://p.scdn.co/mp3-preview/d258a13231bb291e2462ef20cf3715f403aa643d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-03T16:47:20Z"
"spotify:track:0pA0rcw7ci5X5XHrnBpkdn","BIRDZ FEAT. RICK ROSS","spotify:artist:6fxyWrfmjcbj5d12gXeiNV, spotify:artist:1sBkRIssrMs1AbVkOJbc7a","Denzel Curry, Rick Ross","spotify:album:6PkSBdx19zarn4ae1D08gA","ZUU","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2019-05-31","https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480","1","4","204386","https://p.scdn.co/mp3-preview/6701e96869e8db61d4afd244f7c0bf0b5f990950?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-03T16:47:20Z"
"spotify:track:2TqfASuL5JRds7bJX01PdZ","AUTOMATIC","spotify:artist:6fxyWrfmjcbj5d12gXeiNV, spotify:artist:5xkFVS6IwwgHEAaRzXc9U3","Denzel Curry, Tay Keith","spotify:album:6PkSBdx19zarn4ae1D08gA","ZUU","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2019-05-31","https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480","1","5","182520","https://p.scdn.co/mp3-preview/ccc7c945be7dc558b74cc00455fd2e08d840d35a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-03T16:47:20Z"
"spotify:track:2FTOLKjQUswhpdMFq15Raf","SPEEDBOAT","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","spotify:album:6PkSBdx19zarn4ae1D08gA","ZUU","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2019-05-31","https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480","1","6","222533","https://p.scdn.co/mp3-preview/49b4727a558f66d2bad69e96ce57cdfb2b06e002?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-03T16:47:20Z"
"spotify:track:2wFwbyCz96QFLm2L6esbgf","BUSHY B INTERLUDE","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","spotify:album:6PkSBdx19zarn4ae1D08gA","ZUU","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2019-05-31","https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480","1","7","65640","https://p.scdn.co/mp3-preview/6be63c08c92964c386b29a5f3855634d36203ca1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-03T16:47:20Z"
"spotify:track:3kUV3AVKhoWTNFxdFkCViB","YOO","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","spotify:album:6PkSBdx19zarn4ae1D08gA","ZUU","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2019-05-31","https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480","1","8","64493","https://p.scdn.co/mp3-preview/14c121bf6096b7ab8098780e74e4aedf982f7c18?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-03T16:47:20Z"
"spotify:track:5OO7ybh0GQlXslHX4U4Vgr","CAROLMART FEAT. ICE BILLION BERG","spotify:artist:6fxyWrfmjcbj5d12gXeiNV, spotify:artist:3XFatrcJ1zXdwJXP3CrWle","Denzel Curry, Ice Billion Berg","spotify:album:6PkSBdx19zarn4ae1D08gA","ZUU","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2019-05-31","https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480","1","9","164120","https://p.scdn.co/mp3-preview/f02f06164d77149bc665d464d0b393bcbec45474?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-03T16:47:20Z"
"spotify:track:27F7BWz4WuC8GuSIcFbx1a","SHAKE 88 FEAT. SAM SNEAK","spotify:artist:6fxyWrfmjcbj5d12gXeiNV, spotify:artist:12NW4D7Ld2lyIXwjitgiA1","Denzel Curry, Sam Sneak","spotify:album:6PkSBdx19zarn4ae1D08gA","ZUU","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2019-05-31","https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480","1","10","147720","https://p.scdn.co/mp3-preview/f3266b8df9c4c32fa9c7dcda3c4c2399183e7304?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-03T16:47:20Z"
