"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5WBtuD4aTN4pxONsXIOD2q","Cain","spotify:artist:5SwHKKNKYToC1YzWVNWAIN","Tiamat","spotify:album:2uWC6c6gOdts1H4RUEz073","Prey","spotify:artist:5SwHKKNKYToC1YzWVNWAIN","Tiamat","2004-07-13","https://i.scdn.co/image/ab67616d0000b27376084d86bd882a0f3e0de8d8","1","1","325346","https://p.scdn.co/mp3-preview/f78560d5c9a7fa2858ac9f6d12e08442b8dd9501?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-29T06:55:00Z"
"spotify:track:4mDfXzDAb9x2ASTDktcMJQ","L'échappée","spotify:artist:2VYbuGDGM7ipeu54IbKzyw","Les Discrets","spotify:album:4mif1rLyMHyVYqanzFoJQN","Septembre et ses dernières pensées","spotify:artist:2VYbuGDGM7ipeu54IbKzyw","Les Discrets","2010-03-26","https://i.scdn.co/image/ab67616d0000b27373211ae371e548dd3db35726","1","2","243520","","false","12","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-29T06:55:06Z"
"spotify:track:1yH9OgqxDslG24QXxvpvo7","A Greater Call","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe, spotify:artist:4rHZDNrVu2XkdO7eysOHei","Cult Of Luna, Julie Christmas","spotify:album:7Gys3aNZTqk5o0bXqcMZwv","Mariner","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe, spotify:artist:4rHZDNrVu2XkdO7eysOHei","Cult Of Luna, Julie Christmas","2016-04-08","https://i.scdn.co/image/ab67616d0000b27388e3c45eb1a866a650acdfb3","1","1","499066","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-29T06:55:26Z"
"spotify:track:1O2Vnk6qEVU8kNrzvucrFw","The Creeper","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","spotify:album:4tu3vMRlLI3oxxlmbyFKqR","What We All Come to Need","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","2009-10-20","https://i.scdn.co/image/ab67616d0000b27331a7c51fd9e44bd2618d45c5","1","2","440346","https://p.scdn.co/mp3-preview/a30e4b2c0274aef71f0b1490e275ec17af829a1f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-29T06:58:41Z"
"spotify:track:4M3mVi7trExzZClhNyFL4u","Holes in the Desert","spotify:artist:4v24AzWBIlowZwnktXSlwX","The Atlas Moth","spotify:album:1exZKj5WHIusXE6fN4LQsZ","An Ache for the Distance","spotify:artist:4v24AzWBIlowZwnktXSlwX","The Atlas Moth","2011-09-20","https://i.scdn.co/image/ab67616d0000b27344f4f214bce64ffef70d9400","1","3","419733","https://p.scdn.co/mp3-preview/bc79397157eb231bd6e5567eb3034eaf21a8caa1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-12T22:36:41Z"
"spotify:track:00NxCtDeb0w6vJhSI8m419","The Watchmen","spotify:artist:3m8KqUjgKDwmJ9L9uBHMMs","Fields Of The Nephilim","spotify:album:7dP7YFzYlM4LlR4v9yu05m","The Nephilim","spotify:artist:3m8KqUjgKDwmJ9L9uBHMMs","Fields Of The Nephilim","1988-09-05","https://i.scdn.co/image/ab67616d0000b2731b5eb716ce3e57cc6477b576","1","2","331466","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-21T21:47:04Z"
"spotify:track:2430ijmTT7H9md0i8YuwYf","Prayers for Rain - 2010 Remaster","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","spotify:album:0A13JySVHzBoRZFk2o89Wl","Disintegration (2010 Remaster)","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","1989-05-02","https://i.scdn.co/image/ab67616d0000b2733ec3e0853e3b84dc64272647","1","8","368306","https://p.scdn.co/mp3-preview/f112d5b3fce44578fa842a39341ba24289c8fb2d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-12T22:55:06Z"
"spotify:track:4P723ZazKqQox4zEwgsDec","Driver 8","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","spotify:album:26vUt4edIwqnvkaTzHqkv3","Fables Of The Reconstruction","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","1985-06-10","https://i.scdn.co/image/ab67616d0000b27379d6ef956c7a368a75077e74","1","3","203800","https://p.scdn.co/mp3-preview/13b27af144320549d2e5c0f7425406ee953aadb7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-21T05:45:29Z"
"spotify:track:4UdlYilVdIQ1fGL9a12FYH","Clouds","spotify:artist:3L22OjRkj5Psvqmsn2Q8Ds","Neva Dinova","spotify:album:3rF2fqE91FtfTsbWuNNUMV","You May Already Be Dreaming","spotify:artist:3L22OjRkj5Psvqmsn2Q8Ds","Neva Dinova","2008-04-08","https://i.scdn.co/image/ab67616d0000b273262c30119df5e28e457e1889","1","3","217733","https://p.scdn.co/mp3-preview/a67e555caadb6b60cf2b61ad9d604e727fdf4525?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-21T05:45:29Z"
"spotify:track:1glFF4n9u6dFtNdGcFXTUi","Whatever That Hurts","spotify:artist:5SwHKKNKYToC1YzWVNWAIN","Tiamat","spotify:album:3cZKRfWxeGvhUKsH4VFhFf","Wildhoney","spotify:artist:5SwHKKNKYToC1YzWVNWAIN","Tiamat","1994-09-01","https://i.scdn.co/image/ab67616d0000b27354ca9d726651ca634edc3a1b","1","2","348200","https://p.scdn.co/mp3-preview/6b38f2aad95c17612ca5eb8b9febac67a02c3599?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-29T23:41:26Z"
