"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6bOkaEXc5CopinGazSLokx","WHAT'S GOOD","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","spotify:album:5zi7WsKlIiUXv09tbGLKsE","IGOR","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2019-05-17","https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57","1","9","205626","https://p.scdn.co/mp3-preview/87940f109373e35e9eb2fa8025b20678628b6b4f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-31T06:28:45Z"
"spotify:track:2csZLnXBMuw6ETZuRxdUZF","Black Balloons Reprise","spotify:artist:29XOeO6KIWxGthejQqn793, spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Flying Lotus, Denzel Curry","spotify:album:5WfDyog8yO7ZF8JdJxeZfl","Flamagra","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2019-05-24","https://i.scdn.co/image/ab67616d0000b273d79875c5339df68a02975881","1","12","161971","https://p.scdn.co/mp3-preview/0205a6f68bf621e1d8b50b57db9cd00fcd1ef0ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-31T06:28:56Z"
"spotify:track:4Vk4Yf7pDmB1dxLFSTjBUH","101 FM","spotify:artist:6eXZu6O7nAUA5z6vLV8NKI","Little Simz","spotify:album:4Wwm4xg2748zhYuzDRFTgY","GREY Area","spotify:artist:6eXZu6O7nAUA5z6vLV8NKI","Little Simz","2019-03-01","https://i.scdn.co/image/ab67616d0000b2731c54fc953531d5da04232deb","1","6","191392","https://p.scdn.co/mp3-preview/16e6b43ee2b2b6e3d0bc31375ed11a2ac7bd2f6f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-31T06:29:41Z"
"spotify:track:6eL1ncVDtQHgSm3E288TS7","Big Fish","spotify:artist:68kEuyFKyqrdQQLLsmiatm","Vince Staples","spotify:album:5h3WJG0aZjNOrayFu3MhCS","Big Fish Theory","spotify:artist:68kEuyFKyqrdQQLLsmiatm","Vince Staples","2017-06-23","https://i.scdn.co/image/ab67616d0000b2737ba7b4d23c717f3211717946","1","2","198133","https://p.scdn.co/mp3-preview/070c5161c10d4a9c0b40941f22c3ed74578762d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-31T06:31:11Z"
"spotify:track:6fAyRZ0GHuuvSOEIOwi58N","Backseat Freestyle","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:6PBZN8cbwkqm1ERj2BGXJ1","good kid, m.A.A.d city","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2012","https://i.scdn.co/image/ab67616d0000b273d28d2ebdedb220e479743797","1","3","212653","https://p.scdn.co/mp3-preview/599813b15ec36abbacc6aa9d2ee4509f3b257f23?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-31T06:34:24Z"
"spotify:track:7v2azTfke2BR57lh2HxPQo","Bring Out Your Dead","spotify:artist:1VPmR4DJC1PlOtd0IADAO0","$uicideboy$","spotify:album:72I2i7wwU3Q7mJGxbNW12D","I Want To Die In New Orleans","spotify:artist:1VPmR4DJC1PlOtd0IADAO0","$uicideboy$","2018-09-07","https://i.scdn.co/image/ab67616d0000b273557427b9ef605c6d0ba5aa82","1","2","106040","","true","12","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-31T06:35:46Z"
"spotify:track:4bdJHQp90ymjEIkkYhcENB","Dat $tick","spotify:artist:2IDLDx25HU1nQMKde4n61a","Rich Brian","spotify:album:7AKJUjNR4hlNcbj55lP5LA","Dat $tick","spotify:artist:2IDLDx25HU1nQMKde4n61a","Rich Brian","2016-03-11","https://i.scdn.co/image/ab67616d0000b27356d07ba65b4442f0597c602d","1","1","126666","https://p.scdn.co/mp3-preview/86b88123aa099ae2bacafca6148d5e26be13db65?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-31T06:36:11Z"
"spotify:track:1R28m5eWk1EV9FQ3puWrUp","Fazers","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","spotify:album:1mrhahrlJu5JfzgeV6Cy8t","Take Me To Your Leader","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","2003-06-17","https://i.scdn.co/image/ab67616d0000b273de20cdc5935096897bb687fc","1","1","197133","https://p.scdn.co/mp3-preview/be6470ce99970a3afeea5c24ab9663da8b989259?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-31T06:36:18Z"
"spotify:track:722tgOgdIbNe3BEyLnejw4","Black Skinhead","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7D2NdGvBHIavgLhmcwhluK","Yeezus","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2013-06-18","https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9","1","2","188013","https://p.scdn.co/mp3-preview/5e71143d92d550773292652400455a9198b3c677?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-31T06:37:20Z"
"spotify:track:5o7ZDvfOry1MNhNLBOJulo","1000 Rounds","spotify:artist:4nXOZlYoAD67hF9aUEncMY, spotify:artist:3uL4UpqShC4p2x1dJutoRW","Pouya, Ghostemane","spotify:album:3vdc9dHQ1RqIMvxDghrfBf","1000 Rounds","spotify:artist:4nXOZlYoAD67hF9aUEncMY, spotify:artist:3uL4UpqShC4p2x1dJutoRW","Pouya, Ghostemane","2017-03-20","https://i.scdn.co/image/ab67616d0000b2732c059d230aea10400c4f1692","1","1","163370","https://p.scdn.co/mp3-preview/1e525def455c13967ccc778d7b5cf8631f511b35?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-31T06:38:12Z"
