"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1kKLWkqyZEnrOd5tBYYCUn","Afro Blue","spotify:artist:5cM1PvItlR21WUyBnsdMcn, spotify:artist:7IfculRW2WXyzNQ8djX8WX, spotify:artist:5SyCTZ8X8YQCI0J1VRp4iC, spotify:artist:4s8ZGMVf3OiPktSP4ulpqU","Robert Glasper, Erykah Badu, Phonte, 9th Wonder","spotify:album:7ghmfIJeLHIMSwj8VoXnBl","Black Radio Recovered: The Remix EP","spotify:artist:5cM1PvItlR21WUyBnsdMcn","Robert Glasper","2012-01-01","https://i.scdn.co/image/ab67616d0000b273b16ab32a11a8d212ec9cf88e","1","1","307440","https://p.scdn.co/mp3-preview/abd8edd98cb3b710a13247eb8854df9b1ed408be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-30T06:02:05Z"
"spotify:track:2EfZpUi0QFif8p7VUCeauX","inter-are","spotify:artist:36sdQhQWpk9MntF8u7qNGo","Mark Guiliana Jazz Quartet","spotify:album:1Q7w8JLJnEZMDkNwEmdiLv","Jersey","spotify:artist:36sdQhQWpk9MntF8u7qNGo","Mark Guiliana Jazz Quartet","2017-09-29","https://i.scdn.co/image/ab67616d0000b2732e4c9f11108085a2659226b0","1","1","275469","https://p.scdn.co/mp3-preview/345ba08e1aadb6c8a3a33eae3ac8ea92fa4976a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-30T06:03:07Z"
"spotify:track:4CewWsIgEbKcSBtrgi0T9o","Bounce: pts I + II","spotify:artist:3C1TdpEowpf6AMf7PycuWy","Nate Smith","spotify:album:6U0q62N1S9dRXLNDE6PigD","KINFOLK: Postcards from Everywhere","spotify:artist:3C1TdpEowpf6AMf7PycuWy","Nate Smith","2017-02-03","https://i.scdn.co/image/ab67616d0000b27334278c533ecb50b05b785872","1","3","333240","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-30T06:04:12Z"
"spotify:track:4kD0yDEONTrnP3LQWnY9g4","Destiny N Stereo","spotify:artist:3UdXt9iWJmKa9Rq481qd4O, spotify:artist:3a0aARXzpqS9oEoExvIrUI, spotify:artist:0p9LVcPuUXYtvXaouzQpAs, spotify:artist:2ewAU3d4El7WSIxWUJaZJn","Chris Dave and The Drumhedz, Elzhi, Phonte Coleman, Eric Roberson","spotify:album:3yQ7ZQtrxHAILNzLCPXIKP","Chris Dave And The Drumhedz","spotify:artist:3UdXt9iWJmKa9Rq481qd4O","Chris Dave and The Drumhedz","2018-01-26","https://i.scdn.co/image/ab67616d0000b273b69305453557868ea05a8fe4","1","11","229147","https://p.scdn.co/mp3-preview/691b1b9d4127e4734f0bf06db2ae1b578919395f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-30T06:04:41Z"
"spotify:track:5l7tdLI34MnxnNyd2nhNIk","Curls","spotify:artist:2aoFQUeHD1U7pL098lRsDU, spotify:artist:5LhTec3c7dcqBvpLRWbMcf, spotify:artist:2pAWfrd7WFF3XhVt9GooDL","Madvillain, Madlib, MF DOOM","spotify:album:01FCoGEQ3NFWF4fHJzdiax","Madvillainy","spotify:artist:2aoFQUeHD1U7pL098lRsDU, spotify:artist:5LhTec3c7dcqBvpLRWbMcf, spotify:artist:2pAWfrd7WFF3XhVt9GooDL","Madvillain, Madlib, MF DOOM","2004-03-24","https://i.scdn.co/image/ab67616d0000b27302abe1eaf9da931f42629b4a","1","9","95506","https://p.scdn.co/mp3-preview/9d12d3826bfb3b3a0f1fcc146e23d5b8e73f0ddc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-30T06:12:44Z"
"spotify:track:2G2k2ZFsQkIEkAWDTvqHXM","Selfish","spotify:artist:6eXZu6O7nAUA5z6vLV8NKI, spotify:artist:3ETLPQkcEd7z4k3IbZmXMq","Little Simz, Cleo Sol","spotify:album:4Wwm4xg2748zhYuzDRFTgY","GREY Area","spotify:artist:6eXZu6O7nAUA5z6vLV8NKI","Little Simz","2019-03-01","https://i.scdn.co/image/ab67616d0000b2731c54fc953531d5da04232deb","1","3","226096","https://p.scdn.co/mp3-preview/8278bf516017c9b3e71102edd458865135967dcd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-29T07:08:42Z"
"spotify:track:0Dx34JSpjOtaxmCTRNPg3A","Mr.","spotify:artist:2mKO7Me8ynxYyTXnr6WQTO, spotify:artist:7E50zc7CQvxJAco1putfym","The Crest, Suparanks","spotify:album:15KoOxiSaSZcByJIopQrgu","Skeptik","spotify:artist:2mKO7Me8ynxYyTXnr6WQTO","The Crest","2005-06-14","https://i.scdn.co/image/ab67616d0000b2739a525bf4127e6f71321b5666","1","14","260786","https://p.scdn.co/mp3-preview/fbabeede74d069c3aa0b272741bf6a9340410764?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-29T07:05:18Z"
"spotify:track:2kTWcP2fid9TKLdcRuiAq4","Street Fighter Mas","spotify:artist:6HQYnRM4OzToCYPpVBInuU","Kamasi Washington","spotify:album:2aBgwU4zIm1tekGzphKYp8","Heaven and Earth","spotify:artist:6HQYnRM4OzToCYPpVBInuU","Kamasi Washington","2018-06-22","https://i.scdn.co/image/ab67616d0000b273702dad23d0edfa57eeeb4a67","2","3","358151","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-29T07:05:48Z"
"spotify:track:2jtsCFmwZ3nkXy1YJjuCt0","色の無い水槽","spotify:artist:5IKKS7LhpdlmMwqIagqf3f","tricot","spotify:album:3F9y31bcGJSKyCw06NI04Q","A N D","spotify:artist:5IKKS7LhpdlmMwqIagqf3f","tricot","2015-03-18","https://i.scdn.co/image/ab67616d0000b273e914543fff33acc150e25c3e","1","4","175600","","false","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-29T07:47:03Z"
"spotify:track:6H147Bkvdcxn7ONC99Eq6d","I'm Awake","spotify:artist:0xpJGyjbEzkWSNfcf2tcMl","Intervals","spotify:album:4MYLm8Uxayy4UyqFHPHfBB","The Shape of Colour","spotify:artist:0xpJGyjbEzkWSNfcf2tcMl","Intervals","2015-12-04","https://i.scdn.co/image/ab67616d0000b27305418a99083b7551b30f5593","1","1","238503","https://p.scdn.co/mp3-preview/9c954c2dfac5e2ad8f5eeed40a6c6bd7d70bad94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-29T07:19:52Z"
"spotify:track:52TOaRngBYS4xSOGoMnvxx","Esther's","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:6o7OzvIJJMkhgB1QtEB1fj","Foley Room","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2007-02-26","https://i.scdn.co/image/ab67616d0000b2736841c8f2dfa5290983e76e5c","1","2","200066","https://p.scdn.co/mp3-preview/417b56b43085994954c3fdea997b42ccf37e11af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-29T07:24:30Z"
"spotify:track:7BmWDAlFk1DCL60I435oaE","Never Fight A Man With A Perm","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:7BbRSUBwTB37ut0Ht3yAqt","Joy as an Act of Resistance.","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2018-08-31","https://i.scdn.co/image/ab67616d0000b27322f5be50ae2fbf54de60b995","1","2","228831","https://p.scdn.co/mp3-preview/6932563b72a8f7800c124bd3301cdaa20972df22?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-29T07:14:06Z"
"spotify:track:74qgrn0YAo3cgRcH4xQBsA","Golden Brown","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","spotify:album:7AHbaRIYnilUwe981nZpmi","Yank Crime","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","1994","https://i.scdn.co/image/ab67616d0000b273e601454f9f3c90a969e7260e","1","3","194533","https://p.scdn.co/mp3-preview/e03c621b8f1d3b3c90dae7fb1dfd6f5142cc7d6d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-29T07:06:23Z"
"spotify:track:0XP4Lv9BlR8XSjbMS1sO1H","This Seems Familiar","spotify:artist:5tYE3ViKxF5APISuBhET9y","Evan Brewer","spotify:album:1KN6B9eLbM2zY8odk3si1B","Your Itinerary","spotify:artist:5tYE3ViKxF5APISuBhET9y","Evan Brewer","2013-07-12","https://i.scdn.co/image/ab67616d0000b273a5096a2c71ea6555555eec4a","1","4","366000","https://p.scdn.co/mp3-preview/1796b920ac8ee18f79cfe587fef5618c17576603?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-29T07:26:25Z"
"spotify:track:2yWAPCnRMbpbGqVHAZzqgJ","Nasty (feat. Jason Richardson)","spotify:artist:4vGrte8FDu062Ntj0RsPiZ, spotify:artist:4fsZkYcSEUEvZK2tEjzrVY","Polyphia, Jason Richardson","spotify:album:7GhytR6ZMWetf1jxAzITtG","New Levels New Devils","spotify:artist:4vGrte8FDu062Ntj0RsPiZ","Polyphia","2018-10-12","https://i.scdn.co/image/ab67616d0000b2737a799cc62e624fd6432779e3","1","1","280314","https://p.scdn.co/mp3-preview/6b4f0bcd1031cb9889e8c7efcb05af15961b17fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-29T07:27:04Z"
"spotify:track:0fhoxg8I2MqRFjTrLFIIuO","Pick Up","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:6TaDSeHRXqw06H2PlYsD5K","Dial 'M' for Monkey","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2003-06-17","https://i.scdn.co/image/ab67616d0000b273383a4bb71daef9859ba98259","1","6","248746","https://p.scdn.co/mp3-preview/81747998cb01adb4b9690f6258860fdb3a49b20f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-29T07:28:19Z"
"spotify:track:6lFJiZ4aiGxobbu3ronF9O","Rust","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","spotify:album:5NGeKmbgxv6GHky0EtaIZx","Rust","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","2017-09-29","https://i.scdn.co/image/ab67616d0000b273b4e6b973540d1ac27d129756","1","3","339000","https://p.scdn.co/mp3-preview/b0271b4bead4cdb23bbc383fad83836b6d261d2e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-29T07:06:58Z"
"spotify:track:3NDXaUSkdIu36ORI7TpB7J","Post Self","spotify:artist:5A4ebXQf38xWIq0xSWLhsS","Godflesh","spotify:album:4yLRI4kaOy4LhSPZ2sCVbE","Post Self","spotify:artist:5A4ebXQf38xWIq0xSWLhsS","Godflesh","2017-11-17","https://i.scdn.co/image/ab67616d0000b273fd2cd96e96c1146608b05a0e","1","1","268500","https://p.scdn.co/mp3-preview/7507c77013c93cd1132689669aa41c14d74eb0bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-29T07:04:56Z"
