"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:68XCDRI6AzwJm30y4FgLeq","Dope Fiend Rental (feat. ScHoolboy Q)","spotify:artist:7aA592KWirLsnfb5ulGWvU, spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","Danny Brown, ScHoolboy Q","spotify:album:5SC0415RIGVX9ZfL0tfbAl","Old","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2013-10-08","https://i.scdn.co/image/ab67616d0000b27368b3cdb0e859e5c1af35ddbd","1","6","175207","https://p.scdn.co/mp3-preview/26d2ef971889f3824cf00baaa2e97973814fdbdc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-02-09T00:25:36Z"
"spotify:track:4DvhkX2ic4zWkQeWMwQ2qf","Like A G6","spotify:artist:698hF4vcwHwPy8ltmXermq, spotify:artist:7C64wNX3howEFZjAYRKsfP, spotify:artist:7Ip2u3e5Nv6fFb5xyIHxEE","Far East Movement, The Cataracs, DEV","spotify:album:1TuKgkCGIxiIns9Bc5XKRC","Free Wired","spotify:artist:698hF4vcwHwPy8ltmXermq","Far East Movement","2010-01-01","https://i.scdn.co/image/ab67616d0000b27358b08d62231dfca8d358b876","1","2","216893","https://p.scdn.co/mp3-preview/783a804e0460f052a1f9f7fc8e504bb3e0cd2456?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-15T23:42:10Z"
"spotify:track:3xd80KxnM4MnDcaE8bcreg","Smokin & Drinkin","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","spotify:album:5SC0415RIGVX9ZfL0tfbAl","Old","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2013-10-08","https://i.scdn.co/image/ab67616d0000b27368b3cdb0e859e5c1af35ddbd","1","14","173192","https://p.scdn.co/mp3-preview/29d6e75f8e28faf6f0a498cee213e762da2068a0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-31T04:07:09Z"
"spotify:track:4IXfh4oDXz88MnB9NihplU","Chop Me Up (feat. Timbaland & Three-6 Mafia)","spotify:artist:31TPClRtHm23RisEBtV3X7, spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ, spotify:artist:26s8LSolLfCIY88ysQbIuT","Justin Timberlake, Timbaland, Three 6 Mafia","spotify:album:0tcExuDWMQdBbwSpqN8Ku2","FutureSex/LoveSounds Deluxe Edition","spotify:artist:31TPClRtHm23RisEBtV3X7","Justin Timberlake","2006-09-13","https://i.scdn.co/image/ab67616d0000b273c68f26a3d34fbd0faed2b473","1","7","304160","https://p.scdn.co/mp3-preview/e69bc298e54cef45ec89fe0db5412208fe217821?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-27T05:25:04Z"
"spotify:track:5rb9QrpfcKFHM1EUbSIurX","Yeah! (feat. Lil Jon & Ludacris)","spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi","Usher, Lil Jon, Ludacris","spotify:album:1RM6MGv6bcl6NrAG8PGoZk","Confessions (Expanded Edition)","spotify:artist:23zg3TcAtWQy7J6upgbUnj","Usher","2004-03-23","https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da","1","2","250373","https://p.scdn.co/mp3-preview/8a5e4f8dce6b1a957e235185a4677841fcaafe90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-28T08:54:18Z"
"spotify:track:76TPfVMRdL8SpAzWPC9iUr","Panther Like a Panther (Miracle Mix) (feat. Trina)","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C, spotify:artist:4PrinKSrmILmo0kERG0Ogn","Run The Jewels, Trina","spotify:album:3v2GjFB9V5kHgrOCXn3sI9","Run the Jewels 3","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2016-12-25","https://i.scdn.co/image/ab67616d0000b273c48e082c2f19af0edf06f18a","1","10","221173","https://p.scdn.co/mp3-preview/2036992faabee16dc23ad0005320ab8f696cc21f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-03T00:59:13Z"
"spotify:track:4fumqzvYdAWYo9DuNeFNoJ","2 Blunted","spotify:artist:4SQdUpG4f7UbkJG3cJ2Iyj","Arca","spotify:album:0EENZAipASKMdo404CPRwE","Stretch 2","spotify:artist:4SQdUpG4f7UbkJG3cJ2Iyj","Arca","2014-12-02","https://i.scdn.co/image/ab67616d0000b2739517be0b97741ffada9167a8","1","4","107194","https://p.scdn.co/mp3-preview/35807360dfb7a153bca817cfeb3b0e52d7a84cc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-03-13T05:46:59Z"
"spotify:track:7Mhe0866wf1ZFXymhtdlwq","Fuck a Bitch","spotify:artist:213i4NKah1DX9q0FNiKsuw, spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","The Bug, Death Grips","spotify:album:1VtXF7X88haeELGGHPnn1m","Angels & Devils","spotify:artist:213i4NKah1DX9q0FNiKsuw","The Bug","2014-08-25","https://i.scdn.co/image/ab67616d0000b2734529bbfce5089708287aac76","1","9","184832","https://p.scdn.co/mp3-preview/4d9ea14da508648cd13475e2574068fe52919db7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-09-11T22:56:12Z"
"spotify:track:6yaYG1GgD0cYJvvbB02iRz","Warping","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:4dIPUQHheyH9e6ioplvNT2","Bottomless Pit","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2016-05-06","https://i.scdn.co/image/ab67616d0000b273a154492c2d4d630f1eae8a3a","1","4","174278","https://p.scdn.co/mp3-preview/fe9baa0cddb3d40f0d5734b7f0b98fbb7c26d59c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-02-01T04:20:50Z"
"spotify:track:5TQMTo6N9QB7q9Im1iVfkV","Don't Bang My Line (feat. Night Lovell)","spotify:artist:4nXOZlYoAD67hF9aUEncMY, spotify:artist:2y246nnP9pQT0E6v3ZMMOO","Pouya, Night Lovell","spotify:album:08WwBA0maVmt0ZaMXJwVzK","FIVE FIVE","spotify:artist:4nXOZlYoAD67hF9aUEncMY","Pouya","2018-03-05","https://i.scdn.co/image/ab67616d0000b273a44f476f600594bd9025e13d","1","7","179103","https://p.scdn.co/mp3-preview/05fcb9a65593457cd60bd1c9086bc39b92d0083b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-04-09T15:48:12Z"
