"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2kTWcP2fid9TKLdcRuiAq4","Street Fighter Mas","spotify:artist:6HQYnRM4OzToCYPpVBInuU","Kamasi Washington","spotify:album:2aBgwU4zIm1tekGzphKYp8","Heaven and Earth","spotify:artist:6HQYnRM4OzToCYPpVBInuU","Kamasi Washington","2018-06-22","https://i.scdn.co/image/ab67616d0000b273702dad23d0edfa57eeeb4a67","2","3","358151","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-28T18:17:49Z"
"spotify:track:2csZLnXBMuw6ETZuRxdUZF","Black Balloons Reprise","spotify:artist:29XOeO6KIWxGthejQqn793, spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Flying Lotus, Denzel Curry","spotify:album:5WfDyog8yO7ZF8JdJxeZfl","Flamagra","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2019-05-24","https://i.scdn.co/image/ab67616d0000b273d79875c5339df68a02975881","1","12","161971","https://p.scdn.co/mp3-preview/0205a6f68bf621e1d8b50b57db9cd00fcd1ef0ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-28T18:22:39Z"
"spotify:track:1Y2ExJJ9Dmb9po8K0ybSj3","All Caps","spotify:artist:2aoFQUeHD1U7pL098lRsDU, spotify:artist:5LhTec3c7dcqBvpLRWbMcf, spotify:artist:2pAWfrd7WFF3XhVt9GooDL","Madvillain, Madlib, MF DOOM","spotify:album:01FCoGEQ3NFWF4fHJzdiax","Madvillainy","spotify:artist:2aoFQUeHD1U7pL098lRsDU, spotify:artist:5LhTec3c7dcqBvpLRWbMcf, spotify:artist:2pAWfrd7WFF3XhVt9GooDL","Madvillain, Madlib, MF DOOM","2004-03-24","https://i.scdn.co/image/ab67616d0000b27302abe1eaf9da931f42629b4a","1","20","130479","https://p.scdn.co/mp3-preview/336c39746f14506a147843425e5d077a945de52d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-28T18:17:26Z"
"spotify:track:7hY2Kc7Hvu0BudOoQwu8Ez","Kascade","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:3BfAgyF1AdYKaOO7EBoDw4","The Joy of Motion","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2014-03-25","https://i.scdn.co/image/ab67616d0000b2731ce45979342c65ecddf9f72e","1","1","323728","https://p.scdn.co/mp3-preview/5469353435eea7a08c416ba896325b7139afbb08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-28T18:24:27Z"
"spotify:track:5EM6ySpK1SYeof4jm72psM","The Coma Machine","spotify:artist:2JC4hZm1egeJDEolLsMwZ9","Between The Buried And Me","spotify:album:565p3zaZbgQ0VkdIg8Xbxn","Coma Ecliptic","spotify:artist:2JC4hZm1egeJDEolLsMwZ9","Between The Buried And Me","2015-07-10","https://i.scdn.co/image/ab67616d0000b2736dcb7206988880f9750266fc","1","2","455920","https://p.scdn.co/mp3-preview/d388cb10cfcd87e1bf4f71743efe934781a77320?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-28T18:35:02Z"
"spotify:track:4XQDrALwqj4J1YPqg58sDV","Champion Of Death","spotify:artist:1VPmR4DJC1PlOtd0IADAO0","$uicideboy$","spotify:album:2WI0MZ3Jb7WmcpF3CQiNJx","Radical $uicide","spotify:artist:1VPmR4DJC1PlOtd0IADAO0, spotify:artist:3QryVD03gGZOLQQXjy3EoA","$uicideboy$, Getter","2016-07-22","https://i.scdn.co/image/ab67616d0000b273c45b16235992f5dffca1e705","1","2","116000","","true","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-28T18:20:49Z"
"spotify:track:4VsMart0lkjUtyQnmxloK6","$outh $ide $uicide","spotify:artist:1VPmR4DJC1PlOtd0IADAO0, spotify:artist:4nXOZlYoAD67hF9aUEncMY","$uicideboy$, Pouya","spotify:album:4c883HVf99qEtZNFzprNli","High Tide In The Snake's Nest","spotify:artist:1VPmR4DJC1PlOtd0IADAO0","$uicideboy$","2015-06-15","https://i.scdn.co/image/ab67616d0000b273bbd2c3fb76c9c0e8aeca82ed","1","3","169319","","true","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-28T18:21:22Z"
"spotify:track:3vEmpJQC2p8h0U3OiBufQm","Army of Me","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:2Ul7B1LEHxXzYubtkTMENs","Post","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1995-06-13","https://i.scdn.co/image/ab67616d0000b2736aba91ac61162caeeef14460","1","1","234333","https://p.scdn.co/mp3-preview/ad6bf7010b86b4b20623904483a14fdbdbd7106f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-28T18:19:35Z"
"spotify:track:5uqr3lCMWkyQx6yTvoMl4F","Rational Gaze","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:4ucDcX8iPgBKY9zAJyHOjy","Nothing","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2002-09-16","https://i.scdn.co/image/ab67616d0000b273980d62aa36e2aadcfe54acd8","1","2","304493","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-28T18:32:37Z"
"spotify:track:2lR3REI1dq2Q64d9yeaaGN","Nightbringers","spotify:artist:4xTDPgk4jHCF0qui3dH6BS","The Black Dahlia Murder","spotify:album:3M9PaUc9DND0HiziKbnedS","Nightbringers","spotify:artist:4xTDPgk4jHCF0qui3dH6BS","The Black Dahlia Murder","2017-10-06","https://i.scdn.co/image/ab67616d0000b2734f129e763cfb37a2ba0c7998","1","4","215706","https://p.scdn.co/mp3-preview/13f85f1892519f3aa3db9c513178130ac6229ea5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-28T18:33:12Z"
