"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0VzeJcltQjixjewi0VSRLq","Siesta","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","spotify:album:5hUjimESHfgftKXaM5nk7E","Transit","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","2014-11-10","https://i.scdn.co/image/ab67616d0000b273acaacb1b74595b5b24ec27ee","1","1","250453","https://p.scdn.co/mp3-preview/4ede20ff1834aee0cc47f6dd8a4e0f0bab16d624?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-31T05:32:19Z"
"spotify:track:0SBEzLxFBECIyxUTEFJgSv","Simple","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","spotify:album:5hUjimESHfgftKXaM5nk7E","Transit","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","2014-11-10","https://i.scdn.co/image/ab67616d0000b273acaacb1b74595b5b24ec27ee","1","2","141978","https://p.scdn.co/mp3-preview/a0f1977697ba329c78a6c2cb9546116ab51ef118?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-31T05:32:19Z"
"spotify:track:6DQbjl9sZWz7Cd0Wnc9SOT","Sound Garden","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","spotify:album:5hUjimESHfgftKXaM5nk7E","Transit","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","2014-11-10","https://i.scdn.co/image/ab67616d0000b273acaacb1b74595b5b24ec27ee","1","3","256986","https://p.scdn.co/mp3-preview/530f701787687e9ca722ea933594faf86a1c2e37?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-31T05:32:19Z"
"spotify:track:6yAPBF2E4QfcitKoKRiovS","If Music Was That Easy","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","spotify:album:5hUjimESHfgftKXaM5nk7E","Transit","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","2014-11-10","https://i.scdn.co/image/ab67616d0000b273acaacb1b74595b5b24ec27ee","1","4","202469","https://p.scdn.co/mp3-preview/338e8d080716adad1faed33f733cf2096aa13bb9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-31T05:32:19Z"
"spotify:track:1nqWzXuPLjJWoLPAXtIu2Q","Snow","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","spotify:album:5hUjimESHfgftKXaM5nk7E","Transit","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","2014-11-10","https://i.scdn.co/image/ab67616d0000b273acaacb1b74595b5b24ec27ee","1","5","217160","https://p.scdn.co/mp3-preview/17408b5bfe68826e227b9cc0997f5ccd89b24474?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-31T05:32:19Z"
"spotify:track:7wDZW9hN9fAXOzEffY7ejA","Saragossa","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","spotify:album:5hUjimESHfgftKXaM5nk7E","Transit","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","2014-11-10","https://i.scdn.co/image/ab67616d0000b273acaacb1b74595b5b24ec27ee","1","6","163253","https://p.scdn.co/mp3-preview/96b9eda8d23f0de4b05fb7a206030309abb9850b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-31T05:32:19Z"
"spotify:track:3YIuk0gHbnOsLSvXVlUPCw","Transit","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","spotify:album:5hUjimESHfgftKXaM5nk7E","Transit","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","2014-11-10","https://i.scdn.co/image/ab67616d0000b273acaacb1b74595b5b24ec27ee","1","7","285493","https://p.scdn.co/mp3-preview/710d6212031120b56245198a10f6ec3f7e66b958?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-31T05:32:19Z"
"spotify:track:3j76McoUI18gDoqxYE14Bu","Sea","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","spotify:album:5hUjimESHfgftKXaM5nk7E","Transit","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","2014-11-10","https://i.scdn.co/image/ab67616d0000b273acaacb1b74595b5b24ec27ee","1","8","275935","https://p.scdn.co/mp3-preview/d154ecaf7df8206c02223394a92b1707efe2a5a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-31T05:32:19Z"
"spotify:track:0oJwIp9WU93EKP9tL6l0d6","Sigma","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","spotify:album:5hUjimESHfgftKXaM5nk7E","Transit","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","2014-11-10","https://i.scdn.co/image/ab67616d0000b273acaacb1b74595b5b24ec27ee","1","9","289080","https://p.scdn.co/mp3-preview/4fc958cbeff8109d09e26391ed3b79982f1f8d5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-31T05:32:19Z"
"spotify:track:4avPfjef8eCNocDhe1PzXY","Surround","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","spotify:album:5hUjimESHfgftKXaM5nk7E","Transit","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","2014-11-10","https://i.scdn.co/image/ab67616d0000b273acaacb1b74595b5b24ec27ee","1","10","183266","https://p.scdn.co/mp3-preview/68da918d0beb8eacbad21862238f50e7ff9f9722?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-31T05:32:19Z"
"spotify:track:5XZ3lSY3MDL1DExF77kPyA","Switch","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","spotify:album:5hUjimESHfgftKXaM5nk7E","Transit","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","2014-11-10","https://i.scdn.co/image/ab67616d0000b273acaacb1b74595b5b24ec27ee","1","11","193346","https://p.scdn.co/mp3-preview/89849863eb6fd86df6779c16d397c5cbba8fcfb8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-31T05:32:19Z"
"spotify:track:320ehnEo8iPidSSzMpqHsD","Sunset","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","spotify:album:5hUjimESHfgftKXaM5nk7E","Transit","spotify:artist:4NMgXxIMZeiJ5PqxdA0t6q","Skalpel","2014-11-10","https://i.scdn.co/image/ab67616d0000b273acaacb1b74595b5b24ec27ee","1","12","245080","https://p.scdn.co/mp3-preview/8fed7281e875a924152f004874f01586afb2a304?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-31T05:32:19Z"
"spotify:track:1sVPnm3MQqQGaCUH1OO8NV","Noctuary","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:6TaDSeHRXqw06H2PlYsD5K","Dial 'M' for Monkey","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2003-06-17","https://i.scdn.co/image/ab67616d0000b273383a4bb71daef9859ba98259","1","1","322373","https://p.scdn.co/mp3-preview/7977e4cb922d901c87708a9fdb4c33860fb19ba8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-26T05:10:49Z"
"spotify:track:5K8WNrf5JvmBE6O0MbSRuJ","Flutter","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:6TaDSeHRXqw06H2PlYsD5K","Dial 'M' for Monkey","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2003-06-17","https://i.scdn.co/image/ab67616d0000b273383a4bb71daef9859ba98259","1","2","284280","https://p.scdn.co/mp3-preview/f55774232c38ce58fde3b0d74223e9d304e46e62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-26T05:10:49Z"
"spotify:track:4d9LscecWjNIkll4aY52Fi","D Song","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:6TaDSeHRXqw06H2PlYsD5K","Dial 'M' for Monkey","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2003-06-17","https://i.scdn.co/image/ab67616d0000b273383a4bb71daef9859ba98259","1","3","319666","https://p.scdn.co/mp3-preview/2922ab323ae864c7f51b887833105712ca1d5fd4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-26T05:10:49Z"
"spotify:track:7eDNiX2DbNo7xhLlgjlGrh","Change Down","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:6TaDSeHRXqw06H2PlYsD5K","Dial 'M' for Monkey","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2003-06-17","https://i.scdn.co/image/ab67616d0000b273383a4bb71daef9859ba98259","1","4","273013","https://p.scdn.co/mp3-preview/5adc403103ffeb5e2660af8d7683bb7bbaeffce9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-26T05:10:49Z"
"spotify:track:5yzHZcrhsAERJd1LyRqzYN","Wayward Bob","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:6TaDSeHRXqw06H2PlYsD5K","Dial 'M' for Monkey","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2003-06-17","https://i.scdn.co/image/ab67616d0000b273383a4bb71daef9859ba98259","1","5","279066","https://p.scdn.co/mp3-preview/5ff92946d15cdfba0ed7e37842d37238b7592926?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-26T05:10:49Z"
"spotify:track:0fhoxg8I2MqRFjTrLFIIuO","Pick Up","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:6TaDSeHRXqw06H2PlYsD5K","Dial 'M' for Monkey","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2003-06-17","https://i.scdn.co/image/ab67616d0000b273383a4bb71daef9859ba98259","1","6","248746","https://p.scdn.co/mp3-preview/81747998cb01adb4b9690f6258860fdb3a49b20f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-26T05:10:49Z"
"spotify:track:48ppHBSOoD5Iz1gV3pjfOC","Something for Windy","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:6TaDSeHRXqw06H2PlYsD5K","Dial 'M' for Monkey","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2003-06-17","https://i.scdn.co/image/ab67616d0000b273383a4bb71daef9859ba98259","1","7","71253","https://p.scdn.co/mp3-preview/b7d14f5fc68b8b4078f82057f110412494582cc7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-26T05:10:49Z"
"spotify:track:6VhlABJh5uaZOpyyi5wute","Nothing Owed","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:6TaDSeHRXqw06H2PlYsD5K","Dial 'M' for Monkey","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2003-06-17","https://i.scdn.co/image/ab67616d0000b273383a4bb71daef9859ba98259","1","8","376533","https://p.scdn.co/mp3-preview/4691fad947e84c6022482ba940533d8d01e10030?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-26T05:10:49Z"
"spotify:track:2uMgJzJjDPl6DAMlbOOlIX","Light Pattern","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:6TaDSeHRXqw06H2PlYsD5K","Dial 'M' for Monkey","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2003-06-17","https://i.scdn.co/image/ab67616d0000b273383a4bb71daef9859ba98259","1","9","312040","https://p.scdn.co/mp3-preview/6ff4a63860f501063b3699a8bb23e2b8feb80666?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-26T05:10:49Z"
"spotify:track:7uv632EkfwYhXoqf8rhYrg","Angel","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:49MNmJhZQewjt06rpwp6QR","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1998-01-01","https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e","1","1","379533","https://p.scdn.co/mp3-preview/d8d069e27fd103a2fbb34fe9932dcbba686e31e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-03-26T05:11:02Z"
