"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4nu0khfGito8P8bneRdzQt","All I Can Do","spotify:artist:5ar4zFgUQG1RsH8nhmjOeM","Robotaki","spotify:album:0KetSvYXs02gDhnGqJClKx","All I Can Do","spotify:artist:5ar4zFgUQG1RsH8nhmjOeM","Robotaki","2019-02-01","https://i.scdn.co/image/ab67616d0000b27387c026c9ecdc7f7556366b6c","1","1","201948","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:45Z"
"spotify:track:0rKtyWc8bvkriBthvHKY8d","SLOW DANCING IN THE DARK","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","spotify:album:34GQP3dILpyCN018y2k61L","BALLADS 1","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","2018-10-26","https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2","1","2","209273","https://p.scdn.co/mp3-preview/483355f39bb264b9828633561ab14a7a48e75270?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:45Z"
"spotify:track:2e4bpRLZAQm572Oej0Uhzl","I Revel in You","spotify:artist:1qlafOeHOtRUZR4AOxlOkF","JORDANN","spotify:album:0ET7giQLXh0tebl8pESXkn","I Revel in You","spotify:artist:1qlafOeHOtRUZR4AOxlOkF","JORDANN","2018-04-06","https://i.scdn.co/image/ab67616d0000b2730451d05893de90e021b17896","1","1","213570","","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:45Z"
"spotify:track:7pegxVesMmE2qK0o58xoFG","Homage","spotify:artist:5J81VungUjSVHxlPpTI9KG","Mild High Club","spotify:album:1qMDN9zRQreK81cJ9G1hed","Skiptracing","spotify:artist:5J81VungUjSVHxlPpTI9KG","Mild High Club","2016-08-26","https://i.scdn.co/image/ab67616d0000b273f21a3ad00e4ba69911d61bcc","1","2","177493","https://p.scdn.co/mp3-preview/bcf73a0512269fab6d403fe6caf4ee26f80a6595?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:45Z"
"spotify:track:76tGvMdmFKuiMew33ZNNA9","Lover Is a Day","spotify:artist:2Tglaf8nvDzwSQnpSrjLHP","Cuco","spotify:album:6dpQfnFTwIXPJ864jeldWW","Wannabewithu","spotify:artist:2Tglaf8nvDzwSQnpSrjLHP","Cuco","2016-07-09","https://i.scdn.co/image/ab67616d0000b2733d543b0dfe18c4bae839de3b","1","1","456000","https://p.scdn.co/mp3-preview/dea9bbc68dd182a05c331b778ca37d3536a7a29b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:45Z"
"spotify:track:3ishRxjsqYVk6FdAGeeUAP","Set Piece","spotify:artist:6ft7JnxMyZhp7N52qzHymY, spotify:artist:4Qz5J3GBpmR1LcPgqFbzlW, spotify:artist:59XmvE08Ar9UZIF6oVsd3J","Vansire, sophie meiers, Ivy Sole","spotify:album:3Zqe5icElI6gNEM9v3UpXN","Angel Youth","spotify:artist:6ft7JnxMyZhp7N52qzHymY","Vansire","2018-04-26","https://i.scdn.co/image/ab67616d0000b273c556c8613499c8e465d3ba3c","1","13","199490","https://p.scdn.co/mp3-preview/e4bb8ea99924cc8db92ae47be81247b11b32e2c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:45Z"
"spotify:track:2QLNDKL7hZyh2OZ8UL9WrV","Hope","spotify:artist:6LEeAFiJF8OuPx747e1wxR, spotify:artist:59wfkuBoNyhDMQGCljbUbA, spotify:artist:1xcMOgFUM1IYZE22YjCvsL","Blood Orange, Diddy, Tei Shi","spotify:album:7bvmGyFDwpHNRRRZJ0AHvn","Negro Swan","spotify:artist:6LEeAFiJF8OuPx747e1wxR","Blood Orange","2018-08-24","https://i.scdn.co/image/ab67616d0000b27347dd2ca47ec9bf14559e17c6","1","4","239767","https://p.scdn.co/mp3-preview/1c3788d5f37a453306d2a639e39bacfd247830ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:45Z"
"spotify:track:7lOu7GiVEdPaJoEXJopqHF","Notice Me","spotify:artist:1NpKmfDYMhw1KJIIUCsX4O","Mija","spotify:album:2OfeFP5z3P9zM9REYiuyoy","HOW TO MEASURE THE DISTANCE BETWEEN LOVERS","spotify:artist:1NpKmfDYMhw1KJIIUCsX4O","Mija","2018-02-09","https://i.scdn.co/image/ab67616d0000b2735318e990321287ebc3de74d2","1","1","193472","https://p.scdn.co/mp3-preview/85f3796585eca0aa060bbb1447565e8a1d49d21d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:45Z"
"spotify:track:2tnUFMh3wQk6LHhECsDDlV","Electric Love","spotify:artist:1KP6TWI40m7p3QBTU6u2xo","BØRNS","spotify:album:7EKAfEIc9vry1WVbavPq15","Electric Love","spotify:artist:1KP6TWI40m7p3QBTU6u2xo","BØRNS","2015-08-19","https://i.scdn.co/image/ab67616d0000b27329f3880963f220913c8b01d7","1","1","218173","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:45Z"
"spotify:track:2jiPHbFX5XM8TjaTfYJ0eo","Stolen Dance","spotify:artist:1hzfo8twXdOegF3xireCYs","Milky Chance","spotify:album:1CEBG1qVlHZr6v7eHAVF4W","Sadnecessary","spotify:artist:1hzfo8twXdOegF3xireCYs","Milky Chance","2013-05-31","https://i.scdn.co/image/ab67616d0000b27323444c767d67417474f103e3","1","11","313684","https://p.scdn.co/mp3-preview/a171b659138a0bf91220d494a73d7131f172e4cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:45Z"
