"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:20Ppd4P1UbfMacz1mXYiDU","The Anal Staircase","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","spotify:album:5lFQkFWPZfdNmEL1EaJICq","Horse Rotorvator","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","1986","https://i.scdn.co/image/ab67616d0000b273c0a4f768b2a2b7d0c4c1b7ad","1","1","241733","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-19T23:26:14Z"
"spotify:track:4hSYlGLdD0rVntMmp6ToYd","Slur","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","spotify:album:5lFQkFWPZfdNmEL1EaJICq","Horse Rotorvator","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","1986","https://i.scdn.co/image/ab67616d0000b273c0a4f768b2a2b7d0c4c1b7ad","1","2","210760","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-19T23:26:14Z"
"spotify:track:0W3RousZ1Ls8lrYUIo2gad","Babylero","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","spotify:album:5lFQkFWPZfdNmEL1EaJICq","Horse Rotorvator","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","1986","https://i.scdn.co/image/ab67616d0000b273c0a4f768b2a2b7d0c4c1b7ad","1","3","51440","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-19T23:26:14Z"
"spotify:track:3mq9m1BnA1oAvl1voC49Ll","Ostia - The Death of Pasolini","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","spotify:album:5lFQkFWPZfdNmEL1EaJICq","Horse Rotorvator","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","1986","https://i.scdn.co/image/ab67616d0000b273c0a4f768b2a2b7d0c4c1b7ad","1","4","383266","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-19T23:26:14Z"
"spotify:track:6dEMiH2jsdyMimXAr4oi1F","Herald","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","spotify:album:5lFQkFWPZfdNmEL1EaJICq","Horse Rotorvator","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","1986","https://i.scdn.co/image/ab67616d0000b273c0a4f768b2a2b7d0c4c1b7ad","1","5","63066","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-19T23:26:14Z"
"spotify:track:5tNb9UdRSREaVCPmOtZKzh","Penetralia","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","spotify:album:5lFQkFWPZfdNmEL1EaJICq","Horse Rotorvator","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","1986","https://i.scdn.co/image/ab67616d0000b273c0a4f768b2a2b7d0c4c1b7ad","1","6","370960","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-19T23:26:14Z"
"spotify:track:3pnX4PaYapM7wKSWlhRSl2","Ravenous","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","spotify:album:5lFQkFWPZfdNmEL1EaJICq","Horse Rotorvator","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","1986","https://i.scdn.co/image/ab67616d0000b273c0a4f768b2a2b7d0c4c1b7ad","1","7","206640","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-19T23:26:14Z"
"spotify:track:6jeRjYjiXAG8dHhO8Tki0v","Circles of Mania","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","spotify:album:5lFQkFWPZfdNmEL1EaJICq","Horse Rotorvator","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","1986","https://i.scdn.co/image/ab67616d0000b273c0a4f768b2a2b7d0c4c1b7ad","1","8","301760","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-19T23:26:14Z"
"spotify:track:7699VKZpwNrkVWeWIwWN13","Blood from the Air","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","spotify:album:5lFQkFWPZfdNmEL1EaJICq","Horse Rotorvator","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","1986","https://i.scdn.co/image/ab67616d0000b273c0a4f768b2a2b7d0c4c1b7ad","1","9","332266","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-19T23:26:14Z"
"spotify:track:0E9NxWSyaBzHC3dSZIpxLS","Who by Fire","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","spotify:album:5lFQkFWPZfdNmEL1EaJICq","Horse Rotorvator","spotify:artist:37KB5e6cGsN1AQAB9Omm1U","Coil","1986","https://i.scdn.co/image/ab67616d0000b273c0a4f768b2a2b7d0c4c1b7ad","1","10","157400","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-19T23:26:14Z"
