"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:445bOuJYFe1TGD3FhXPgBU","Hare Tarot Lies","spotify:artist:5N7DAaXV1EVXS8h2wyYrx2","No Joy","spotify:album:3p2A8RkX6RHmDO1LYfMWXr","Wait To Pleasure","spotify:artist:5N7DAaXV1EVXS8h2wyYrx2","No Joy","2013-04-23","https://i.scdn.co/image/ab67616d0000b273c9f318ce58ff61eec0a72a70","1","2","206023","https://p.scdn.co/mp3-preview/0dc62b254c1ed939a8553e3a7b7f55aa16c22bf5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T21:01:59Z"
"spotify:track:5qZ4c1EBVWpmz1GBaks8Uq","Bloodhail","spotify:artist:0FRKTwQSToXpCxYMhyUzYY","Have A Nice Life","spotify:album:6MH3CAXp8AN8ELrbex18dM","Deathconsciousness","spotify:artist:0FRKTwQSToXpCxYMhyUzYY","Have A Nice Life","2008-01-01","https://i.scdn.co/image/ab67616d0000b273a54f2b401501b3569990c256","1","2","338000","https://p.scdn.co/mp3-preview/b8431102c85e05481681510bfe2ad4ba42a18f97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T20:54:03Z"
"spotify:track:0ZdviWQ9dmO2doDba1DtA2","No Cities To Love","spotify:artist:4wLIbcoqmqI4WZHDiBxeCB","Sleater-Kinney","spotify:album:1l7gMbzE7RRAdYddJSfM5B","No Cities to Love","spotify:artist:4wLIbcoqmqI4WZHDiBxeCB","Sleater-Kinney","2015-01-20","https://i.scdn.co/image/ab67616d0000b27357994b5e87c4e5e67ee43996","1","4","185800","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T20:48:25Z"
"spotify:track:4K2NIujyyDDsLeRicsGpsQ","Red Light Green Light","spotify:artist:4PzjNCFCQaozuOTez1NSKp, spotify:artist:03xb2BUdIFzuRQ6o88yfCB","Wellwater Conspiracy, Josh Homme","spotify:album:2UiG4SGY3eKHVQ6MkzIGYQ","Brotherhood Of Electric","spotify:artist:4PzjNCFCQaozuOTez1NSKp","Wellwater Conspiracy","1999-01-01","https://i.scdn.co/image/ab67616d0000b273a781f456e58baf543410bf79","1","7","179000","https://p.scdn.co/mp3-preview/d04b72ece29a58fb1d5beef24afb417209928398?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T21:08:35Z"
"spotify:track:2G2k2ZFsQkIEkAWDTvqHXM","Selfish","spotify:artist:6eXZu6O7nAUA5z6vLV8NKI, spotify:artist:3ETLPQkcEd7z4k3IbZmXMq","Little Simz, Cleo Sol","spotify:album:4Wwm4xg2748zhYuzDRFTgY","GREY Area","spotify:artist:6eXZu6O7nAUA5z6vLV8NKI","Little Simz","2019-03-01","https://i.scdn.co/image/ab67616d0000b2731c54fc953531d5da04232deb","1","3","226096","https://p.scdn.co/mp3-preview/8278bf516017c9b3e71102edd458865135967dcd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T21:21:47Z"
"spotify:track:0vPepcVQ3aYlkhTtfCBg89","Strange Ones","spotify:artist:0sHeX8oQ6o7xic3wMf4NBU","Supergrass","spotify:album:3YfIjaJEWqiSbKPguS9Bxd","I Should Coco","spotify:artist:0sHeX8oQ6o7xic3wMf4NBU","Supergrass","1995-05-15","https://i.scdn.co/image/ab67616d0000b2737d2fd2378160e40c96bc61ff","1","7","259760","https://p.scdn.co/mp3-preview/d84dd0c9ff13d4e64d2fbb0a4b51bd840285d782?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T20:55:57Z"
"spotify:track:0y7xGpMrtXJMpCNosy293B","Curl of the Burl","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","spotify:album:5Zjhls03el4wXkmtcZEi8b","The Hunter","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","2011-09-27","https://i.scdn.co/image/ab67616d0000b2730f3da21da9d30c4e776fc8d4","1","2","220133","https://p.scdn.co/mp3-preview/ba5eb12f6eed0d8502f6a68075d7c14b17cdd730?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T20:57:42Z"
"spotify:track:4RtL381bftPtvQhOpO5S3z","SLAVES OF FEAR","spotify:artist:6FfjnGXMhxSsJTuGLWBDth","HEALTH","spotify:album:1wIuFndiINuEZLFg3OIWGf","VOL. 4 :: SLAVES OF FEAR","spotify:artist:6FfjnGXMhxSsJTuGLWBDth","HEALTH","2019-02-08","https://i.scdn.co/image/ab67616d0000b273b8da493a15e363b6c5e9dc30","1","11","293333","https://p.scdn.co/mp3-preview/5fa724b8876db7fe332c97612b8da17686196481?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T21:23:07Z"
"spotify:track:0oPnyCLqcn2ZNzwy5pLKDR","Holy Fucking Shit: 40,000","spotify:artist:0FRKTwQSToXpCxYMhyUzYY","Have A Nice Life","spotify:album:6MH3CAXp8AN8ELrbex18dM","Deathconsciousness","spotify:artist:0FRKTwQSToXpCxYMhyUzYY","Have A Nice Life","2008-01-01","https://i.scdn.co/image/ab67616d0000b273a54f2b401501b3569990c256","1","9","386500","https://p.scdn.co/mp3-preview/ea1a2f0b9d702c40ca8bc9dd202f464e80d6b84e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T20:54:51Z"
"spotify:track:6791xRWIf9DWEudbE7cg9v","Another Year","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:3BfAgyF1AdYKaOO7EBoDw4","The Joy of Motion","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2014-03-25","https://i.scdn.co/image/ab67616d0000b2731ce45979342c65ecddf9f72e","1","4","230934","https://p.scdn.co/mp3-preview/316493fd3ba1f7a30e1a88bf18fbf15028f5ba28?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T20:59:11Z"
"spotify:track:3jzerzfM8lLFej7MAry7qG","Kandaiki","spotify:artist:497rp5TEzJffeBnUT0BeE1","Mammal Hands","spotify:album:4y83vqVrHDM6ZVK9oyOjhG","Animalia","spotify:artist:497rp5TEzJffeBnUT0BeE1","Mammal Hands","2014-09-15","https://i.scdn.co/image/ab67616d0000b273f7857cc64d967e017053e050","1","3","315693","https://p.scdn.co/mp3-preview/6134351260b5e7fa7efcc7b00e8e8626ebee2fa5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T21:01:40Z"
"spotify:track:6pv03nokDcH7JLP1IemgG6","DTMFA","spotify:artist:6YHfq8Pg3lZPo1u0PaQ8ob","Speedy Ortiz","spotify:album:05z68XIEA3Ihppp4gdNDA9","DTMFA / Bigger Party (Adult Swim Singles)","spotify:artist:6YHfq8Pg3lZPo1u0PaQ8ob","Speedy Ortiz","2018-10-12","https://i.scdn.co/image/ab67616d0000b2738d90cd61fdd82c00f81c4de9","1","1","197426","https://p.scdn.co/mp3-preview/03cfd812c1762b00769864d7372590cc5174422d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T21:02:57Z"
"spotify:track:6iU4r1gv8YZmWWq4kJknNh","Sixteen Days","spotify:artist:4skJp5OKvcc9eKokiuhi2s","Pond","spotify:album:4K7jmZcYAmNlKdIxqKUbH6","Tasmania","spotify:artist:4skJp5OKvcc9eKokiuhi2s","Pond","2019-03-01","https://i.scdn.co/image/ab67616d0000b273497bfb65d87a9f1bb40eb714","1","2","173440","https://p.scdn.co/mp3-preview/52851dbd3c12ad7e72d7c7611562f0cd2f73f25b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-15T21:03:20Z"
