"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6cTvR35cvugp2SLSPsnzy0","Prepare For Attack","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","spotify:album:7275posUjEJ7H9tLyaxyLH","Time Is Up","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","2011-03-29","https://i.scdn.co/image/ab67616d0000b2739c910b2c3a453609971589ac","1","1","236893","https://p.scdn.co/mp3-preview/7e658cc3059c0e3748a423a604300c1eceb7090b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:12Z"
"spotify:track:3pxZDIRFzVpQINTg68scGv","Fatal Intervention","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","spotify:album:7275posUjEJ7H9tLyaxyLH","Time Is Up","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","2011-03-29","https://i.scdn.co/image/ab67616d0000b2739c910b2c3a453609971589ac","1","2","267760","https://p.scdn.co/mp3-preview/f168a432f9304de84e0c86dbbc8c331a089ea5bd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:12Z"
"spotify:track:0JC0x6Jqssw5Zv5YfuZxBx","No Amnesty","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","spotify:album:7275posUjEJ7H9tLyaxyLH","Time Is Up","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","2011-03-29","https://i.scdn.co/image/ab67616d0000b2739c910b2c3a453609971589ac","1","3","209733","https://p.scdn.co/mp3-preview/251a9b5631770a3884aa906731c13a8ffb879fe7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:12Z"
"spotify:track:2U0zWKGPIdzhTdoK24ycLa","D.O.A.","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","spotify:album:7275posUjEJ7H9tLyaxyLH","Time Is Up","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","2011-03-29","https://i.scdn.co/image/ab67616d0000b2739c910b2c3a453609971589ac","1","4","223200","https://p.scdn.co/mp3-preview/2d8f5e30c501ef57979cd4cdd2a7713ec39be8ef?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:12Z"
"spotify:track:2NAlV4SE0J2ffLQX1nmwT9","Covering Fire","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","spotify:album:7275posUjEJ7H9tLyaxyLH","Time Is Up","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","2011-03-29","https://i.scdn.co/image/ab67616d0000b2739c910b2c3a453609971589ac","1","5","255026","https://p.scdn.co/mp3-preview/f9fb82323d08411fe900bdb6ea0f3a11e193a97c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:12Z"
"spotify:track:3cEeEufXHrk77fKCJEF5DY","Killing Tendencies","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","spotify:album:7275posUjEJ7H9tLyaxyLH","Time Is Up","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","2011-03-29","https://i.scdn.co/image/ab67616d0000b2739c910b2c3a453609971589ac","1","6","332093","https://p.scdn.co/mp3-preview/de4096442014f7a3f211841b0e1ed516e0a319f3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:12Z"
"spotify:track:2JXrdXiYzbEXse77VbVaes","Scumbag In Disguise","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","spotify:album:7275posUjEJ7H9tLyaxyLH","Time Is Up","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","2011-03-29","https://i.scdn.co/image/ab67616d0000b2739c910b2c3a453609971589ac","1","7","273840","https://p.scdn.co/mp3-preview/faa1fc790c74f30917640e6a45653f786041f877?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:12Z"
"spotify:track:5PIAhLXuldpcaCp6GwC1Ws","The Cleric","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","spotify:album:7275posUjEJ7H9tLyaxyLH","Time Is Up","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","2011-03-29","https://i.scdn.co/image/ab67616d0000b2739c910b2c3a453609971589ac","1","8","285520","https://p.scdn.co/mp3-preview/ec459fc26bfab3b6140fb5bb567e17a9193ca339?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:12Z"
"spotify:track:2kWxWAGCHxcgHCgSD7HWkG","Out Of My Way","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","spotify:album:7275posUjEJ7H9tLyaxyLH","Time Is Up","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","2011-03-29","https://i.scdn.co/image/ab67616d0000b2739c910b2c3a453609971589ac","1","9","200066","https://p.scdn.co/mp3-preview/c3df3fc0631964be4b422acbee854eaabff5383b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:12Z"
"spotify:track:0tWwnvGE1l7Q5RTzn3czZ8","Time Is Up","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","spotify:album:7275posUjEJ7H9tLyaxyLH","Time Is Up","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","2011-03-29","https://i.scdn.co/image/ab67616d0000b2739c910b2c3a453609971589ac","1","10","239706","https://p.scdn.co/mp3-preview/1b1e48ce75b60592af2f3d59fe1cc6846bbcd7e8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:12Z"
"spotify:track:7KcTQyhYZ1uVS8bVinbU1z","Rising","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","spotify:album:70EBTcTPwRtqqZ6Q11daLi","Slave to the Sword","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","2014-02-04","https://i.scdn.co/image/ab67616d0000b273bad4b1888d3e5c2231e647fb","1","1","225140","https://p.scdn.co/mp3-preview/8eaa63b28471b2ef57c43b3263f1409352c4d4eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:19Z"
"spotify:track:2EWx8H27iUsCSEJv6kR0BI","Slave to the Sword","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","spotify:album:70EBTcTPwRtqqZ6Q11daLi","Slave to the Sword","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","2014-02-04","https://i.scdn.co/image/ab67616d0000b273bad4b1888d3e5c2231e647fb","1","2","302275","https://p.scdn.co/mp3-preview/e2fc66f4d85fcaf0db855772072b1f93cf7703ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:19Z"
"spotify:track:3qUwyRDnKBCfGl0MZR17uk","Immortality Made Flesh","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","spotify:album:70EBTcTPwRtqqZ6Q11daLi","Slave to the Sword","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","2014-02-04","https://i.scdn.co/image/ab67616d0000b273bad4b1888d3e5c2231e647fb","1","3","337128","https://p.scdn.co/mp3-preview/693f26b9f6db8b8cfa1b6ff22135b6abefc0d0fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:19Z"
"spotify:track:1kZmpq2U89kAZ7yFDH4Ggp","Foe Hammer","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","spotify:album:70EBTcTPwRtqqZ6Q11daLi","Slave to the Sword","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","2014-02-04","https://i.scdn.co/image/ab67616d0000b273bad4b1888d3e5c2231e647fb","1","4","267916","https://p.scdn.co/mp3-preview/56a32ea97922ef743e44587b76a5acc7a0649fd1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:19Z"
"spotify:track:2R1K2q7c8Q3oVfW2xHqHPA","Warrior of the Night","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","spotify:album:70EBTcTPwRtqqZ6Q11daLi","Slave to the Sword","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","2014-02-04","https://i.scdn.co/image/ab67616d0000b273bad4b1888d3e5c2231e647fb","1","5","339071","https://p.scdn.co/mp3-preview/a9f4917ca7b8ea00bce896b987c13c6b3b173079?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:19Z"
"spotify:track:4RduZ0LX9rUcC5H3BRXXwu","Ancient Violence","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","spotify:album:70EBTcTPwRtqqZ6Q11daLi","Slave to the Sword","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","2014-02-04","https://i.scdn.co/image/ab67616d0000b273bad4b1888d3e5c2231e647fb","1","6","266367","https://p.scdn.co/mp3-preview/f9399caff3a8bd5aa5fbb99b15d3b57095cc825f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:19Z"
"spotify:track:2lKANfnW0IJDSSRFO8R9GW","From the Abyss","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","spotify:album:70EBTcTPwRtqqZ6Q11daLi","Slave to the Sword","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","2014-02-04","https://i.scdn.co/image/ab67616d0000b273bad4b1888d3e5c2231e647fb","1","7","341310","https://p.scdn.co/mp3-preview/6e318e1ebe7ed00046f71e4cccfe9bb5a109f1d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:19Z"
"spotify:track:0wOLLDbBUMH7l8k1lBhcQN","Moonlight Sonata (Act 3)","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","spotify:album:70EBTcTPwRtqqZ6Q11daLi","Slave to the Sword","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","2014-02-04","https://i.scdn.co/image/ab67616d0000b273bad4b1888d3e5c2231e647fb","1","8","329890","https://p.scdn.co/mp3-preview/2cfeb35f7b1bf65d55b2afce37b3d0d64fc1c988?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:19Z"
"spotify:track:5iMPB3snRglXb8M3XQlgcc","Battle-Born","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","spotify:album:70EBTcTPwRtqqZ6Q11daLi","Slave to the Sword","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","2014-02-04","https://i.scdn.co/image/ab67616d0000b273bad4b1888d3e5c2231e647fb","1","9","239162","https://p.scdn.co/mp3-preview/6c966a8d97c39aad6c600ecbaf280781d37189d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:19Z"
"spotify:track:2poMA9G06PwrCG5S74ExDs","Metal Is King","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","spotify:album:70EBTcTPwRtqqZ6Q11daLi","Slave to the Sword","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","2014-02-04","https://i.scdn.co/image/ab67616d0000b273bad4b1888d3e5c2231e647fb","1","10","322057","https://p.scdn.co/mp3-preview/5d23cee363fdae185a7d7e76669d431ccb3d59c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:19Z"
"spotify:track:2xByaSB9hN6nr2MUlUsc0I","Malverde","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","spotify:album:5RQlhjpn4qz3q2vRrAGYD9","Murder the Mountains (Deluxe Version)","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","2011-04-12","https://i.scdn.co/image/ab67616d0000b273363e08f434a00b57faa774e7","1","1","242293","https://p.scdn.co/mp3-preview/688caf09ed1bc361a05d41688b8a79d55a03e298?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-30T20:57:47Z"
