"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1EOi3tXcxcLjarKZeLPWze","Cursing The One","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","spotify:album:0z61mrKPPxjoERi8ndZWia","Vænir","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","2015-04-28","https://i.scdn.co/image/ab67616d0000b273d8849d45e8fd34935059caf1","1","1","533914","https://p.scdn.co/mp3-preview/86283cb1886e4b92d2c44b000caca16a91645ace?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-05T02:01:27Z"
"spotify:track:2TnHBSSXEYsWp0z7a0pAHv","We Will Burn","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","spotify:album:0z61mrKPPxjoERi8ndZWia","Vænir","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","2015-04-28","https://i.scdn.co/image/ab67616d0000b273d8849d45e8fd34935059caf1","1","2","439806","https://p.scdn.co/mp3-preview/afd8d922088d65f8f688b58fae6e6c27c52087cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-05T02:01:27Z"
"spotify:track:1XGj1FWRjXTseCt6OfOBAG","Nuclear Death","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","spotify:album:0z61mrKPPxjoERi8ndZWia","Vænir","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","2015-04-28","https://i.scdn.co/image/ab67616d0000b273d8849d45e8fd34935059caf1","1","3","398973","https://p.scdn.co/mp3-preview/323d3bc407095e2b4f20d764da9d054745815176?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-05T02:01:27Z"
"spotify:track:1jCmYspfPpczepcw5F3JRX","Died A Million Times","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","spotify:album:0z61mrKPPxjoERi8ndZWia","Vænir","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","2015-04-28","https://i.scdn.co/image/ab67616d0000b273d8849d45e8fd34935059caf1","1","4","607262","https://p.scdn.co/mp3-preview/224c53b32a864c619616e882c258ed8a990276e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-05T02:01:27Z"
"spotify:track:18MAx6lSM6OjFEAvzXHlIo","The Cosmic Silence","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","spotify:album:0z61mrKPPxjoERi8ndZWia","Vænir","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","2015-04-28","https://i.scdn.co/image/ab67616d0000b273d8849d45e8fd34935059caf1","1","5","140929","https://p.scdn.co/mp3-preview/d899c1ed3c0602483c6ce5a6dfc65ce5d8c91361?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-05T02:01:27Z"
"spotify:track:2Zz1d82rhGhmY2WsJ4Out2","Vænir","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","spotify:album:0z61mrKPPxjoERi8ndZWia","Vænir","spotify:artist:3X0a18Q9nluwuFYv5hB5cm","Monolord","2015-04-28","https://i.scdn.co/image/ab67616d0000b273d8849d45e8fd34935059caf1","1","6","1009219","https://p.scdn.co/mp3-preview/4936b9899e230863392efb2e77696455814101b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-05T02:01:27Z"
"spotify:track:0GPLbb5wdzI9yAI0VI81e0","Inward","spotify:artist:4KoZpKiPeX4jIi7Euwcfuo","Thou","spotify:album:2KQjqzq9VUEjIXaSZq2Xoi","Magus","spotify:artist:4KoZpKiPeX4jIi7Euwcfuo","Thou","2018-08-31","https://i.scdn.co/image/ab67616d0000b2735a7aa8f8420b8cbfcb6e84a2","1","1","608677","https://p.scdn.co/mp3-preview/9b6029ac93f96c92a5e729e09b2eaae9125793c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-05T02:01:33Z"
"spotify:track:1GWFPl5iKJOvn7aIdqq9k1","My Brother Caliban","spotify:artist:4KoZpKiPeX4jIi7Euwcfuo","Thou","spotify:album:2KQjqzq9VUEjIXaSZq2Xoi","Magus","spotify:artist:4KoZpKiPeX4jIi7Euwcfuo","Thou","2018-08-31","https://i.scdn.co/image/ab67616d0000b2735a7aa8f8420b8cbfcb6e84a2","1","2","64157","https://p.scdn.co/mp3-preview/720c7dd52c332f7eaea54829b37ec27a0d909250?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-05T02:01:33Z"
"spotify:track:5qL1vuQdUeFC04eZbVVJb9","Transcending Dualities","spotify:artist:4KoZpKiPeX4jIi7Euwcfuo","Thou","spotify:album:2KQjqzq9VUEjIXaSZq2Xoi","Magus","spotify:artist:4KoZpKiPeX4jIi7Euwcfuo","Thou","2018-08-31","https://i.scdn.co/image/ab67616d0000b2735a7aa8f8420b8cbfcb6e84a2","1","3","532629","https://p.scdn.co/mp3-preview/08aa22e349b218135f335037c60f44be8bab5847?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-05T02:01:33Z"
"spotify:track:3kZpqyRABeNaENONJCPnNL","The Changeling Prince","spotify:artist:4KoZpKiPeX4jIi7Euwcfuo","Thou","spotify:album:2KQjqzq9VUEjIXaSZq2Xoi","Magus","spotify:artist:4KoZpKiPeX4jIi7Euwcfuo","Thou","2018-08-31","https://i.scdn.co/image/ab67616d0000b2735a7aa8f8420b8cbfcb6e84a2","1","4","389360","https://p.scdn.co/mp3-preview/226d1f4a7ae1e74fc3bce55425ab863904c4d7bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-05T02:01:33Z"
