"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2VaZ98xvuFoOwlzqAedqUZ","Here Come the Rome Plows","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","spotify:album:7AHbaRIYnilUwe981nZpmi","Yank Crime","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","1994","https://i.scdn.co/image/ab67616d0000b273e601454f9f3c90a969e7260e","1","1","344693","https://p.scdn.co/mp3-preview/11c500e4ca087c84067243fd056371c6013130dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-17T01:57:12Z"
"spotify:track:793RxZVVT5ITET0thwbjAK","Do You Compute","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","spotify:album:7AHbaRIYnilUwe981nZpmi","Yank Crime","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","1994","https://i.scdn.co/image/ab67616d0000b273e601454f9f3c90a969e7260e","1","2","432933","https://p.scdn.co/mp3-preview/a6019fc7b26e205ad0e9a6c597328166ef1770cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-17T01:57:12Z"
"spotify:track:74qgrn0YAo3cgRcH4xQBsA","Golden Brown","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","spotify:album:7AHbaRIYnilUwe981nZpmi","Yank Crime","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","1994","https://i.scdn.co/image/ab67616d0000b273e601454f9f3c90a969e7260e","1","3","194533","https://p.scdn.co/mp3-preview/e03c621b8f1d3b3c90dae7fb1dfd6f5142cc7d6d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-17T01:57:12Z"
"spotify:track:0rcBONdvQcvSHARoEVbfSO","Luau","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","spotify:album:7AHbaRIYnilUwe981nZpmi","Yank Crime","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","1994","https://i.scdn.co/image/ab67616d0000b273e601454f9f3c90a969e7260e","1","4","567706","https://p.scdn.co/mp3-preview/a453382250f551c932dbb12c9771be1c31b48795?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-17T01:57:12Z"
"spotify:track:5diNR9OTKnjnP5MF80bPtt","Super Unison","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","spotify:album:7AHbaRIYnilUwe981nZpmi","Yank Crime","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","1994","https://i.scdn.co/image/ab67616d0000b273e601454f9f3c90a969e7260e","1","5","444893","https://p.scdn.co/mp3-preview/8a2aaf65873bcc565748c2e3e150845908d58d2e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-17T01:57:12Z"
"spotify:track:1rwUsmCyQ7C1XpIB3Hl8xs","New Intro","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","spotify:album:7AHbaRIYnilUwe981nZpmi","Yank Crime","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","1994","https://i.scdn.co/image/ab67616d0000b273e601454f9f3c90a969e7260e","1","6","212040","https://p.scdn.co/mp3-preview/48b4645de3041273bac671ff238342ff3b6b5a7c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-17T01:57:12Z"
"spotify:track:6lSqeJ5a8OS1REwIm5OABR","New Math","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","spotify:album:7AHbaRIYnilUwe981nZpmi","Yank Crime","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","1994","https://i.scdn.co/image/ab67616d0000b273e601454f9f3c90a969e7260e","1","7","246466","https://p.scdn.co/mp3-preview/760b20ab9d1fd26f9277f6c25cd6c8c4865e39f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-17T01:57:12Z"
"spotify:track:6UPSQEjfyJZH15stpfqmKW","Human Interest","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","spotify:album:7AHbaRIYnilUwe981nZpmi","Yank Crime","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","1994","https://i.scdn.co/image/ab67616d0000b273e601454f9f3c90a969e7260e","1","8","204133","https://p.scdn.co/mp3-preview/554c0ce57683922676411d308e95b6cfeb24bd6e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-17T01:57:12Z"
"spotify:track:1s3pmNOdqg9YSIckYQQKPV","Sinews","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","spotify:album:7AHbaRIYnilUwe981nZpmi","Yank Crime","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","1994","https://i.scdn.co/image/ab67616d0000b273e601454f9f3c90a969e7260e","1","9","552800","https://p.scdn.co/mp3-preview/4fc7278dbee08a1a9c73c4bedfa8e6fbf5c1e49d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-17T01:57:12Z"
"spotify:track:2j7AKvJOXCAvAjq4UjnOPH","Left Eyed Gemini","spotify:artist:5IN6zApha7pbFhLfAO8u14","genCAB","spotify:album:1YkWQTDC5tNwydsLpzEgrZ","II Transmuter","spotify:artist:5IN6zApha7pbFhLfAO8u14","genCAB","2008-08-23","https://i.scdn.co/image/ab67616d0000b2735ebb663d80fc0a510ab842c4","1","1","101320","https://p.scdn.co/mp3-preview/42dff648a5cf3fa9f23fb0d1c29b3c0956614345?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-17T08:36:09Z"
"spotify:track:3hHlmfsj9MsjjTLV5LDxy7","Perish the Thought","spotify:artist:5IN6zApha7pbFhLfAO8u14","genCAB","spotify:album:1YkWQTDC5tNwydsLpzEgrZ","II Transmuter","spotify:artist:5IN6zApha7pbFhLfAO8u14","genCAB","2008-08-23","https://i.scdn.co/image/ab67616d0000b2735ebb663d80fc0a510ab842c4","1","2","308160","https://p.scdn.co/mp3-preview/b864cf9fd0585be77683b015d39515591d1450ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-17T08:36:09Z"
"spotify:track:0XjIWzM7iL4zYrKg19pPlQ","Let It Be","spotify:artist:5IN6zApha7pbFhLfAO8u14","genCAB","spotify:album:1YkWQTDC5tNwydsLpzEgrZ","II Transmuter","spotify:artist:5IN6zApha7pbFhLfAO8u14","genCAB","2008-08-23","https://i.scdn.co/image/ab67616d0000b2735ebb663d80fc0a510ab842c4","1","3","325493","https://p.scdn.co/mp3-preview/1c51ba7d003d76befe53bef9aa74ad5853e22681?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-17T08:36:09Z"
"spotify:track:0zWYQSukNBtXTbBmJElkTc","Self Images","spotify:artist:5IN6zApha7pbFhLfAO8u14","genCAB","spotify:album:1YkWQTDC5tNwydsLpzEgrZ","II Transmuter","spotify:artist:5IN6zApha7pbFhLfAO8u14","genCAB","2008-08-23","https://i.scdn.co/image/ab67616d0000b2735ebb663d80fc0a510ab842c4","1","4","331400","https://p.scdn.co/mp3-preview/d1f9b82b23a0b049694f9fef8dae4f031cc4c3f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-17T08:36:09Z"
"spotify:track:66LqWgYLk9ZZehuV0VdrxW","Siren Song","spotify:artist:5IN6zApha7pbFhLfAO8u14","genCAB","spotify:album:1YkWQTDC5tNwydsLpzEgrZ","II Transmuter","spotify:artist:5IN6zApha7pbFhLfAO8u14","genCAB","2008-08-23","https://i.scdn.co/image/ab67616d0000b2735ebb663d80fc0a510ab842c4","1","5","201520","https://p.scdn.co/mp3-preview/1edba3f0ecd0ab4b1cc82edd9af67a71d6265b90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-17T08:36:09Z"
"spotify:track:07u8Ru4gIT2YQjRnbUo1k5","Frozenpause","spotify:artist:5IN6zApha7pbFhLfAO8u14","genCAB","spotify:album:1YkWQTDC5tNwydsLpzEgrZ","II Transmuter","spotify:artist:5IN6zApha7pbFhLfAO8u14","genCAB","2008-08-23","https://i.scdn.co/image/ab67616d0000b2735ebb663d80fc0a510ab842c4","1","6","267626","https://p.scdn.co/mp3-preview/79a4ab8346143bf2ab905003773610bce87d3537?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-17T08:36:09Z"
"spotify:track:1T6o9zmpzsjSw3wy2A6eyI","Version2","spotify:artist:5IN6zApha7pbFhLfAO8u14","genCAB","spotify:album:1YkWQTDC5tNwydsLpzEgrZ","II Transmuter","spotify:artist:5IN6zApha7pbFhLfAO8u14","genCAB","2008-08-23","https://i.scdn.co/image/ab67616d0000b2735ebb663d80fc0a510ab842c4","1","7","236106","https://p.scdn.co/mp3-preview/d2f63237a325b2f127e982ff0d465591bf44b954?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-17T08:36:09Z"
