"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7tvuLLroI0n6uYBWuFig5d","Lateralus","spotify:artist:2yEwvVSSSUkcLeSTNyHKh8","TOOL","spotify:album:5l5m1hnH4punS1GQXgEi3T","Lateralus","spotify:artist:2yEwvVSSSUkcLeSTNyHKh8","TOOL","2001-05-15","https://i.scdn.co/image/ab67616d0000b273ca41a947c13b78749c4953b1","1","9","562706","https://p.scdn.co/mp3-preview/1bebffb5c262eb1f795c785088bf7b87825e3c04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-08-02T08:15:02Z"
"spotify:track:10rw87jtzDOygxyz9AZvAJ","Dreamless","spotify:artist:3C5R32AIZlLfMa3uxLEYrU","Fallujah","spotify:album:3DAdmvkEM9Po4AAMLEBGut","Dreamless","spotify:artist:3C5R32AIZlLfMa3uxLEYrU","Fallujah","2016-04-29","https://i.scdn.co/image/ab67616d0000b273697836319fd813dfd70fa723","1","6","378205","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-24T05:01:18Z"
"spotify:track:52UcjsM15hjCQAUbTW2hy1","Only Shallow","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:3GH4IiI6jQAIvnHVdb5FB6","Loveless","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1991-11-04","https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511","1","1","257519","https://p.scdn.co/mp3-preview/c3e2e9a753345c0a10fbc6dedc8d097ad905d085?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-24T05:01:24Z"
"spotify:track:2bdlaYYLaXJIguKSSS63Lz","For Her Light","spotify:artist:3m8KqUjgKDwmJ9L9uBHMMs","Fields Of The Nephilim","spotify:album:08udU6yfPDCUmNXfByjwtE","Elizium","spotify:artist:3m8KqUjgKDwmJ9L9uBHMMs","Fields Of The Nephilim","1990","https://i.scdn.co/image/ab67616d0000b273c380e81769edaa322627fac1","1","2","181466","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-24T05:01:31Z"
"spotify:track:1k0GxoZYv3Yx5mNeXMOZN2","Vital Signs","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:2xg7iIKoSqaDNpDbJnyCjY","Moving Pictures (2011 Remaster)","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1981-02-12","https://i.scdn.co/image/ab67616d0000b27372833c1ae3343cbfb4617073","1","7","286226","https://p.scdn.co/mp3-preview/12ebe15a0e5b3b881a743f8d7212318eb58ee955?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-24T05:01:40Z"
"spotify:track:5yM7n12a0w0ZIxgwoobENF","When the Levee Breaks - 1990 Remaster","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","spotify:album:1Ugdi2OTxKopVVqsprp5pb","Led Zeppelin IV","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","1971-11-08","https://i.scdn.co/image/ab67616d0000b273cd25ce73e3eddeedb995fcee","1","8","427800","","false","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-24T05:01:48Z"
"spotify:track:2gbqwypcMlSQLJosaYvvll","Re Run","spotify:artist:6HQYnRM4OzToCYPpVBInuU","Kamasi Washington","spotify:album:4zL37mRrfNJHdKmA3viwQ9","The Epic","spotify:artist:6HQYnRM4OzToCYPpVBInuU","Kamasi Washington","2015-05-05","https://i.scdn.co/image/ab67616d0000b273b94fed3fb78094b32fdaea02","2","3","499633","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-24T05:01:56Z"
"spotify:track:2PT6to8NW8PXYrXSn744WT","Never Catch Me - Instrumental","spotify:artist:29XOeO6KIWxGthejQqn793, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Flying Lotus, Kendrick Lamar","spotify:album:3Y9XeEhhPyzFnCGDjKcVB0","You're Dead! (Deluxe)","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2015-10-07","https://i.scdn.co/image/ab67616d0000b2737b12c640bbabc94ef707f986","1","24","234486","https://p.scdn.co/mp3-preview/1a08a8021c734aff25382eb24a88345b0c315113?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-24T05:02:08Z"
"spotify:track:43ZfXZ1rtlnIuhfwePQUwU","Crown (feat. Diane Coffee)","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C, spotify:artist:3NTbCfTrDL2WFob27hdLTe","Run The Jewels, Diane Coffee","spotify:album:2lPYlP4eumsjz6LBG8GCbG","Run the Jewels 2","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2014-10-24","https://i.scdn.co/image/ab67616d0000b27358fd7121f556c9c7476d99cf","1","10","225720","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-24T05:02:18Z"
"spotify:track:3gRlmtdCyNoKiyozn2pqc9","Mathematics","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","spotify:album:5gK2l2LgWY0BA4p9uy27z6","Black On Both Sides","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","1999-10-12","https://i.scdn.co/image/ab67616d0000b27389b56f56323925d57b38944d","1","16","246440","https://p.scdn.co/mp3-preview/9055c1de374c2cd6da967d81b6df88612f27abff?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-24T05:02:26Z"
