"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7Ae8Pr3h5IXLoXQyIaU57M","All New Materials - Instrumental","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","spotify:album:3CPtyTCOEirDSos5WzEQBt","Periphery [Instrumental]","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","2010-04-27","https://i.scdn.co/image/ab67616d0000b27327d14357d8d8aabc45e7050a","1","6","320533","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-06-26T18:53:53Z"
"spotify:track:1XXhvpbxw8Sq9bjTA1jZC1","Our Fortress Is Burning... II - Bloodbirds","spotify:artist:3Meu28o8P5z9Zjm6NTGihT","Agalloch","spotify:album:3orD6D0SUsXPOTgftelFtK","Ashes Against The Grain (Remastered)","spotify:artist:3Meu28o8P5z9Zjm6NTGihT","Agalloch","2016-07-15","https://i.scdn.co/image/ab67616d0000b273e46eb11cdd11b9f821796aa5","1","7","377280","https://p.scdn.co/mp3-preview/65688217dec1169f0b28259061826920e30896b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-06-26T18:53:53Z"
"spotify:track:1RiuVQWyC7g7tL3niYzHKP","Marijuana","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","spotify:album:2yt27CaN3hjii0G1aWNBA7","Sparks EP","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","2013-09-13","https://i.scdn.co/image/ab67616d0000b2730240f42875f25f00bc8fe50e","1","2","181149","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-09T20:30:43Z"
"spotify:track:0zm05SKzrruqg7hMXRfW2S","Cylindrical Sea","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:7IoPLwGpntUE7VaEXEU67i","Weightless","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2011-11-08","https://i.scdn.co/image/ab67616d0000b273eda0d4ce815da9d0100561ba","1","8","272706","https://p.scdn.co/mp3-preview/7850632c9d4fda52a299febbd79014db227fac92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-09T20:30:43Z"
"spotify:track:0lvPhGdFYD1i5IDg17rgBk","The Hit","spotify:artist:1LhK7wn59Hq6GNN4sUS3ih","Daughters","spotify:album:1xYjZUrVUjcUPnpdnHD9nf","Daughters","spotify:artist:1LhK7wn59Hq6GNN4sUS3ih","Daughters","2010-03-09","https://i.scdn.co/image/ab67616d0000b273b9e7c7665f7a0a15dad43bc9","1","3","223733","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-11T14:00:12Z"
"spotify:track:6H147Bkvdcxn7ONC99Eq6d","I'm Awake","spotify:artist:0xpJGyjbEzkWSNfcf2tcMl","Intervals","spotify:album:4MYLm8Uxayy4UyqFHPHfBB","The Shape of Colour","spotify:artist:0xpJGyjbEzkWSNfcf2tcMl","Intervals","2015-12-04","https://i.scdn.co/image/ab67616d0000b27305418a99083b7551b30f5593","1","1","238503","https://p.scdn.co/mp3-preview/9c954c2dfac5e2ad8f5eeed40a6c6bd7d70bad94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-11T14:00:30Z"
"spotify:track:7mOCKSOJxMXmZkII49LY7q","Diesel Power","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:5ruKe5L3QJcvnQCT5RHKVr","The Fat Of The Land","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","1997-06-30","https://i.scdn.co/image/ab67616d0000b27392a579d57a628a2dc78b14b6","1","3","257600","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-11T14:00:34Z"
"spotify:track:5pxtdhLAi0RTh1gNqhGMNA","Real Eyes","spotify:artist:1rJkz5vopfGxTUGFNB3o4G","Quasimoto","spotify:album:03K0iYeTVKHyTf0kEBoloy","The Unseen","spotify:artist:1rJkz5vopfGxTUGFNB3o4G, spotify:artist:5LhTec3c7dcqBvpLRWbMcf","Quasimoto, Madlib","2000-06-13","https://i.scdn.co/image/ab67616d0000b273018e03421de1b6a1d41501c9","1","9","202506","https://p.scdn.co/mp3-preview/ccae5b561af4201cbe3dd3d13a91e8ecb51287b0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-12T20:38:05Z"
"spotify:track:4S8L5wfNiyBIEjOh5sEHkM","Shake My Blood","spotify:artist:5m2NwwPj4pzGQC0PQwMBWi","Cave In","spotify:album:3I8gDt7xv6s6cAVYPDVJbV","Final Transmission","spotify:artist:5m2NwwPj4pzGQC0PQwMBWi","Cave In","2019-06-07","https://i.scdn.co/image/ab67616d0000b27314c1d6e40c948f8673cabcb4","1","3","256419","https://p.scdn.co/mp3-preview/814f67326725d9ac8aa37995da70dfddc0566fbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-29T19:24:00Z"
"spotify:track:6aZ86Yg46zw4cEZ300eKhj","Pussyfoot","spotify:artist:03mz3G1gu1GPNgAWY4qR2w","SikTh","spotify:album:21yMN5MvuTu0OxycWxBvdH","The Trees Are Dead & Dried Out, Wait for Something Wild","spotify:artist:03mz3G1gu1GPNgAWY4qR2w","SikTh","2003","https://i.scdn.co/image/ab67616d0000b27301b5dac9be0506ecf6259510","1","2","205693","https://p.scdn.co/mp3-preview/09ccb47efed9fc9466388c6e08384951f42ec68f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-29T19:24:00Z"
"spotify:track:33JOjI7umOIAIowD3NH8Jq","The Macrocosm","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","spotify:album:18qC4zoq1xoK4xyZm6KKYY","Ultu Ulla","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","2017-07-28","https://i.scdn.co/image/ab67616d0000b273493c53a30fe5d72d84ac16c9","1","8","380800","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-30T23:43:38Z"
