"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6dwNcWigdxPUcqfz2zM6GL","Heavenly","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","spotify:album:7kFz92XFqgJ1mAOlbZT3ky","Heavenly","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","2019-08-28","https://i.scdn.co/image/ab67616d0000b273b97d7592d933f2c9da26a262","1","1","288595","https://p.scdn.co/mp3-preview/eae6702755dd4ca3898ffc9760558ebd57b9e6ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:06Z"
"spotify:track:1u1PzGnsWKjAwSZ9Rg1kjD","Sleepwalk","spotify:artist:4hGjngc0tPOBwTgTPci3IK","Santo & Johnny","spotify:album:0EgtsDw1Yc9umsqXTXGbq8","Volume Secondo","spotify:artist:4hGjngc0tPOBwTgTPci3IK","Santo & Johnny","2000","https://i.scdn.co/image/ab67616d0000b2736e8b595c73e1eef654eeeb4b","1","1","151092","https://p.scdn.co/mp3-preview/b2b47f0e9727e5cf0640891959b7a71eb7facea0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:06Z"
"spotify:track:4RGbULF7N4dvC01DCiXmRp","10:37","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:35vTE3hx3AAXtM6okpJIIt","Depression Cherry","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2015-08-28","https://i.scdn.co/image/ab67616d0000b273fc685af465876c629ad111ef","1","5","228893","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:06Z"
"spotify:track:2XccfEuE57RfV6g0T16jYK","Take Care","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:4sYpTER2iT2Y7Kf4VsfUne","Teen Dream","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2010-01-26","https://i.scdn.co/image/ab67616d0000b273a13c3bfce0c903069ec8b33e","1","10","348440","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:06Z"
"spotify:track:2nS25TLvYUy1DhQMv00WtZ","You Came To Me","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:0pMZ6fItUBFcQYwRKE4dK4","Devotion","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2008-01-01","https://i.scdn.co/image/ab67616d0000b2736b466e8d9b3ed541874ee4ea","1","2","245333","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:06Z"
"spotify:track:7s5UpEtsbTnIwhRNw5G2sK","She's So Lovely","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:7zPfNw88t2Xv2nVXWKqQls","Thank Your Lucky Stars","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2015-10-16","https://i.scdn.co/image/ab67616d0000b273c3fdde9146d760276512afd3","1","2","262122","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:06Z"
"spotify:track:36Zs84njjWZD3TGYE77WPC","K.","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","spotify:album:33qYH2dRlz8DSCWFYZB1Fc","K.","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","2016-12-01","https://i.scdn.co/image/3eefca0493e78bc4cd396ae714ac5436e4cda839","1","1","319560","https://p.scdn.co/mp3-preview/8900c741891262a59bd5d56a0735fedc5fb43fda?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:06Z"
"spotify:track:3stWWPN41byqp8loPdy92u","Master of None","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:32bJgeIOAFiNkucTCje5O5","Beach House","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2006-10-03","https://i.scdn.co/image/ab67616d0000b27372c5265c12fd8effdc006b75","1","4","199413","https://p.scdn.co/mp3-preview/3d49ee47dd3e09992e9faa620024f269232d4d35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:06Z"
"spotify:track:1oCUj7YvKxxSKRDAU3pePN","Levitation","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:35vTE3hx3AAXtM6okpJIIt","Depression Cherry","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2015-08-28","https://i.scdn.co/image/ab67616d0000b273fc685af465876c629ad111ef","1","1","354600","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:06Z"
"spotify:track:3GhsBdS9ulPK3KCdwHRPhG","Nothing's Gonna Hurt You Baby","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","spotify:album:6w9osZGOS8B7XWW51SBwFT","I.","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","2012-07-21","https://i.scdn.co/image/ab67616d0000b2730879d25910f5f03e0927935e","1","1","286293","https://p.scdn.co/mp3-preview/1b251b68588f44084ee6cb276130e223820bd388?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:06Z"
