"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6NjDSYmK9gIMXL05v55nql","Hands","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:1ehwJGN59cUxk9LuHRHJdv","Rounds","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2003-06-26","https://i.scdn.co/image/ab67616d0000b273c8d87f2cd3793c5a08c46c42","1","1","341160","https://p.scdn.co/mp3-preview/57e3fb26e5c3895aad445cd5ca2daeaa62a438c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:12Z"
"spotify:track:3whC8KGUqYIEme6cM4jl6F","She Moves She","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:1ehwJGN59cUxk9LuHRHJdv","Rounds","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2003-06-26","https://i.scdn.co/image/ab67616d0000b273c8d87f2cd3793c5a08c46c42","1","2","281933","https://p.scdn.co/mp3-preview/53de100ade4bc51b17b0a9903c93641f0c47d6ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:12Z"
"spotify:track:46JSR85cM4IawDgDMyCRC3","First Thing","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:1ehwJGN59cUxk9LuHRHJdv","Rounds","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2003-06-26","https://i.scdn.co/image/ab67616d0000b273c8d87f2cd3793c5a08c46c42","1","3","73600","https://p.scdn.co/mp3-preview/6ffd6dfea70816e347133dea5bab44fc8a6634f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:12Z"
"spotify:track:4NlNiZpsFG2klNWO6j46GJ","My Angel Rocks Back And Forth","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:1ehwJGN59cUxk9LuHRHJdv","Rounds","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2003-06-26","https://i.scdn.co/image/ab67616d0000b273c8d87f2cd3793c5a08c46c42","1","4","307333","https://p.scdn.co/mp3-preview/cec992c66b5d89d074bfec8de0064a8200480ec7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:12Z"
"spotify:track:1EpqxHLVTekKAFDVJDbC3F","Spirit Fingers","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:1ehwJGN59cUxk9LuHRHJdv","Rounds","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2003-06-26","https://i.scdn.co/image/ab67616d0000b273c8d87f2cd3793c5a08c46c42","1","5","202106","https://p.scdn.co/mp3-preview/fc36641754026116ced30dd9926bd88ca084e694?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:12Z"
"spotify:track:3N7e1KxFBV1chbgFIajD8y","Unspoken","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:1ehwJGN59cUxk9LuHRHJdv","Rounds","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2003-06-26","https://i.scdn.co/image/ab67616d0000b273c8d87f2cd3793c5a08c46c42","1","6","571000","https://p.scdn.co/mp3-preview/3b2dd0ce26e0a6eed1531d540ee2cf2093d8f86f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:12Z"
"spotify:track:0U0070vJ8USqV1H3YPQobb","Chia","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:1ehwJGN59cUxk9LuHRHJdv","Rounds","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2003-06-26","https://i.scdn.co/image/ab67616d0000b273c8d87f2cd3793c5a08c46c42","1","7","32733","https://p.scdn.co/mp3-preview/6e21d500ee38ec33986b949d26d1b9f3de661838?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:12Z"
"spotify:track:6eCEGA6Ind89PPtgG8o6Lw","As Serious As Your Life","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:1ehwJGN59cUxk9LuHRHJdv","Rounds","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2003-06-26","https://i.scdn.co/image/ab67616d0000b273c8d87f2cd3793c5a08c46c42","1","8","288693","https://p.scdn.co/mp3-preview/14d451db628341a4c49c1114edea9509b262c535?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:12Z"
"spotify:track:4c3GV7nFKnIflJMafJCDZx","And They All Look Broken Hearted","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:1ehwJGN59cUxk9LuHRHJdv","Rounds","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2003-06-26","https://i.scdn.co/image/ab67616d0000b273c8d87f2cd3793c5a08c46c42","1","9","309706","https://p.scdn.co/mp3-preview/05ec989cbe21b486e8fa491006faca180390c3bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:12Z"
"spotify:track:2UUnIKY05Fv1Y3KHK7O99A","Slow Jam","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:1ehwJGN59cUxk9LuHRHJdv","Rounds","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2003-06-26","https://i.scdn.co/image/ab67616d0000b273c8d87f2cd3793c5a08c46c42","1","10","318493","https://p.scdn.co/mp3-preview/b10e4839d36bca158ef494e7c7874bd3f2d48591?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:12Z"
"spotify:track:74yFgfBjzPASPr3wv79aWe","Polygon Window","spotify:artist:67znT4w9oHh5dpk4WAHVCM","The Dice Man","spotify:album:34aK04FrYZGC4SMS3WEPIi","Artificial Intelligence","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1992-07-06","https://i.scdn.co/image/ab67616d0000b27380a71b0a8b73cfd29f37c47a","1","1","312200","https://p.scdn.co/mp3-preview/4e4daefc9d7778f4df06f0c9e6f074a70b1eae0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:21Z"
"spotify:track:4ImP8myIQ2kak4GgSQfMtq","Telefone 529","spotify:artist:7l2zjpb9ANv4CNVfaDUhop","Musicology","spotify:album:34aK04FrYZGC4SMS3WEPIi","Artificial Intelligence","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1992-07-06","https://i.scdn.co/image/ab67616d0000b27380a71b0a8b73cfd29f37c47a","1","2","250560","https://p.scdn.co/mp3-preview/5d9fe6782ddecc7f9aa0bc3410dce0aa09813a9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:21Z"
"spotify:track:2rhy8BNOlmZAXtdw0Mmyic","Crystel","spotify:artist:6WH1V41LwGDGmlPUhSZLHO","Autechre","spotify:album:34aK04FrYZGC4SMS3WEPIi","Artificial Intelligence","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1992-07-06","https://i.scdn.co/image/ab67616d0000b27380a71b0a8b73cfd29f37c47a","1","3","277440","https://p.scdn.co/mp3-preview/f26daf15c19af3ee6e9e1c99d6d54ade32d832dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:21Z"
"spotify:track:34v7hVx2T6fkCbj4Wt0JDY","The Clan","spotify:artist:09HW2sTcKxCceQ3N8YWlnx","I.A.O.","spotify:album:34aK04FrYZGC4SMS3WEPIi","Artificial Intelligence","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1992-07-06","https://i.scdn.co/image/ab67616d0000b27380a71b0a8b73cfd29f37c47a","1","4","307800","https://p.scdn.co/mp3-preview/a1379e14f9d6aea2a0af150bd1a83fa35f213ccb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:21Z"
"spotify:track:51dIflTO3AYBlox82UXDuG","De-Orbit","spotify:artist:4zOEbGsiNi7qGWdyDv43gx","Speedy J","spotify:album:34aK04FrYZGC4SMS3WEPIi","Artificial Intelligence","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1992-07-06","https://i.scdn.co/image/ab67616d0000b27380a71b0a8b73cfd29f37c47a","1","5","373000","https://p.scdn.co/mp3-preview/6402d619ee62cd4d50f4678edc0fac3755cbc457?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:21Z"
"spotify:track:6AiTC914E3XKGe8pwYAHHd","Preminition","spotify:artist:7l2zjpb9ANv4CNVfaDUhop","Musicology","spotify:album:34aK04FrYZGC4SMS3WEPIi","Artificial Intelligence","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1992-07-06","https://i.scdn.co/image/ab67616d0000b27380a71b0a8b73cfd29f37c47a","1","6","244066","https://p.scdn.co/mp3-preview/cc054a630b67f69f2ad8fbb6f47727c2e4885673?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:21Z"
"spotify:track:2m6vvVKEEaNNNq43XJQFTF","Spiritual High","spotify:artist:19JSWBE8DDbHdQlbJmNF9j","Up","spotify:album:34aK04FrYZGC4SMS3WEPIi","Artificial Intelligence","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1992-07-06","https://i.scdn.co/image/ab67616d0000b27380a71b0a8b73cfd29f37c47a","1","7","462266","https://p.scdn.co/mp3-preview/c5adf07b7604037a2c855ac4be0e61ce21129956?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:21Z"
"spotify:track:07TquTYZrmDazkHp8hFLWS","The Egg","spotify:artist:6WH1V41LwGDGmlPUhSZLHO","Autechre","spotify:album:34aK04FrYZGC4SMS3WEPIi","Artificial Intelligence","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1992-07-06","https://i.scdn.co/image/ab67616d0000b27380a71b0a8b73cfd29f37c47a","1","8","453693","https://p.scdn.co/mp3-preview/e37d384236a6061add8e39185ee301d2a7601317?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:21Z"
"spotify:track:3r7VEPuCVZfepG28xuvhUr","Fill 3","spotify:artist:4zOEbGsiNi7qGWdyDv43gx","Speedy J","spotify:album:34aK04FrYZGC4SMS3WEPIi","Artificial Intelligence","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1992-07-06","https://i.scdn.co/image/ab67616d0000b27380a71b0a8b73cfd29f37c47a","1","9","223306","https://p.scdn.co/mp3-preview/efda6565d08c40de17e5c87217405a168d07662a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:21Z"
"spotify:track:2vHMNCB8foTIsRJ7SFtVS5","Loving You Live","spotify:artist:6oMsEdL56bj7DAAz7FIrbL","Dr Alex Paterson","spotify:album:34aK04FrYZGC4SMS3WEPIi","Artificial Intelligence","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1992-07-06","https://i.scdn.co/image/ab67616d0000b27380a71b0a8b73cfd29f37c47a","1","10","240000","https://p.scdn.co/mp3-preview/49ec9bc72c8d78a8ff610d0710d21541e0007b71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:17:21Z"
"spotify:track:5oCHKH1a1YZXgtdoUXalcm","Andro","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","spotify:album:1DtXzewBvv5vZBnl3ZmJqo","Replica","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","2011-11-08","https://i.scdn.co/image/ab67616d0000b273c963846cf51a3cece87d4500","1","1","234110","https://p.scdn.co/mp3-preview/206fcb315be5e70617c54fc24181d6f73bd4f44d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-07T22:32:19Z"
"spotify:track:1DZyadriaP7k0eHNoO1wfh","Power Of Persuasion","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","spotify:album:1DtXzewBvv5vZBnl3ZmJqo","Replica","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","2011-11-08","https://i.scdn.co/image/ab67616d0000b273c963846cf51a3cece87d4500","1","2","208031","https://p.scdn.co/mp3-preview/f952a5fde14d25714b08a882e49fabeaf9e54a07?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-07T22:32:19Z"
"spotify:track:5KXSZjxPDUHJUGfVExhOEh","Sleep Dealer","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","spotify:album:1DtXzewBvv5vZBnl3ZmJqo","Replica","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","2011-11-08","https://i.scdn.co/image/ab67616d0000b273c963846cf51a3cece87d4500","1","3","190416","https://p.scdn.co/mp3-preview/1ee055aa5c20839931dcd6d80b68d9521947eeb1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-07T22:32:19Z"
