"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3tBcNgxfwCnZrttLtssqj9","Wolfsmond","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","spotify:album:5XZmjfpxRFqhv4iv2GDjYV","Aethra","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","2018-10-19","https://i.scdn.co/image/ab67616d0000b2730a64b0507d137a0e533e8a37","1","1","267293","https://p.scdn.co/mp3-preview/8ce9c14ded8b83faaf4c3b69f233ca0517df2fd4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T18:28:25Z"
"spotify:track:3ez32DgJCl63Sy6uPByqRw","Bekhten's Curse","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","spotify:album:5XZmjfpxRFqhv4iv2GDjYV","Aethra","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","2018-10-19","https://i.scdn.co/image/ab67616d0000b2730a64b0507d137a0e533e8a37","1","2","231506","https://p.scdn.co/mp3-preview/9930f74689170bc964e115ea3ec342f4d35563d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T18:28:25Z"
"spotify:track:6WOvfLNglarBFumm8oX3Tc","Aethra","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","spotify:album:5XZmjfpxRFqhv4iv2GDjYV","Aethra","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","2018-10-19","https://i.scdn.co/image/ab67616d0000b2730a64b0507d137a0e533e8a37","1","3","344693","https://p.scdn.co/mp3-preview/8014804436b59e1a71ba2b8b35edc155da845020?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T18:28:25Z"
"spotify:track:103m2aJ20umvKIWt6lIIDu","The Sentry","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","spotify:album:5XZmjfpxRFqhv4iv2GDjYV","Aethra","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","2018-10-19","https://i.scdn.co/image/ab67616d0000b2730a64b0507d137a0e533e8a37","1","4","198000","https://p.scdn.co/mp3-preview/83b442a5b5cce15912e7a5e310a26f6c70082328?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T18:28:25Z"
"spotify:track:4nTZdHQCElidBrGfotXDTN","Hina","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","spotify:album:5XZmjfpxRFqhv4iv2GDjYV","Aethra","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","2018-10-19","https://i.scdn.co/image/ab67616d0000b2730a64b0507d137a0e533e8a37","1","5","309506","https://p.scdn.co/mp3-preview/b4ec6dba6fd5af76b452302e3b1d72595f6c93a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T18:28:25Z"
"spotify:track:4YzohsICt8AQcvfKmEgwpa","And the Moon Turned Black","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","spotify:album:5XZmjfpxRFqhv4iv2GDjYV","Aethra","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","2018-10-19","https://i.scdn.co/image/ab67616d0000b2730a64b0507d137a0e533e8a37","1","6","258893","https://p.scdn.co/mp3-preview/60b9d34313a8bb2a9e8d1e1ac0e62614ed22043b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T18:28:25Z"
"spotify:track:0J3iyaLuGsVNAeAJuw7LB5","Chandra and the Maiden","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","spotify:album:5XZmjfpxRFqhv4iv2GDjYV","Aethra","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","2018-10-19","https://i.scdn.co/image/ab67616d0000b2730a64b0507d137a0e533e8a37","1","7","247600","https://p.scdn.co/mp3-preview/ee6c495e33b20a06f44a25ce58f1322227185b81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T18:28:25Z"
"spotify:track:2ZB1XFUBMxH2kZuORQgyso","Goddess of Dirt","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","spotify:album:5XZmjfpxRFqhv4iv2GDjYV","Aethra","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","2018-10-19","https://i.scdn.co/image/ab67616d0000b2730a64b0507d137a0e533e8a37","1","8","239200","https://p.scdn.co/mp3-preview/0f1da56a45c74dd28ba5c4915e4791bbdd3c48d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T18:28:25Z"
"spotify:track:5e5hku88mGCNdiqcV9a3zk","Inexorable","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","spotify:album:5XZmjfpxRFqhv4iv2GDjYV","Aethra","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","2018-10-19","https://i.scdn.co/image/ab67616d0000b2730a64b0507d137a0e533e8a37","1","9","260306","https://p.scdn.co/mp3-preview/76a4840f00e255f1b3a63944682026e2f914de29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T18:28:25Z"
"spotify:track:2YlhPF4GY2sb7YecU3XVGl","A Light Unseen","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","spotify:album:5XZmjfpxRFqhv4iv2GDjYV","Aethra","spotify:artist:69lt02nubfNbPdrvH4tJxx","Gorod","2018-10-19","https://i.scdn.co/image/ab67616d0000b2730a64b0507d137a0e533e8a37","1","10","290000","https://p.scdn.co/mp3-preview/03c5bc0c1a5c81c0485502ee3c55ed969e0622af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T18:28:25Z"
"spotify:track:1WltJDv5nblrFMysbSQyGY","Doesn't Feel Pain Like He Should","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","spotify:album:1cFzMVueUdFqx859ysAsIv","Loved","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","2018-08-31","https://i.scdn.co/image/ab67616d0000b273b6fc1711d9b6e738c4b2cc47","1","1","171333","https://p.scdn.co/mp3-preview/dc4d0c479347f11e480d36e581926868949ee265?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T17:31:41Z"
"spotify:track:1WOzCU2zcymUO8TJqPRYJi","The Illusion of Dignity","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","spotify:album:1cFzMVueUdFqx859ysAsIv","Loved","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","2018-08-31","https://i.scdn.co/image/ab67616d0000b273b6fc1711d9b6e738c4b2cc47","1","2","283160","https://p.scdn.co/mp3-preview/6f7a7551651518d913846a7e165aaaf602631209?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T17:31:41Z"
"spotify:track:19HlutgNjMm3Tk9qIrRWrY","Feathers & Lips","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","spotify:album:1cFzMVueUdFqx859ysAsIv","Loved","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","2018-08-31","https://i.scdn.co/image/ab67616d0000b273b6fc1711d9b6e738c4b2cc47","1","3","150866","https://p.scdn.co/mp3-preview/7f5379453316728b372de83bab53e6e742a8f55b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T17:31:41Z"
"spotify:track:25ZQEDMoEYkEwqeRiyAWR2","Learning to Be Too Cold","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","spotify:album:1cFzMVueUdFqx859ysAsIv","Loved","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","2018-08-31","https://i.scdn.co/image/ab67616d0000b273b6fc1711d9b6e738c4b2cc47","1","4","188280","https://p.scdn.co/mp3-preview/cbc60d3fc76bfe51c9cd81ee4bee5e0e7b518483?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T17:31:41Z"
"spotify:track:0KVEPGQrUW6soUwsvgBC8e","Not Soulmates","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","spotify:album:1cFzMVueUdFqx859ysAsIv","Loved","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","2018-08-31","https://i.scdn.co/image/ab67616d0000b273b6fc1711d9b6e738c4b2cc47","1","5","166693","https://p.scdn.co/mp3-preview/090a0d8a8a347e49bc9d187c115156aba22ac660?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T17:31:41Z"
"spotify:track:37vARKo9guuMtZkANCIE3r","Very Small Men","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","spotify:album:1cFzMVueUdFqx859ysAsIv","Loved","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","2018-08-31","https://i.scdn.co/image/ab67616d0000b273b6fc1711d9b6e738c4b2cc47","1","6","152053","https://p.scdn.co/mp3-preview/286fd14531593dc9a2aa00611822fbf31d1f0229?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T17:31:41Z"
"spotify:track:06cjEOyJRYMDVw1HqDo1WJ","This is a Love Test","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","spotify:album:1cFzMVueUdFqx859ysAsIv","Loved","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","2018-08-31","https://i.scdn.co/image/ab67616d0000b273b6fc1711d9b6e738c4b2cc47","1","7","278386","https://p.scdn.co/mp3-preview/49cab44f20151e6d9cfa6b2cb3492efa6e9563d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T17:31:41Z"
"spotify:track:5LwPowIP5sZ4JRsJmRFFKR","Fractures in Adults","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","spotify:album:1cFzMVueUdFqx859ysAsIv","Loved","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","2018-08-31","https://i.scdn.co/image/ab67616d0000b273b6fc1711d9b6e738c4b2cc47","1","8","228880","https://p.scdn.co/mp3-preview/2254384d60db9299812fdd4a2c90cfa78429b5ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T17:31:41Z"
"spotify:track:0GbbwscbEnaauX3bIuUDJL","No Gentle Art","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","spotify:album:1cFzMVueUdFqx859ysAsIv","Loved","spotify:artist:3I33pakU01BuYZ5UyQ2A0i","KEN Mode","2018-08-31","https://i.scdn.co/image/ab67616d0000b273b6fc1711d9b6e738c4b2cc47","1","9","509375","https://p.scdn.co/mp3-preview/e9959e8cd8bbd5c2b9fc25a525f5ef6554f1cfa0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T17:31:41Z"
"spotify:track:4Bo5M8rEe79FsVaiMHUG7c","A Perfect View of Absolutely Nothing","spotify:artist:7iontmL8hXqoJcSA5oTZqa","Black Tusk","spotify:album:5oiQZp80cY8m0XH16tWZGw","TCBT","spotify:artist:7iontmL8hXqoJcSA5oTZqa","Black Tusk","2018-08-17","https://i.scdn.co/image/ab67616d0000b2733625eba85361e181fa188c6f","1","1","82266","https://p.scdn.co/mp3-preview/acd93b38110c2e2922942153ab1d634581bbac6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T17:31:49Z"
"spotify:track:2kTM5ZVneXtcIoDm0qOnRO","Closed Eye","spotify:artist:7iontmL8hXqoJcSA5oTZqa","Black Tusk","spotify:album:5oiQZp80cY8m0XH16tWZGw","TCBT","spotify:artist:7iontmL8hXqoJcSA5oTZqa","Black Tusk","2018-08-17","https://i.scdn.co/image/ab67616d0000b2733625eba85361e181fa188c6f","1","2","147680","https://p.scdn.co/mp3-preview/7185d0d836be2283c5c66576a9398ec34809d387?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T17:31:49Z"
"spotify:track:2DqgToKaYwGpPYi6ZppwRk","Agali","spotify:artist:7iontmL8hXqoJcSA5oTZqa","Black Tusk","spotify:album:5oiQZp80cY8m0XH16tWZGw","TCBT","spotify:artist:7iontmL8hXqoJcSA5oTZqa","Black Tusk","2018-08-17","https://i.scdn.co/image/ab67616d0000b2733625eba85361e181fa188c6f","1","3","227133","https://p.scdn.co/mp3-preview/6127639ebcaaebe8fecf20eed6cc3901cb169d75?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T17:31:49Z"
"spotify:track:7Gi6G8BxItfkW84TFdKh5z","Lab Rat","spotify:artist:7iontmL8hXqoJcSA5oTZqa","Black Tusk","spotify:album:5oiQZp80cY8m0XH16tWZGw","TCBT","spotify:artist:7iontmL8hXqoJcSA5oTZqa","Black Tusk","2018-08-17","https://i.scdn.co/image/ab67616d0000b2733625eba85361e181fa188c6f","1","4","250226","https://p.scdn.co/mp3-preview/cc5a1d724fb26639675d893dfaf81449854e34aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T17:31:49Z"
"spotify:track:3clPqPv7U0mKdK0qSyOFPV","Scalped","spotify:artist:7iontmL8hXqoJcSA5oTZqa","Black Tusk","spotify:album:5oiQZp80cY8m0XH16tWZGw","TCBT","spotify:artist:7iontmL8hXqoJcSA5oTZqa","Black Tusk","2018-08-17","https://i.scdn.co/image/ab67616d0000b2733625eba85361e181fa188c6f","1","5","287373","https://p.scdn.co/mp3-preview/7eeb4b0787d896d1d03d9f273fe1f352669fb593?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T17:31:49Z"
"spotify:track:0tlGchDUQFi7XDsX83WlE3","Ghosts Roam","spotify:artist:7iontmL8hXqoJcSA5oTZqa","Black Tusk","spotify:album:5oiQZp80cY8m0XH16tWZGw","TCBT","spotify:artist:7iontmL8hXqoJcSA5oTZqa","Black Tusk","2018-08-17","https://i.scdn.co/image/ab67616d0000b2733625eba85361e181fa188c6f","1","6","250133","https://p.scdn.co/mp3-preview/8aff0e7dbb1477d6ff402b47bef372646a396721?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T17:31:49Z"
"spotify:track:6oY6QUSZE7heXyvauu1rAR","Ill at Ease","spotify:artist:7iontmL8hXqoJcSA5oTZqa","Black Tusk","spotify:album:5oiQZp80cY8m0XH16tWZGw","TCBT","spotify:artist:7iontmL8hXqoJcSA5oTZqa","Black Tusk","2018-08-17","https://i.scdn.co/image/ab67616d0000b2733625eba85361e181fa188c6f","1","7","242440","https://p.scdn.co/mp3-preview/e49a36161ab24c3c720d65f15b3ad9c27e1cbbc0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-11T17:31:49Z"
