"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3C1z7AyGWhSNITaiz5tgws","Clock Catcher","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:5c7XChrHxYaqykCZLaGM5f","Cosmogramma","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2010-05-03","https://i.scdn.co/image/ab67616d0000b273a9e54a589a171c955c54ed79","1","1","72626","https://p.scdn.co/mp3-preview/20ce84117737a5446908c7b0b73c9c37197cc8de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-20T23:03:20Z"
"spotify:track:7jxuzJIr80FEIghYrfvzWH","Shock Front","spotify:artist:5UDclMDQGpjU8WK59SWymU","Converter","spotify:album:1coMMPmUQVW43o84G28ghJ","Shock Front","spotify:artist:5UDclMDQGpjU8WK59SWymU","Converter","1999-05-10","https://i.scdn.co/image/ab67616d0000b273aa67d443c17ee122c3259bca","1","2","435400","https://p.scdn.co/mp3-preview/dd81b2b3d3add84f848f082e141c47fb0b7d21ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:16:00Z"
"spotify:track:1TWEQy0hgp1CnXNethzpLV","Didn't the Night End","spotify:artist:1VFYpTpgmp7ANXqok2dTg3, spotify:artist:1i5rlthy5CmAYWaFOB0jhz","The Body, Full Of Hell","spotify:album:4SXIysQ9zTWimy9uo5GMy8","Ascending a Mountain of Heavy Light","spotify:artist:1VFYpTpgmp7ANXqok2dTg3, spotify:artist:1i5rlthy5CmAYWaFOB0jhz","The Body, Full Of Hell","2017-11-17","https://i.scdn.co/image/ab67616d0000b273a1459fe2bc83d7ebc2f9e553","1","4","311204","https://p.scdn.co/mp3-preview/0d6bc9e76bad5d965e50d7d516a9a08f96807735?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-25T03:23:03Z"
"spotify:track:49Mq1TqEL67eFApGoqolDg","Fire Beats","spotify:artist:7kppjupGnWfCi4vJkhjagF","Venetian Snares + Speedranch","spotify:album:78sbxTT0ikfG4HAb2wJ8Hu","Making Orange Things","spotify:artist:7kppjupGnWfCi4vJkhjagF","Venetian Snares + Speedranch","2001","https://i.scdn.co/image/ab67616d0000b273f336eebc4a16a78a8a94bd4b","1","1","266346","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-25T03:14:29Z"
"spotify:track:0RSRDIiW9N5FqpZky5TG5Q","Be God","spotify:artist:5A4ebXQf38xWIq0xSWLhsS","Godflesh","spotify:album:4yLRI4kaOy4LhSPZ2sCVbE","Post Self","spotify:artist:5A4ebXQf38xWIq0xSWLhsS","Godflesh","2017-11-17","https://i.scdn.co/image/ab67616d0000b273fd2cd96e96c1146608b05a0e","1","5","309000","https://p.scdn.co/mp3-preview/93b8ef69e3d35ccb2adbc04b4a237ff98ca53071?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-13T00:34:48Z"
"spotify:track:63ONChpfOnJYMlOK9wFV0W","Born Again","spotify:artist:3h0PEjv8RemJphYM6ZMI5O","ENDON","spotify:album:7AKyfuAV0wYhUiJwieiySZ","Boy Meets Girl","spotify:artist:3h0PEjv8RemJphYM6ZMI5O","ENDON","2019-02-15","https://i.scdn.co/image/ab67616d0000b27331094bb73b66b739c9097379","1","3","119372","https://p.scdn.co/mp3-preview/12c8e5d16d21fc862ebbd2eb43dfa1a33c9b8cbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-04-04T06:49:27Z"
"spotify:track:6AByj0Apdw4eAwf1nBrCK6","Storm","spotify:artist:74PWOM8pDVOas94yaJ1s24","Stahlschlag","spotify:album:7f7Nb6oOmkKSNX4Cp0pzGo","Annihilation","spotify:artist:74PWOM8pDVOas94yaJ1s24","Stahlschlag","2019-01-31","https://i.scdn.co/image/ab67616d0000b273e3b897c95f444db13f7fabea","1","2","239880","https://p.scdn.co/mp3-preview/81b9c2ccd036106538a093bba81cf5e07dbef5bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-21T08:42:27Z"
"spotify:track:2PVXB5a4OlHm9NJ3G5VIZO","That Beast","spotify:artist:0DGtv5OHFgXsRhHh81ATPn","ESA (Electronic Substance Abuse)","spotify:album:7ljXOMXc0NwNZzUXnmT7Y3","That Beast","spotify:artist:0DGtv5OHFgXsRhHh81ATPn","ESA (Electronic Substance Abuse)","2018-03-09","https://i.scdn.co/image/ab67616d0000b2738c6dac1fb7287e0b8ea68137","1","5","414500","https://p.scdn.co/mp3-preview/30fe49daa69d3ec3de949e06b236d87dc733de25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:12:29Z"
"spotify:track:1yPmVRjVjyJ9CPVlXx5Wfb","Nose Art","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:5c7XChrHxYaqykCZLaGM5f","Cosmogramma","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2010-05-03","https://i.scdn.co/image/ab67616d0000b273a9e54a589a171c955c54ed79","1","3","118320","https://p.scdn.co/mp3-preview/793c0d1d0e43519861a7ac3d3e78709348de2161?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-14T04:36:57Z"
"spotify:track:0L2QuigtGJxE01k0IjIdtp","Sacrifice","spotify:artist:5UDclMDQGpjU8WK59SWymU","Converter","spotify:album:1coMMPmUQVW43o84G28ghJ","Shock Front","spotify:artist:5UDclMDQGpjU8WK59SWymU","Converter","1999-05-10","https://i.scdn.co/image/ab67616d0000b273aa67d443c17ee122c3259bca","1","6","493613","https://p.scdn.co/mp3-preview/3e39eb6a0beb1ddc479ab53419a3c992491f3430?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:16:00Z"
"spotify:track:5RckMwQQk8Gp5W7sTH0luF","Memory-Trace","spotify:artist:5UDclMDQGpjU8WK59SWymU","Converter","spotify:album:1coMMPmUQVW43o84G28ghJ","Shock Front","spotify:artist:5UDclMDQGpjU8WK59SWymU","Converter","1999-05-10","https://i.scdn.co/image/ab67616d0000b273aa67d443c17ee122c3259bca","1","7","563973","https://p.scdn.co/mp3-preview/23bc9a629ccb9112cbf8b3b8ffcb890ff1fa2bb2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-03T02:16:00Z"
