"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0ntQJM78wzOLVeCUAW7Y45","Sex on Fire","spotify:artist:2qk9voo8llSGYcZ6xrBzKx","Kings of Leon","spotify:album:5CZR6ljD0x9fTiS4mh9wMp","Only By The Night","spotify:artist:2qk9voo8llSGYcZ6xrBzKx","Kings of Leon","2008-09-23","https://i.scdn.co/image/ab67616d0000b2732519d01c0cca06f134eeadd8","1","3","203346","https://p.scdn.co/mp3-preview/8cca3506fa42dd9cc51a761386d064b502d1a4c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:47Z"
"spotify:track:6ooluO7DiEhI1zmK94nRCM","Take Me Out","spotify:artist:0XNa1vTidXlvJ2gHSsRi4A","Franz Ferdinand","spotify:album:0mUEGMT2YlzCWGeWOJjBKD","Franz Ferdinand","spotify:artist:0XNa1vTidXlvJ2gHSsRi4A","Franz Ferdinand","2004","https://i.scdn.co/image/ab67616d0000b273bf68b5be16edfc6f489a17d7","1","3","237026","","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:47Z"
"spotify:track:6b2oQwSGFkzsMtQruIWm2p","Creep","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:6400dnyeDyD2mIFHfkwHXN","Pablo Honey","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","1993-02-22","https://i.scdn.co/image/ab67616d0000b2732f85b65d3ac4d3d7f806ca11","1","2","238640","","true","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:47Z"
"spotify:track:6mcxQ1Y3uQRU0IHsvdNLH1","Where Is My Mind?","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","spotify:album:2l7RPWC3E6eStJJLBsUeCI","Surfer Rosa (Remastered)","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","1988","https://i.scdn.co/image/ab67616d0000b2731a3903c1aa8122f7720f5d71","1","7","236973","","false","14","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:47Z"
"spotify:track:1YLJVmuzeM2YSUkCCaTNUB","Dog Days Are Over","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","spotify:album:2FgknX5e7fJlriQtxvpLhZ","Lungs (Deluxe Edition)","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","2009","https://i.scdn.co/image/ab67616d0000b2730672b0f8756ae2af86e8a5ce","1","1","251840","https://p.scdn.co/mp3-preview/f85e52834343e813453918c8c9fda890637162ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:47Z"
"spotify:track:7i6r9KotUPQg3ozKKgEPIN","Seven Nation Army","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:48Atx1uS9J4KL5iQt3weoS","Elephant","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2003-04-01","https://i.scdn.co/image/ab67616d0000b273588ca88c368d5f6eae5cb9b1","1","1","231733","","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:47Z"
"spotify:track:1f2nJKg780VxYIveVq6Xej","South Of Heaven","spotify:artist:1IQ2e1buppatiN1bxUVkrk","Slayer","spotify:album:09ghSsJ7jalI4jWtf7E08b","South Of Heaven","spotify:artist:1IQ2e1buppatiN1bxUVkrk","Slayer","1988-01-01","https://i.scdn.co/image/ab67616d0000b273247bba379dd1511a5e934ed8","1","1","298533","https://p.scdn.co/mp3-preview/9825163bfd217a442f5111337f2ebdb3e6123e9d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:47Z"
"spotify:track:305WCRhhS10XUcH6AEwZk6","Are You Gonna Be My Girl","spotify:artist:5ypxebeHEIXjMtJb17uJlI","Jet","spotify:album:6NrLpQCPYrNS3kVWxDgIlg","Get Born","spotify:artist:5ypxebeHEIXjMtJb17uJlI","Jet","2003-09-15","https://i.scdn.co/image/ab67616d0000b273d06bd6d3b1f258ba2bca597a","1","2","213800","https://p.scdn.co/mp3-preview/f0e6e6d1835303097ef22037f333f8c057463146?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:47Z"
"spotify:track:1z4xjDLLWJgG48Bn8OCxZv","Help I'm Alive","spotify:artist:1rCIEwPp5OnXW0ornlSsRl","Metric","spotify:album:3Oj8FdHcV6kAiOVWfkqRaA","Fantasies","spotify:artist:1rCIEwPp5OnXW0ornlSsRl","Metric","2009-04-14","https://i.scdn.co/image/ab67616d0000b27370d7aa769af19e7e2c2e107b","1","1","285920","https://p.scdn.co/mp3-preview/a37196269a921d238a2e7054e682abc9f3195242?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:47Z"
"spotify:track:4KfSdst7rW39C0sfhArdrz","Barracuda","spotify:artist:34jw2BbxjoYalTp8cJFCPv","Heart","spotify:album:1LaeNhiUpL3X6N0LcFvuDF","Little Queen","spotify:artist:34jw2BbxjoYalTp8cJFCPv","Heart","1977-05-14","https://i.scdn.co/image/ab67616d0000b2739cef5b2e4c9104c678973f44","1","1","261933","https://p.scdn.co/mp3-preview/40fe19875a5d5aae773c517c3179c47d12f94c25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:47Z"
