"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5ghIJDpPoe3CfHMGu71E6T","Smells Like Teen Spirit","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","spotify:album:2guirTSEqLizK7j9i1MTTZ","Nevermind (Remastered)","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","1991-09-26","https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf","1","1","301920","https://p.scdn.co/mp3-preview/a4655f8b70ebee4a0d56afea3fec16eefaec4bd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:6ECp64rv50XVz93WvxXMGF","This Love","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:5zClcGCSWj926AMjvBNSLc","Songs About Jane: 10th Anniversary Edition","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2002","https://i.scdn.co/image/ab67616d0000b27392f2d790c6a97b195f66d51e","1","2","206200","https://p.scdn.co/mp3-preview/86ee8e73aa2c439b7f772e939c5c5f542dca32d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:0qQGx2TyjtZNDNyRYO9Z0W","PPP","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:35vTE3hx3AAXtM6okpJIIt","Depression Cherry","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2015-08-28","https://i.scdn.co/image/ab67616d0000b273fc685af465876c629ad111ef","1","6","368546","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:5UFt0wpIRFSYTIPjZny4u9","Myth","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:1UYkwtjbjdLlHc4bdnkvdO","Bloom","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2012-05-15","https://i.scdn.co/image/ab67616d0000b273e75812e7e88e4b900555f127","1","1","258653","","false","1","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:6ltupDRDyrxx21EoJ3Dwsw","In The Mirror","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","spotify:album:5f9BLrcnp776JmOgAV9aS6","In My Time","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","1993","https://i.scdn.co/image/ab67616d0000b2732121e2825f0d63bf0a8b2f88","1","7","245133","https://p.scdn.co/mp3-preview/53e9a3d7b6cb06a0deb1fc47cfc2077420e8c53e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:5UWwZ5lm5PKu6eKsHAGxOk","Everlong","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:30ly6F6Xl0TKmyBCU50Khv","The Colour And The Shape","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1997-05-20","https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b","1","11","250546","https://p.scdn.co/mp3-preview/7258a9fd5a751e9bdb7030b0da623b3b498b6ba0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:5QLHGv0DfpeXLNFo7SFEy1","1979 - Remastered 2012","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","spotify:album:55RhFRyQFihIyGf61MgcfV","Mellon Collie And The Infinite Sadness (Deluxe Edition)","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","1995","https://i.scdn.co/image/ab67616d0000b273431ac6e6f393acf475730ec6","2","5","266200","https://p.scdn.co/mp3-preview/4bd828fd573d84ccb2375b96d497e82df16b0839?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:5Q6Xzp25aXYxNJ4B6vBkcf","Luna - Remastered","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","spotify:album:0bQglEvsHphrS19FGODEGo","Siamese Dream (Deluxe Edition)","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","1993","https://i.scdn.co/image/ab67616d0000b2735274788f34fc7656d2856dfd","1","13","202320","https://p.scdn.co/mp3-preview/50add6c8774c5149a3ce411faf5b400b24d93249?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:4mn2kNTqiGLwaUR8JdhJ1l","House of the Rising Sun","spotify:artist:3ICflSq6ZgYAIrm2CTkfVP","The Animals","spotify:album:1v4O55JGou3T0Vlj06fdXz","The Singles Plus","spotify:artist:3ICflSq6ZgYAIrm2CTkfVP","The Animals","1987-10-19","https://i.scdn.co/image/ab67616d0000b273015c484a7aca592df1a77828","1","3","269906","https://p.scdn.co/mp3-preview/da7cd6105e6aaf6339bfd62ce077cae0d255832a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:0rKtyWc8bvkriBthvHKY8d","SLOW DANCING IN THE DARK","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","spotify:album:34GQP3dILpyCN018y2k61L","BALLADS 1","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","2018-10-26","https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2","1","2","209273","https://p.scdn.co/mp3-preview/483355f39bb264b9828633561ab14a7a48e75270?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:3TVVNLGw5RPpbtx77SM9ge","Labyrinth","spotify:artist:6O4EGCCb6DoIiR6B1QCQgp","Toro y Moi","spotify:album:39dY6cEFXDEevnfUTzp6lZ","Boo Boo","spotify:artist:6O4EGCCb6DoIiR6B1QCQgp","Toro y Moi","2017-07-07","https://i.scdn.co/image/ab67616d0000b2736bdf32d53f9f5dccc09dbcbe","1","10","241253","https://p.scdn.co/mp3-preview/5ac06ee5eaaaac45670e23d3d0dc0c2ab4da4c1c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:6TFUZ8Bt1brEwomY90SKXi","Girl Like You","spotify:artist:6O4EGCCb6DoIiR6B1QCQgp","Toro y Moi","spotify:album:39dY6cEFXDEevnfUTzp6lZ","Boo Boo","spotify:artist:6O4EGCCb6DoIiR6B1QCQgp","Toro y Moi","2017-07-07","https://i.scdn.co/image/ab67616d0000b2736bdf32d53f9f5dccc09dbcbe","1","8","223773","https://p.scdn.co/mp3-preview/fb61f7b2c9472a4e4ffad71363250f82b883a72e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:2jSJm3Gv6GLxduWLenmjKS","Digital Bath","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:5LEXck3kfixFaA3CqVE7bC","White Pony","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2000-05-16","https://i.scdn.co/image/ab67616d0000b2735c53799f473fa3e1a48c00ed","1","3","255373","https://p.scdn.co/mp3-preview/fc657148ff355f8fb6fb66df8584a3acb05c5079?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:42Kv1RoTAm09FeytxiuZIB","Knife Prty","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:5LEXck3kfixFaA3CqVE7bC","White Pony","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2000-05-16","https://i.scdn.co/image/ab67616d0000b2735c53799f473fa3e1a48c00ed","1","8","289200","https://p.scdn.co/mp3-preview/6e6dd64047e922cb10eaa11aa764475a5a9998c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:2374M0fQpWi3dLnB54qaLX","Africa","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","spotify:album:62U7xIHcID94o20Of5ea4D","Toto IV","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","1982-04-08","https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b","1","10","295893","https://p.scdn.co/mp3-preview/4551544dbf630ad584de356432e8afbd84b96914?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:1L94M3KIu7QluZe63g64rv","Alive","spotify:artist:1w5Kfo2jwwIPruYS2UWh56","Pearl Jam","spotify:album:5B4PYA7wNN4WdEXdIJu58a","Ten","spotify:artist:1w5Kfo2jwwIPruYS2UWh56","Pearl Jam","1991-08-27","https://i.scdn.co/image/ab67616d0000b273d400d27cba05bb0545533864","1","3","340907","https://p.scdn.co/mp3-preview/628f678adab15d9b2b8a144e4bdffd5b2c493436?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:2EoOZnxNgtmZaD8uUmz2nD","Black Hole Sun","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:29sTacnS0qA9xri6YS8xLA","Superunknown (Deluxe Edition)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b273ae6d8e36136353d550b2587d","1","7","318586","https://p.scdn.co/mp3-preview/814e3edbfe3731b50c34265a1aafc99590f32ffb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
"spotify:track:5qZ4c1EBVWpmz1GBaks8Uq","Bloodhail","spotify:artist:0FRKTwQSToXpCxYMhyUzYY","Have A Nice Life","spotify:album:6MH3CAXp8AN8ELrbex18dM","Deathconsciousness","spotify:artist:0FRKTwQSToXpCxYMhyUzYY","Have A Nice Life","2008-01-01","https://i.scdn.co/image/ab67616d0000b273a54f2b401501b3569990c256","1","2","338000","https://p.scdn.co/mp3-preview/b8431102c85e05481681510bfe2ad4ba42a18f97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:12:28Z"
