"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7fkPHqwCPfKQ0qxCbUBYoI","She Was the Universe","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:7I20NLpciK3T4NulbPttNN","Anthropocentric","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2011-04-12","https://i.scdn.co/image/ab67616d0000b2736faa63118bcdd995b5680b34","1","3","339280","https://p.scdn.co/mp3-preview/00eda1bbfa01e349480482e817d40cb9488ac0bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-05T13:41:12Z"
"spotify:track:5Q5JuwRUZQVNXTCoAkjgQf","Clockworks","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:7iqG1CTQwnil3TQ0Tiq9DD","The Violent Sleep of Reason","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2016-10-07","https://i.scdn.co/image/ab67616d0000b2736ffe054523fedb54b64f9115","1","1","435040","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-05T16:41:12Z"
"spotify:track:55Eta7ne9rL3xDdSFxyNW2","Fix My Heart","spotify:artist:0lFiKrJUofJpnrAJnMsnQ3","Voivod","spotify:album:0EevA0t8Qcxh4TFLtBQPyo","The Outer Limits","spotify:artist:0lFiKrJUofJpnrAJnMsnQ3","Voivod","1993-01-01","https://i.scdn.co/image/ab67616d0000b273f77d7915c43a6bf6b6fc4dac","1","1","296786","https://p.scdn.co/mp3-preview/82a3e4f09feb60f33414df9f83131d63c05951ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-02-06T07:38:05Z"
"spotify:track:0Bv2ixOjn8jKiVTQXE9mF8","Fazer","spotify:artist:1GDjwZ2zwNZizuNJPmH3mE","Quicksand","spotify:album:3LVYsDFVGuPE7kNQyXZvgp","Slip","spotify:artist:1GDjwZ2zwNZizuNJPmH3mE","Quicksand","1993-01-01","https://i.scdn.co/image/ab67616d0000b273be722dada792bbc6d9f21c10","1","1","193333","https://p.scdn.co/mp3-preview/2243afa4faaf248d32da1cb2781cc9382048835e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-05T17:49:48Z"
"spotify:track:4CiyYK63TAx2FFTTdKHuX9","Fisheye","spotify:artist:370lLcSfFuzXFatC0DFLel","Shining","spotify:album:1sXcNLAnHDZJ6hEwr0Psg8","Blackjazz","spotify:artist:370lLcSfFuzXFatC0DFLel","Shining","2010-01-25","https://i.scdn.co/image/ab67616d0000b273ac8ec2e2e501b29ace4a59ca","1","2","307626","https://p.scdn.co/mp3-preview/4b3044ea41a12e46ccfdac23d7bc5d9fcc4e7c77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-02T06:52:52Z"
"spotify:track:5UQbNhJIBqQisdbQ20oFTP","Whan Acting As A Particle","spotify:artist:7IGcjaMGAtsvKBLQX26W4i","The Dillinger Escape Plan","spotify:album:65ai7QRrruWGNPcVU23PgD","Ire Works","spotify:artist:7IGcjaMGAtsvKBLQX26W4i","The Dillinger Escape Plan","2007-11-13","https://i.scdn.co/image/ab67616d0000b273c2b0ced8518ed8905e48c650","1","5","83026","https://p.scdn.co/mp3-preview/23605b882b33acd392abeaf89a032bd9ffcb4184?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-20T17:29:29Z"
"spotify:track:6aZ86Yg46zw4cEZ300eKhj","Pussyfoot","spotify:artist:03mz3G1gu1GPNgAWY4qR2w","SikTh","spotify:album:21yMN5MvuTu0OxycWxBvdH","The Trees Are Dead & Dried Out, Wait for Something Wild","spotify:artist:03mz3G1gu1GPNgAWY4qR2w","SikTh","2003","https://i.scdn.co/image/ab67616d0000b27301b5dac9be0506ecf6259510","1","2","205693","https://p.scdn.co/mp3-preview/09ccb47efed9fc9466388c6e08384951f42ec68f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-09T00:32:10Z"
"spotify:track:2XXJBDvPjo4tn9So1NB4Ep","Black Box Messiah","spotify:artist:2cbWJP4X5b9sKEDW80uc5r","Diablo Swing Orchestra","spotify:album:2vH7yefGF66c95Mk9IQdCo","Pandora's Pinata","spotify:artist:2cbWJP4X5b9sKEDW80uc5r","Diablo Swing Orchestra","2012-05-22","https://i.scdn.co/image/ab67616d0000b273011bd3aa04cae19fd35cbf13","1","5","177280","https://p.scdn.co/mp3-preview/1aa762a24c9b79e62d2f929a48473e2c0d9d0492?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-08T21:45:31Z"
"spotify:track:6LGoJAyN1xAqF3VJZt0MKx","Evil","spotify:artist:0W8edGiwAsv6HXF0Kyc2V9","Mercyful Fate","spotify:album:2csZMxSEbMiDhiaZuEeuuv","Melissa","spotify:artist:0W8edGiwAsv6HXF0Kyc2V9","Mercyful Fate","1983","https://i.scdn.co/image/ab67616d0000b273bed3cf6d90e79aa317f69705","1","1","284960","https://p.scdn.co/mp3-preview/ef84bb92927f5580509020f601691b22bae79e19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-11T06:09:34Z"
"spotify:track:2vWxvpycD0ELvOJr6g4pQt","WEIGHT OFF","spotify:artist:6qgnBH6iDM91ipVXv28OMu, spotify:artist:65dGLGjkw3UbddUg2GKQoZ","KAYTRANADA, BADBADNOTGOOD","spotify:album:1dZZh7PvVgce1DDsDPzy8Z","99.9%","spotify:artist:6qgnBH6iDM91ipVXv28OMu","KAYTRANADA","2016-05-06","https://i.scdn.co/image/ab67616d0000b27342c18fe458181bc13d08070a","1","6","155960","","false","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-02-06T07:49:37Z"
