"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5YRMsTWv0SaTdki9Fb6omo","Anything Jesus Does, I Can Do Better","spotify:artist:6uZOWljC7E3k7ZjVNKwZyW","The Locust","spotify:album:3IAeuXl1pBBbzA5mo0HuEz","Plague Soundscapes","spotify:artist:6uZOWljC7E3k7ZjVNKwZyW","The Locust","2003-06-24","https://i.scdn.co/image/ab67616d0000b273dbb2cb2daf38f0ada6d9871a","1","11","89120","https://p.scdn.co/mp3-preview/4a76eca6397517115e0cce88356e4dd86bf57631?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-30T19:23:06Z"
"spotify:track:1OTKW4MaUaKjVBrnhjLy1k","Recyclable Body Fluids In Human Form","spotify:artist:6uZOWljC7E3k7ZjVNKwZyW","The Locust","spotify:album:3IAeuXl1pBBbzA5mo0HuEz","Plague Soundscapes","spotify:artist:6uZOWljC7E3k7ZjVNKwZyW","The Locust","2003-06-24","https://i.scdn.co/image/ab67616d0000b273dbb2cb2daf38f0ada6d9871a","1","1","41120","https://p.scdn.co/mp3-preview/fc0bb9f26ce77e806475046dea784302115ebbbc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-30T19:23:06Z"
"spotify:track:26oxBlZRI8vdjgkJZUokWA","AOTKPTA","spotify:artist:6uZOWljC7E3k7ZjVNKwZyW","The Locust","spotify:album:4yQk6ghuHbk0KjpJHCTWq1","New Erections","spotify:artist:6uZOWljC7E3k7ZjVNKwZyW","The Locust","2007-03-20","https://i.scdn.co/image/ab67616d0000b2735cf6d8c2888bf25281af778d","1","1","181706","https://p.scdn.co/mp3-preview/678b272a750f35457de829fe436fcfedebe93fe2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-30T19:23:06Z"
"spotify:track:5z4x4icSYA0FA4WPMn6Ccg","Live From The Russian Compound","spotify:artist:6uZOWljC7E3k7ZjVNKwZyW","The Locust","spotify:album:3IAeuXl1pBBbzA5mo0HuEz","Plague Soundscapes","spotify:artist:6uZOWljC7E3k7ZjVNKwZyW","The Locust","2003-06-24","https://i.scdn.co/image/ab67616d0000b273dbb2cb2daf38f0ada6d9871a","1","4","58373","https://p.scdn.co/mp3-preview/3108e56e3c596d5de744b03af9dad6ba32964879?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-30T19:23:06Z"
"spotify:track:7MdFFVYWu4OnvVRxfWObT4","Identity Exchange Program Rectum Return Policy","spotify:artist:6uZOWljC7E3k7ZjVNKwZyW","The Locust","spotify:album:3IAeuXl1pBBbzA5mo0HuEz","Plague Soundscapes","spotify:artist:6uZOWljC7E3k7ZjVNKwZyW","The Locust","2003-06-24","https://i.scdn.co/image/ab67616d0000b273dbb2cb2daf38f0ada6d9871a","1","2","58320","https://p.scdn.co/mp3-preview/feb1e0f72b2928ddf2be795c0a094dcc85a7ebd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-30T19:23:06Z"
"spotify:track:67K6W01pZ7bpyzCoe9NIbI","Castration Rite","spotify:artist:6XFjGDX7mROQvLOEV4iSem","Discordance Axis","spotify:album:6eaStrouTWixAWDidvYSxE","The Inalienable Dreamless","spotify:artist:6XFjGDX7mROQvLOEV4iSem","Discordance Axis","2009-03-05","https://i.scdn.co/image/ab67616d0000b2738f8b760b8533e5be86a681f1","1","1","58360","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-30T19:23:20Z"
"spotify:track:1PnJP9mwUUBtOZv4CvnQYE","The Inalienable Dreamless","spotify:artist:6XFjGDX7mROQvLOEV4iSem","Discordance Axis","spotify:album:6eaStrouTWixAWDidvYSxE","The Inalienable Dreamless","spotify:artist:6XFjGDX7mROQvLOEV4iSem","Discordance Axis","2009-03-05","https://i.scdn.co/image/ab67616d0000b2738f8b760b8533e5be86a681f1","1","2","41360","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-30T19:23:20Z"
"spotify:track:5Girjn8Q6dkiKAJyI1SRV9","Oratorio In Grey","spotify:artist:6XFjGDX7mROQvLOEV4iSem","Discordance Axis","spotify:album:6eaStrouTWixAWDidvYSxE","The Inalienable Dreamless","spotify:artist:6XFjGDX7mROQvLOEV4iSem","Discordance Axis","2009-03-05","https://i.scdn.co/image/ab67616d0000b2738f8b760b8533e5be86a681f1","1","4","54226","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-30T19:23:20Z"
"spotify:track:4zwOxGaqrrDiHKVOcXNWtC","Sound Out The Braille","spotify:artist:6XFjGDX7mROQvLOEV4iSem","Discordance Axis","spotify:album:6eaStrouTWixAWDidvYSxE","The Inalienable Dreamless","spotify:artist:6XFjGDX7mROQvLOEV4iSem","Discordance Axis","2009-03-05","https://i.scdn.co/image/ab67616d0000b2738f8b760b8533e5be86a681f1","1","3","32853","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-30T19:23:20Z"
"spotify:track:6fxQGMja0RRTYYqdxsNXvG","Vacuum Sleeve","spotify:artist:6XFjGDX7mROQvLOEV4iSem","Discordance Axis","spotify:album:6eaStrouTWixAWDidvYSxE","The Inalienable Dreamless","spotify:artist:6XFjGDX7mROQvLOEV4iSem","Discordance Axis","2009-03-05","https://i.scdn.co/image/ab67616d0000b2738f8b760b8533e5be86a681f1","1","5","62680","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-09-30T19:23:20Z"
