"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:26hI0ygAEg8tKil1khlIlp","Szamojéd Freskó","spotify:artist:4sgTqbA7htxYkRRJBPZIom","Thy Catafalque","spotify:album:76bSrJSE20rbODR36eSEQE","Geometria","spotify:artist:4sgTqbA7htxYkRRJBPZIom","Thy Catafalque","2018-05-04","https://i.scdn.co/image/ab67616d0000b273015260780516188f629f007f","1","2","241441","https://p.scdn.co/mp3-preview/eececd230ffdaaa799d4949841f7253022528b4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-09T02:18:32Z"
"spotify:track:7mp40baUsjqzTEuvCF4Vja","Soothsayer","spotify:artist:1Na6P4MqOassrZtvT9Z12s","Horrendous","spotify:album:5O9HYGafjdQTRoegpEtJTW","Idol","spotify:artist:1Na6P4MqOassrZtvT9Z12s","Horrendous","2018-09-28","https://i.scdn.co/image/ab67616d0000b273588c7a9a23b2ec2292184f2a","1","2","293266","https://p.scdn.co/mp3-preview/c3cc9daf003dd0df5039b93ccc2aa9e451c6fef8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-09T02:21:44Z"
"spotify:track:1RrHCwlFEtfKHM6Sk1hIdx","Machitikos","spotify:artist:0Dp3xdPYLP6ZzIyHOz7Ysc","Hell","spotify:album:2191K4dfNNF5s58Gu7IWr5","Hell","spotify:artist:0Dp3xdPYLP6ZzIyHOz7Ysc","Hell","2017-08-11","https://i.scdn.co/image/ab67616d0000b2733edefe96ee83ed29f52af36c","1","3","338503","","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-09T20:01:30Z"
"spotify:track:14RGanYo118SYEddEJH1sU","Infinite Fields Of Mind","spotify:artist:4VkWISgUF5AccCSs92mauh","Abigail Williams","spotify:album:4vHR4LQEPJYDWHToqugkmn","Becoming","spotify:artist:4VkWISgUF5AccCSs92mauh","Abigail Williams","2012-01-24","https://i.scdn.co/image/ab67616d0000b273e30c0266ac70b78fe8654283","1","4","611253","https://p.scdn.co/mp3-preview/e170706f6b25e2fff634685b718a7fc33778a46e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-09T02:20:59Z"
"spotify:track:6qjO5Nmt9B8IKH4rNpylxk","Self-Consciousness Is Desire And","spotify:artist:6H1rXvjwXYLe7Kq5O5lTtm","Blindead","spotify:album:2hNcO6iygItuqaSVLVVSmW","Affliction XXIX II MXMN","spotify:artist:6H1rXvjwXYLe7Kq5O5lTtm","Blindead","2011-06-06","https://i.scdn.co/image/ab67616d0000b2730603947eaea3113cc70b590b","1","1","491480","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-09T02:21:14Z"
"spotify:track:7KrSvVlQj6qwlbSWL65iBE","And I Control You","spotify:artist:5Cz18ETgjR6kcVMUK0YOqD","Nachtmystium","spotify:album:74MuJS9J7ZNhzRhzNX254g","Silencing Machine","spotify:artist:5Cz18ETgjR6kcVMUK0YOqD","Nachtmystium","2012-07-31","https://i.scdn.co/image/ab67616d0000b273171a4549761f83a484f1d15d","1","3","374213","https://p.scdn.co/mp3-preview/d1c046bc6a4e19f8407207f61ed8d9def94100c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-09T02:14:13Z"
"spotify:track:39lgO3AGc8pt7SM4VuB0Mh","Kilter","spotify:artist:1WiZz4d759EPtACSUBEfmt","Portal","spotify:album:0PtGwwqM6zFvawkY3JHtfq","Vexovoid","spotify:artist:1WiZz4d759EPtACSUBEfmt","Portal","2013-02-19","https://i.scdn.co/image/ab67616d0000b273c60e97e5679057eec42e418f","1","1","346626","https://p.scdn.co/mp3-preview/79de660ee2b955407bf2da6a5fb26974adc55ae3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-09T02:21:57Z"
"spotify:track:2YvMyWH49l4U3neyjEnMpK","Brain Transplant","spotify:artist:0FJTTwSyFG3TnPYs0Gwuwr","Artificial Brain","spotify:album:2iOQAM3STw2SoBn7XLdEuu","Labyrinth Constellation","spotify:artist:0FJTTwSyFG3TnPYs0Gwuwr","Artificial Brain","2014-02-18","https://i.scdn.co/image/ab67616d0000b273134e3b5635f427bc90ad9569","1","1","158933","https://p.scdn.co/mp3-preview/84948f54d5b6f50b9b1ff6ea2f7af3435db94c70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-09T02:22:08Z"
"spotify:track:5zj6OXYSB1jucYBLkgwPme","Sire of Sin","spotify:artist:29PgYwTelpNl6370XLqFtN","Cryptopsy","spotify:album:5XlcD9OFVsQb07xN2c2gaf","The Book of Suffering - Tome II","spotify:artist:29PgYwTelpNl6370XLqFtN","Cryptopsy","2018-10-26","https://i.scdn.co/image/ab67616d0000b27395d0cf1f0053b4e2498283c2","1","2","266739","https://p.scdn.co/mp3-preview/ae6bbe08bb87b5f7edd7db1521d07528ca534d18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-09T02:22:34Z"
"spotify:track:3X2pp4TeXOvNZNYT3S4VYP","Suffer","spotify:artist:44jDvLRX5YIUBQ7th8xw6G","Dead in the Dirt","spotify:album:6WkdJkAffibFMN5tiWE4Dt","The Blind Hole","spotify:artist:44jDvLRX5YIUBQ7th8xw6G","Dead in the Dirt","2013-08-06","https://i.scdn.co/image/ab67616d0000b273e8d17ef9b824f07afdaf6f44","1","1","51589","https://p.scdn.co/mp3-preview/bde199caa97f6541b75f26df4e431a1863a1834d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-09T02:22:42Z"
