"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6JnsJN6gmeQVOVtoPmyAJd","The D.Elkan","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","spotify:album:4E8OP5rtu4s87cGG4RgUHR","Hold Your Horse Is","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","2002","https://i.scdn.co/image/ab67616d0000b27394e482eb4550bebed9f9b524","1","1","43026","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-15T22:46:54Z"
"spotify:track:5ZdSxbZ5EXxT37tw5LY4Xg","Biblical Violence","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","spotify:album:4E8OP5rtu4s87cGG4RgUHR","Hold Your Horse Is","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","2002","https://i.scdn.co/image/ab67616d0000b27394e482eb4550bebed9f9b524","1","2","183706","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-15T22:46:54Z"
"spotify:track:291Fg82dsSPorOtkhaW7bb","Been A Long Time Cousin","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","spotify:album:4E8OP5rtu4s87cGG4RgUHR","Hold Your Horse Is","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","2002","https://i.scdn.co/image/ab67616d0000b27394e482eb4550bebed9f9b524","1","3","230733","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-15T22:46:54Z"
"spotify:track:5oIamOBIR4UQuJ9DpEyAUV","Republic of Rough and Ready","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","spotify:album:4E8OP5rtu4s87cGG4RgUHR","Hold Your Horse Is","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","2002","https://i.scdn.co/image/ab67616d0000b27394e482eb4550bebed9f9b524","1","4","224200","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-15T22:46:54Z"
"spotify:track:2FJNVpoqXdORqsCvR26eYJ","1-800-GHOST-DANCE","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","spotify:album:4E8OP5rtu4s87cGG4RgUHR","Hold Your Horse Is","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","2002","https://i.scdn.co/image/ab67616d0000b27394e482eb4550bebed9f9b524","1","5","224760","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-15T22:46:54Z"
"spotify:track:4l4jaquMgyvfylCdB4ZFiL","Brown Metal","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","spotify:album:4E8OP5rtu4s87cGG4RgUHR","Hold Your Horse Is","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","2002","https://i.scdn.co/image/ab67616d0000b27394e482eb4550bebed9f9b524","1","6","234173","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-15T22:46:54Z"
"spotify:track:0mxWcdHwpzGfLtaz8e4G5k","Cafeteria Bananas","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","spotify:album:4E8OP5rtu4s87cGG4RgUHR","Hold Your Horse Is","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","2002","https://i.scdn.co/image/ab67616d0000b27394e482eb4550bebed9f9b524","1","7","220893","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-15T22:46:54Z"
"spotify:track:563G9kFBaSG13dgA93VkAS","City Folk Sitting, Sitting","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","spotify:album:4E8OP5rtu4s87cGG4RgUHR","Hold Your Horse Is","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","2002","https://i.scdn.co/image/ab67616d0000b27394e482eb4550bebed9f9b524","1","8","426533","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-15T22:46:54Z"
"spotify:track:0Tm4c90dU2XqOBO8V1gIUQ","Better Get a Broom!","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","spotify:album:4E8OP5rtu4s87cGG4RgUHR","Hold Your Horse Is","spotify:artist:1n861RIk6CTAWncgHR9UHg","Hella","2002","https://i.scdn.co/image/ab67616d0000b27394e482eb4550bebed9f9b524","1","9","260866","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-15T22:46:54Z"
"spotify:track:07sf0sHi8ZlmdN0hUZWgtI","The Metal East","spotify:artist:2og3FOCLYXT9H7IYE6QPUq","Lightning Bolt","spotify:album:0Z0aI5ATk4kmQfTSANB0Z1","Fantasy Empire","spotify:artist:2og3FOCLYXT9H7IYE6QPUq","Lightning Bolt","2015-03-24","https://i.scdn.co/image/ab67616d0000b2737b6f8f86e9ff52aaca3cc82e","1","1","252656","https://p.scdn.co/mp3-preview/63d60cea3a0d6e269e4a855dbf484b250b721b27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-09T16:36:54Z"
"spotify:track:02N7IrcwKujTW4JHaXsKS2","Over The River And Through The Woods","spotify:artist:2og3FOCLYXT9H7IYE6QPUq","Lightning Bolt","spotify:album:0Z0aI5ATk4kmQfTSANB0Z1","Fantasy Empire","spotify:artist:2og3FOCLYXT9H7IYE6QPUq","Lightning Bolt","2015-03-24","https://i.scdn.co/image/ab67616d0000b2737b6f8f86e9ff52aaca3cc82e","1","2","391248","https://p.scdn.co/mp3-preview/31019acce396e93de1a752d6c04f1862dba55959?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-09T16:36:54Z"
"spotify:track:4CQu4CGmXD7fnVIc9QRMzr","Horsepower","spotify:artist:2og3FOCLYXT9H7IYE6QPUq","Lightning Bolt","spotify:album:0Z0aI5ATk4kmQfTSANB0Z1","Fantasy Empire","spotify:artist:2og3FOCLYXT9H7IYE6QPUq","Lightning Bolt","2015-03-24","https://i.scdn.co/image/ab67616d0000b2737b6f8f86e9ff52aaca3cc82e","1","3","283104","https://p.scdn.co/mp3-preview/4a8c3f52626e37ba1574001b131530813a7969c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-09T16:36:54Z"
"spotify:track:2Lky5vzyn2Tr1aXpzlAotT","King Of My World","spotify:artist:2og3FOCLYXT9H7IYE6QPUq","Lightning Bolt","spotify:album:0Z0aI5ATk4kmQfTSANB0Z1","Fantasy Empire","spotify:artist:2og3FOCLYXT9H7IYE6QPUq","Lightning Bolt","2015-03-24","https://i.scdn.co/image/ab67616d0000b2737b6f8f86e9ff52aaca3cc82e","1","4","236829","https://p.scdn.co/mp3-preview/6d40c0a12700d3ce64b067385f2b8f884e62afd7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-09T16:36:54Z"
