"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6qopop1Rc9r1RjEIBQhc8d","Lightning Strike","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","spotify:album:7p3G0OCxtlWyJcPE1FxnyB","Firepower","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","2018-03-09","https://i.scdn.co/image/ab67616d0000b2735c48f1b63e4b70cf96ffb088","1","2","209453","https://p.scdn.co/mp3-preview/87049f4ea1bb0bc5f1cc7cee29b3a3920e81e79d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T07:58:41Z"
"spotify:track:74qgrn0YAo3cgRcH4xQBsA","Golden Brown","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","spotify:album:7AHbaRIYnilUwe981nZpmi","Yank Crime","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","1994","https://i.scdn.co/image/ab67616d0000b273e601454f9f3c90a969e7260e","1","3","194533","https://p.scdn.co/mp3-preview/e03c621b8f1d3b3c90dae7fb1dfd6f5142cc7d6d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:09:16Z"
"spotify:track:6ZWYN5GsObNdeT6K3j3V5E","1539 N. Calvert","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:22LKdgY3vLsAsWrOafwCM3","Veteran","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2018-01-19","https://i.scdn.co/image/ab67616d0000b2739a8fce763b8a58d7d3e4a7f2","1","1","157258","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:01:08Z"
"spotify:track:0Qrb3L8JgreLBW8g4qyan9","Back to School (Mini Maggit)","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:5LEXck3kfixFaA3CqVE7bC","White Pony","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2000-05-16","https://i.scdn.co/image/ab67616d0000b2735c53799f473fa3e1a48c00ed","1","1","237360","https://p.scdn.co/mp3-preview/90fa9e5411114424cb522167565ea10b96466354?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:09:56Z"
"spotify:track:6OHWgUuDDedHRVhcg8vlaf","Massage Situation","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:1XBO7AlmG2Ac5aGH5T9yEt","Reset EP","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2007-10-01","https://i.scdn.co/image/ab67616d0000b2737376522e92b062f34bdc98fd","1","3","167173","https://p.scdn.co/mp3-preview/162b3749ee81ea109fff957ec1c3d162ea50b814?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:02:26Z"
"spotify:track:51AaowJatiZPnRjfBgTLkr","Duel Of The Iron Mics","spotify:artist:0cLrgpG3pW4MX4nD8h6qCc","El Michels Affair","spotify:album:47h58ydifTwYPrJxPjtkEs","Enter The 37th Chamber","spotify:artist:0cLrgpG3pW4MX4nD8h6qCc","El Michels Affair","2009-04-17","https://i.scdn.co/image/ab67616d0000b27304b4dd75e6c6ca95951d584a","1","1","180613","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T07:57:54Z"
"spotify:track:4G3dZN9o3o2X4VKwt4CLts","Passin' Me By","spotify:artist:7yk35uHNQclPXFGFoTU44w","The Pharcyde","spotify:album:48kU5gP41TqZEw32Cwhsna","Bizarre Ride II The Pharcyde","spotify:artist:7yk35uHNQclPXFGFoTU44w","The Pharcyde","1992-11-24","https://i.scdn.co/image/ab67616d0000b2739ec4abd35652fafe34ee7dfb","1","12","303493","https://p.scdn.co/mp3-preview/2b5f082c10bc7cf228bbfb2f683f29e3815351e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:30:36Z"
"spotify:track:57fqmDaokbxZ3TaB0jp39q","Holy Diver","spotify:artist:4CYeVo5iZbtYGBN4Isc3n6","Dio","spotify:album:2ivNJLSx8Rbvnsvcn01Yt3","Holy Diver","spotify:artist:4CYeVo5iZbtYGBN4Isc3n6","Dio","1983","https://i.scdn.co/image/ab67616d0000b2732457ab409ae106f8ae1dff89","1","2","353786","https://p.scdn.co/mp3-preview/2b39f877d26df99740e2fd49b29e41d9001d29c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:02:50Z"
"spotify:track:1Pc3gTtQG4Cq1x81NcXtCN","My God Is The Sun","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","spotify:album:06S2JBsr4U1Dz3YaenPdVq","...Like Clockwork","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","2013-06-03","https://i.scdn.co/image/ab67616d0000b2731d11a5e2159392827af124d5","1","5","235400","","false","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:03:49Z"
"spotify:track:1LM6EReMkAxuDXDF26ekl2","Get By","spotify:artist:0lEssBAxQl2In4RpaB1C2Y","Talib Kweli","spotify:album:0apVddbk7Juec0DV4LNiBg","Quality","spotify:artist:0lEssBAxQl2In4RpaB1C2Y","Talib Kweli","2002-12-16","https://i.scdn.co/image/ab67616d0000b273f99af87e949e0b53c5b26da6","1","3","227426","https://p.scdn.co/mp3-preview/d36a9f192152eb354f1a5e6b56ce6e8e40683aed?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:37:37Z"
"spotify:track:2lOnbK3gm1N6keYkUD3mis","How Many Mics","spotify:artist:2WKdxPFRD7IqZvlIAvhMgY, spotify:artist:2Mu5NfyYm8n5iTomuKAEHl, spotify:artist:7aBzpmFXB4WWpPl2F7RjBe, spotify:artist:0kJMPTXq7h3ztpDukSx5iD","Fugees, Ms. Lauryn Hill, Wyclef Jean, Pras","spotify:album:18XFe4CPBgVezXkxZP6rTb","The Score (Expanded Edition)","spotify:artist:2WKdxPFRD7IqZvlIAvhMgY, spotify:artist:2Mu5NfyYm8n5iTomuKAEHl, spotify:artist:7aBzpmFXB4WWpPl2F7RjBe","Fugees, Ms. Lauryn Hill, Wyclef Jean","1996-02-13","https://i.scdn.co/image/ab67616d0000b2735b7865be7f7fcc05faec6137","1","2","268933","https://p.scdn.co/mp3-preview/fc7db7f56d367676c9ecae04e952b702c1437fd4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:37:49Z"
"spotify:track:6j9O4fVbjrhYPZcKWXIfPh","Dry County","spotify:artist:3gdbcIdNypBsYNu3iiCjtN","The B-52's","spotify:album:5BAzAODqIwttjj7wxmlNMS","Cosmic Thing","spotify:artist:3gdbcIdNypBsYNu3iiCjtN","The B-52's","1989-06-23","https://i.scdn.co/image/ab67616d0000b27393bf4c5e67f6a72149d94c94","1","2","294666","https://p.scdn.co/mp3-preview/2fa1ce7f79bc51ef1ea710a1f831120ebdbd29ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:03:56Z"
"spotify:track:52UcjsM15hjCQAUbTW2hy1","Only Shallow","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:3GH4IiI6jQAIvnHVdb5FB6","Loveless","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1991-11-04","https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511","1","1","257519","https://p.scdn.co/mp3-preview/c3e2e9a753345c0a10fbc6dedc8d097ad905d085?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:04:00Z"
"spotify:track:2Xp4AQeoS5JQbg6dkCu9YW","Monkey Trick","spotify:artist:6r26MaDr8bqNALjXgYPXMa","The Jesus Lizard","spotify:album:5aUPxsTm5dGzwl2hIg4Dfb","Goat (Remaster / Reissue)","spotify:artist:6r26MaDr8bqNALjXgYPXMa","The Jesus Lizard","1991-02-21","https://i.scdn.co/image/ab67616d0000b273c1b693e1a88760724cc27c96","1","5","258360","https://p.scdn.co/mp3-preview/1b0e7c80856a36d72a31b4b346f22e59d0fdbed5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:04:13Z"
"spotify:track:5pxtdhLAi0RTh1gNqhGMNA","Real Eyes","spotify:artist:1rJkz5vopfGxTUGFNB3o4G","Quasimoto","spotify:album:03K0iYeTVKHyTf0kEBoloy","The Unseen","spotify:artist:1rJkz5vopfGxTUGFNB3o4G, spotify:artist:5LhTec3c7dcqBvpLRWbMcf","Quasimoto, Madlib","2000-06-13","https://i.scdn.co/image/ab67616d0000b273018e03421de1b6a1d41501c9","1","9","202506","https://p.scdn.co/mp3-preview/ccae5b561af4201cbe3dd3d13a91e8ecb51287b0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:39:34Z"
"spotify:track:3InFcD65QGmnAC5NiFMEG9","Low Class Conspiracy","spotify:artist:1rJkz5vopfGxTUGFNB3o4G","Quasimoto","spotify:album:03K0iYeTVKHyTf0kEBoloy","The Unseen","spotify:artist:1rJkz5vopfGxTUGFNB3o4G, spotify:artist:5LhTec3c7dcqBvpLRWbMcf","Quasimoto, Madlib","2000-06-13","https://i.scdn.co/image/ab67616d0000b273018e03421de1b6a1d41501c9","1","7","146213","https://p.scdn.co/mp3-preview/e67110b20014560ff15fc49ffb09992f748f7361?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:39:34Z"
"spotify:track:6qLgGLeawKyhMFJ848XtYD","Dragonaut","spotify:artist:4Mt6w4tDGiPgV5q6JWPlrI","Sleep","spotify:album:6L7ENQZtfSKVAq1CIRZSxs","Sleep's Holy Mountain","spotify:artist:4Mt6w4tDGiPgV5q6JWPlrI","Sleep","1993","https://i.scdn.co/image/ab67616d0000b273135e343afe7262d1a1e407f3","1","1","343160","https://p.scdn.co/mp3-preview/43d29a65ea12e4a65efe7cc736d556608449ffde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:04:51Z"
"spotify:track:0ClTFwZXaJA9v8T7IFQOm4","Robot Stop","spotify:artist:6XYvaoDGE0VmRt83Jss9Sn","King Gizzard & The Lizard Wizard","spotify:album:36i6lFtKGzC236CIXLTpsn","Nonagon Infinity","spotify:artist:6XYvaoDGE0VmRt83Jss9Sn","King Gizzard & The Lizard Wizard","2016-04-29","https://i.scdn.co/image/ab67616d0000b273043177cc663c3239c82c059c","1","1","322171","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:05:56Z"
"spotify:track:3TuvYAA1cuKWdXcrtKZTfF","Invaders - 2015 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:33d72N71hl9bXwT4zAcqUy","The Number of the Beast (2015 - Remaster)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1982-03-22","https://i.scdn.co/image/ab67616d0000b273312f2e71ea2ffd2d6bae1c90","1","1","203386","https://p.scdn.co/mp3-preview/2984863fc2c0c251b03bc951bd79ded36a67a6af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:06:09Z"
"spotify:track:77Q7xG7LhuhKUqP3LbEQnc","Shock Me","spotify:artist:3KdXhEwbqFHfNfSk7L9E87","Baroness","spotify:album:25FRZSpdZCczTURlAcMm6r","Purple","spotify:artist:3KdXhEwbqFHfNfSk7L9E87","Baroness","2015-12-18","https://i.scdn.co/image/ab67616d0000b27338caf1d3004ebf5829c6515e","1","2","257120","https://p.scdn.co/mp3-preview/6ebf76539492a04faf5316f9652147fe2e101234?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-01-18T08:07:02Z"
