"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0BG39NBbGnlBCCBsjyVoIW","Clair de Lune, L. 32","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:3HdcQSYxrGvRGoQ5D8S2KI","Claude Debussy, Misha Goldstein","spotify:album:3DYq3uLWuUSzxR5dQF9nEh","Top 50 Most Popular Classical Piano","spotify:artist:3HdcQSYxrGvRGoQ5D8S2KI, spotify:artist:6tmD8b0VdHX1k3RVDf1krI, spotify:artist:0TeMHLkl2Y7C96S0MsvKAP","Misha Goldstein, Klára Würtz, Håkon Austbø","2014-06-13","https://i.scdn.co/image/ab67616d0000b2731d60f6c1ff8f41466bd72a11","1","26","299106","https://p.scdn.co/mp3-preview/a7d5b9716d60a884fa89b3aeaf9ffe70df20d6ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:28Z"
"spotify:track:4E1Rquqd8ZAnOy3BYK0K1Z","Un sospiro","spotify:artist:1385hLNbrnbCJGokfH2ac2, spotify:artist:1RMjtNqKOM6V36EngDqEBw","Franz Liszt, Van Cliburn","spotify:album:2mF0zRI9PTEUDvjDAZ8Mbi","My Favorite Liszt","spotify:artist:1385hLNbrnbCJGokfH2ac2, spotify:artist:1RMjtNqKOM6V36EngDqEBw","Franz Liszt, Van Cliburn","2000-05-16","https://i.scdn.co/image/ab67616d0000b27321d1c2ac4f407f47e7a1d03a","1","2","341000","https://p.scdn.co/mp3-preview/1a522a166c89d6b5365277cde123723ecbe5208c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:28Z"
"spotify:track:1XCbAFFB4TWQ11SxgOqA9W","In The Mirror","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","spotify:album:4nlGekh2Dbfj6vbBIEhROo","The Very Best Of Yanni","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","2000","https://i.scdn.co/image/ab67616d0000b27348bf53e041d238570f3cad1b","1","11","248760","https://p.scdn.co/mp3-preview/68d5c8d04def3530882afe9d1d62c1e8c2b6df19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:28Z"
"spotify:track:1xRCmlU2GyzGem2vw4glxK","Arrival of the Birds","spotify:artist:32ogthv0BdaSMPml02X9YB, spotify:artist:3fYr24qYhJejxewFrckFE4","The Cinematic Orchestra, London Metropolitan Orchestra","spotify:album:48zPKXSCFOdMlgTaeVQn5u","The Crimson Wing: Mystery Of The Flamingos","spotify:artist:32ogthv0BdaSMPml02X9YB","The Cinematic Orchestra","2008-01-01","https://i.scdn.co/image/ab67616d0000b273ecec5de3f45c92bad735ed9b","1","2","158346","https://p.scdn.co/mp3-preview/3790bae18c1119ee05080eeaa8c305856f152b8c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:28Z"
"spotify:track:01KmuCiXyLX4G0YxVCeHDq","Mozart: Piano Sonata No. 11 in A Major, K. 331, ""Alla Turca"": III. Rondo alla turca","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:0v9z3JGhtZ8BCDbAOCSgBa","Wolfgang Amadeus Mozart, Moura Lympany","spotify:album:0dUdZgB5XvjOSthRhAZEdL","Piano Favorites","spotify:artist:0v9z3JGhtZ8BCDbAOCSgBa","Moura Lympany","1995-10-13","https://i.scdn.co/image/ab67616d0000b273d8c73c4cbdf9918a161d86f7","1","3","217226","https://p.scdn.co/mp3-preview/ec063fe7fe6c11871e46a7f001bfbfec487567b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:28Z"
"spotify:track:7n92QzQomRCLlciO14X0kd","Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1","spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:2MDkMAXgLEGJFogdR000Au","Frédéric Chopin, Luis Fernando Pérez","spotify:album:3RePY8Fh1liHgQQ2X8CjYH","Chopin: Nocturnes (Volume 1)","spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:2MDkMAXgLEGJFogdR000Au","Frédéric Chopin, Luis Fernando Pérez","2010-05-18","https://i.scdn.co/image/ab67616d0000b273b039a6480a7925a084535828","1","1","268426","https://p.scdn.co/mp3-preview/9cc5f88f7135355cb8482f6639139422b1974634?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:28Z"
"spotify:track:3CSP2PnnWdOPRP21jmMlhU","Song From A Secret Garden - Piano Solo Version","spotify:artist:6GUg2fRLklsnSJsG3PrTt0","Secret Garden","spotify:album:2yWxA7U0PxXTS47xYdbllm","Song From A Secret Garden (Piano Solo Version)","spotify:artist:6GUg2fRLklsnSJsG3PrTt0","Secret Garden","2018-05-18","https://i.scdn.co/image/ab67616d0000b2736c5f8b8825dbd90869a7a4bf","1","1","124893","https://p.scdn.co/mp3-preview/2db66e473aff8f202fd5e980ad29e59e80c6dbb3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:28Z"
"spotify:track:1i4A9AywRjHAI6RwS71dEE","Game of Thrones (Piano Theme Song)","spotify:artist:3LVyzNmV5E2rbo6ja49Pv8","Yuval Salomon","spotify:album:02kkEEKSdpRko7IUfju3bI","Game of Thrones (Piano Theme Song)","spotify:artist:3LVyzNmV5E2rbo6ja49Pv8","Yuval Salomon","2018-04-10","https://i.scdn.co/image/ab67616d0000b2738c55a48f1cc7646cfab51ac9","1","1","103212","https://p.scdn.co/mp3-preview/95e43decafa6c3f2f2f47d3bd26c96083aa47058?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:28Z"
"spotify:track:53Lfqp8F0KCInwcFjabMJB","One Man's Dream","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","spotify:album:79CkQrncB01Wc41FhBSALx","The Essential Yanni","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","1986","https://i.scdn.co/image/ab67616d0000b273dc1816b9b1361c11ad2b31d3","1","14","163200","https://p.scdn.co/mp3-preview/7e038af20cc786032bdb9aaf87845764320acc6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:28Z"
"spotify:track:6QuCKdMsTW8ppnUiFmxJLF","Liz On Top Of The World - From ""Pride & Prejudice"" Soundtrack","spotify:artist:1Dot4uMsJMx8n1Xi7gAdV6","Jean-Yves Thibaudet","spotify:album:31qEnY1MFmGwOdgjLLClPd","Pride and Prejudice OST","spotify:artist:1Dot4uMsJMx8n1Xi7gAdV6","Jean-Yves Thibaudet","2005-01-01","https://i.scdn.co/image/ab67616d0000b273e362b8b63c780aad6fe2809f","1","9","82773","https://p.scdn.co/mp3-preview/d6252e06548f5bcf0717ba21993f9d5674a1bf19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:28Z"
"spotify:track:6z0QmvSHYCXkv0OozRxBL5","Stars and Butterflies - From ""Pride & Prejudice"" Soundtrack","spotify:artist:1Dot4uMsJMx8n1Xi7gAdV6","Jean-Yves Thibaudet","spotify:album:31qEnY1MFmGwOdgjLLClPd","Pride and Prejudice OST","spotify:artist:1Dot4uMsJMx8n1Xi7gAdV6","Jean-Yves Thibaudet","2005-01-01","https://i.scdn.co/image/ab67616d0000b273e362b8b63c780aad6fe2809f","1","2","118986","https://p.scdn.co/mp3-preview/0c8ad84de75513228c7cd3145a65755d5b01c4c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:28Z"
"spotify:track:3ggc70INCVlv5e2481tX85","End Credits - From ""Pride & Prejudice"" Soundtrack","spotify:artist:1Dot4uMsJMx8n1Xi7gAdV6","Jean-Yves Thibaudet","spotify:album:31qEnY1MFmGwOdgjLLClPd","Pride and Prejudice OST","spotify:artist:1Dot4uMsJMx8n1Xi7gAdV6","Jean-Yves Thibaudet","2005-01-01","https://i.scdn.co/image/ab67616d0000b273e362b8b63c780aad6fe2809f","1","17","287373","https://p.scdn.co/mp3-preview/ac4e9ed45a0e5a0cd941b0681298fef869fb42f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:28Z"
"spotify:track:2aIcanXxVk0tBtyWimy8Ew","Your Hands Are Cold - From ""Pride & Prejudice"" Soundtrack","spotify:artist:1Dot4uMsJMx8n1Xi7gAdV6","Jean-Yves Thibaudet","spotify:album:31qEnY1MFmGwOdgjLLClPd","Pride and Prejudice OST","spotify:artist:1Dot4uMsJMx8n1Xi7gAdV6","Jean-Yves Thibaudet","2005-01-01","https://i.scdn.co/image/ab67616d0000b273e362b8b63c780aad6fe2809f","1","15","322906","https://p.scdn.co/mp3-preview/04f0e428b52377bbcd5b07fa255eadfea2b9ccde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:28Z"
"spotify:track:1joFnRAR5U4kQb34ubZ7sD","Mia & Sebastian’s Theme","spotify:artist:2snm3HmsnDUDxbIChdl2Oj","Justin Hurwitz","spotify:album:0nQJa9mRvan1HnkwbYuxAN","La La Land (Original Motion Picture Score)","spotify:artist:2snm3HmsnDUDxbIChdl2Oj","Justin Hurwitz","2016-12-09","https://i.scdn.co/image/ab67616d0000b2739387dbc2b28a455d6995d1ff","1","4","96893","https://p.scdn.co/mp3-preview/26a8f38fd3c48b8f24cf8f243def868d8298ade8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:28Z"
"spotify:track:61dYvvfIRtIDFuqZypPAta","Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:5Dl3HXZjG6ZOWT5cV375lk","Johann Sebastian Bach, Yo-Yo Ma","spotify:album:2OpnKgmVYPEN2GldgBponI","Bach: Unaccompanied Cello Suites (Remastered)","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:5Dl3HXZjG6ZOWT5cV375lk","Johann Sebastian Bach, Yo-Yo Ma","1983","https://i.scdn.co/image/ab67616d0000b273261feb89ee859b598bd34a97","1","1","151480","https://p.scdn.co/mp3-preview/b4c714f0fcb97a6558dbbc15ece4e283ee494d63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-12-31T00:13:28Z"
