"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5IJ6rniX2mkT2ITklBSx6a","Do You Wanna Get High?","spotify:artist:3jOstUTkEu2JkjvRdBA5Gu","Weezer","spotify:album:6StNTJJ7Yq3Hf121kLvPBz","Weezer (White Album)","spotify:artist:3jOstUTkEu2JkjvRdBA5Gu","Weezer","2016-04-01","https://i.scdn.co/image/ab67616d0000b273962ce52e166e5e1dd7c2f4a3","1","5","207760","https://p.scdn.co/mp3-preview/debdb702ef73e8081fd63c0c75ce4bae5c21af73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-12T05:21:08Z"
"spotify:track:2LlvrdnLa3XbB1b4jYuCnl","R U Mine?","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:5bU1XKYxHhEwukllT20xtk","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734f669de38690faf2cf88c245","1","2","201726","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-12T05:22:13Z"
"spotify:track:7HhawuOJ17618C4VJfJn2K","Live in the Dark","spotify:artist:0AD4odMWVQ2wUSlgxOB5Rl","Jeff Beck","spotify:album:5yeu7Y0CIjDrG0AIWzLUhc","Live in the Dark","spotify:artist:0AD4odMWVQ2wUSlgxOB5Rl","Jeff Beck","2016-06-09","https://i.scdn.co/image/ab67616d0000b2734f76aa6994e2ec6ff961291c","1","1","227320","https://p.scdn.co/mp3-preview/5ac91865f55eb6238b6e27c48f4dae3e64c2591b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-12T05:34:34Z"
"spotify:track:5MHOQFE1DABlcbl0ptGEPm","Lost Kids","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","spotify:album:2knShezW5FBrn3B7AtMbA6","In Time To Voices","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","2012-03-26","https://i.scdn.co/image/ab67616d0000b27359baa04bdedc466901dfd938","1","2","224440","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-15T16:52:10Z"
"spotify:track:166RCZDtF5XoPPJunoGN63","The Silence And The Drones","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","spotify:album:2knShezW5FBrn3B7AtMbA6","In Time To Voices","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","2012-03-26","https://i.scdn.co/image/ab67616d0000b27359baa04bdedc466901dfd938","1","5","270280","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-15T17:09:28Z"
"spotify:track:2EzOkrShifN4CJSb2GGn9a","Wanderer in the Outer Darkness","spotify:artist:7xTo7ipdBZezIoyAkmcRge","Tribulation","spotify:album:0MxNrLyjArscDgiocOC52u","The Formulas of Death","spotify:artist:7xTo7ipdBZezIoyAkmcRge","Tribulation","2013-05-14","https://i.scdn.co/image/ab67616d0000b27383f06754ba80609359395887","1","2","429146","","false","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-23T19:35:38Z"
"spotify:track:5wF3nhIQLwKP2N4QxoS6WQ","The Great God Pan","spotify:artist:2GCHfAuitdlOYPjRrgPhI6","Blood Ceremony","spotify:album:3Ixd0Z5uiqGuEXgQoFROYq","Living With The Ancients","spotify:artist:2GCHfAuitdlOYPjRrgPhI6","Blood Ceremony","2011-03-07","https://i.scdn.co/image/ab67616d0000b27361a8c54af11ffa2ddec199e0","1","1","450533","https://p.scdn.co/mp3-preview/8b0d20f3b5527f50cbbd5c701bf5d8bced6cddfb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-01T16:10:26Z"
"spotify:track:7aeLPLzp2EfDYUoJ59V1ui","Blood on Our Hands","spotify:artist:18H0sAptzdwid08XGg1Lcj","Death From Above 1979","spotify:album:5AGKxoQIJ6MKDOiITKwH9z","You're A Woman, I'm A Machine","spotify:artist:18H0sAptzdwid08XGg1Lcj","Death From Above 1979","2005-02-28","https://i.scdn.co/image/ab67616d0000b273b37cf3051c810d4e5314f791","1","5","179893","https://p.scdn.co/mp3-preview/c3daef70bd736d4177533d85578aae49a316a8b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-02T17:08:59Z"
"spotify:track:4PAsYAQCAm5pNPPtqIZmwF","Circle of the Tyrants - Emperor's Return EP","spotify:artist:4ZISAmHmQUDCpv8xydqeKG","Celtic Frost","spotify:album:2G2c7jjmwDaJVLfJc47859","Morbid Tales","spotify:artist:4ZISAmHmQUDCpv8xydqeKG","Celtic Frost","1984-06-24","https://i.scdn.co/image/ab67616d0000b2736374832076e411c1799b46ff","1","10","268733","https://p.scdn.co/mp3-preview/b90da050415bd80bcd8fb7e6109ee3b3860b9c44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-04T23:10:13Z"
"spotify:track:6sXBhPRjlce2PK9f1Womum","Leaders - Studio","spotify:artist:2CWWgbxApjbyByxBBCvGTm","Katatonia","spotify:album:3FKvu05whTUtsoMwnXEQ10","The Great Cold Distance","spotify:artist:2CWWgbxApjbyByxBBCvGTm","Katatonia","2006-03-13","https://i.scdn.co/image/ab67616d0000b27394642242efbaaeb167587498","1","1","260906","https://p.scdn.co/mp3-preview/cb6a6ee56c2f8887e39c4ed1650b9ed5dcabf185?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-26T01:54:02Z"
