"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0RTXybWY0pu84SIYGzaPUe","Impenitent","spotify:artist:6XeAvtnIWVTo7cnL7L5vSD","Wheelfall","spotify:album:3mvexcufRweiqbSskKFhZO","The Atrocity Reports","spotify:artist:6XeAvtnIWVTo7cnL7L5vSD","Wheelfall","2017-10-06","https://i.scdn.co/image/ab67616d0000b27336d47e76b59f2ea432ed6c01","1","4","299627","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-22T08:42:56Z"
"spotify:track:3qjjRogIoex6VzAUgbHoe2","Good for Nothing","spotify:artist:58d50jBQXhOetEGuSBgu64","Employed To Serve","spotify:album:6BcSa2begqN8J88PZn0sJj","The Warmth of a Dying Sun","spotify:artist:58d50jBQXhOetEGuSBgu64","Employed To Serve","2017-05-19","https://i.scdn.co/image/ab67616d0000b2731307c3eeface1525738771b1","1","2","230956","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T06:33:31Z"
"spotify:track:1GjSOWGiuObnl4fRZRHwnx","The Truth Weighs Nothing","spotify:artist:6F6C7Szo2ndt2re6G6WE54","Gaza","spotify:album:3g9KBNN2o627VGUitC5QC8","No Absolutes in Human Suffering","spotify:artist:6F6C7Szo2ndt2re6G6WE54","Gaza","2012-07-31","https://i.scdn.co/image/ab67616d0000b273866182660ec45a88426593bf","1","3","103026","https://p.scdn.co/mp3-preview/be522d4416a7ed12fa083d01094d94ca1275bbfc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T06:33:56Z"
"spotify:track:4X4p1hQ63ORR7UjUhxx959","Hellionaires","spotify:artist:1QXcKL8Ggy8uCA23mFKgws","Trap Them","spotify:album:7FdhJQX4rwDluW36QNgYLV","Hellionaires","spotify:artist:1QXcKL8Ggy8uCA23mFKgws","Trap Them","2016-07-29","https://i.scdn.co/image/ab67616d0000b27328dbbef7a3ae2413e5c83e63","1","1","210122","https://p.scdn.co/mp3-preview/dfcc24be51f1da27d4b4df8e167a8e65d7f367d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T07:19:20Z"
"spotify:track:63C2F8dGaKxdhUW1oVWPlW","Human Carrying Capacity","spotify:artist:4ZycjRroJpEHjKMxs8zsek","Harms Way","spotify:album:1RIr3dLd64m8fh23p2gm9L","Posthuman","spotify:artist:4ZycjRroJpEHjKMxs8zsek","Harms Way","2018-02-09","https://i.scdn.co/image/ab67616d0000b273290a7db3ca458aa65ff3f7e1","1","1","197879","https://p.scdn.co/mp3-preview/205c53b0805b03375edc2b1f7c764cf48c9a1037?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T06:34:08Z"
"spotify:track:17IcVzA7KAcXyIBk7MT9ut","Unsilent Death","spotify:artist:69a2GzMCkrrTrN9iVmP8Ys","Nails","spotify:album:0i3KerJQ8wBx60b44jwe0y","Unsilent Death","spotify:artist:69a2GzMCkrrTrN9iVmP8Ys","Nails","2010-09-28","https://i.scdn.co/image/ab67616d0000b273536699a6f04ba5ac53bcbd9a","1","5","163080","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-07T15:59:08Z"
"spotify:track:1iUezVILL5vhi1tgftzNed","Heartless","spotify:artist:7kHzfxMLtVHHb523s43rY1","Converge","spotify:album:3wOokyD0PiNT4CkaUnqdse","You Fail Me Redux","spotify:artist:7kHzfxMLtVHHb523s43rY1","Converge","2016-06-17","https://i.scdn.co/image/ab67616d0000b2737250c4761f8aa168ef8db97d","1","6","148259","https://p.scdn.co/mp3-preview/26a4be0a541dcacf9c2e19b2584f97b0a2b82b45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T06:34:21Z"
"spotify:track:60xkQwnQFMztQJVGSaeeW1","Feast of the Damned","spotify:artist:3G5hGmHXhRi8zuIfLAeoPg","Black Breath","spotify:album:4xOhXPxrcjesTwl6dhLZUb","Sentenced to Life","spotify:artist:3G5hGmHXhRi8zuIfLAeoPg","Black Breath","2012-03-26","https://i.scdn.co/image/ab67616d0000b27370a8a8b5109c9c11b4a53845","1","1","171813","https://p.scdn.co/mp3-preview/35f9be16478fd81008370c3e31fd2213fa7effd1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-28T03:50:11Z"
"spotify:track:1ot6XhuHHo3mtAdA2NZehF","Corporal Jigsore Quandary","spotify:artist:1tlY3ijEXpF5JsRTTwePA7","The Berzerker","spotify:album:0RfnihTFV6nam9nXKCsjEB","Dissimulate","spotify:artist:1tlY3ijEXpF5JsRTTwePA7","The Berzerker","2002","https://i.scdn.co/image/ab67616d0000b2730430f349966811b25627922e","1","13","334906","https://p.scdn.co/mp3-preview/55a21d2a976a951971d3312ed76f8fe094130e23?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T06:34:31Z"
"spotify:track:7dU9Z24yR9AKuS9cAe2Tj7","Subjected to a Beating","spotify:artist:2DqzOWVL2ly48IA9bpZdie","Dying Fetus","spotify:album:6SGhbpz7boAiDk9CotSDSD","Reign Supreme","spotify:artist:2DqzOWVL2ly48IA9bpZdie","Dying Fetus","2012-06-19","https://i.scdn.co/image/ab67616d0000b27367c22e14a2f2adb1799f4748","1","2","293386","https://p.scdn.co/mp3-preview/125f5ae1d9e2fd4155cc407a285e33e661f0fd50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T06:37:55Z"
