"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1lCPnzaKBtR1uWmn0SJdjO","Desperate Guys","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","spotify:album:5sk3ucGQiM4YHOqCGb28IR","Wet From Birth","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","2004-09-14","https://i.scdn.co/image/ab67616d0000b273b22fca398bc78217f90d94af","1","1","186533","https://p.scdn.co/mp3-preview/be3037a2d73a045fd6f02428dcc7d0131145259f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-08T15:39:02Z"
"spotify:track:6CdWNMTH5vkQvfEtRimRvV","How Could I Forget?","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","spotify:album:5sk3ucGQiM4YHOqCGb28IR","Wet From Birth","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","2004-09-14","https://i.scdn.co/image/ab67616d0000b273b22fca398bc78217f90d94af","1","2","197826","https://p.scdn.co/mp3-preview/0f3a1bc8c43480524373f42ac84e73b4f0af4b53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-08T15:39:02Z"
"spotify:track:53Qpn8LPa0IhFCTiPO0Bbm","I Disappear","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","spotify:album:5sk3ucGQiM4YHOqCGb28IR","Wet From Birth","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","2004-09-14","https://i.scdn.co/image/ab67616d0000b273b22fca398bc78217f90d94af","1","3","247173","https://p.scdn.co/mp3-preview/8e63fabc06bee582a5c1bf81808d9a3ddb660747?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-08T15:39:02Z"
"spotify:track:0i1pVtRulwjU2TsPV2K9RQ","Southern Belles In London Sing","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","spotify:album:5sk3ucGQiM4YHOqCGb28IR","Wet From Birth","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","2004-09-14","https://i.scdn.co/image/ab67616d0000b273b22fca398bc78217f90d94af","1","4","211866","https://p.scdn.co/mp3-preview/40a8bd046f5dbc56a6f2f6ca9bfefb95244790ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-08T15:39:02Z"
"spotify:track:70fSIHctpBegIDYUBwMoLk","Erection","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","spotify:album:5sk3ucGQiM4YHOqCGb28IR","Wet From Birth","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","2004-09-14","https://i.scdn.co/image/ab67616d0000b273b22fca398bc78217f90d94af","1","5","165333","https://p.scdn.co/mp3-preview/a264c48a07a8f754cd4bbfc8f0908a604824ec93?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-08T15:39:02Z"
"spotify:track:50kwzxM2SYI8Xattr8Syup","Paranoiattack","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","spotify:album:5sk3ucGQiM4YHOqCGb28IR","Wet From Birth","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","2004-09-14","https://i.scdn.co/image/ab67616d0000b273b22fca398bc78217f90d94af","1","6","256626","https://p.scdn.co/mp3-preview/2f857746a6d1040fce05af77a90d1c41381b8d7b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-08T15:39:02Z"
"spotify:track:0c8m1yQ612iFARH34IgjgA","Dropkick the Punks","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","spotify:album:5sk3ucGQiM4YHOqCGb28IR","Wet From Birth","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","2004-09-14","https://i.scdn.co/image/ab67616d0000b273b22fca398bc78217f90d94af","1","7","148533","https://p.scdn.co/mp3-preview/70c27050f45179e9dd19d435093e6633ca699718?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-08T15:39:02Z"
"spotify:track:3ot5HzKTiNxloOCt0k0WMK","Phone Call","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","spotify:album:5sk3ucGQiM4YHOqCGb28IR","Wet From Birth","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","2004-09-14","https://i.scdn.co/image/ab67616d0000b273b22fca398bc78217f90d94af","1","8","242973","https://p.scdn.co/mp3-preview/fe5aa5597a1201cb5fe19c49d7e4f94a805f6eb0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-08T15:39:02Z"
"spotify:track:7yPTo8n6Bfs3Fcc4kEbpxI","Symptom Finger","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","spotify:album:5sk3ucGQiM4YHOqCGb28IR","Wet From Birth","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","2004-09-14","https://i.scdn.co/image/ab67616d0000b273b22fca398bc78217f90d94af","1","9","207866","https://p.scdn.co/mp3-preview/c46a80d1d0afad383e0861c872a89b2468db36c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-08T15:39:02Z"
"spotify:track:1v2CgE098EtTO9J96TtQx4","Birth","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","spotify:album:5sk3ucGQiM4YHOqCGb28IR","Wet From Birth","spotify:artist:4A1yfFuBmBOgzv4Oe3fFHk","The Faint","2004-09-14","https://i.scdn.co/image/ab67616d0000b273b22fca398bc78217f90d94af","1","10","199533","https://p.scdn.co/mp3-preview/4c5a7873b6d0b648524ac644370528a8309d4ee9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-05-08T15:39:02Z"
