"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6i48q3kdQPcUbcso6KJsQq","Big Question Small Head","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","spotify:album:63MDA4E8TDaXqKNEfONzin","Broken Soul Jamboree","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","2010-01-01","https://i.scdn.co/image/ab67616d0000b27390ae5a3b3c1fd0d52419f621","1","1","275450","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-02T19:24:54Z"
"spotify:track:5EuxyDklsaSCSRLsvDe1O4","Cuckoo","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","spotify:album:63MDA4E8TDaXqKNEfONzin","Broken Soul Jamboree","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","2010-01-01","https://i.scdn.co/image/ab67616d0000b27390ae5a3b3c1fd0d52419f621","1","2","291128","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-02T19:24:54Z"
"spotify:track:74oRi8iPXrxmIylQwyVShd","Class 5 Roaming Vapour","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","spotify:album:63MDA4E8TDaXqKNEfONzin","Broken Soul Jamboree","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","2010-01-01","https://i.scdn.co/image/ab67616d0000b27390ae5a3b3c1fd0d52419f621","1","3","319374","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-02T19:24:54Z"
"spotify:track:65zsxC2C7Dl58rPYbZTnMC","Brocken Spectre","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","spotify:album:63MDA4E8TDaXqKNEfONzin","Broken Soul Jamboree","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","2010-01-01","https://i.scdn.co/image/ab67616d0000b27390ae5a3b3c1fd0d52419f621","1","4","214517","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-02T19:24:54Z"
"spotify:track:1HkoC9SDsiuWxkyFTB2NvD","Dead Soon","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","spotify:album:63MDA4E8TDaXqKNEfONzin","Broken Soul Jamboree","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","2010-01-01","https://i.scdn.co/image/ab67616d0000b27390ae5a3b3c1fd0d52419f621","1","5","311111","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-02T19:24:54Z"
"spotify:track:1QGnZnYv3GidDqANUmlVJM","Cinder Cone","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","spotify:album:63MDA4E8TDaXqKNEfONzin","Broken Soul Jamboree","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","2010-01-01","https://i.scdn.co/image/ab67616d0000b27390ae5a3b3c1fd0d52419f621","1","6","340703","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-02T19:24:54Z"
"spotify:track:3Qc4GmDW6cuCyngSJnRUlc","Herriot Method","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","spotify:album:63MDA4E8TDaXqKNEfONzin","Broken Soul Jamboree","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","2010-01-01","https://i.scdn.co/image/ab67616d0000b27390ae5a3b3c1fd0d52419f621","1","7","227642","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-02T19:24:54Z"
"spotify:track:2XHvhwZH07ZY2y0NMbkmtL","Neuron Huskie","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","spotify:album:63MDA4E8TDaXqKNEfONzin","Broken Soul Jamboree","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","2010-01-01","https://i.scdn.co/image/ab67616d0000b27390ae5a3b3c1fd0d52419f621","1","8","295471","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-02T19:24:54Z"
"spotify:track:3qguRfFOG1AcwZoE3QCv6e","Tit for Tat","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","spotify:album:63MDA4E8TDaXqKNEfONzin","Broken Soul Jamboree","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","2010-01-01","https://i.scdn.co/image/ab67616d0000b27390ae5a3b3c1fd0d52419f621","1","9","241596","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-02T19:24:54Z"
"spotify:track:6YDCAmkIzguLEP6oAIFhKX","Reality Harshness Defender","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","spotify:album:63MDA4E8TDaXqKNEfONzin","Broken Soul Jamboree","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","2010-01-01","https://i.scdn.co/image/ab67616d0000b27390ae5a3b3c1fd0d52419f621","1","10","298975","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-07-02T19:24:54Z"
