"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7KXjTSCq5nL1LoYtL7XAwS","HUMBLE.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:4eLPsYPBmXABThSJ821sqY","DAMN.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2017-04-14","https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699","1","8","177000","https://p.scdn.co/mp3-preview/dca63100f96e4000e719433d36131a9b5a5883c9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-07T20:22:37Z"
"spotify:track:1ZHYJ2Wwgxes4m8Ba88PeK","Monster","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:1sBkRIssrMs1AbVkOJbc7a, spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ","Kanye West, JAY-Z, Rick Ross, Nicki Minaj, Bon Iver","spotify:album:20r762YmB5HeofjMCiPMLv","My Beautiful Dark Twisted Fantasy","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2010-11-22","https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f","1","6","378893","https://p.scdn.co/mp3-preview/3b5a0fee69e00ec475084b7f0f37183fea05d79a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-07T20:47:09Z"
"spotify:track:58q2HKrzhC3ozto2nDdN4z","I Like It","spotify:artist:4kYSro6naA4h99UJvo89HB, spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5","Cardi B, Bad Bunny, J Balvin","spotify:album:4KdtEKjY3Gi0mKiSdy96ML","Invasion of Privacy","spotify:artist:4kYSro6naA4h99UJvo89HB","Cardi B","2018-04-06","https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab","1","7","253390","https://p.scdn.co/mp3-preview/0f8734f51bb0a419959fdad3a0852621f9e6bc89?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-07T20:47:41Z"
"spotify:track:7FrJV8tydWEv1Mxu2mIQrm","Beautiful","spotify:artist:7hJcb9fa4alzcOq3EaNPoG, spotify:artist:2RdwBSPQiwcmiDo9kixcl8, spotify:artist:6B5fQU6gKaq7JPRL4YIg1B","Snoop Dogg, Pharrell Williams, Uncle Charlie Wilson","spotify:album:7F9hfZKh6WLOKME4LwCPZI","Paid Tha Cost To Be Da Bo$$","spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Snoop Dogg","2002-01-01","https://i.scdn.co/image/ab67616d0000b2738cdb0d29bb99ad4febccac39","1","8","298306","https://p.scdn.co/mp3-preview/5da4d5cc58e27cbc29abfee176cfafd4990946d8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-07T20:52:03Z"
"spotify:track:6pcYAFkGyFRCrmcXk6iauq","Wish Wish (feat. Cardi B & 21 Savage)","spotify:artist:0QHgL1lAIqAw0HtD7YldmP, spotify:artist:4kYSro6naA4h99UJvo89HB, spotify:artist:1URnnhqYAYcrqrcwql10ft","DJ Khaled, Cardi B, 21 Savage","spotify:album:4vuV7xWL4TDaaO412nbhuK","Father Of Asahd","spotify:artist:0QHgL1lAIqAw0HtD7YldmP","DJ Khaled","2019-05-17","https://i.scdn.co/image/ab67616d0000b273dcbdf67e86233320cbef5e65","1","2","202625","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-11-06T07:23:49Z"
"spotify:track:6KBYefIoo7KydImq1uUQlL","Bodak Yellow","spotify:artist:4kYSro6naA4h99UJvo89HB","Cardi B","spotify:album:4KdtEKjY3Gi0mKiSdy96ML","Invasion of Privacy","spotify:artist:4kYSro6naA4h99UJvo89HB","Cardi B","2018-04-06","https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab","1","4","223712","https://p.scdn.co/mp3-preview/cab6e91217590b37cc254585f3f951c5a5280375?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-07T20:22:55Z"
"spotify:track:6zsk6uF3MxfIeHPlubKBvR","Get Ur Freak On","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","spotify:album:20t54K6C80QQH7vbcpfJcP","Miss E... So Addictive","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","2001-05-14","https://i.scdn.co/image/ab67616d0000b2732e3969990abe1229c0879a7b","1","5","211120","https://p.scdn.co/mp3-preview/377a872a710350a8aa969597d4a5a9979fa37d54?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-09T18:58:05Z"
"spotify:track:5Fbrva1GUmJsyxkB8zH0v1","Lituation","spotify:artist:0YWxKQj2Go9CGHCp77UOyy","Fabolous","spotify:album:6x0bSKJ5z02Z5QsSPs9jg9","The Young OG Project","spotify:artist:0YWxKQj2Go9CGHCp77UOyy","Fabolous","2014-12-25","https://i.scdn.co/image/ab67616d0000b27382705e1bd3e2dce70610ad9d","1","1","221853","https://p.scdn.co/mp3-preview/604137314eab45efbd905fe568ac7c948cc0d73f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-07T20:44:07Z"
"spotify:track:0Wahp1YAWzaTwt1hYBNefQ","PetSmart","spotify:artist:76SlrtEaq2oViRXulxjfuM","cupcakKe","spotify:album:6sWz3hjGjLYCtcnPPuRe9i","Eden","spotify:artist:76SlrtEaq2oViRXulxjfuM","cupcakKe","2018-11-09","https://i.scdn.co/image/ab67616d0000b27320e3fcdac98f9eda823f5540","1","1","217056","https://p.scdn.co/mp3-preview/7cbce6b95a1efe94e7b9ee16706259a64b594f6a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-07T20:43:00Z"
"spotify:track:2OCTC6cPRdI3Dvdb25jRDC","We Can Freak It","spotify:artist:6NyJIFHAePjHR1pFxwisqz","Kurupt","spotify:album:4dSH1oNZoziNjKAanUimWd","Kuruption!","spotify:artist:6NyJIFHAePjHR1pFxwisqz","Kurupt","1998-10-06","https://i.scdn.co/image/ab67616d0000b2730c46f1a7e2cb5ebfd4714b28","1","5","250040","https://p.scdn.co/mp3-preview/fb329090a9d123c8903e1750f8427655a69866be?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-10-07T21:28:34Z"
