"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5lBgbOXfkijq4whn9n7tJ6","Burdens","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","spotify:album:3HRpWSfnr84ghFBjIIxyp6","Cast the First Stone","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","2016-11-18","https://i.scdn.co/image/ab67616d0000b2737630c3482b624a45864e1433","1","1","127457","https://p.scdn.co/mp3-preview/5b430aca37de0c645bbba196963789bcefe569df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-23T18:31:05Z"
"spotify:track:1gGvtSG7OKbaCuNvcmfR9h","The Truth Will Set You Free","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","spotify:album:3HRpWSfnr84ghFBjIIxyp6","Cast the First Stone","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","2016-11-18","https://i.scdn.co/image/ab67616d0000b2737630c3482b624a45864e1433","1","2","170898","https://p.scdn.co/mp3-preview/51b33d0f2054428ea9b06c6089ece4a41c858278?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-23T18:31:05Z"
"spotify:track:5SraKLSqlMg9iubdjOOa3x","To Expiate","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","spotify:album:3HRpWSfnr84ghFBjIIxyp6","Cast the First Stone","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","2016-11-18","https://i.scdn.co/image/ab67616d0000b2737630c3482b624a45864e1433","1","3","185759","https://p.scdn.co/mp3-preview/1624cebbd0f18123713589a04589e39ac56229d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-23T18:31:05Z"
"spotify:track:4SbIkTzOJ7uPR1Oww0DjKf","To Lift the Dead Hand of the Past","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","spotify:album:3HRpWSfnr84ghFBjIIxyp6","Cast the First Stone","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","2016-11-18","https://i.scdn.co/image/ab67616d0000b2737630c3482b624a45864e1433","1","4","142663","https://p.scdn.co/mp3-preview/586f584e356a60e360ac6f6406f71505c46bf295?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-23T18:31:05Z"
"spotify:track:7wGcuSmGCLOwVHKiN85KH7","Untitled II","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","spotify:album:3HRpWSfnr84ghFBjIIxyp6","Cast the First Stone","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","2016-11-18","https://i.scdn.co/image/ab67616d0000b2737630c3482b624a45864e1433","1","5","104025","https://p.scdn.co/mp3-preview/ffd9c0cc941cf6021d548db5d4818341cb4f4ce8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-23T18:31:05Z"
"spotify:track:4BehntdF65CgxlK15vfh4K","Suffering: The Art of Letting Go","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","spotify:album:3HRpWSfnr84ghFBjIIxyp6","Cast the First Stone","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","2016-11-18","https://i.scdn.co/image/ab67616d0000b2737630c3482b624a45864e1433","1","6","190500","https://p.scdn.co/mp3-preview/1f2fd23085fe9993af353fcaa173af35d39fe180?cid=9950ac751e34487dbbe027c4fd7f8e99","true","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-23T18:31:05Z"
"spotify:track:42csndrkpC6GN7xV9ewA17","Ill Will","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","spotify:album:3HRpWSfnr84ghFBjIIxyp6","Cast the First Stone","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","2016-11-18","https://i.scdn.co/image/ab67616d0000b2737630c3482b624a45864e1433","1","7","109969","https://p.scdn.co/mp3-preview/53b940c651ae62610c209424df9a3ada75a1adbd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-23T18:31:05Z"
"spotify:track:3uTExlq2uo2cbrk8RVX4iC","(D.A.B.D.A) State of Discomposure","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","spotify:album:3HRpWSfnr84ghFBjIIxyp6","Cast the First Stone","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","2016-11-18","https://i.scdn.co/image/ab67616d0000b2737630c3482b624a45864e1433","1","8","536879","https://p.scdn.co/mp3-preview/24c53e6af954cf12d1fed944ef1e7b0e3c7caae0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-23T18:31:05Z"
"spotify:track:16D8nQz5dI8uuIU5vF5Hkv","Treading on Thin Ice","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","spotify:album:3HRpWSfnr84ghFBjIIxyp6","Cast the First Stone","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","2016-11-18","https://i.scdn.co/image/ab67616d0000b2737630c3482b624a45864e1433","1","9","175357","https://p.scdn.co/mp3-preview/9028dd0338f86f0456522d3ec73803ff34a75253?cid=9950ac751e34487dbbe027c4fd7f8e99","true","8","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-23T18:31:05Z"
"spotify:track:0EbG3c93gxdEX8tVK3hQvE","Virtue","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","spotify:album:3HRpWSfnr84ghFBjIIxyp6","Cast the First Stone","spotify:artist:3KjkcT0s7a7JDlzsXffnDo","Ion Dissonance","2016-11-18","https://i.scdn.co/image/ab67616d0000b2737630c3482b624a45864e1433","1","10","182787","https://p.scdn.co/mp3-preview/a704aec5a95b28ccca264d0fb185ee8982c0116e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-23T18:31:05Z"
