"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1LCZ9pHg8Uujk16idv1HLf","Et in pulverem mortis deduxisti me","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","spotify:album:3X0aX64SV2fhYPS8fGUZwd","De Praestgiis Angelorum","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","2015-09-25","https://i.scdn.co/image/ab67616d0000b273f17d430d224b7553fe5a2ae1","1","1","72071","https://p.scdn.co/mp3-preview/191eeb6f8781830ce6c6fbd1a1fc52da9e0cfdd9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-08T02:03:43Z"
"spotify:track:0FMhKYSVfvitUIxsaLDhic","Par le jugement causé par ses poisons","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","spotify:album:3X0aX64SV2fhYPS8fGUZwd","De Praestgiis Angelorum","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","2015-09-25","https://i.scdn.co/image/ab67616d0000b273f17d430d224b7553fe5a2ae1","1","2","349074","https://p.scdn.co/mp3-preview/881b45ed8c7cb30897aaac5658ea4cb66ba35346?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-08T02:03:43Z"
"spotify:track:2bDb0CifKPMSlswryM96Lp","La terre ne cessera de se consumer","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","spotify:album:3X0aX64SV2fhYPS8fGUZwd","De Praestgiis Angelorum","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","2015-09-25","https://i.scdn.co/image/ab67616d0000b273f17d430d224b7553fe5a2ae1","1","3","339069","https://p.scdn.co/mp3-preview/b9d3ec6e6afe6a3889cfdb0dae08786501f71688?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-08T02:03:43Z"
"spotify:track:0euWxWDjiPP1MXC8zdOAf0","Regarde tes cadavres car il ne te permettra pas qu'on les enterre","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","spotify:album:3X0aX64SV2fhYPS8fGUZwd","De Praestgiis Angelorum","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","2015-09-25","https://i.scdn.co/image/ab67616d0000b273f17d430d224b7553fe5a2ae1","1","4","424097","https://p.scdn.co/mp3-preview/bcf7707edc44a723d63b2a83973c687ddd42ff4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-08T02:03:43Z"
"spotify:track:2DbVkny4cNCT9bjybDQu5Q","Une place parmi les morts","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","spotify:album:3X0aX64SV2fhYPS8fGUZwd","De Praestgiis Angelorum","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","2015-09-25","https://i.scdn.co/image/ab67616d0000b273f17d430d224b7553fe5a2ae1","1","5","368091","https://p.scdn.co/mp3-preview/d4fafbd6d21dc928c946e7e46bb3495e8d18bc65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-08T02:03:43Z"
"spotify:track:2MUqFpyScmHHYbEc4fKF1o","Voilà l'homme qui ne te prenait pas comme Seigneur","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","spotify:album:3X0aX64SV2fhYPS8fGUZwd","De Praestgiis Angelorum","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","2015-09-25","https://i.scdn.co/image/ab67616d0000b273f17d430d224b7553fe5a2ae1","1","6","330083","https://p.scdn.co/mp3-preview/a26c2804b0adbd1f0cc67b615f2ef8e87cec9538?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-08T02:03:43Z"
"spotify:track:0AbmVhYLnGBcT9eytyUR4H","Il est trop tard pour rendre gloire. Ainsi la lumière sera changée en ombre de la mort","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","spotify:album:3X0aX64SV2fhYPS8fGUZwd","De Praestgiis Angelorum","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","2015-09-25","https://i.scdn.co/image/ab67616d0000b273f17d430d224b7553fe5a2ae1","1","7","320078","https://p.scdn.co/mp3-preview/44a951a05a99e6e97807c06335735399aa0c5c27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-08T02:03:43Z"
"spotify:track:7uyCfwZw9bFMU9cydTZfRc","Plus aucun membre ne sera rendu","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","spotify:album:3X0aX64SV2fhYPS8fGUZwd","De Praestgiis Angelorum","spotify:artist:2uTWduJySVvAw3B3KOJYxT","VI","2015-09-25","https://i.scdn.co/image/ab67616d0000b273f17d430d224b7553fe5a2ae1","1","8","492068","https://p.scdn.co/mp3-preview/c74685ca89290eece8cffa2150565f04cbe5bb90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-08T02:03:43Z"
"spotify:track:3vadV5PzHc3tB5S0CWCBmc","Swan","spotify:artist:4p2Zeb9XclofoJDCXFSTp7","Body Void","spotify:album:1xTZ4We6vW3bFPVPVvKn57","Ruins","spotify:artist:4p2Zeb9XclofoJDCXFSTp7","Body Void","2017-01-31","https://i.scdn.co/image/ab67616d0000b2736617198f811d1e287a73e1e2","1","1","395035","https://p.scdn.co/mp3-preview/16242a691d9e859588ebff46bf0a51fb428fb169?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-09T08:43:25Z"
"spotify:track:2D1QEdQqD4fwkkKkDnqZIZ","Erased","spotify:artist:4p2Zeb9XclofoJDCXFSTp7","Body Void","spotify:album:1xTZ4We6vW3bFPVPVvKn57","Ruins","spotify:artist:4p2Zeb9XclofoJDCXFSTp7","Body Void","2017-01-31","https://i.scdn.co/image/ab67616d0000b2736617198f811d1e287a73e1e2","1","2","407983","https://p.scdn.co/mp3-preview/a00aaaee43924c1625cddc101a3b1b6082e350e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-03-09T08:43:25Z"
