"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1CzagEt3BKgPOYjKTGdDKV","War","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","1","187451","https://p.scdn.co/mp3-preview/a7c0ab514b3493f7fdb9c26090f2adaa4b692fde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:16:45Z"
"spotify:track:620IDPWRadDTa6F37LhOb1","Grounds","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","2","188715","https://p.scdn.co/mp3-preview/6625506067b586a6217cf8e6e836756b5b14b20d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:16:45Z"
"spotify:track:4pfbtFN3vP3RdKYUkZmJxz","Mr. Motivator","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","3","195568","https://p.scdn.co/mp3-preview/d2a34744f9fce8f1d5b0694f3b222bead7a09895?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:16:45Z"
"spotify:track:3jq692i69FtQIrX0dxn1qk","Anxiety","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","4","179837","https://p.scdn.co/mp3-preview/c7f675cb859610dd2aba63c5879f6a47e9aed742?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:16:45Z"
"spotify:track:3tUTD7VZZeMI8inBmNPwhC","Kill Them With Kindness","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","5","229579","https://p.scdn.co/mp3-preview/8d18b00000dafdddb0879a44f3b5652828fc7a3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:16:45Z"
"spotify:track:5leTrMUMJrpyxHcSv12Vta","Model Village","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","6","234878","https://p.scdn.co/mp3-preview/644f5ef4990371b388c9ac10fb8192ada955c8a5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:16:45Z"
"spotify:track:6TVleJHBDlCvdt8wMzKIg9","Ne Touche Pas Moi","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","7","153660","https://p.scdn.co/mp3-preview/7eaa47adffec9f545e2cdb7c84ac6dd82459f43a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:16:45Z"
"spotify:track:6DSfAFOFU1WOTNks6I1URD","Carcinogenic","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","8","230252","https://p.scdn.co/mp3-preview/97c1f0d752d30ea3ba9db06489b7612129517817?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:16:45Z"
"spotify:track:2hwj9jZWDJ39w7SsPgPuAn","Reigns","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","9","242642","https://p.scdn.co/mp3-preview/b42b29dbe0ef088b643888d2ef3980b0e8fe6eaf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:16:45Z"
"spotify:track:3NO7MR755nkGqRYhpQ5N5V","The Lover","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","spotify:album:0ojQHzflxMs6SfvBBkRKt6","Ultra Mono","spotify:artist:75mafsNqNE1WSEVxIKuY5C","IDLES","2020-09-25","https://i.scdn.co/image/ab67616d0000b273e9b124bbcd01f45fc07d2a1d","1","10","196994","https://p.scdn.co/mp3-preview/5fa571c6b2b569a5403802ab50fc8f5d023ea2df?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:16:45Z"
