"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7KiiwYYvAUpdhfLLuNtfzK","The Day Is My Enemy","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:5OqlVEF1UlF9pe2YVFvZNq","The Day Is My Enemy (Expanded Edition)","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2015-03-30","https://i.scdn.co/image/ab67616d0000b273e4f45d7eb172497e774b9db3","1","1","265386","https://p.scdn.co/mp3-preview/aa16fbefde8a55789a618827a93d875e924d7f49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-13T19:16:52Z"
"spotify:track:2kSLSHgrwyvZuI71wLTomo","2016 Interlude","spotify:artist:3nf2EaHj8HikLNdaiW3v73","Injury Reserve","spotify:album:67sUOjUevVJGgfCj1N2e4N","Floss","spotify:artist:3nf2EaHj8HikLNdaiW3v73","Injury Reserve","2016-12-15","https://i.scdn.co/image/ab67616d0000b273e2004d5d1b0559b9b748f82c","1","7","97144","https://p.scdn.co/mp3-preview/0790e762b3f9aaf224a2f84526327f8b8d95cc08?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-13T19:13:38Z"
"spotify:track:1NhilkWAvuOHN3c0m88N98","In Your Head","spotify:artist:0gXx2aQ2mfovDfqCw10MQC","G Jones","spotify:album:4wcUbqKSiZv4kNoJ3KOmrS","The Ineffable Truth","spotify:artist:0gXx2aQ2mfovDfqCw10MQC","G Jones","2018-10-26","https://i.scdn.co/image/ab67616d0000b273d26ef8c8e3fe89b31f3af56b","1","7","189133","https://p.scdn.co/mp3-preview/9dd602daa2c1a2a205cc0eca11c0890833ed4cf7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-13T19:17:16Z"
"spotify:track:1F7tSdRIWtNYW9QyJEkyoH","Music Is The Drug","spotify:artist:1JPy5PsJtkhftfdr6saN2i, spotify:artist:6Ny7ldBgUotuALx5hSFi4e","Bassnectar, LUZCID","spotify:album:1mDhGuzHtRh0Bm9oraRmzE","Unlimited","spotify:artist:1JPy5PsJtkhftfdr6saN2i","Bassnectar","2016-06-17","https://i.scdn.co/image/ab67616d0000b27338f3ec43683dc0c04d64d5a9","1","2","254142","https://p.scdn.co/mp3-preview/82e73ad5ca08dcb1a4e582eceb71ede452d2c1f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-13T19:17:55Z"
"spotify:track:6NJjPvoQvLdjTPR0aZV9oT","Underground Communication","spotify:artist:1JPy5PsJtkhftfdr6saN2i, spotify:artist:0LDw3IGOCxak2UItKxUKKE","Bassnectar, Seasunz","spotify:album:6li7sJrHHDr6b5RJMKIKa6","Underground Communication","spotify:artist:1JPy5PsJtkhftfdr6saN2i","Bassnectar","2007-05-08","https://i.scdn.co/image/ab67616d0000b27342749c61c6571b32b67edd05","1","2","238893","https://p.scdn.co/mp3-preview/9487c1157d59a9af345fb50a29867d80576fb5d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-13T19:18:16Z"
"spotify:track:3PXkCLjfTwH0fpolS9yELH","Sacrilege","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","spotify:album:3gEv1vpsDgaEo4TLuu0Lwz","ANTI-ICON","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","2020-10-21","https://i.scdn.co/image/ab67616d0000b273d2d74feea8cc2b317638969b","1","4","141558","https://p.scdn.co/mp3-preview/21b99acba4c28f632a36e57d8018a714228aa276?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-13T19:18:35Z"
"spotify:track:781V2Y5LPtcpgONEOadadE","Get Got","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:1PQDjdBpHPikAodJqjzm6a","The Money Store","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2012-04-23","https://i.scdn.co/image/ab67616d0000b273b4f8459b0f719f8a97ee1c8c","1","1","171866","https://p.scdn.co/mp3-preview/2f92c872df55b8bda55839b78c3276d20a63f50c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-13T21:44:20Z"
"spotify:track:4TOZ8TuZQRMEgJjNsgewg2","Milk Lizard","spotify:artist:7IGcjaMGAtsvKBLQX26W4i","The Dillinger Escape Plan","spotify:album:65ai7QRrruWGNPcVU23PgD","Ire Works","spotify:artist:7IGcjaMGAtsvKBLQX26W4i","The Dillinger Escape Plan","2007-11-13","https://i.scdn.co/image/ab67616d0000b273c2b0ced8518ed8905e48c650","1","9","235266","https://p.scdn.co/mp3-preview/a78938c955b84cee55e287e12f6292e2caad7207?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-13T21:38:52Z"
"spotify:track:07sf0sHi8ZlmdN0hUZWgtI","The Metal East","spotify:artist:2og3FOCLYXT9H7IYE6QPUq","Lightning Bolt","spotify:album:0Z0aI5ATk4kmQfTSANB0Z1","Fantasy Empire","spotify:artist:2og3FOCLYXT9H7IYE6QPUq","Lightning Bolt","2015-03-24","https://i.scdn.co/image/ab67616d0000b2737b6f8f86e9ff52aaca3cc82e","1","1","252656","https://p.scdn.co/mp3-preview/63d60cea3a0d6e269e4a855dbf484b250b721b27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-13T21:41:55Z"
"spotify:track:4EHv5m2D0zDYYAu4xZoYwm","Death Grips Is Online","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:46eayJPxf1cBWWUqNa2MJJ","Year Of The Snitch","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2018-06-22","https://i.scdn.co/image/ab67616d0000b2738b0fd435be942b69343759e9","1","1","211661","https://p.scdn.co/mp3-preview/6d1a88aac65471ccad4a279e7ff12d1894d332fb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-13T22:32:34Z"
