"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4n45vGvdPj566k7X3HAVph","N-R-G (Part 1 & 2)","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","spotify:album:3VHcx4ArU4N8Uj4mbbOUHg","Liveandirect","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","1989-12-01","https://i.scdn.co/image/ab67616d0000b2736fe7b3280fadb65f70799ce0","1","1","188773","https://p.scdn.co/mp3-preview/0beda88d03df10aeeb15c24c82375cebbe3d8d1e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-08-26T18:47:41Z"
"spotify:track:3mRJrqU9m0tX5LxQUVbCyf","I Dream Of You","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","spotify:album:3VHcx4ArU4N8Uj4mbbOUHg","Liveandirect","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","1989-12-01","https://i.scdn.co/image/ab67616d0000b2736fe7b3280fadb65f70799ce0","1","2","125600","https://p.scdn.co/mp3-preview/96d6e39fc00545d5d265ccf7ef04a5920f79b565?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-08-26T18:47:41Z"
"spotify:track:4vQbZOLzjk9oo0pK9ZkzOw","Tekno Krisna","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","spotify:album:3VHcx4ArU4N8Uj4mbbOUHg","Liveandirect","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","1989-12-01","https://i.scdn.co/image/ab67616d0000b2736fe7b3280fadb65f70799ce0","1","3","136933","https://p.scdn.co/mp3-preview/241999e8e8bbca889a1ea094cc88e770d0611d5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-08-26T18:47:41Z"
"spotify:track:5CpA62wFm52CDT5oX2NH6a","The Bass Line Changed My Life","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","spotify:album:3VHcx4ArU4N8Uj4mbbOUHg","Liveandirect","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","1989-12-01","https://i.scdn.co/image/ab67616d0000b2736fe7b3280fadb65f70799ce0","1","4","169933","https://p.scdn.co/mp3-preview/65dc025114aa2e40a303323062cbd3b401f58e5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-08-26T18:47:41Z"
"spotify:track:24AXRYNwWsAUgjCw3YUlbU","In Your Face","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","spotify:album:3VHcx4ArU4N8Uj4mbbOUHg","Liveandirect","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","1989-12-01","https://i.scdn.co/image/ab67616d0000b2736fe7b3280fadb65f70799ce0","1","5","174893","https://p.scdn.co/mp3-preview/73bad1ffd19bec26827ab7397f3778e0fdc034b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-08-26T18:47:41Z"
"spotify:track:5qbFKG71WjIZ6cEP0fi1Xa","Magik Piano","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","spotify:album:3VHcx4ArU4N8Uj4mbbOUHg","Liveandirect","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","1989-12-01","https://i.scdn.co/image/ab67616d0000b2736fe7b3280fadb65f70799ce0","1","6","191733","https://p.scdn.co/mp3-preview/ad7cace5d60590cc3c63551e3335be9bb277c150?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-08-26T18:47:41Z"
"spotify:track:7r2BC3QWeofeXihCglZOaK","You. Me. House","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","spotify:album:3VHcx4ArU4N8Uj4mbbOUHg","Liveandirect","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","1989-12-01","https://i.scdn.co/image/ab67616d0000b2736fe7b3280fadb65f70799ce0","1","7","136906","https://p.scdn.co/mp3-preview/1052b500701d4ffa18bb15237526f1e6275b9d74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-08-26T18:47:41Z"
"spotify:track:40o6YN3XBMXDjvo2WRz121","A Brand New World","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","spotify:album:3VHcx4ArU4N8Uj4mbbOUHg","Liveandirect","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","1989-12-01","https://i.scdn.co/image/ab67616d0000b2736fe7b3280fadb65f70799ce0","1","8","171360","https://p.scdn.co/mp3-preview/0544a820952e7809f72192454c6466262c77636e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-08-26T18:47:41Z"
"spotify:track:6fXpcZdBbmE2M99MeMXnGy","M25","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","spotify:album:3VHcx4ArU4N8Uj4mbbOUHg","Liveandirect","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","1989-12-01","https://i.scdn.co/image/ab67616d0000b2736fe7b3280fadb65f70799ce0","1","9","197666","https://p.scdn.co/mp3-preview/3ff67e6e1496138ee7eb502224527cfb95e1a240?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-08-26T18:47:41Z"
"spotify:track:0evY5Jc44jKywjK4YLWDTw","I Love Teknology - Part 1","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","spotify:album:3VHcx4ArU4N8Uj4mbbOUHg","Liveandirect","spotify:artist:737Z8bAmJiUqg2I6Ru8fYV","Adamski","1989-12-01","https://i.scdn.co/image/ab67616d0000b2736fe7b3280fadb65f70799ce0","1","10","162466","https://p.scdn.co/mp3-preview/b47f16f5a10aeea209fd447246d2d9fc3daaccc3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-08-26T18:47:41Z"
