"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7c102DbSc2Cc6MOjL6XshD","Them!","spotify:artist:6VM0lR9Yr3VeXe4ZYB5f7T","Acid Mammoth","spotify:album:6rr4xcsYs7iqZzIx4iqKO0","Under Acid Hoof","spotify:artist:6VM0lR9Yr3VeXe4ZYB5f7T","Acid Mammoth","2020-01-24","https://i.scdn.co/image/ab67616d0000b273bf3bea228d1fce7cce66c5c6","1","1","278176","https://p.scdn.co/mp3-preview/833c1e3acd8268dee79fec658325c91d221f57f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:17:22Z"
"spotify:track:0a8BiGk4wQRPFw1cQIaS3G","Tree of Woe","spotify:artist:6VM0lR9Yr3VeXe4ZYB5f7T","Acid Mammoth","spotify:album:6rr4xcsYs7iqZzIx4iqKO0","Under Acid Hoof","spotify:artist:6VM0lR9Yr3VeXe4ZYB5f7T","Acid Mammoth","2020-01-24","https://i.scdn.co/image/ab67616d0000b273bf3bea228d1fce7cce66c5c6","1","2","550000","https://p.scdn.co/mp3-preview/374cfdb88ce6353f9f431d6caa557a49d43808fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:17:22Z"
"spotify:track:3CLVA7DAr7Zs1cCyQeNuFu","Tusks of Doom","spotify:artist:6VM0lR9Yr3VeXe4ZYB5f7T","Acid Mammoth","spotify:album:6rr4xcsYs7iqZzIx4iqKO0","Under Acid Hoof","spotify:artist:6VM0lR9Yr3VeXe4ZYB5f7T","Acid Mammoth","2020-01-24","https://i.scdn.co/image/ab67616d0000b273bf3bea228d1fce7cce66c5c6","1","3","350000","https://p.scdn.co/mp3-preview/28c4a41552953a7aebc5cfcdc3750e72254231a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:17:22Z"
"spotify:track:3lGyDV1z29wNFJnfp2UfUL","Jack the Riffer","spotify:artist:6VM0lR9Yr3VeXe4ZYB5f7T","Acid Mammoth","spotify:album:6rr4xcsYs7iqZzIx4iqKO0","Under Acid Hoof","spotify:artist:6VM0lR9Yr3VeXe4ZYB5f7T","Acid Mammoth","2020-01-24","https://i.scdn.co/image/ab67616d0000b273bf3bea228d1fce7cce66c5c6","1","4","450000","https://p.scdn.co/mp3-preview/209d8b927f691c017745143111b7e31db12a8835?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:17:22Z"
"spotify:track:0baa7sPpJWNNH3Qeeelfj0","Under Acid Hoof","spotify:artist:6VM0lR9Yr3VeXe4ZYB5f7T","Acid Mammoth","spotify:album:6rr4xcsYs7iqZzIx4iqKO0","Under Acid Hoof","spotify:artist:6VM0lR9Yr3VeXe4ZYB5f7T","Acid Mammoth","2020-01-24","https://i.scdn.co/image/ab67616d0000b273bf3bea228d1fce7cce66c5c6","1","5","490000","https://p.scdn.co/mp3-preview/8027c47c3fd254ef2d40e0d321a669eda7aa0236?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:17:22Z"
"spotify:track:6FfMQVzOC46ZL5byOQfUhT","Genesis","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:0VEFy5MsBiq0u2lWL0OwOd","Ohms","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2020-09-25","https://i.scdn.co/image/ab67616d0000b27366c9f5d6f13bfc9abedc1056","1","1","317281","https://p.scdn.co/mp3-preview/d8f8e4a59f0a149a381b63bbcb930d80c95c8025?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:19:02Z"
"spotify:track:2X5SHv5ubRTNIgMxxCPYdo","Ceremony","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:0VEFy5MsBiq0u2lWL0OwOd","Ohms","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2020-09-25","https://i.scdn.co/image/ab67616d0000b27366c9f5d6f13bfc9abedc1056","1","2","207752","https://p.scdn.co/mp3-preview/0d16419bcc2aa9545df47e5de061b02c1241497e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:19:02Z"
"spotify:track:33WXUh74RZ4CEfUkpJwHWE","Urantia","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:0VEFy5MsBiq0u2lWL0OwOd","Ohms","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2020-09-25","https://i.scdn.co/image/ab67616d0000b27366c9f5d6f13bfc9abedc1056","1","3","270476","https://p.scdn.co/mp3-preview/d954024a85f340d078e95d181995a8015a2c4bfc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:19:02Z"
"spotify:track:5XQPlP8yHnXz5qTjIZ10gC","Error","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:0VEFy5MsBiq0u2lWL0OwOd","Ohms","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2020-09-25","https://i.scdn.co/image/ab67616d0000b27366c9f5d6f13bfc9abedc1056","1","4","290339","https://p.scdn.co/mp3-preview/02013dd93b24275daafe70c97abed7e044f93321?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:19:02Z"
"spotify:track:6tFjBPdrwXhIpdR6i59DVx","The Spell of Mathematics","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:0VEFy5MsBiq0u2lWL0OwOd","Ohms","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2020-09-25","https://i.scdn.co/image/ab67616d0000b27366c9f5d6f13bfc9abedc1056","1","5","327512","https://p.scdn.co/mp3-preview/569ab23caf7c6db8650153781c39727956273d2d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:19:02Z"
