"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6q46KP8F4CmfYj3OK8A3SE","Intro","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","spotify:album:0b1q9se93BEqBl3kiltn33","Visions of Bodies Being Burned","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","2020-10-23","https://i.scdn.co/image/ab67616d0000b273b63780c667c5cc123273294b","1","1","140074","https://p.scdn.co/mp3-preview/663eed2a2bfcfb91614bc0b7871bb5e29f7fe01e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:20:15Z"
"spotify:track:3YHhWdTlWjIML155CvcH4F","Say the Name","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","spotify:album:0b1q9se93BEqBl3kiltn33","Visions of Bodies Being Burned","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","2020-10-23","https://i.scdn.co/image/ab67616d0000b273b63780c667c5cc123273294b","1","2","299605","https://p.scdn.co/mp3-preview/c6ba31bf09d13627ee4882dab0d435787011ac3f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:20:15Z"
"spotify:track:2CDR5PBcu8950TtDBBzrUn","Wytchboard (Interlude)","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","spotify:album:0b1q9se93BEqBl3kiltn33","Visions of Bodies Being Burned","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","2020-10-23","https://i.scdn.co/image/ab67616d0000b273b63780c667c5cc123273294b","1","3","30269","https://p.scdn.co/mp3-preview/a716e912a5303f4ae2ed265a35138c05d5d0e00b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:20:15Z"
"spotify:track:3cPpBWJxHQmfFw2kwPZt6g","'96 Neve Campbell","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I, spotify:artist:4801sdBxePkTFNoJHn88Nw","clipping., Cam & China","spotify:album:0b1q9se93BEqBl3kiltn33","Visions of Bodies Being Burned","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","2020-10-23","https://i.scdn.co/image/ab67616d0000b273b63780c667c5cc123273294b","1","4","201226","https://p.scdn.co/mp3-preview/090d918040ca0fc61a59c5506dea4a8261830664?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:20:15Z"
"spotify:track:2k5iXR3T44cIT7sMEfxSVy","Something Underneath","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","spotify:album:0b1q9se93BEqBl3kiltn33","Visions of Bodies Being Burned","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","2020-10-23","https://i.scdn.co/image/ab67616d0000b273b63780c667c5cc123273294b","1","5","155661","https://p.scdn.co/mp3-preview/731d8444980e04f7db4c7bd1ebf52c8e9748269e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:20:15Z"
"spotify:track:4dIa0r08c2XIpxfxCWppuc","Make Them Dead","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","spotify:album:0b1q9se93BEqBl3kiltn33","Visions of Bodies Being Burned","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","2020-10-23","https://i.scdn.co/image/ab67616d0000b273b63780c667c5cc123273294b","1","6","246163","https://p.scdn.co/mp3-preview/4106465034c2714a87a7eed20e054df3053e7739?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:20:15Z"
"spotify:track:4d5ZrL5RAAqc9gMmPps1mw","She Bad","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","spotify:album:0b1q9se93BEqBl3kiltn33","Visions of Bodies Being Burned","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","2020-10-23","https://i.scdn.co/image/ab67616d0000b273b63780c667c5cc123273294b","1","7","206873","https://p.scdn.co/mp3-preview/1ca76855311f8e9d007762a19b1b6ae4ce231d16?cid=9950ac751e34487dbbe027c4fd7f8e99","true","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:20:15Z"
"spotify:track:4BIu78RvateXhr6w9Ywh2g","Invocation (Interlude)","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I, spotify:artist:2DE3SE2aPKz7bWMjlEqAbA","clipping., Greg Stuart","spotify:album:0b1q9se93BEqBl3kiltn33","Visions of Bodies Being Burned","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","2020-10-23","https://i.scdn.co/image/ab67616d0000b273b63780c667c5cc123273294b","1","8","72577","https://p.scdn.co/mp3-preview/bb8f22bbdad7f377e9ab969e66ccf6d7119b411f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:20:15Z"
"spotify:track:2bMgDv7CVoHnBpwUbFHwLv","Pain Everyday","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I, spotify:artist:0GGzoo3iZT1OBg76jkudEG","clipping., Michael Esposito","spotify:album:0b1q9se93BEqBl3kiltn33","Visions of Bodies Being Burned","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","2020-10-23","https://i.scdn.co/image/ab67616d0000b273b63780c667c5cc123273294b","1","9","219017","https://p.scdn.co/mp3-preview/9792bd70ff5aec0d0c3a033ce2ed9fccf2513429?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:20:15Z"
"spotify:track:6VWsWgliFma9IFL2NlQ1H7","Check the Lock","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","spotify:album:0b1q9se93BEqBl3kiltn33","Visions of Bodies Being Burned","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","2020-10-23","https://i.scdn.co/image/ab67616d0000b273b63780c667c5cc123273294b","1","10","217322","https://p.scdn.co/mp3-preview/ae0c0a755b3474f1edc6ec2be88b739e77cb1cd6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-12-07T07:20:15Z"
