"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1MXftnoEqBl7557Jhy9PbS","Death Grips 2.0","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:5Y04ylQjDWsawOUJXzY4YO","The Powers That B","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2015-02-10","https://i.scdn.co/image/ab67616d0000b2734aea9bda43e44a0e07f7c0b6","2","10","199677","https://p.scdn.co/mp3-preview/55f55e9a8503b70dca9f4c4f6a9f8e4ff369c4d9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-28T23:40:05Z"
"spotify:track:3W6uBQWrAmOmmheSCpUcdH","Dream Genie","spotify:artist:2og3FOCLYXT9H7IYE6QPUq","Lightning Bolt","spotify:album:0Z0aI5ATk4kmQfTSANB0Z1","Fantasy Empire","spotify:artist:2og3FOCLYXT9H7IYE6QPUq","Lightning Bolt","2015-03-24","https://i.scdn.co/image/ab67616d0000b2737b6f8f86e9ff52aaca3cc82e","1","8","381191","https://p.scdn.co/mp3-preview/7cf286b4cd457b048694bb3160ccc2cc6cf74058?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-28T23:41:12Z"
"spotify:track:1mgMR3GzAaI5h7G1EKN1b1","Creepies","spotify:artist:1FGfJBdp4l7sELXNf92jrT","Three Trapped Tigers","spotify:album:70J0gVtwKcMBXqm3uDdkDH","Route One or Die","spotify:artist:1FGfJBdp4l7sELXNf92jrT","Three Trapped Tigers","2011-05-16","https://i.scdn.co/image/ab67616d0000b273b7102d3bd8a9f3782998f0d3","1","3","339986","https://p.scdn.co/mp3-preview/2882c6515fa4aa14d54226895214d99e6c46c48d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T17:53:01Z"
"spotify:track:7EtZDChAJPkVEE2QPYFByq","Stretched into the Thereafter","spotify:artist:6VkujJifZO9UQvkXGLNQ6L","Iszoloscope","spotify:album:1lv1mr74WUcaEVbRAzL7PO","All is Immensity and Chaos","spotify:artist:6VkujJifZO9UQvkXGLNQ6L","Iszoloscope","2018-10-30","https://i.scdn.co/image/ab67616d0000b273e4ba8d77d5b636861359ecbb","1","6","380011","https://p.scdn.co/mp3-preview/eadd3d77ce5daa1c7e3e330ebcea6497fa244108?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T17:43:39Z"
"spotify:track:1pdZ0jgroSQzXzX73dd8nK","Dumbass!!","spotify:artist:17Vw9uuOYB7XYjPt0LNFN0","Machine Girl","spotify:album:51uWjheW2eKWj4ICqOoadR","…Because I’m Young Arrogant and Hate Everything You Stand For","spotify:artist:17Vw9uuOYB7XYjPt0LNFN0","Machine Girl","2017-09-22","https://i.scdn.co/image/ab67616d0000b273923b933bf3a523a0aea17ff7","1","3","152357","https://p.scdn.co/mp3-preview/f2a433242f32eb69b15cc3bfbd6876ab5e545e6f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-28T23:42:21Z"
"spotify:track:5gSl4NQFZGZqMRmfICn3Sw","Rather Die","spotify:artist:4EEiAmMxzm5scecrFnrTsX, spotify:artist:0rlt1LVNc5c7mAkdqpQ2hV","NAH, Givv","spotify:album:5bOTiHKiHrUxQP0rTirvTt","Woe","spotify:artist:4EEiAmMxzm5scecrFnrTsX","NAH","2014-08-13","https://i.scdn.co/image/ab67616d0000b273d8b90097130f444400966a28","1","2","145583","https://p.scdn.co/mp3-preview/1a82abda40225dde415a4d9834094ffb2b2fd7dd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-28T23:42:42Z"
"spotify:track:5iYsOFFm9jqytWpIOTzI2i","In A Grave","spotify:artist:5jh7sgXW2njALiIh0aPXjB, spotify:artist:6fxyWrfmjcbj5d12gXeiNV, spotify:artist:18ca9d5EU5R1AhVKPR1cm0, spotify:artist:4kANxfLenUobb7t5fHSrgA","Show Me the Body, Denzel Curry, Eartheater, Moor Mother","spotify:album:3sR99ifBBjElpRmIGkstcm","Corpus I","spotify:artist:5jh7sgXW2njALiIh0aPXjB","Show Me the Body","2017-03-24","https://i.scdn.co/image/ab67616d0000b2732fd250e2666e6bfb0ea19c68","1","5","163153","https://p.scdn.co/mp3-preview/29f28b57810feed9b30915db7104f74a7ab84c3d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-02T02:00:07Z"
"spotify:track:5Kh6VWMbeyuSEYVoJzVrH7","Eyes to Form Shadows","spotify:artist:1zDrsLJJfYel0jJruLe4Yp","Dälek","spotify:album:3DXcW4NMarpCjpP628mX4j","Absence","spotify:artist:1zDrsLJJfYel0jJruLe4Yp","Dälek","2005","https://i.scdn.co/image/ab67616d0000b27315c4c5a7371fb7c13677501a","1","8","390385","https://p.scdn.co/mp3-preview/0bc9265d0020f2610abe14db20f10f9143fbd409?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-28T23:46:17Z"
"spotify:track:7knROEJ6qCIlhYea80GdSA","Snow Beach","spotify:artist:2xtXCUTxmekNFB8oIYuOfe","RATKING","spotify:album:3hXl1HiPIzbR1alZy3Eaf3","So It Goes","spotify:artist:2xtXCUTxmekNFB8oIYuOfe","RATKING","2014-04-07","https://i.scdn.co/image/ab67616d0000b273432ba4afbfd0493f97768fef","1","3","402687","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-28T23:46:35Z"
"spotify:track:1TWEQy0hgp1CnXNethzpLV","Didn't the Night End","spotify:artist:1VFYpTpgmp7ANXqok2dTg3, spotify:artist:1i5rlthy5CmAYWaFOB0jhz","The Body, Full Of Hell","spotify:album:4SXIysQ9zTWimy9uo5GMy8","Ascending a Mountain of Heavy Light","spotify:artist:1VFYpTpgmp7ANXqok2dTg3, spotify:artist:1i5rlthy5CmAYWaFOB0jhz","The Body, Full Of Hell","2017-11-17","https://i.scdn.co/image/ab67616d0000b273a1459fe2bc83d7ebc2f9e553","1","4","311204","https://p.scdn.co/mp3-preview/0d6bc9e76bad5d965e50d7d516a9a08f96807735?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-28T23:47:19Z"
