"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6cHgKzR8TImJbTmIJxt9mC","Orange","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs, spotify:artist:2AminfyJLRagEeHO6H6bCS","Ivy Lab, Two Fingers","spotify:album:0leRc58VzIwTpw8G3FKMHx","Orange","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs, spotify:artist:2AminfyJLRagEeHO6H6bCS","Ivy Lab, Two Fingers","2019-06-28","https://i.scdn.co/image/ab67616d0000b2734f25317c16a57263784b7adb","1","1","235840","https://p.scdn.co/mp3-preview/ed35856dc756dc1ddf4bc2f736e5f417b12b3597?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-14T23:51:49Z"
"spotify:track:2nhiLhit3vT9w9xkNoYXtW","USER1111333","spotify:artist:2Hr12vmF0ozKYzLjPB2ZfX","Little Snake","spotify:album:6X2LAJ5qU6Tf6QGT2ecn7b","LOST IN SPIRALS EP","spotify:artist:2Hr12vmF0ozKYzLjPB2ZfX","Little Snake","2019-06-21","https://i.scdn.co/image/ab67616d0000b2734e0df53f0e13ea41229c45cb","1","1","184761","https://p.scdn.co/mp3-preview/34ae78c85366928be42144d96bb26a211c67f99e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-14T23:52:07Z"
"spotify:track:4d2Yn9KxL5D4Wkjj99fRZZ","YDTA","spotify:artist:2Hr12vmF0ozKYzLjPB2ZfX","Little Snake","spotify:album:6X2LAJ5qU6Tf6QGT2ecn7b","LOST IN SPIRALS EP","spotify:artist:2Hr12vmF0ozKYzLjPB2ZfX","Little Snake","2019-06-21","https://i.scdn.co/image/ab67616d0000b2734e0df53f0e13ea41229c45cb","1","2","128571","https://p.scdn.co/mp3-preview/8fba1d23c006594f8aece6db07337c00fde5d9b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-14T23:52:07Z"
"spotify:track:5p1LQgDMSgfeOw5bVs5Rle","MESSAGE","spotify:artist:2Hr12vmF0ozKYzLjPB2ZfX","Little Snake","spotify:album:6X2LAJ5qU6Tf6QGT2ecn7b","LOST IN SPIRALS EP","spotify:artist:2Hr12vmF0ozKYzLjPB2ZfX","Little Snake","2019-06-21","https://i.scdn.co/image/ab67616d0000b2734e0df53f0e13ea41229c45cb","1","3","83819","https://p.scdn.co/mp3-preview/e21890d2852f8361a930b0a564a413f0104dff50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-14T23:52:07Z"
"spotify:track:4Gh3aoQBkSiMXJBlgR51xz","SEEN","spotify:artist:2Hr12vmF0ozKYzLjPB2ZfX","Little Snake","spotify:album:6X2LAJ5qU6Tf6QGT2ecn7b","LOST IN SPIRALS EP","spotify:artist:2Hr12vmF0ozKYzLjPB2ZfX","Little Snake","2019-06-21","https://i.scdn.co/image/ab67616d0000b2734e0df53f0e13ea41229c45cb","1","4","217243","https://p.scdn.co/mp3-preview/7ba465b5d18c4eb8c78b56622e8c74fb0bc61dcb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-14T23:52:07Z"
"spotify:track:2h400gxKwJW7NfvEuzNqkL","JEEEEEVEESS","spotify:artist:2Hr12vmF0ozKYzLjPB2ZfX","Little Snake","spotify:album:6X2LAJ5qU6Tf6QGT2ecn7b","LOST IN SPIRALS EP","spotify:artist:2Hr12vmF0ozKYzLjPB2ZfX","Little Snake","2019-06-21","https://i.scdn.co/image/ab67616d0000b2734e0df53f0e13ea41229c45cb","1","5","288358","https://p.scdn.co/mp3-preview/5d970fec304325e5ad123e45671fe066544a99ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-14T23:52:07Z"
"spotify:track:5I8fmgBBJXAeP4QgcqltuJ","Fortune Teller","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","spotify:album:4alVOf4j5IfqqS6Dv6ZQ9r","Death Don't Always Taste Good","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","2018-05-11","https://i.scdn.co/image/ab67616d0000b273a8beab965b3c51032b31c05e","1","1","244882","https://p.scdn.co/mp3-preview/4e8bea7f1a887858184083e8d5965e2dcb2c2a40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-14T23:52:13Z"
"spotify:track:6SNMl8HUsVUAG67RxW2Rd7","Ugly Bubble","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","spotify:album:4alVOf4j5IfqqS6Dv6ZQ9r","Death Don't Always Taste Good","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","2018-05-11","https://i.scdn.co/image/ab67616d0000b273a8beab965b3c51032b31c05e","1","2","193190","https://p.scdn.co/mp3-preview/2f9c1681b383782c169ab4f411234572ac0512bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-14T23:52:13Z"
"spotify:track:7qXg3nuIBWV5txDq6NaEzz","Jet Lag","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","spotify:album:4alVOf4j5IfqqS6Dv6ZQ9r","Death Don't Always Taste Good","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","2018-05-11","https://i.scdn.co/image/ab67616d0000b273a8beab965b3c51032b31c05e","1","3","247384","https://p.scdn.co/mp3-preview/f4f5c217483642aa3fb02588c84561e25568a618?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-14T23:52:13Z"
"spotify:track:3Q4mCwMANnLhgEbg7f4IcD","Astral Pirate Theme","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","spotify:album:4alVOf4j5IfqqS6Dv6ZQ9r","Death Don't Always Taste Good","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","2018-05-11","https://i.scdn.co/image/ab67616d0000b273a8beab965b3c51032b31c05e","1","4","247913","https://p.scdn.co/mp3-preview/b04d63f9e6545363c338d287832a139d5e914336?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-14T23:52:13Z"
"spotify:track:6Cn9Ql7HXOeyuNCsykTeBG","Cake","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","spotify:album:4alVOf4j5IfqqS6Dv6ZQ9r","Death Don't Always Taste Good","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","2018-05-11","https://i.scdn.co/image/ab67616d0000b273a8beab965b3c51032b31c05e","1","5","205796","https://p.scdn.co/mp3-preview/efaf3365831df2f73918bf81849e8166880368de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-14T23:52:13Z"
"spotify:track:6PUsqh9qyUPAEMXMHVAMZO","Vanity Fair","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","spotify:album:4alVOf4j5IfqqS6Dv6ZQ9r","Death Don't Always Taste Good","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","2018-05-11","https://i.scdn.co/image/ab67616d0000b273a8beab965b3c51032b31c05e","1","6","187245","https://p.scdn.co/mp3-preview/90a2ac180b800fef7a98e9fa2efd7fc1f11c5742?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-14T23:52:13Z"
"spotify:track:0Whu4FoKgfvSMV7HLHCOmS","A & E","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","spotify:album:4alVOf4j5IfqqS6Dv6ZQ9r","Death Don't Always Taste Good","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","2018-05-11","https://i.scdn.co/image/ab67616d0000b273a8beab965b3c51032b31c05e","1","7","257091","https://p.scdn.co/mp3-preview/1e83ed7ec630b85b97ee78ee4d10fb0936ef60b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-14T23:52:13Z"
"spotify:track:7iLUiGPMJsuPAu7EAy7VO7","Death Don't Always Taste Good","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","spotify:album:4alVOf4j5IfqqS6Dv6ZQ9r","Death Don't Always Taste Good","spotify:artist:3VXCvo9Sr0hbZ4mk6VOKBs","Ivy Lab","2018-05-11","https://i.scdn.co/image/ab67616d0000b273a8beab965b3c51032b31c05e","1","8","203936","https://p.scdn.co/mp3-preview/c3c0541ab872548ef0ac4f05ab5604782ab9d7d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-14T23:52:13Z"
