"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6OmR6STnIugFfgvJDX3Z69","Suicide Deluxe","spotify:artist:2EcltAQF7JHjEk9Thd9Pui","Dreamcrusher","spotify:album:4BejoS6deivuJAfSQa5AhH","Suicide Deluxe","spotify:artist:2EcltAQF7JHjEk9Thd9Pui","Dreamcrusher","2014-10-08","https://i.scdn.co/image/ab67616d0000b273a090edb67bf21ebe53c190f0","1","1","235200","https://p.scdn.co/mp3-preview/6593edad53281e9a3c52b21276b3a055be679da4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-05T01:45:28Z"
"spotify:track:5v3TSHYm8BzbON2u6QBEG7","Dunkelheit","spotify:artist:7L6u6TyhjuwubrcojPeNgf","Burzum","spotify:album:2XQwZUu0MM9ECgwHbcc8qR","Filosofem","spotify:artist:7L6u6TyhjuwubrcojPeNgf","Burzum","1996","https://i.scdn.co/image/ab67616d0000b273946cb01ce19e132b950409e3","1","1","425066","https://p.scdn.co/mp3-preview/7a3ad6a36ce0b47713e287a1838c67ea08f26278?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-05T01:45:39Z"
"spotify:track:3d1uPNDeeceYhoNNo4pnv8","Vinum Sabbathi","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","spotify:album:1AxwLCMtx8rnIxkFQKU2LO","Dopethrone","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","2006","https://i.scdn.co/image/ab67616d0000b273d11797b2bfbfefe908e0ad92","1","1","185493","https://p.scdn.co/mp3-preview/588603e0901ebfb74c207dfc81671b65e985d350?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-05T01:47:04Z"
"spotify:track:6DU1WKdUnR7OZkw7BZl9P0","Funeralopolis","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","spotify:album:1AxwLCMtx8rnIxkFQKU2LO","Dopethrone","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","2006","https://i.scdn.co/image/ab67616d0000b273d11797b2bfbfefe908e0ad92","1","2","523333","https://p.scdn.co/mp3-preview/1f518f97f250d234cd29b6a03388867654eb8b43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-05T01:47:04Z"
"spotify:track:5H9QqlrGVKfimfG2Foq3px","Weird Tales / Electric Frost / Golgotha / Altar of Melektaus","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","spotify:album:1AxwLCMtx8rnIxkFQKU2LO","Dopethrone","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","2006","https://i.scdn.co/image/ab67616d0000b273d11797b2bfbfefe908e0ad92","1","3","904693","https://p.scdn.co/mp3-preview/235c3da2ebbe54af6c53411789084615ab20d4f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-05T01:47:04Z"
"spotify:track:31M6kB16yl4F2Y82M7HrWa","Barbarian","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","spotify:album:1AxwLCMtx8rnIxkFQKU2LO","Dopethrone","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","2006","https://i.scdn.co/image/ab67616d0000b273d11797b2bfbfefe908e0ad92","1","4","389466","https://p.scdn.co/mp3-preview/d88f753004140a3a6e2dce8fcbb1511cbd86b2b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-05T01:47:04Z"
"spotify:track:5Kryuu17dbt8kVN6vE61YT","I, The Witchfinder","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","spotify:album:1AxwLCMtx8rnIxkFQKU2LO","Dopethrone","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","2006","https://i.scdn.co/image/ab67616d0000b273d11797b2bfbfefe908e0ad92","1","5","664040","https://p.scdn.co/mp3-preview/e5d81ef9f333d83e36aae7e855bdfeb4b2674f6d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-05T01:47:04Z"
"spotify:track:2Q21yFRtD36STs8mWlpAYI","The Hills Have Eyes","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","spotify:album:1AxwLCMtx8rnIxkFQKU2LO","Dopethrone","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","2006","https://i.scdn.co/image/ab67616d0000b273d11797b2bfbfefe908e0ad92","1","6","46626","https://p.scdn.co/mp3-preview/7fffcf2ce416170d03a19c1c787b03ca414ddd4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-05T01:47:04Z"
"spotify:track:1RrgPMuFinnePF4P7ynAfh","We Hate You","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","spotify:album:1AxwLCMtx8rnIxkFQKU2LO","Dopethrone","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","2006","https://i.scdn.co/image/ab67616d0000b273d11797b2bfbfefe908e0ad92","1","7","308506","https://p.scdn.co/mp3-preview/cfa9befb006125084e455a4593df729008fb1aa4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-05T01:47:04Z"
"spotify:track:6rbtbfELvUHsOjgYyz52lT","Dopethrone","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","spotify:album:1AxwLCMtx8rnIxkFQKU2LO","Dopethrone","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","2006","https://i.scdn.co/image/ab67616d0000b273d11797b2bfbfefe908e0ad92","1","8","636226","https://p.scdn.co/mp3-preview/3ad6f5be4b1256e2ea5564f0aa36ef946eeb8b5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-11-05T01:47:04Z"
