"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:73SBAGI4fPFm4VkB3NjXq8","I Want You To Love Me","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","spotify:album:0fO1KemWL2uCCQmM22iKlj","Fetch The Bolt Cutters","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","2020-04-17","https://i.scdn.co/image/ab67616d0000b273841292c1316c4bf85447bcd9","1","1","237713","https://p.scdn.co/mp3-preview/a2e09a985bd5c78ae6d0132a23f3c8c8feea4de0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-20T06:53:41Z"
"spotify:track:2pDKE8Q40TDGPl1O11DKKn","Shameika","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","spotify:album:0fO1KemWL2uCCQmM22iKlj","Fetch The Bolt Cutters","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","2020-04-17","https://i.scdn.co/image/ab67616d0000b273841292c1316c4bf85447bcd9","1","2","248603","https://p.scdn.co/mp3-preview/a6ad859a16f25fba18b7386412708c01d4bfe2b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-20T06:53:41Z"
"spotify:track:4SdubskbLiOkpsIjRVVsya","Fetch The Bolt Cutters","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","spotify:album:0fO1KemWL2uCCQmM22iKlj","Fetch The Bolt Cutters","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","2020-04-17","https://i.scdn.co/image/ab67616d0000b273841292c1316c4bf85447bcd9","1","3","298457","https://p.scdn.co/mp3-preview/833e7267e5908e8d76e7fbb63a86e77825967761?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-20T06:53:41Z"
"spotify:track:12WhIX6MvI93bS3wPSStSY","Under The Table","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","spotify:album:0fO1KemWL2uCCQmM22iKlj","Fetch The Bolt Cutters","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","2020-04-17","https://i.scdn.co/image/ab67616d0000b273841292c1316c4bf85447bcd9","1","4","201352","https://p.scdn.co/mp3-preview/76efff2d449e98620d4ee93c60d2270a69eff455?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-20T06:53:41Z"
"spotify:track:5hnOzmFuGltDDAm008jFDh","Relay","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","spotify:album:0fO1KemWL2uCCQmM22iKlj","Fetch The Bolt Cutters","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","2020-04-17","https://i.scdn.co/image/ab67616d0000b273841292c1316c4bf85447bcd9","1","5","289229","https://p.scdn.co/mp3-preview/86f416caa61829760d9ab4a352c19a734685a966?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-20T06:53:41Z"
"spotify:track:17QLp5uadHptxnmq9clK8U","Rack of His","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","spotify:album:0fO1KemWL2uCCQmM22iKlj","Fetch The Bolt Cutters","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","2020-04-17","https://i.scdn.co/image/ab67616d0000b273841292c1316c4bf85447bcd9","1","6","222307","https://p.scdn.co/mp3-preview/c606c8b86964a3d650fd080bb325e53ec863d815?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-20T06:53:41Z"
"spotify:track:1YsWyCYqpA8uZaR9SfYAnY","Newspaper","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","spotify:album:0fO1KemWL2uCCQmM22iKlj","Fetch The Bolt Cutters","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","2020-04-17","https://i.scdn.co/image/ab67616d0000b273841292c1316c4bf85447bcd9","1","7","332404","https://p.scdn.co/mp3-preview/c5261ba0e5b61353a1e6e11153cffd201631096d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-20T06:53:41Z"
"spotify:track:0jH0IsCBGackT3RmHBbSUI","Ladies","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","spotify:album:0fO1KemWL2uCCQmM22iKlj","Fetch The Bolt Cutters","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","2020-04-17","https://i.scdn.co/image/ab67616d0000b273841292c1316c4bf85447bcd9","1","8","325373","https://p.scdn.co/mp3-preview/36aa40927178163cd935d17db7761194dff90924?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-20T06:53:41Z"
"spotify:track:2OQpQTRogZ1AhnUHJiT9Nb","Heavy Balloon","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","spotify:album:0fO1KemWL2uCCQmM22iKlj","Fetch The Bolt Cutters","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","2020-04-17","https://i.scdn.co/image/ab67616d0000b273841292c1316c4bf85447bcd9","1","9","206262","https://p.scdn.co/mp3-preview/3904388b84f21fccde6969f5d2dca66da92b3700?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-20T06:53:41Z"
"spotify:track:7eGoc6UmwiRAVnilTZajNC","Cosmonauts","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","spotify:album:0fO1KemWL2uCCQmM22iKlj","Fetch The Bolt Cutters","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","2020-04-17","https://i.scdn.co/image/ab67616d0000b273841292c1316c4bf85447bcd9","1","10","239310","https://p.scdn.co/mp3-preview/90e4a9249f2892b6e938725fd077bf11cfd8deb1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-20T06:53:41Z"
