"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6V77yOT0klYsDdbRkUV9TW","Raven","spotify:artist:19f2JXwlRU26376TCKmp6L","GoGo Penguin","spotify:album:21TUXYHOeHVMOKbCuxzfKn","A Humdrum Star","spotify:artist:19f2JXwlRU26376TCKmp6L","GoGo Penguin","2018-02-09","https://i.scdn.co/image/ab67616d0000b273ef39992622c059b03461aa8a","1","2","297538","https://p.scdn.co/mp3-preview/2c0f5cecab02773a162688e54131fee869d4da07?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:1Pc3gTtQG4Cq1x81NcXtCN","My God Is The Sun","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","spotify:album:06S2JBsr4U1Dz3YaenPdVq","...Like Clockwork","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","2013-06-03","https://i.scdn.co/image/ab67616d0000b2731d11a5e2159392827af124d5","1","5","235400","","false","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:5UWwZ5lm5PKu6eKsHAGxOk","Everlong","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:30ly6F6Xl0TKmyBCU50Khv","The Colour And The Shape","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1997-05-20","https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b","1","11","250546","https://p.scdn.co/mp3-preview/7258a9fd5a751e9bdb7030b0da623b3b498b6ba0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:6CTG85NJI1Wm60pxTSRNwL","Never Catch Me","spotify:artist:29XOeO6KIWxGthejQqn793, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Flying Lotus, Kendrick Lamar","spotify:album:29luvT98TnqHjVDYSRbbrj","You're Dead!","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2014-10-06","https://i.scdn.co/image/ab67616d0000b273dfa6ba57d446244054f068f4","1","5","234486","https://p.scdn.co/mp3-preview/b7ac41c66e8c929e3ac2ba4eb57a14de92fe7a5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:2ej1A2Ze6P2EOW7KfIosZR","Feather (feat. Cise Starr & Akin from CYNE)","spotify:artist:3Rq3YOF9YG9YfCWD4D56RZ, spotify:artist:33U7NALGE1kDIhgwofWG2s, spotify:artist:2HTvHHSj0INyoVfW2LDs6X","Nujabes, Cise Star, Akin","spotify:album:6nVACH6a27eOWiumAJhDWS","Modal Soul","spotify:artist:3Rq3YOF9YG9YfCWD4D56RZ","Nujabes","2005-11-11","https://i.scdn.co/image/ab67616d0000b273912cc8fe2e9a53d328757a41","1","1","175360","https://p.scdn.co/mp3-preview/ffdb6a7ce756ff9ff6e1e6c02592c5520cdd869d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:7BSKYefPomVqjzHRTXCnLT","Transient State","spotify:artist:19f2JXwlRU26376TCKmp6L","GoGo Penguin","spotify:album:21TUXYHOeHVMOKbCuxzfKn","A Humdrum Star","spotify:artist:19f2JXwlRU26376TCKmp6L","GoGo Penguin","2018-02-09","https://i.scdn.co/image/ab67616d0000b273ef39992622c059b03461aa8a","1","6","359217","https://p.scdn.co/mp3-preview/844a4f716fad3ca3e1b552372643969c364253c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:3RPC7hdB3nPcLChdNV8EqB","Harvest","spotify:artist:0ybFZ2Ab08V8hueghSXm6E","Opeth","spotify:album:3CCkWrqhWcKU7qXK3ooEEo","Blackwater Park","spotify:artist:0ybFZ2Ab08V8hueghSXm6E","Opeth","2001-02-27","https://i.scdn.co/image/ab67616d0000b273f32111c6eea621e6468dccbc","1","3","358600","https://p.scdn.co/mp3-preview/46e587c82bf3cac0d7cfa8813ab1e04f2e5bdb98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:7oXRMDUzBPekkLRTJhSGvC","I Sat By The Ocean","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","spotify:album:06S2JBsr4U1Dz3YaenPdVq","...Like Clockwork","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","2013-06-03","https://i.scdn.co/image/ab67616d0000b2731d11a5e2159392827af124d5","1","2","235586","","false","6","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:3HfEgAaf0koxBpBB8NvGda","When You Sleep","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:3GH4IiI6jQAIvnHVdb5FB6","Loveless","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1991-11-04","https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511","1","5","251933","https://p.scdn.co/mp3-preview/c616c688e2f215ee0e501036f80e7d2f5ef1c79a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:2csZLnXBMuw6ETZuRxdUZF","Black Balloons Reprise","spotify:artist:29XOeO6KIWxGthejQqn793, spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Flying Lotus, Denzel Curry","spotify:album:5WfDyog8yO7ZF8JdJxeZfl","Flamagra","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2019-05-24","https://i.scdn.co/image/ab67616d0000b273d79875c5339df68a02975881","1","12","161971","https://p.scdn.co/mp3-preview/0205a6f68bf621e1d8b50b57db9cd00fcd1ef0ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:61g7oQKm8DFEL7r2g9LS8x","Migration","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:2T64N96AVfsrRFJCUXQEoZ","Migration","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2017-01-13","https://i.scdn.co/image/ab67616d0000b27355fa09a768d1ef5ea5d279f9","1","1","327400","https://p.scdn.co/mp3-preview/95a2402c98352929a0c8719a175d4aab563f9f31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:2XXg3lgGxnu9VPEEsrEaXR","Bloodstone","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:6o7OzvIJJMkhgB1QtEB1fj","Foley Room","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2007-02-26","https://i.scdn.co/image/ab67616d0000b2736841c8f2dfa5290983e76e5c","1","1","250293","https://p.scdn.co/mp3-preview/b77efe0ac0f81739ae6da8f43bf714accd3487cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:2kmOzndbVl8GomtgVGmEHS","At The End Of The Day","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:6o7OzvIJJMkhgB1QtEB1fj","Foley Room","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2007-02-26","https://i.scdn.co/image/ab67616d0000b2736841c8f2dfa5290983e76e5c","1","12","192200","https://p.scdn.co/mp3-preview/d06f12a9970ce5677ef0687b91c92b22a4c3a851?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:2jSJm3Gv6GLxduWLenmjKS","Digital Bath","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:5LEXck3kfixFaA3CqVE7bC","White Pony","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2000-05-16","https://i.scdn.co/image/ab67616d0000b2735c53799f473fa3e1a48c00ed","1","3","255373","https://p.scdn.co/mp3-preview/fc657148ff355f8fb6fb66df8584a3acb05c5079?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:7cO6rxZSi7Ura92FtspKaf","The Brain Dance","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:13jTvLPx2N9JbLOmq4yYQW","The Madness Of Many","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2016-11-11","https://i.scdn.co/image/ab67616d0000b273ff93110327dd6422f55985ae","1","9","420746","https://p.scdn.co/mp3-preview/263067557daef082482b25c9d74b409e0fa472c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:6RbwGr6dhNGGjgPb6vgDkd","Bardo","spotify:artist:19f2JXwlRU26376TCKmp6L","GoGo Penguin","spotify:album:21TUXYHOeHVMOKbCuxzfKn","A Humdrum Star","spotify:artist:19f2JXwlRU26376TCKmp6L","GoGo Penguin","2018-02-09","https://i.scdn.co/image/ab67616d0000b273ef39992622c059b03461aa8a","1","3","434289","https://p.scdn.co/mp3-preview/1d5f13d51b81aba3c95094ae042376a47a8b566b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:3jzerzfM8lLFej7MAry7qG","Kandaiki","spotify:artist:497rp5TEzJffeBnUT0BeE1","Mammal Hands","spotify:album:4y83vqVrHDM6ZVK9oyOjhG","Animalia","spotify:artist:497rp5TEzJffeBnUT0BeE1","Mammal Hands","2014-09-15","https://i.scdn.co/image/ab67616d0000b273f7857cc64d967e017053e050","1","3","315693","https://p.scdn.co/mp3-preview/6134351260b5e7fa7efcc7b00e8e8626ebee2fa5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:4RnfMhMUMqHlrn4V6A3KfS","Legend Has It","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","spotify:album:3v2GjFB9V5kHgrOCXn3sI9","Run the Jewels 3","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2016-12-25","https://i.scdn.co/image/ab67616d0000b273c48e082c2f19af0edf06f18a","1","3","205866","https://p.scdn.co/mp3-preview/91ad2b35e5335c11c5d70533a10ee0b9f86cc862?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:1R28m5eWk1EV9FQ3puWrUp","Fazers","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","spotify:album:1mrhahrlJu5JfzgeV6Cy8t","Take Me To Your Leader","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","2003-06-17","https://i.scdn.co/image/ab67616d0000b273de20cdc5935096897bb687fc","1","1","197133","https://p.scdn.co/mp3-preview/be6470ce99970a3afeea5c24ab9663da8b989259?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:4odoLyHnSx2jIcXs16IvsV","Jesus Forgive Me, I Am A Thot","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:5ilsl5R2lGACTnPZMKIp7o","All My Heroes Are Cornballs","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2019-09-13","https://i.scdn.co/image/ab67616d0000b273c0f5083c53e881de8dec3d70","1","1","156533","https://p.scdn.co/mp3-preview/0306f6c817878087aed71e539b9e2eccf67495ba?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
"spotify:track:1Ekf4LfkzpVbwoUawE9R3E","Jumpers","spotify:artist:4wLIbcoqmqI4WZHDiBxeCB","Sleater-Kinney","spotify:album:7hcefwuxgBS2mssgOtUSJy","The Woods","spotify:artist:4wLIbcoqmqI4WZHDiBxeCB","Sleater-Kinney","2005-05-24","https://i.scdn.co/image/ab67616d0000b273367195b269c127a19aeb650e","1","4","264893","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:48:01Z"
