"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5dB3b2U5ebIgKyIk77OWx3","In the Flat Field","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","spotify:album:4aTnxFNp2RSddhkYf0VYeW","In The Flat Field","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","1980-11-03","https://i.scdn.co/image/ab67616d0000b273367b2adc73116967c8398f2b","1","3","300266","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-08-30T17:38:56Z"
"spotify:track:4Qq0UKztCAIfu0Tfgmb1d2","Prayers for Rain - 2010 Remaster","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","spotify:album:6vQB3ZBxnQPP3jQcGV2qzg","Disintegration (Deluxe Edition)","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","1989-05-02","https://i.scdn.co/image/ab67616d0000b273c7ca2db25ad377e022bc3975","1","8","368306","https://p.scdn.co/mp3-preview/f112d5b3fce44578fa842a39341ba24289c8fb2d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-08-27T18:46:03Z"
"spotify:track:2Yfo6l7z6Lu6ssyaRCw9VS","Smothered Hope","spotify:artist:5Mu0EMEsUIVE132pNMywns","Skinny Puppy","spotify:album:6tBWaSq0buMixJNW4OC5tR","Remission","spotify:artist:5Mu0EMEsUIVE132pNMywns","Skinny Puppy","1984","https://i.scdn.co/image/ab67616d0000b273a6eaec736fd6de4a356ed14f","1","1","314533","https://p.scdn.co/mp3-preview/cda33e5f3c233b05f62a7785a068d4fbf26aecf9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-04T23:07:44Z"
"spotify:track:1OY3V4AB64zZanzBQ4b8Z1","Worlock","spotify:artist:5Mu0EMEsUIVE132pNMywns","Skinny Puppy","spotify:album:7f8o0YbTMOMTJnU0PdL7eM","Rabies (Remastered)","spotify:artist:5Mu0EMEsUIVE132pNMywns","Skinny Puppy","1989-11-20","https://i.scdn.co/image/ab67616d0000b2739cbe7df58c65c9d898884b16","1","5","330240","https://p.scdn.co/mp3-preview/f495347ede59994c9414ae630ef7f52ffab8a33e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-04T23:07:53Z"
"spotify:track:6yFuU5raIMXo7WSHorY82Y","Darkness Before Dawn - 2007 Digital Remaster","spotify:artist:0Zy4ncr8h1jd7Nzr9946fD","Killing Joke","spotify:album:2qcwXvluk9iFwNNg4eDBXm","Night Time","spotify:artist:0Zy4ncr8h1jd7Nzr9946fD","Killing Joke","1985-02-04","https://i.scdn.co/image/ab67616d0000b2736a0553ce3c8ed791ef923887","1","2","319066","https://p.scdn.co/mp3-preview/6e3b9aa8280d504734ab62357fb3f3cd5acb749d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-04T23:08:02Z"
"spotify:track:1nSqYL7YGQaDtu5o0V6LpS","Assimilate","spotify:artist:5Mu0EMEsUIVE132pNMywns","Skinny Puppy","spotify:album:6dqEXFFB1FeCyovD2lwAWk","Bites","spotify:artist:5Mu0EMEsUIVE132pNMywns","Skinny Puppy","1985","https://i.scdn.co/image/ab67616d0000b273ab5d566748f351c712a3936d","1","1","416706","https://p.scdn.co/mp3-preview/4778f81ac22b0f7d53142f5f7715eaba36fa2499?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-04T23:08:12Z"
"spotify:track:3WalxjlkYSorFfKgNn4eya","Featherweight Hate","spotify:artist:61jq0F04ecataLAuDADgnF","Street Sects","spotify:album:0qnkPX1fxM6hEnnVIl4Jw7","End Position","spotify:artist:61jq0F04ecataLAuDADgnF","Street Sects","2016-09-16","https://i.scdn.co/image/ab67616d0000b27356c861ea95f473d5732c17a7","1","4","159880","https://p.scdn.co/mp3-preview/3814ac02ef9e7d2ab751abe347edf89101005753?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-04T23:11:14Z"
"spotify:track:020Ur4viDDscjoH9IvpHRE","Vex","spotify:artist:6ZK2nrW8aCTg8Bid7I7N10","Chelsea Wolfe","spotify:album:1nnenAgIzIipcodyg879Vx","Hiss Spun","spotify:artist:6ZK2nrW8aCTg8Bid7I7N10","Chelsea Wolfe","2017-09-22","https://i.scdn.co/image/ab67616d0000b2735c0c56da48597a58cba6f7b5","1","3","182299","https://p.scdn.co/mp3-preview/33a0a32cb55e35967e65ed9b10d61462c73909d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-04T23:13:45Z"
"spotify:track:6Hh5u5c6eTWLYE7R9RgL7M","So What","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","spotify:album:2Z73HeYQNCf5T8dzzHaoz5","The Mind Is A Terrible Thing To Taste","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","1989-11-10","https://i.scdn.co/image/ab67616d0000b273b24dc2f125c785d242029041","1","6","493826","https://p.scdn.co/mp3-preview/a1c73f2fc86cad08894de16ff95fefc7605379b6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-07-06T01:07:20Z"
"spotify:track:1wPkB4TmFhOItrzZw5HgrE","Blood Bitch","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:1hOKdXqKBxmUPZWBGgTtnU","Garlands","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1982-09-01","https://i.scdn.co/image/ab67616d0000b273b7e27afbff974fbc9db3feca","1","1","274893","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-08-17T18:25:08Z"
