"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:76GlO5H5RT6g7y0gev86Nk","Just like Heaven","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","spotify:album:37Q22g0n9PzBLX6lNddrIa","Kiss Me, Kiss Me, Kiss Me","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","1987-05-25","https://i.scdn.co/image/ab67616d0000b2737f22337546d61faca55e0f4f","1","8","212000","https://p.scdn.co/mp3-preview/938e9e7f3931aded8923a30ebc003167283fc759?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:0LtOwyZoSNZKJWHqjzADpW","Feels Like We Only Go Backwards","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:3C2MFZ2iHotUQOSBzdSvM7","Lonerism","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2012-01-01","https://i.scdn.co/image/ab67616d0000b273370c12f82872c9cfaee80193","1","7","192960","https://p.scdn.co/mp3-preview/6b26c453d9ba417979c26af6d93a742237e4d06a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:0GN3fXUdsTHeUg50xfDS0V","Sugar for the Pill","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:4nSWX5A4xVomzrOEGDKLQ6","Slowdive","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","2017-05-05","https://i.scdn.co/image/ab67616d0000b2737d08dfce0cb20cf7ed9da031","1","4","270918","https://p.scdn.co/mp3-preview/df48c7eb0a0ae26be5861ffcda6d8f477823267f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:1LzNfuep1bnAUR9skqdHCK","Fade Into You","spotify:artist:37w38cCSGgKLdayTRjna4W","Mazzy Star","spotify:album:5K18gTgac0q6Jma5HkV1vA","So Tonight That I Might See","spotify:artist:37w38cCSGgKLdayTRjna4W","Mazzy Star","1993-10-05","https://i.scdn.co/image/ab67616d0000b27389a392107ebd79818022b3ea","1","1","295600","https://p.scdn.co/mp3-preview/65efceac3138c854ad19fb77ceee9502e58f0b58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:1TKTiKp3zbNgrBH2IwSwIx","Us and Them","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:4LH4d3cOWNNsVw41Gqt2kv","The Dark Side of the Moon","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1973-03-01","https://i.scdn.co/image/ab67616d0000b273f05e5ac32fdd79d100315a20","1","7","469224","https://p.scdn.co/mp3-preview/021c52015787b3b1a75ca64d41a034c52119c677?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:0X5C4WjQNubRysTkHOubz3","Lovesong - 2010 Remaster","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","spotify:album:6vQB3ZBxnQPP3jQcGV2qzg","Disintegration (Deluxe Edition)","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","1989-05-02","https://i.scdn.co/image/ab67616d0000b273c7ca2db25ad377e022bc3975","1","4","209573","https://p.scdn.co/mp3-preview/267953ba79751b4869f1a310b26a50f7f4667d20?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:263aNAQCeFSWipk896byo6","Friday I'm in Love","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","spotify:album:3x1CmNdXWU0DzpTZXFFRZu","Wish","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","1992-04-21","https://i.scdn.co/image/ab67616d0000b273e410fa31e3dfcc7521cde86d","1","7","214400","https://p.scdn.co/mp3-preview/00b147aa44994cf24c63165fecfcd5c0ff441459?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:7ABE6G4uQxbNtYgVrpBBPA","Close to Me - 2006 Remaster","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","spotify:album:6HhpmJekzDCRu2K64ZbWqw","The Head on the Door","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","1985-08-26","https://i.scdn.co/image/ab67616d0000b2731b54add5c2a3a337e512941b","1","7","203266","https://p.scdn.co/mp3-preview/80e0916eb1bbfdfb72381bbe67381083e202ccb2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:1tuwC1Ob5vnYZhvg3zyzJg","Pictures of You - 2010 Remaster","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","spotify:album:6vQB3ZBxnQPP3jQcGV2qzg","Disintegration (Deluxe Edition)","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","1989-05-02","https://i.scdn.co/image/ab67616d0000b273c7ca2db25ad377e022bc3975","1","2","448466","https://p.scdn.co/mp3-preview/a6111a0503c466e310066bcb2158b2f1acc24272?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:4Y2W4zKa3q72ztbkA0r8Va","Dayvan Cowboy","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","spotify:album:0wBiN0fKhy0ywx732SpgUs","The Campfire Headphase","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","2005-10-17","https://i.scdn.co/image/ab67616d0000b27375ea8510776626eb920260c5","1","5","300186","https://p.scdn.co/mp3-preview/7e78387377c4285a13d0282565d0714f48376f19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:5wkGZVY3Tn2aYfBbVdW535","Vacuum","spotify:artist:6UU6YXQaFGQToWN6U28Dcb","Gang Gang Dance","spotify:album:72tIb8JWE885eqiN5rnuZY","Saint Dymphna","spotify:artist:6UU6YXQaFGQToWN6U28Dcb","Gang Gang Dance","2008-10-21","https://i.scdn.co/image/ab67616d0000b273f93113405d09418cbab0dea1","1","4","253066","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:5h3dkNsm4MT35zRgSB3YEv","Time Moves Slowly (feat. Samuel T. Herring)","spotify:artist:65dGLGjkw3UbddUg2GKQoZ, spotify:artist:6K4I1MPd7m8IztUdtrF4YU","BADBADNOTGOOD, Samuel T. Herring","spotify:album:6uqcZu1it9k6zz3UVKZzPo","IV","spotify:artist:65dGLGjkw3UbddUg2GKQoZ","BADBADNOTGOOD","2016-07-08","https://i.scdn.co/image/ab67616d0000b273c067627e5503f76e01615b3a","1","3","273864","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:2dFUtZtpWydAU4QMmUOK47","恢复","spotify:artist:2wBpW4bAGYVe0yJcBeCTyd","２８１４","spotify:album:01m2bictEiKiVzFjk0h28N","新しい日の誕生","spotify:artist:2wBpW4bAGYVe0yJcBeCTyd","２８１４","2015-01-21","https://i.scdn.co/image/ab67616d0000b2731be92a146cb0b49b0b2222f0","1","1","351200","https://p.scdn.co/mp3-preview/ccea623a8c5f9b05debb284e196e07123e38aa12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:7eYF1tAcKBvhJU4W9K0Uca","When It Rains","spotify:artist:2vI9KFm0fwSfPrpEgOeIbq","Brad Mehldau","spotify:album:7i4wN3UGvFhr663Hpjgscx","Largo","spotify:artist:2vI9KFm0fwSfPrpEgOeIbq","Brad Mehldau","2002-08-13","https://i.scdn.co/image/ab67616d0000b273a4c3e2ce4bb985d6c4a28f64","1","1","396626","https://p.scdn.co/mp3-preview/61589e9f392064266564d91c26964b77cd844c87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:2KS19J68cORRfeZXrWjNDV","Wind","spotify:artist:1EJzWKVDeysgbyuZGfEFde","The Deli","spotify:album:712kJatOJDHS8mVpD3EBwG","Encounters","spotify:artist:1EJzWKVDeysgbyuZGfEFde","The Deli","2017-06-01","https://i.scdn.co/image/ab67616d0000b2730ad76b3bed7bc40f1292409d","1","6","88015","https://p.scdn.co/mp3-preview/f45bbed517afbdc89d6052bf7077a7efc4243b96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:5XkqOjBws8qpEkBW7X5Ppy","Derecho de Nacimiento (feat. Los Macorinos)","spotify:artist:1hcdI2N1023RvSwLzTtdsp, spotify:artist:1ldFRYgmjxDrX27bIe3dWx","Natalia Lafourcade, Los Macorinos","spotify:album:7JbbUP152jaRbhQ7CJ1DOy","Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol. 2","spotify:artist:1hcdI2N1023RvSwLzTtdsp","Natalia Lafourcade","2018-02-09","https://i.scdn.co/image/ab67616d0000b2730fe864cc5162c51ab11f4492","1","7","348840","https://p.scdn.co/mp3-preview/7ec81fa436e615b8d8a94fd33bbd30b19a750695?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:07CyrZF9eVd02zzIse7tZA","In Between Days - 2006 Remaster","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","spotify:album:4Uq47onfCEj5en94jpHovk","The Head on the Door (Deluxed Edition)","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","1985-08-26","https://i.scdn.co/image/ab67616d0000b27396e854c582f5213d51793cc2","1","1","177986","https://p.scdn.co/mp3-preview/e19aa2c5e180b08f3ac3e38ca2429a6077f4366c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:4qjqO5m5e5vebk9upd7xUU","Never Gonna Give You Up","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","spotify:album:7qE6RXYyz5kj5Tll7mJU0v","Brothers","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","2010-05-18","https://i.scdn.co/image/ab67616d0000b2734cf61635ecdee5d4c4ef2bac","1","14","218986","https://p.scdn.co/mp3-preview/24dd2fb4c49f97fcb78401b85fbb65b9897d4664?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:7vpvMspRgoeBTxOwP44a1Q","In a Mood","spotify:artist:2TLvEQjCrq7LCZD3A7zUpi","TheSecondSex","spotify:album:6AdQ6hDRrXbwPjC8a64oiY","In a Mood","spotify:artist:2TLvEQjCrq7LCZD3A7zUpi","TheSecondSex","2017-10-21","https://i.scdn.co/image/ab67616d0000b2737e51f9ece198dd16785b88c2","1","1","247500","https://p.scdn.co/mp3-preview/ca128f008f826aef0955711ea514cd92d920e342?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:6ltupDRDyrxx21EoJ3Dwsw","In The Mirror","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","spotify:album:5f9BLrcnp776JmOgAV9aS6","In My Time","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","1993","https://i.scdn.co/image/ab67616d0000b2732121e2825f0d63bf0a8b2f88","1","7","245133","https://p.scdn.co/mp3-preview/53e9a3d7b6cb06a0deb1fc47cfc2077420e8c53e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:1oCUj7YvKxxSKRDAU3pePN","Levitation","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:35vTE3hx3AAXtM6okpJIIt","Depression Cherry","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2015-08-28","https://i.scdn.co/image/ab67616d0000b273fc685af465876c629ad111ef","1","1","354600","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:5UFt0wpIRFSYTIPjZny4u9","Myth","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:1UYkwtjbjdLlHc4bdnkvdO","Bloom","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2012-05-15","https://i.scdn.co/image/ab67616d0000b273e75812e7e88e4b900555f127","1","1","258653","","false","1","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:2XccfEuE57RfV6g0T16jYK","Take Care","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:4sYpTER2iT2Y7Kf4VsfUne","Teen Dream","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2010-01-26","https://i.scdn.co/image/ab67616d0000b273a13c3bfce0c903069ec8b33e","1","10","348440","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:2nS25TLvYUy1DhQMv00WtZ","You Came To Me","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:0pMZ6fItUBFcQYwRKE4dK4","Devotion","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2008-01-01","https://i.scdn.co/image/ab67616d0000b2736b466e8d9b3ed541874ee4ea","1","2","245333","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:7s5UpEtsbTnIwhRNw5G2sK","She's So Lovely","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:7zPfNw88t2Xv2nVXWKqQls","Thank Your Lucky Stars","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2015-10-16","https://i.scdn.co/image/ab67616d0000b273c3fdde9146d760276512afd3","1","2","262122","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:3stWWPN41byqp8loPdy92u","Master of None","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:32bJgeIOAFiNkucTCje5O5","Beach House","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2006-10-03","https://i.scdn.co/image/ab67616d0000b27372c5265c12fd8effdc006b75","1","4","199413","https://p.scdn.co/mp3-preview/3d49ee47dd3e09992e9faa620024f269232d4d35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:4EIhAE4eO8sbT7cLgGFydA","Wild","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:1UYkwtjbjdLlHc4bdnkvdO","Bloom","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2012-05-15","https://i.scdn.co/image/ab67616d0000b273e75812e7e88e4b900555f127","1","2","298320","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:080thMRVMSfE5fem7HBaoF","Bachelorette - Family Tree Version","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:0HMsmYvoT1h2x1C4di5faf","Homogenic","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1997-09-23","https://i.scdn.co/image/ab67616d0000b273934a734586b2a0a7fbddb81e","1","4","316600","https://p.scdn.co/mp3-preview/f159e7847b7f2f8631ce263c5b28675f9d2f6db4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:7LixuwppzvWH6BRbfgMJ4f","Full Panther","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:0kC59LuttfKletFf38YAX4","Long Stories","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2019-10-25","https://i.scdn.co/image/ab67616d0000b273d8ccc85e1eff0370f611fdfc","1","2","203255","","false","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:1gzWd0ILFaCoHUfQSkCIvl","Minerva","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:6252G7bGCVijXlqAjtjeDP","Deftones","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2003-05-19","https://i.scdn.co/image/ab67616d0000b273c09a38cf054085b18eeb88ae","1","3","257813","https://p.scdn.co/mp3-preview/a1754867dc3ddcc633e0070b4195fcbec5814726?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:42Kv1RoTAm09FeytxiuZIB","Knife Prty","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:5LEXck3kfixFaA3CqVE7bC","White Pony","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2000-05-16","https://i.scdn.co/image/ab67616d0000b2735c53799f473fa3e1a48c00ed","1","8","289200","https://p.scdn.co/mp3-preview/6e6dd64047e922cb10eaa11aa764475a5a9998c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:5Q6Xzp25aXYxNJ4B6vBkcf","Luna - Remastered","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","spotify:album:0bQglEvsHphrS19FGODEGo","Siamese Dream (Deluxe Edition)","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","1993","https://i.scdn.co/image/ab67616d0000b2735274788f34fc7656d2856dfd","1","13","202320","https://p.scdn.co/mp3-preview/50add6c8774c5149a3ce411faf5b400b24d93249?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:5QLHGv0DfpeXLNFo7SFEy1","1979 - Remastered 2012","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","spotify:album:55RhFRyQFihIyGf61MgcfV","Mellon Collie And The Infinite Sadness (Deluxe Edition)","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","1995","https://i.scdn.co/image/ab67616d0000b273431ac6e6f393acf475730ec6","2","5","266200","https://p.scdn.co/mp3-preview/4bd828fd573d84ccb2375b96d497e82df16b0839?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:0rKtyWc8bvkriBthvHKY8d","SLOW DANCING IN THE DARK","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","spotify:album:34GQP3dILpyCN018y2k61L","BALLADS 1","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","2018-10-26","https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2","1","2","209273","https://p.scdn.co/mp3-preview/483355f39bb264b9828633561ab14a7a48e75270?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:61g7oQKm8DFEL7r2g9LS8x","Migration","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:2T64N96AVfsrRFJCUXQEoZ","Migration","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2017-01-13","https://i.scdn.co/image/ab67616d0000b27355fa09a768d1ef5ea5d279f9","1","1","327400","https://p.scdn.co/mp3-preview/95a2402c98352929a0c8719a175d4aab563f9f31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:4eVNSHRazoHgfYGv3AYFyZ","Affection","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","spotify:album:5MdPMGnu8UZlDrrF0nQEKL","Affection","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","2015-10-05","https://i.scdn.co/image/ab67616d0000b27360a8aaa49e86772697854949","1","1","311000","https://p.scdn.co/mp3-preview/8797073937e9fa9506277917a10fccebd559eca4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:6dYcUcj1TyZZES5ivtjLdk","Keep On Loving You","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","spotify:album:5MdPMGnu8UZlDrrF0nQEKL","Affection","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","2015-10-05","https://i.scdn.co/image/ab67616d0000b27360a8aaa49e86772697854949","1","2","233000","https://p.scdn.co/mp3-preview/2c48067ac2a0b122be823f114f557bde2d8c2726?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:69UqtTHfUKAJweQwEStRzC","Sunsetz","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","spotify:album:5bP82ZIls6rzhpf5Qu6AzC","Cigarettes After Sex","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","2017-06-09","https://i.scdn.co/image/ab67616d0000b2736b701428ed4c6e053902174a","1","3","214680","https://p.scdn.co/mp3-preview/d8f56b035504b6df074e7399e7566ae6a30e746c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:3AVrVz5rK8Hrqo9YGiVGN5","Apocalypse","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","spotify:album:5bP82ZIls6rzhpf5Qu6AzC","Cigarettes After Sex","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","2017-06-09","https://i.scdn.co/image/ab67616d0000b2736b701428ed4c6e053902174a","1","4","290146","https://p.scdn.co/mp3-preview/c896477c65a10edff588cb8a3123e59e200ed134?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
"spotify:track:3VSYkAf6f46i5ZkXOHORq1","Sweet","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","spotify:album:5bP82ZIls6rzhpf5Qu6AzC","Cigarettes After Sex","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","2017-06-09","https://i.scdn.co/image/ab67616d0000b2736b701428ed4c6e053902174a","1","6","291640","https://p.scdn.co/mp3-preview/d9bbbf09ec3dceadcbcf8573836f5a4e5ff8983f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-04-01T03:46:49Z"
