"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5oUKoRSLP1GoAccvH4wXXj","Cellular","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","spotify:album:7MLDnEVUacleMDICnnAWuF","Man Alive!","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","2020-02-21","https://i.scdn.co/image/ab67616d0000b2738c9c1a9a5109bc36edc086be","1","1","179040","","false","1","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:09:54Z"
"spotify:track:3q1hE4HWpYGg1yIH6HKG37","Supermarché","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","spotify:album:7MLDnEVUacleMDICnnAWuF","Man Alive!","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","2020-02-21","https://i.scdn.co/image/ab67616d0000b2738c9c1a9a5109bc36edc086be","1","2","156893","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:09:54Z"
"spotify:track:5VkS25dOM8bTAKMgS2t8nT","Stoned Again","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","spotify:album:7MLDnEVUacleMDICnnAWuF","Man Alive!","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","2020-02-21","https://i.scdn.co/image/ab67616d0000b2738c9c1a9a5109bc36edc086be","1","3","205960","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:09:54Z"
"spotify:track:1Dgas4lOoZgoxoj8dE4iQu","Comet Face","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","spotify:album:7MLDnEVUacleMDICnnAWuF","Man Alive!","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","2020-02-21","https://i.scdn.co/image/ab67616d0000b2738c9c1a9a5109bc36edc086be","1","4","193906","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:09:54Z"
"spotify:track:0unsSKbyOO8SHzEX6vMhVf","The Dream","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","spotify:album:7MLDnEVUacleMDICnnAWuF","Man Alive!","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","2020-02-21","https://i.scdn.co/image/ab67616d0000b2738c9c1a9a5109bc36edc086be","1","5","99186","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:09:54Z"
"spotify:track:67vV72Oo7aty9EqYj1mwlR","Perfecto Miserable","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","spotify:album:7MLDnEVUacleMDICnnAWuF","Man Alive!","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","2020-02-21","https://i.scdn.co/image/ab67616d0000b2738c9c1a9a5109bc36edc086be","1","6","195786","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:09:54Z"
"spotify:track:2SzvPAfvRe9u60oTa5M3eM","Alone, Omen 3","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","spotify:album:7MLDnEVUacleMDICnnAWuF","Man Alive!","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","2020-02-21","https://i.scdn.co/image/ab67616d0000b2738c9c1a9a5109bc36edc086be","1","7","167253","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:09:54Z"
"spotify:track:3zTDDKJtq9nnRcsxEV3gjA","Slinky","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","spotify:album:7MLDnEVUacleMDICnnAWuF","Man Alive!","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","2020-02-21","https://i.scdn.co/image/ab67616d0000b2738c9c1a9a5109bc36edc086be","1","8","170440","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:09:54Z"
"spotify:track:5JDpLl8MvoEobxc38zFF5R","Airport Antenatal Airplane","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","spotify:album:7MLDnEVUacleMDICnnAWuF","Man Alive!","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","2020-02-21","https://i.scdn.co/image/ab67616d0000b2738c9c1a9a5109bc36edc086be","1","9","135280","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:09:54Z"
"spotify:track:5ueSa5lvfV2MPJq8paNUCq","(Don't Let The Dragon) Draag On","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","spotify:album:7MLDnEVUacleMDICnnAWuF","Man Alive!","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","2020-02-21","https://i.scdn.co/image/ab67616d0000b2738c9c1a9a5109bc36edc086be","1","10","151946","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:09:54Z"
"spotify:track:67t8Js5BfHhGInGbZqkt9c","Theme for the Cross","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","spotify:album:7MLDnEVUacleMDICnnAWuF","Man Alive!","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","2020-02-21","https://i.scdn.co/image/ab67616d0000b2738c9c1a9a5109bc36edc086be","1","11","246453","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:09:54Z"
"spotify:track:4gc970F3SF5gAn785QbqrU","Underclass","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","spotify:album:7MLDnEVUacleMDICnnAWuF","Man Alive!","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","2020-02-21","https://i.scdn.co/image/ab67616d0000b2738c9c1a9a5109bc36edc086be","1","12","210000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:09:54Z"
"spotify:track:4Cpg4FCnh6tMDhnLx7mZuW","Energy Fleets","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","spotify:album:7MLDnEVUacleMDICnnAWuF","Man Alive!","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","2020-02-21","https://i.scdn.co/image/ab67616d0000b2738c9c1a9a5109bc36edc086be","1","13","154493","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:09:54Z"
"spotify:track:2CG50ai7Vd8UGmztPJbYes","Please Complete Thee","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","spotify:album:7MLDnEVUacleMDICnnAWuF","Man Alive!","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","2020-02-21","https://i.scdn.co/image/ab67616d0000b2738c9c1a9a5109bc36edc086be","1","14","245585","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:09:54Z"
"spotify:track:1olwuteaXYfMzJSQWswUwm","DECORUM","spotify:artist:2U1vwQRYQmG7ypKJF1JTEb","R.A.P. Ferreira","spotify:album:5fO3IS08lcTw9rfUtkgILv","Purple Moonlight Pages","spotify:artist:2U1vwQRYQmG7ypKJF1JTEb","R.A.P. Ferreira","2020-03-06","https://i.scdn.co/image/ab67616d0000b2737ac6b9dd43ec2a6c82f3de0e","1","1","108000","https://p.scdn.co/mp3-preview/0a74de2d881a94ac237951e5b1117eb62df778cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:10:28Z"
"spotify:track:2MFH1wJ3BppvP7Erx3TZlZ","GREENS","spotify:artist:2U1vwQRYQmG7ypKJF1JTEb","R.A.P. Ferreira","spotify:album:5fO3IS08lcTw9rfUtkgILv","Purple Moonlight Pages","spotify:artist:2U1vwQRYQmG7ypKJF1JTEb","R.A.P. Ferreira","2020-03-06","https://i.scdn.co/image/ab67616d0000b2737ac6b9dd43ec2a6c82f3de0e","1","2","191999","https://p.scdn.co/mp3-preview/c2beb5d325f5d10e0be9928acf5eb0ed86e2fe57?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:10:28Z"
"spotify:track:55YpAaXcfnfuHRs17ff0fg","NONCIPHER","spotify:artist:2U1vwQRYQmG7ypKJF1JTEb","R.A.P. Ferreira","spotify:album:5fO3IS08lcTw9rfUtkgILv","Purple Moonlight Pages","spotify:artist:2U1vwQRYQmG7ypKJF1JTEb","R.A.P. Ferreira","2020-03-06","https://i.scdn.co/image/ab67616d0000b2737ac6b9dd43ec2a6c82f3de0e","1","3","141686","https://p.scdn.co/mp3-preview/c190504ad5f93f1e90a055c11aef0b9ab4004d95?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:10:28Z"
"spotify:track:0VYJarLUX6l1TbahLWe6rk","OMENS & TOTEMS","spotify:artist:2U1vwQRYQmG7ypKJF1JTEb","R.A.P. Ferreira","spotify:album:5fO3IS08lcTw9rfUtkgILv","Purple Moonlight Pages","spotify:artist:2U1vwQRYQmG7ypKJF1JTEb","R.A.P. Ferreira","2020-03-06","https://i.scdn.co/image/ab67616d0000b2737ac6b9dd43ec2a6c82f3de0e","1","4","180164","https://p.scdn.co/mp3-preview/1d6695110132e94cb7fafda674aea51a9ade37b4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:10:28Z"
"spotify:track:38EWyiOYlmS9zUuC4F8uAn","U.D.I.G. (UNITED DEFENDERS OF INTERNATIONAL GOODWILL)","spotify:artist:2U1vwQRYQmG7ypKJF1JTEb","R.A.P. Ferreira","spotify:album:5fO3IS08lcTw9rfUtkgILv","Purple Moonlight Pages","spotify:artist:2U1vwQRYQmG7ypKJF1JTEb","R.A.P. Ferreira","2020-03-06","https://i.scdn.co/image/ab67616d0000b2737ac6b9dd43ec2a6c82f3de0e","1","5","128896","https://p.scdn.co/mp3-preview/a0316aba9cb59ddce7266225168c6a1b5954e823?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:10:28Z"
"spotify:track:3DYLrsFUZe0XtbefYizdoH","LAUNDRY","spotify:artist:2U1vwQRYQmG7ypKJF1JTEb","R.A.P. Ferreira","spotify:album:5fO3IS08lcTw9rfUtkgILv","Purple Moonlight Pages","spotify:artist:2U1vwQRYQmG7ypKJF1JTEb","R.A.P. Ferreira","2020-03-06","https://i.scdn.co/image/ab67616d0000b2737ac6b9dd43ec2a6c82f3de0e","1","6","163404","https://p.scdn.co/mp3-preview/95791fdd74f30c3fe13bdbe07a1a0f479b3a1d6b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-03-10T22:10:28Z"
