"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5taqLrLouA4vCjM7ZQpEtW","ooh la la (feat. Greg Nice & DJ Premier)","spotify:artist:11QdxwAGVKkoLuarCX7L3N, spotify:artist:6GEykX11lQqp92UVOQQCC7, spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Greg Nice, DJ Premier, Run The Jewels","spotify:album:6cx4GVNs03Pu4ZczRnWiLd","RTJ4","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2020-06-03","https://i.scdn.co/image/ab67616d0000b273bed9d43f754cc05ae29c2c85","1","2","183826","https://p.scdn.co/mp3-preview/36bac1451c5cd0eabb8981b8bd9337cc43335efc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-06-09T03:11:56Z"
"spotify:track:10vS4ZLi4XWlIsNXSQXgqh","JU$T (feat. Pharrell Williams & Zack de la Rocha)","spotify:artist:1jKpNUjiz4KXgaAZD5FI9S, spotify:artist:2RdwBSPQiwcmiDo9kixcl8, spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Zack De La Rocha, Pharrell Williams, Run The Jewels","spotify:album:6cx4GVNs03Pu4ZczRnWiLd","RTJ4","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2020-06-03","https://i.scdn.co/image/ab67616d0000b273bed9d43f754cc05ae29c2c85","1","7","205160","https://p.scdn.co/mp3-preview/af01d0ccfa9c38e0837d1e0ffdc941b7b282fbfa?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-06-09T03:11:34Z"
"spotify:track:1LM6EReMkAxuDXDF26ekl2","Get By","spotify:artist:0lEssBAxQl2In4RpaB1C2Y","Talib Kweli","spotify:album:0apVddbk7Juec0DV4LNiBg","Quality","spotify:artist:0lEssBAxQl2In4RpaB1C2Y","Talib Kweli","2002-12-16","https://i.scdn.co/image/ab67616d0000b273f99af87e949e0b53c5b26da6","1","3","227426","https://p.scdn.co/mp3-preview/d36a9f192152eb354f1a5e6b56ce6e8e40683aed?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-26T18:13:17Z"
"spotify:track:6yFuU5raIMXo7WSHorY82Y","Darkness Before Dawn - 2007 Digital Remaster","spotify:artist:0Zy4ncr8h1jd7Nzr9946fD","Killing Joke","spotify:album:2qcwXvluk9iFwNNg4eDBXm","Night Time","spotify:artist:0Zy4ncr8h1jd7Nzr9946fD","Killing Joke","1985-02-04","https://i.scdn.co/image/ab67616d0000b2736a0553ce3c8ed791ef923887","1","2","319066","https://p.scdn.co/mp3-preview/6e3b9aa8280d504734ab62357fb3f3cd5acb749d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-25T19:00:07Z"
"spotify:track:14z3RzUHeZQgtpOlSYvmZD","Love Like Blood","spotify:artist:0Zy4ncr8h1jd7Nzr9946fD","Killing Joke","spotify:album:2qcwXvluk9iFwNNg4eDBXm","Night Time","spotify:artist:0Zy4ncr8h1jd7Nzr9946fD","Killing Joke","1985-02-04","https://i.scdn.co/image/ab67616d0000b2736a0553ce3c8ed791ef923887","1","3","408826","https://p.scdn.co/mp3-preview/abe30ceb5e6820cb61e4db0c1b76674af615201a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-06-26T20:59:13Z"
"spotify:track:6OphVgjr1xaHjR7GMEeUn1","Wardance - 2005 Digital Remaster","spotify:artist:0Zy4ncr8h1jd7Nzr9946fD","Killing Joke","spotify:album:0FfpevxQr8EyNsjc24TbmI","Killing Joke","spotify:artist:0Zy4ncr8h1jd7Nzr9946fD","Killing Joke","1980-10-05","https://i.scdn.co/image/ab67616d0000b273b227a26f69316e7203d354ec","1","2","225813","https://p.scdn.co/mp3-preview/8719dd004603a2a808f04f62326d8010a8a28b97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-25T19:00:07Z"
"spotify:track:10hKTZyq2N6iSULhpZXrDd","BALD! REMIX","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO, spotify:artist:6fxyWrfmjcbj5d12gXeiNV","JPEGMAFIA, Denzel Curry","spotify:album:3NC7J5aE1f65AA7TyyMKR4","BALD! REMIX","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO, spotify:artist:6fxyWrfmjcbj5d12gXeiNV","JPEGMAFIA, Denzel Curry","2020-05-05","https://i.scdn.co/image/ab67616d0000b27314efaca87e5938f8c8c3ef44","1","1","153127","https://p.scdn.co/mp3-preview/c822ac530c6189d58f6af2a39f7279902e4eb0cf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-25T19:00:17Z"
"spotify:track:09OqeEyXgZr04N3uio9Krs","Hawk Vs. Vulture","spotify:artist:3rd7jOmgOraHucrcvhYVy6","Moodie Black","spotify:album:3bSI6JtZkEWwLgyMoG7qNO","Nausea","spotify:artist:3rd7jOmgOraHucrcvhYVy6","Moodie Black","2014-05-06","https://i.scdn.co/image/ab67616d0000b273ad344fb77fcb612a2100d955","1","1","199885","https://p.scdn.co/mp3-preview/44f6f2b08aaffba2ad189990c3bea62fbb5767e6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-25T19:00:17Z"
"spotify:track:69kPHbdfg66zlhB0vBMQKr","Fluorescent Nights","spotify:artist:6AMqkTWbhukzRS5je3Q5qt","Frontierer","spotify:album:3AlBoQLSFlDkFhACAos7f2","Unloved","spotify:artist:6AMqkTWbhukzRS5je3Q5qt","Frontierer","2018-07-27","https://i.scdn.co/image/ab67616d0000b2731a46585b93ea409e239e3dda","1","3","270000","https://p.scdn.co/mp3-preview/01a5db2ced5421192c9e80a0b49d0065b2b48363?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-06-28T07:17:55Z"
"spotify:track:1OrjViOn1IJ8nQdIchF1dX","Ethereal Emptiness","spotify:artist:340Q4BNeDs4ePSpBii4yRa","Umbra Vitae","spotify:album:5gac9cPgomxH7Cdy3G5Sur","Shadow of Life","spotify:artist:340Q4BNeDs4ePSpBii4yRa","Umbra Vitae","2020-05-01","https://i.scdn.co/image/ab67616d0000b273f82cfcc26afd46cbefbe7c9a","1","2","179692","https://p.scdn.co/mp3-preview/476e18fab63de492fc2420911d7faeb190f14bf5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-05-25T18:58:01Z"
